Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-11-18,28.24,31.03,24.82,27.31,62546300,0.0,0.0
1999-11-19,26.65,26.69,24.71,25.06,15234100,0.0,0.0
1999-11-22,25.64,27.31,24.86,27.31,6577800,0.0,0.0
1999-11-23,26.38,27.07,24.82,24.82,5975600,0.0,0.0
1999-11-24,24.9,26.03,24.82,25.48,4843200,0.0,0.0
1999-11-26,25.37,25.76,25.29,25.56,1729400,0.0,0.0
1999-11-29,25.44,26.34,25.17,26.14,4074700,0.0,0.0
1999-11-30,26.07,26.65,25.41,26.18,4310000,0.0,0.0
1999-12-01,26.18,26.96,25.99,26.65,2957300,0.0,0.0
1999-12-02,27.15,27.93,26.8,27.38,3069800,0.0,0.0
1999-12-03,27.89,28.35,27.5,27.62,3041600,0.0,0.0
1999-12-06,28.08,28.82,28.04,28.39,2250700,0.0,0.0
1999-12-07,28.39,28.55,27.5,28.08,2215900,0.0,0.0
1999-12-08,28.08,28.32,27.81,28.04,1887800,0.0,0.0
1999-12-09,28.08,28.51,28.08,28.43,2029000,0.0,0.0
1999-12-10,28.35,28.51,27.77,27.77,1664700,0.0,0.0
1999-12-13,28.24,28.7,27.54,28.24,4020500,0.0,0.0
1999-12-14,28.16,28.16,26.1,26.69,2328900,0.0,0.0
1999-12-15,26.07,26.26,25.44,25.87,2917700,0.0,0.0
1999-12-16,26.07,29.32,26.07,29.32,2583900,0.0,0.0
1999-12-17,28.78,29.25,28.2,28.51,3708000,0.0,0.0
1999-12-20,28.7,29.13,28.63,29.09,1196800,0.0,0.0
1999-12-21,28.97,28.97,28.55,28.94,2259400,0.0,0.0
1999-12-22,28.94,29.52,28.74,29.52,1905700,0.0,0.0
1999-12-23,29.48,31.03,29.44,30.88,2159400,0.0,0.0
1999-12-27,30.99,33.01,30.76,32.78,2029600,0.0,0.0
1999-12-28,33.67,38.17,33.47,38.17,3560000,0.0,0.0
1999-12-29,39.1,49.07,39.06,44.68,10518500,0.0,0.0
1999-12-30,47.17,49.65,46.08,49.18,6671100,0.0,0.0
1999-12-31,49.34,49.61,47.32,47.98,1931100,0.0,0.0
2000-01-03,48.87,48.99,41.81,44.68,4674300,0.0,0.0
2000-01-04,42.28,42.74,40.18,41.27,4765000,0.0,0.0
2000-01-05,41.12,41.27,37.43,38.71,5758600,0.0,0.0
2000-01-06,38.24,38.48,36.07,37.24,2534400,0.0,0.0
2000-01-07,36.65,40.92,36.62,40.34,2819600,0.0,0.0
2000-01-10,42.82,43.21,41.93,42.78,2148400,0.0,0.0
2000-01-11,42.78,42.78,41.23,42.2,1855900,0.0,0.0
2000-01-12,42.2,42.2,39.76,41.35,1429800,0.0,0.0
2000-01-13,42.43,43.33,40.96,41.97,1134300,0.0,0.0
2000-01-14,41.58,43.05,41.58,42.43,1316900,0.0,0.0
2000-01-18,42.59,45.23,42.28,44.37,2101700,0.0,0.0
2000-01-19,44.68,44.68,43.33,43.44,2624800,0.0,0.0
2000-01-20,43.91,43.99,41.89,42.28,2007900,0.0,0.0
2000-01-21,42.9,43.05,41.23,42.67,1918300,0.0,0.0
2000-01-24,42.51,44.57,42.2,42.51,2095800,0.0,0.0
2000-01-25,42.67,43.21,41.23,42.01,1153700,0.0,0.0
2000-01-26,42.16,42.98,42.12,42.4,1022300,0.0,0.0
2000-01-27,43.37,43.75,41.74,42.47,868500,0.0,0.0
2000-01-28,43.13,43.13,41.85,42.24,1609200,0.0,0.0
2000-01-31,41.93,41.97,40.18,41.08,1040300,0.0,0.0
2000-02-01,41.12,44.68,41.12,44.06,1404200,0.0,0.0
2000-02-02,44.61,47.48,44.41,47.48,1945100,0.0,0.0
2000-02-03,46.66,48.25,45.81,48.25,1779500,0.0,0.0
2000-02-04,48.25,48.25,46.55,47.32,1145600,0.0,0.0
2000-02-07,48.21,49.65,47.32,49.34,1274200,0.0,0.0
2000-02-08,50.11,51.01,48.56,49.03,1169700,0.0,0.0
2000-02-09,48.17,48.83,46.97,47.01,1182800,0.0,0.0
2000-02-10,47.79,48.91,46.74,47.59,1066800,0.0,0.0
2000-02-11,47.48,47.67,46.43,46.78,751700,0.0,0.0
2000-02-14,46.7,47.75,46.43,47.44,837600,0.0,0.0
2000-02-15,47.52,51.51,47.52,50.81,2017500,0.0,0.0
2000-02-16,49.65,50.81,49.26,50.27,1801700,0.0,0.0
2000-02-17,50.27,60.2,48.17,60.2,944900,0.0,0.0
2000-02-18,54.92,59.5,54.65,58.18,4060000,0.0,0.0
