Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-11-29,12.65,13.67,12.63,13.12,371100,0.0,0.0
2001-11-30,13.12,13.49,13.12,13.49,165300,0.0,0.0
2001-12-03,13.45,13.45,13.03,13.03,127500,0.0,0.0
2001-12-04,13.03,13.03,12.51,12.51,95400,0.0,0.0
2001-12-05,12.7,13.97,12.7,13.86,598200,0.0,0.0
2001-12-06,13.93,13.93,13.77,13.78,157200,0.0,0.0
2001-12-07,13.79,13.86,13.67,13.86,215100,0.0,0.0
2001-12-10,13.83,13.84,13.79,13.82,119100,0.0,0.0
2001-12-11,13.8,13.9,13.79,13.79,378600,0.0,0.0
2001-12-12,13.79,13.79,13.27,13.33,114600,0.0,0.0
2001-12-13,13.31,13.49,13.2,13.2,113700,0.0,0.0
2001-12-14,13.19,13.19,12.78,12.88,233400,0.0,0.0
2001-12-17,12.92,13.23,12.92,12.92,106200,0.0,0.0
2001-12-18,12.93,13.11,12.92,12.92,101400,0.0,0.0
2001-12-19,12.92,12.93,12.84,12.93,157800,0.0,0.0
2001-12-20,12.98,13.45,12.98,13.33,97200,0.0,0.0
2001-12-21,13.41,14.46,13.39,14.29,659400,0.0,0.0
2001-12-24,14.27,14.51,14.24,14.43,50700,0.0,0.0
2001-12-26,14.46,14.8,14.43,14.49,378000,0.0,0.0
2001-12-27,14.89,15.01,14.56,14.79,349200,0.0,0.0
2001-12-28,14.87,14.87,14.78,14.82,295500,0.0,0.0
2001-12-31,14.84,15.68,14.71,15.68,255900,0.0,0.0
2002-01-02,15.28,15.28,15.01,15.05,132300,0.0,0.0
2002-01-03,15.03,15.03,14.27,14.27,89700,0.0,0.0
2002-01-04,14.27,14.37,12.92,13.39,346500,0.0,0.0
2002-01-07,13.39,13.58,12.56,13.17,601500,0.0,0.0
2002-01-08,13.09,13.17,12.76,12.95,442200,0.0,0.0
2002-01-09,12.97,13.11,12.95,12.98,60000,0.0,0.0
2002-01-10,12.98,13.36,12.98,13.27,216300,0.0,0.0
2002-01-11,13.55,13.94,13.53,13.71,340800,0.0,0.0
2002-01-14,13.71,13.77,13.52,13.52,230700,0.0,0.0
2002-01-15,13.94,14.6,13.94,14.5,1030200,0.0,0.0
2002-01-16,14.47,14.92,14.34,14.78,526200,0.0,0.0
2002-01-17,14.81,15.06,14.81,14.87,42900,0.0,0.0
2002-01-18,14.84,15.12,14.71,14.9,70500,0.0,0.0
2002-01-22,14.91,14.91,14.4,14.71,130800,0.0,0.0
2002-01-23,14.75,14.86,14.71,14.78,38700,0.0,0.0
2002-01-24,14.81,14.87,14.49,14.57,125100,0.0,0.0
2002-01-25,14.62,14.9,14.48,14.78,88800,0.0,0.0
2002-01-28,14.82,15.03,14.42,14.59,75300,0.0,0.0
2002-01-29,14.6,14.68,14.59,14.61,27300,0.0,0.0
2002-01-30,14.62,14.71,14.53,14.7,67800,0.0,0.0
2002-01-31,14.73,14.84,14.64,14.76,36600,0.0,0.0
2002-02-01,14.79,14.87,14.79,14.84,9000,0.0,0.0
2002-02-04,14.81,14.81,14.59,14.6,13200,0.0,0.0
2002-02-05,14.53,14.54,14.45,14.46,39300,0.0,0.0
2002-02-06,14.43,14.43,14.34,14.4,54300,0.0,0.0
2002-02-07,14.02,14.13,13.8,14.08,216000,0.0,0.0
2002-02-08,14.07,14.13,14.02,14.12,71100,0.0,0.0
2002-02-11,14.08,14.34,14.05,14.3,21600,0.0,0.0
2002-02-12,14.34,14.56,14.34,14.56,14100,0.0,0.0
2002-02-13,14.49,14.53,14.15,14.18,74100,0.0,0.0
2002-02-14,14.21,14.21,13.99,14.07,58500,0.0,0.0
2002-02-15,14.04,14.05,14.02,14.05,17100,0.0,0.0
2002-02-19,14.08,14.11,14.01,14.02,9900,0.0,0.0
2002-02-20,13.99,14.42,13.83,13.93,88500,0.0,0.0
2002-02-21,13.86,13.98,13.8,13.98,132300,0.0,0.0
2002-02-22,13.98,14.16,13.98,14.15,45600,0.0,0.0
2002-02-25,14.12,14.27,14.12,14.18,25800,0.0,0.0
2002-02-26,14.21,14.27,14.18,14.21,88800,0.0,0.0
2002-02-27,14.23,14.37,14.16,14.21,127200,0.0,0.0
2002-02-28,14.24,14.24,14.02,14.12,22500,0.0,0.0
2002-03-01,14.12,14.12,13.72,13.83,219000,0.0,0.0
2002-03-04,13.8,13.93,13.72,13.83,129300,0.0,0.0
2002-03-05,13.83,13.83,13.61,13.77,269100,0.0,0.0
2002-03-06,13.74,13.86,13.66,13.74,501000,0.0,0.0
