Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-01-02,25.22,25.57,24.63,25.37,13767900,0.0,0
2013-01-03,25.28,25.28,24.68,25.16,16739300,0.0,0
2013-01-04,25.01,25.2,24.74,24.84,21372100,0.0,0
2013-01-07,24.67,25.61,24.67,24.89,17897100,0.0,0
2013-01-08,24.77,25.02,24.1,24.35,17863300,0.0,0
2013-01-09,24.28,24.52,24.28,24.49,18800400,0.0,0
2013-01-10,24.31,24.56,24.08,24.56,15658100,0.0,0
2013-01-11,24.55,24.78,24.38,24.74,11191500,0.4,0
2013-01-14,24.86,25.03,24.71,24.92,11584900,0.0,0
2013-01-15,24.64,25.38,24.64,25.29,13040200,0.0,0
2013-01-16,25.2,25.98,25.18,25.98,16512700,0.0,0
2013-01-17,26.13,26.83,26.13,26.62,14424800,0.0,0
2013-01-18,26.63,27.28,26.34,27.28,17842200,0.0,0
2013-01-22,27.03,27.23,26.26,26.62,15809700,0.0,0
2013-01-23,26.98,27.66,26.68,27.63,10981600,0.0,0
2013-01-24,27.62,28.16,27.21,27.38,11327100,0.0,0
2013-01-25,27.42,27.66,26.78,27.48,8934600,0.0,0
2013-01-28,27.52,27.68,26.83,26.96,7140100,0.0,0
2013-01-29,26.83,27.38,26.5,27.27,8838500,0.0,0
2013-01-30,26.91,27.43,26.91,26.99,10841800,0.0,0
2013-01-31,26.93,26.99,26.51,26.82,10720700,0.0,0
2013-02-01,26.93,27.19,26.69,27.18,9527500,0.0,0
2013-02-04,26.78,27.26,26.72,27.25,6348000,0.0,0
2013-02-05,27.35,27.58,27.18,27.19,7284400,0.0,0
2013-02-06,27.02,27.25,26.94,27.15,5738900,0.0,0
2013-02-07,27.46,27.46,26.17,26.62,9872500,0.0,0
2013-02-08,26.58,26.62,26.19,26.5,13858700,0.0,0
2013-02-11,26.41,26.45,26.13,26.2,6032100,0.0,0
2013-02-12,26.15,26.24,25.73,25.89,7473800,0.0,0
2013-02-13,25.89,26.0,25.69,25.78,4859800,0.0,0
2013-02-14,25.62,26.85,25.59,26.73,7570100,0.0,0
2013-02-15,26.99,27.64,26.99,27.47,13296300,0.0,0
2013-02-19,27.44,28.02,27.13,27.91,8292700,0.0,0
2013-02-20,27.89,28.6,27.49,28.22,8096400,0.0,0
2013-02-21,28.13,28.53,27.91,28.35,7260900,0.0,0
2013-02-22,28.35,28.4,27.88,28.11,4490400,0.0,0
2013-02-25,28.17,28.22,27.32,27.32,4665600,0.0,0
2013-02-26,27.48,27.48,27.02,27.11,4463000,0.0,0
2013-02-27,27.02,27.03,26.61,26.85,12238400,0.0,0
2013-02-28,26.8,27.15,26.68,26.99,10321000,0.0,0
2013-03-01,26.9,27.83,26.72,27.64,8929400,0.0,0
2013-03-04,27.43,27.96,27.43,27.95,5420800,0.0,0
2013-03-05,28.1,28.19,27.26,27.42,6650400,0.0,0
2013-03-06,27.45,27.67,27.32,27.59,5489500,0.0,0
2013-03-07,27.52,27.78,27.37,27.4,4442500,0.0,0
2013-03-08,27.51,27.52,27.16,27.29,4114500,0.0,0
2013-03-11,27.23,27.89,27.1,27.53,4614400,0.0,0
2013-03-12,27.56,27.99,27.08,27.17,6523900,0.0,0
2013-03-13,27.19,27.48,27.07,27.17,3710600,0.0,0
2013-03-14,27.36,27.48,26.94,27.45,9859700,0.0,0
2013-03-15,27.37,28.17,27.25,28.14,12208300,0.0,0
2013-03-18,27.81,28.13,27.77,27.89,5178700,0.0,0
2013-03-19,27.96,28.07,27.66,28.04,5108400,0.0,0
2013-03-20,28.14,28.65,28.08,28.55,7072900,0.0,0
2013-03-21,28.37,28.48,28.13,28.13,4736100,0.0,0
2013-03-22,28.19,28.48,27.99,28.48,3323400,0.0,0
2013-03-25,28.59,28.89,28.46,28.74,6065000,0.0,0
2013-03-26,28.92,29.62,28.92,29.39,7249500,0.0,0
2013-03-27,29.4,29.45,28.99,29.35,4274800,0.0,0
2013-03-28,29.43,29.82,29.08,29.81,7263400,0.0,0
2013-04-01,29.21,30.07,29.21,30.06,5740000,0.0,0
2013-04-02,30.13,30.13,29.62,29.76,5510700,0.0,0
2013-04-03,29.79,30.3,29.49,29.65,4122100,0.0,0
2013-04-04,29.8,30.54,29.69,30.41,20687600,0.0,0
2013-04-05,30.19,30.33,30.03,30.19,14089800,0.0,0
2013-04-08,30.17,30.6,30.02,30.53,16449200,0.0,0
2013-04-09,30.67,31.84,30.55,31.1,8673900,0.0,0
2013-04-10,31.17,31.99,31.06,31.88,7809200,0.0,0
2013-04-11,32.03,32.24,31.8,31.87,6494100,0.4,0
2013-04-12,31.7,31.94,31.44,31.79,4199800,0.0,0
2013-04-15,31.63,31.74,30.55,30.57,7152500,0.0,0
2013-04-16,30.74,31.37,30.34,31.32,6998000,0.0,0
2013-04-17,31.09,31.3,30.56,31.16,5046200,0.0,0
2013-04-18,31.26,31.46,30.9,31.22,5009000,0.0,0
2013-04-19,31.36,31.41,31.13,31.27,6493200,0.0,0
2013-04-22,31.72,33.07,31.63,32.61,8531300,0.0,0
2013-04-23,32.91,34.17,32.75,33.3,9378100,0.0,0
2013-04-24,33.3,33.45,32.41,32.69,5541300,0.0,0
2013-04-25,33.01,33.04,32.28,32.64,5236900,0.0,0
2013-04-26,33.16,34.16,33.01,33.82,10096800,0.0,0
2013-04-29,33.81,33.88,33.23,33.37,6024700,0.0,0
2013-04-30,33.23,34.1,33.2,33.97,6798600,0.0,0
2013-05-01,33.74,34.0,33.6,33.6,6398100,0.0,0
2013-05-02,33.7,33.7,32.36,32.45,9649400,0.0,0
2013-05-03,32.69,33.03,32.33,32.96,4641200,0.0,0
2013-05-06,33.16,33.16,32.57,32.89,4085700,0.0,0
2013-05-07,32.83,33.2,32.77,33.13,3745600,0.0,0
2013-05-08,33.2,33.23,32.01,32.08,6973200,0.0,0
2013-05-09,31.97,32.79,31.91,32.64,5046900,0.0,0
2013-05-10,32.61,33.2,32.61,33.2,4455800,0.0,0
2013-05-13,33.04,33.04,32.58,32.86,3738400,0.0,0
2013-05-14,32.53,33.58,32.53,33.45,5760300,0.0,0
2013-05-15,33.73,34.62,33.55,33.96,6702500,0.0,0
2013-05-16,33.98,34.6,33.94,34.09,4605300,0.0,0
2013-05-17,33.96,34.92,33.82,34.8,5244800,0.0,0
2013-05-20,34.76,34.78,33.99,34.13,3537800,0.0,0
2013-05-21,34.07,34.64,34.06,34.33,4708800,0.0,0
2013-05-22,34.27,35.41,33.82,34.49,5203500,0.0,0
2013-05-23,34.02,34.64,33.95,34.37,3306200,0.0,0
2013-05-24,34.12,34.29,33.43,33.52,4511700,0.0,0
2013-05-28,33.85,33.96,32.98,33.48,6181800,0.0,0
2013-05-29,33.12,33.33,32.3,32.37,6908400,0.0,0
2013-05-30,32.51,33.29,32.51,32.86,4852200,0.0,0
2013-05-31,32.66,32.97,31.49,31.49,9308800,0.0,0
2013-06-03,31.63,32.15,31.54,31.99,7176800,0.0,0
2013-06-04,32.03,32.81,32.0,32.19,4528400,0.0,0
2013-06-05,32.08,32.39,31.49,31.75,4801300,0.0,0
2013-06-06,31.88,32.14,31.46,32.09,4261300,0.0,0
2013-06-07,32.25,32.66,32.09,32.46,5463200,0.0,0
2013-06-10,32.7,32.7,31.88,32.4,4702700,0.0,0
2013-06-11,31.95,32.5,31.76,32.16,3574800,0.0,0
2013-06-12,32.39,32.46,31.51,31.55,3742600,0.0,0
2013-06-13,31.29,31.87,29.58,31.83,6096500,0.0,0
2013-06-14,31.71,32.09,31.35,31.88,4078500,0.0,0
2013-06-17,32.02,32.09,31.49,31.73,3457700,0.0,0
2013-06-18,31.7,32.13,31.45,32.12,3644900,0.0,0
2013-06-19,32.13,32.33,31.73,31.75,3663300,0.0,0
2013-06-20,31.46,31.56,30.18,30.29,7474900,0.0,0
2013-06-21,30.73,31.51,30.39,31.44,9825700,0.0,0
2013-06-24,31.04,31.28,30.48,30.9,6042400,0.0,0
2013-06-25,31.09,31.55,30.7,31.45,4686900,0.0,0
2013-06-26,31.79,32.17,31.74,32.0,4733700,0.0,0
2013-06-27,32.13,32.44,31.53,31.82,5163900,0.0,0
2013-06-28,31.37,31.7,30.48,30.5,10753100,0.0,0
2013-07-01,30.54,30.93,30.3,30.7,4588200,0.0,0
2013-07-02,30.67,31.4,30.67,31.14,4365900,0.0,0
2013-07-03,30.89,31.21,30.7,31.15,2417500,0.0,0
2013-07-05,31.32,31.6,31.21,31.51,2743700,0.0,0
2013-07-08,31.65,32.23,31.59,32.22,3978300,0.0,0
2013-07-09,32.46,32.63,31.91,31.96,3805700,0.0,0
2013-07-10,31.99,32.55,31.99,32.39,3080100,0.0,0
2013-07-11,32.71,32.84,32.26,32.59,4061400,0.4,0
2013-07-12,32.71,33.58,32.61,33.54,5693900,0.0,0
2013-07-15,33.46,33.48,33.16,33.22,3265800,0.0,0
2013-07-16,33.16,33.33,32.53,32.62,3714500,0.0,0
2013-07-17,32.73,32.87,32.56,32.73,3645400,0.0,0
2013-07-18,32.73,33.17,32.62,33.0,3043700,0.0,0
2013-07-19,33.12,33.43,32.85,33.14,4317900,0.0,0
2013-07-22,32.98,33.58,32.61,33.48,3810500,0.0,0
2013-07-23,33.44,33.57,32.93,32.99,3535100,0.0,0
2013-07-24,32.97,33.03,32.3,32.49,3088100,0.0,0
2013-07-25,32.32,33.08,32.27,32.94,4088500,0.0,0
2013-07-26,33.51,33.59,32.88,33.35,4491100,0.0,0
2013-07-29,33.29,33.84,33.11,33.55,4326200,0.0,0
2013-07-30,33.56,33.67,32.91,33.28,3619700,0.0,0
2013-07-31,33.38,34.18,33.36,33.86,6020600,0.0,0
2013-08-01,33.61,34.17,33.53,33.69,3652400,0.0,0
2013-08-02,33.58,33.81,33.36,33.74,3190700,0.0,0
2013-08-05,33.54,33.78,33.11,33.29,2953500,0.0,0
2013-08-06,33.07,33.49,33.07,33.41,4980600,0.0,0
2013-08-07,33.28,33.4,32.92,33.18,3299400,0.0,0
2013-08-08,33.4,33.64,33.21,33.55,2892400,0.0,0
2013-08-09,33.43,33.5,33.11,33.29,3290800,0.0,0
2013-08-12,33.29,33.65,33.05,33.53,3826400,0.0,0
2013-08-13,33.59,33.64,33.26,33.45,2791800,0.0,0
2013-08-14,33.39,33.67,33.09,33.19,2990500,0.0,0
2013-08-15,33.2,33.22,32.11,32.17,4363100,0.0,0
2013-08-16,31.97,32.12,31.58,32.01,6093300,0.0,0
2013-08-19,32.02,32.62,31.98,32.29,3326900,0.0,0
2013-08-20,32.23,32.37,31.9,31.99,2803000,0.0,0
2013-08-21,31.88,31.92,31.45,31.5,4118800,0.0,0
2013-08-22,31.57,32.09,31.48,31.95,4077700,0.0,0
2013-08-23,32.02,32.39,31.9,32.33,2738100,0.0,0
2013-08-26,32.33,32.56,32.15,32.35,3493400,0.0,0
2013-08-27,32.03,32.08,31.72,31.74,4473000,0.0,0
2013-08-28,31.66,31.87,31.53,31.69,3009700,0.0,0
2013-08-29,31.51,32.08,31.46,31.73,2788900,0.0,0
2013-08-30,31.83,32.04,31.49,31.72,3170700,0.0,0
2013-09-03,32.01,32.22,31.5,31.71,2925600,0.0,0
2013-09-04,31.71,32.12,31.71,32.11,3190700,0.0,0
2013-09-05,32.04,32.5,32.01,32.39,3355500,0.0,0
2013-09-06,32.41,33.02,31.93,32.68,3992200,0.0,0
2013-09-09,32.67,33.08,32.39,33.08,3287500,0.0,0
2013-09-10,33.19,33.36,32.83,33.34,4282300,0.0,0
2013-09-11,33.36,33.48,33.05,33.46,3441700,0.0,0
2013-09-12,33.38,33.46,33.13,33.28,2597900,0.0,0
2013-09-13,33.29,33.42,33.08,33.42,2273500,0.0,0
2013-09-16,33.74,34.21,33.64,34.11,3531700,0.0,0
2013-09-17,34.19,35.51,34.14,35.44,7293800,0.0,0
2013-09-18,35.13,36.05,34.9,35.68,6689400,0.0,0
2013-09-19,35.89,35.91,35.22,35.29,5326500,0.0,0
2013-09-20,35.32,35.74,35.24,35.62,10495300,0.0,0
2013-09-23,35.41,35.41,34.94,35.07,3179500,0.0,0
2013-09-24,34.95,34.95,34.2,34.23,7162700,0.0,0
2013-09-25,34.31,34.37,33.52,33.75,4571900,0.0,0
2013-09-26,33.75,33.96,33.36,33.5,5033900,0.0,0
2013-09-27,33.4,33.43,32.77,33.0,6617300,0.0,0
2013-09-30,33.14,33.46,32.78,33.3,5818400,0.0,0
2013-10-01,33.36,34.17,33.36,34.1,4159700,0.0,0
2013-10-02,33.75,34.22,33.59,34.21,4056800,0.0,0
2013-10-03,33.95,34.5,33.58,34.25,7020800,0.0,0
2013-10-04,34.38,34.9,34.25,34.84,4141400,0.0,0
2013-10-07,34.34,34.98,34.31,34.31,4703700,0.0,0
2013-10-08,34.46,34.48,33.05,33.14,7091500,0.0,0
2013-10-09,33.29,33.73,33.0,33.36,5113000,0.0,0
2013-10-10,33.88,34.31,33.44,34.31,3967500,0.4,0
2013-10-11,34.33,34.33,33.77,34.29,2985700,0.0,0
2013-10-14,33.96,34.89,33.86,34.8,3377300,0.0,0
2013-10-15,34.59,34.84,34.37,34.61,3533300,0.0,0
2013-10-16,34.79,35.51,34.7,35.35,4399900,0.0,0
2013-10-17,35.27,36.3,35.27,36.18,7242400,0.0,0
2013-10-18,36.34,36.77,35.88,36.3,9212900,0.0,0
2013-10-21,36.12,36.47,35.88,36.32,4713200,0.0,0
2013-10-22,36.35,37.04,36.14,36.81,6937500,0.0,0
2013-10-23,36.63,36.7,36.27,36.3,4130300,0.0,0
2013-10-24,36.53,36.79,35.86,36.0,5077900,0.0,0
2013-10-25,36.88,37.43,36.48,37.03,6956800,0.0,0
2013-10-28,36.91,37.54,36.79,37.12,5555000,0.0,0
2013-10-29,37.17,37.71,37.17,37.4,5022900,0.0,0
