Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.2,0.2,0.2,7513300,0.0,0.0
1980-03-18,0.0,0.2,0.19,0.2,5303400,0.0,0.0
1980-03-19,0.0,0.2,0.2,0.2,2523300,0.0,0.0
1980-03-20,0.0,0.2,0.2,0.2,4654800,0.0,0.0
1980-03-21,0.0,0.2,0.2,0.2,1332800,0.0,0.0
1980-03-24,0.0,0.19,0.19,0.19,4105800,0.0,0.0
1980-03-25,0.0,0.2,0.19,0.19,8575400,0.0,0.0
1980-03-26,0.0,0.2,0.19,0.19,3728000,0.0,0.0
1980-03-27,0.0,0.19,0.19,0.19,4276900,0.0,0.0
1980-03-28,0.0,0.2,0.19,0.2,2644600,0.0,0.0
1980-03-31,0.0,0.2,0.2,0.2,4056000,0.0,0.0
1980-04-01,0.0,0.21,0.2,0.2,7584600,0.0,0.0
1980-04-02,0.0,0.2,0.2,0.2,4932800,0.0,0.0
1980-04-03,0.0,0.2,0.2,0.2,3279000,0.0,0.0
1980-04-07,0.0,0.2,0.2,0.2,2701500,0.0,0.0
1980-04-08,0.0,0.2,0.2,0.2,5004100,0.0,0.0
1980-04-09,0.0,0.21,0.2,0.21,1632300,0.0,0.0
1980-04-10,0.0,0.21,0.21,0.21,3079400,0.0,0.0
1980-04-11,0.0,0.22,0.22,0.22,4219800,0.0,0.0
1980-04-14,0.0,0.21,0.21,0.21,4597700,0.0,0.0
1980-04-15,0.0,0.21,0.21,0.21,2423500,0.0,0.0
1980-04-16,0.0,0.22,0.21,0.21,4904300,0.0,0.0
1980-04-17,0.0,0.21,0.21,0.21,2644600,0.0,0.0
1980-04-18,0.0,0.21,0.21,0.21,2387800,0.0,0.0
1980-04-21,0.0,0.21,0.21,0.21,2530400,0.0,0.0
1980-04-22,0.0,0.22,0.21,0.22,2067100,0.0,0.0
1980-04-23,0.0,0.22,0.21,0.22,4775900,0.0,0.0
1980-04-24,0.0,0.22,0.22,0.22,2587500,0.0,0.0
1980-04-25,0.0,0.22,0.21,0.22,6465400,0.0,0.0
1980-04-28,0.0,0.22,0.22,0.22,3100800,0.0,0.0
1980-04-29,0.0,0.22,0.22,0.22,1525400,0.0,0.0
1980-04-30,0.0,0.22,0.22,0.22,4298400,0.0,0.0
1980-05-01,0.0,0.22,0.22,0.22,5339000,0.0,0.0
1980-05-02,0.0,0.22,0.22,0.22,3464300,0.0,0.0
