Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-12-11,3.79,3.83,3.69,3.76,15192400,0.0,0.0
2001-12-12,3.69,3.7,3.64,3.67,3605600,0.0,0.0
2001-12-13,3.62,3.65,3.59,3.59,1921600,0.0,0.0
2001-12-14,3.53,3.53,3.5,3.52,1186000,0.0,0.0
2001-12-17,3.61,3.66,3.59,3.66,660400,0.0,0.0
2001-12-18,3.64,3.7,3.64,3.7,344800,0.0,0.0
2001-12-19,3.59,3.66,3.55,3.63,1068400,0.0,0.0
2001-12-20,3.6,3.6,3.55,3.56,157200,0.0,0.0
2001-12-21,3.58,3.59,3.54,3.58,258800,0.0,0.0
2001-12-24,3.44,3.55,3.43,3.51,183200,0.0,0.0
2001-12-26,3.5,3.52,3.5,3.52,149200,0.0,0.0
2001-12-27,3.52,3.57,3.52,3.53,712400,0.0,0.0
2001-12-28,3.54,3.56,3.54,3.54,428800,0.0,0.0
2001-12-31,3.54,3.6,3.54,3.6,549600,0.0,0.0
2002-01-02,3.6,3.62,3.59,3.62,828800,0.0,0.0
2002-01-03,3.65,3.69,3.63,3.67,914400,0.0,0.0
2002-01-04,3.79,3.86,3.76,3.86,1876800,0.0,0.0
2002-01-07,4.14,4.14,3.98,4.11,1079600,0.0,0.0
2002-01-08,4.08,4.09,4.02,4.07,226000,0.0,0.0
2002-01-09,4.04,4.05,3.99,3.99,83200,0.0,0.0
2002-01-10,4.01,4.01,3.95,3.98,163600,0.0,0.0
2002-01-11,3.97,3.98,3.95,3.95,92000,0.0,0.0
2002-01-14,3.92,3.92,3.87,3.88,666000,0.0,0.0
2002-01-15,3.84,3.84,3.77,3.8,229600,0.0,0.0
2002-01-16,3.83,3.9,3.83,3.83,132000,0.0,0.0
2002-01-17,3.88,3.91,3.87,3.9,554000,0.0,0.0
2002-01-18,3.88,3.88,3.79,3.85,64000,0.0,0.0
2002-01-22,3.91,3.91,3.87,3.89,106000,0.0,0.0
2002-01-23,3.95,3.96,3.9,3.96,310000,0.0,0.0
2002-01-24,4.08,4.1,4.06,4.07,300800,0.0,0.0
2002-01-25,4.33,4.38,4.3,4.35,1273600,0.0,0.0
2002-01-28,4.43,4.49,4.43,4.45,735200,0.0,0.0
2002-01-29,4.37,4.37,4.3,4.3,140000,0.0,0.0
2002-01-30,4.35,4.37,4.33,4.35,401200,0.0,0.0
2002-01-31,4.33,4.33,4.32,4.32,116000,0.0,0.0
2002-02-01,4.12,4.13,4.1,4.1,308000,0.0,0.0
2002-02-04,4.32,4.32,4.27,4.27,236400,0.0,0.0
2002-02-05,4.29,4.31,4.28,4.3,392800,0.0,0.0
2002-02-06,4.28,4.28,4.26,4.26,20800,0.0,0.0
2002-02-07,4.26,4.26,4.19,4.21,158400,0.0,0.0
2002-02-08,4.2,4.2,4.19,4.19,17600,0.0,0.0
2002-02-11,4.2,4.22,4.19,4.22,98000,0.0,0.0
2002-02-12,4.2,4.22,4.2,4.21,39200,0.0,0.0
2002-02-13,4.22,4.22,4.19,4.22,79600,0.0,0.0
2002-02-14,4.22,4.24,4.22,4.24,29600,0.0,0.0
2002-02-15,4.37,4.44,4.37,4.42,103600,0.0,0.0
2002-02-19,4.47,4.58,4.47,4.54,908000,0.0,0.0
2002-02-20,4.54,4.55,4.52,4.54,997600,0.0,0.0
2002-02-21,4.55,4.55,4.53,4.53,761600,0.0,0.0
2002-02-22,4.52,4.54,4.47,4.54,29600,0.0,0.0
2002-02-25,4.5,4.5,4.47,4.5,140800,0.0,0.0
2002-02-26,4.43,4.47,4.43,4.46,64400,0.0,0.0
2002-02-27,4.68,4.68,4.64,4.64,110000,0.0,0.0
2002-02-28,4.78,4.78,4.75,4.75,211200,0.0,0.0
2002-03-01,4.75,4.75,4.69,4.69,143200,0.0,0.0
2002-03-04,4.81,4.94,4.81,4.94,202800,0.0,0.0
2002-03-05,5.08,5.08,4.98,4.99,109200,0.0,0.0
2002-03-06,4.91,4.96,4.91,4.96,382400,0.0,0.0
2002-03-07,4.84,4.85,4.81,4.82,41600,0.0,0.0
2002-03-08,4.92,4.93,4.86,4.87,266000,0.0,0.0
2002-03-11,4.98,4.98,4.94,4.94,61600,0.0,0.0
2002-03-12,4.89,4.89,4.81,4.84,24000,0.0,0.0
2002-03-13,4.72,4.75,4.72,4.75,10800,0.0,0.0
2002-03-14,4.59,4.59,4.53,4.54,55200,0.0,0.0
2002-03-15,4.56,4.56,4.54,4.54,12400,0.0,0.0
2002-03-18,4.48,4.49,4.36,4.41,243200,0.0,0.0
2002-03-19,4.44,4.46,4.42,4.42,93600,0.0,0.0
2002-03-20,4.43,4.43,4.38,4.38,25600,0.0,0.0
2002-03-21,4.37,4.39,4.36,4.39,34000,0.0,0.0
2002-03-22,4.39,4.39,4.38,4.38,17200,0.0,0.0
2002-03-25,4.49,4.49,4.49,4.49,16000,0.0,0.0
2002-03-26,4.4,4.44,4.4,4.43,11200,0.0,0.0
2002-03-27,4.55,4.55,4.52,4.55,98400,0.0,0.0
2002-03-28,4.57,4.57,4.55,4.56,72400,0.0,0.0
2002-04-01,4.56,4.56,4.54,4.56,53200,0.0,0.0
2002-04-02,4.51,4.51,4.48,4.48,70000,0.0,0.0
2002-04-03,4.5,4.5,4.48,4.48,69600,0.0,0.0
2002-04-04,4.48,4.48,4.48,4.48,2800,0.0,0.0
2002-04-05,4.49,4.54,4.49,4.54,40400,0.0,0.0
2002-04-08,4.69,4.69,4.65,4.65,79600,0.0,0.0
2002-04-09,4.62,4.62,4.61,4.61,16400,0.0,0.0
2002-04-10,4.53,4.57,4.53,4.57,43200,0.0,0.0
2002-04-11,4.45,4.53,4.43,4.49,78800,0.0,0.0
2002-04-12,4.49,4.49,4.49,4.49,1200,0.0,0.0
2002-04-15,4.5,4.61,4.5,4.57,56800,0.0,0.0
2002-04-16,4.44,4.47,4.44,4.47,78800,0.0,0.0
2002-04-17,4.43,4.43,4.37,4.37,24800,0.0,0.0
2002-04-18,4.34,4.34,4.33,4.33,25200,0.0,0.0
2002-04-19,4.11,4.11,3.97,4.06,329600,0.0,0.0
2002-04-22,4.18,4.2,4.18,4.2,35200,0.0,0.0
2002-04-23,4.12,4.14,4.11,4.12,54800,0.0,0.0
2002-04-24,3.87,3.87,3.84,3.85,292400,0.0,0.0
2002-04-25,3.85,3.85,3.73,3.73,196000,0.0,0.0
2002-04-26,3.85,3.85,3.85,3.85,48000,0.0,0.0
2002-04-29,3.82,3.82,3.8,3.8,6800,0.0,0.0
2002-04-30,3.74,3.76,3.74,3.75,8400,0.0,0.0
2002-05-01,3.76,3.77,3.75,3.77,15600,0.0,0.0
2002-05-02,3.78,3.79,3.78,3.79,6800,0.0,0.0
2002-05-03,3.79,3.8,3.79,3.8,8000,0.0,0.0
2002-05-06,3.91,3.91,3.88,3.88,37600,0.0,0.0
2002-05-07,4.07,4.07,4.04,4.04,200000,0.05125,0.0
2002-05-08,4.03,4.14,4.01,4.14,28400,0.0,0.0
2002-05-09,4.06,4.06,4.03,4.05,17200,0.0,0.0
2002-05-10,4.04,4.06,4.04,4.06,6400,0.0,0.0
