Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-07-19,11.26,11.4,11.18,11.31,34994300,0.0,0.0
2001-07-20,11.22,11.22,11.04,11.19,9238500,0.0,0.0
2001-07-23,11.18,11.19,10.85,11.18,7501000,0.0,0.0
2001-07-24,11.15,11.16,10.96,11.08,3537300,0.0,0.0
2001-07-25,10.96,11.15,10.92,11.15,4208100,0.0,0.0
2001-07-26,11.15,11.18,10.81,10.81,6335300,0.0,0.0
2001-07-27,10.82,10.88,10.81,10.82,3524000,0.0,0.0
2001-07-30,10.81,11.02,10.81,10.96,3654300,0.0,0.0
2001-07-31,10.97,11.19,10.89,11.16,1429000,0.0,0.0
2001-08-01,11.18,11.56,11.11,11.56,2087900,0.0,0.0
2001-08-02,11.48,11.56,11.26,11.48,1717400,0.0,0.0
2001-08-03,11.48,11.48,11.17,11.3,983600,0.0,0.0
2001-08-06,11.3,11.35,11.2,11.26,777400,0.0,0.0
2001-08-07,11.26,11.6,11.26,11.56,788900,0.0,0.0
2001-08-08,11.48,11.63,11.18,11.18,2190300,0.0,0.0
2001-08-09,11.22,11.56,11.18,11.56,928000,0.0,0.0
2001-08-10,11.48,11.48,11.27,11.33,703300,0.0,0.0
2001-08-13,11.3,11.44,11.11,11.19,1770400,0.0,0.0
2001-08-14,11.22,11.23,10.92,10.96,1000800,0.0,0.0
2001-08-15,11.0,11.11,10.96,11.03,530900,0.0,0.0
2001-08-16,11.02,11.02,10.48,10.48,1522700,0.0,0.0
2001-08-17,10.48,11.04,10.36,10.83,2342400,0.0,0.0
2001-08-20,10.89,11.45,10.8,11.45,1434900,0.0,0.0
2001-08-21,11.37,11.63,11.19,11.53,1038200,0.0,0.0
2001-08-22,11.42,11.48,11.02,11.44,829000,0.0,0.0
2001-08-23,11.52,11.52,11.37,11.37,470000,0.0,0.0
2001-08-24,11.37,11.54,11.18,11.48,689000,0.0,0.0
2001-08-27,11.54,11.67,11.48,11.54,827700,0.0,0.0
2001-08-28,11.5,11.62,11.37,11.45,736900,0.0,0.0
2001-08-29,11.4,11.42,11.18,11.19,397400,0.0,0.0
2001-08-30,11.07,11.21,11.07,11.15,640100,0.0,0.0
2001-08-31,11.18,11.26,11.11,11.11,3337900,0.0,0.0
2001-09-04,11.18,11.67,11.18,11.47,1068600,0.0,0.0
2001-09-05,11.47,11.47,11.11,11.12,1053200,0.0,0.0
2001-09-06,11.0,11.19,10.74,10.81,1384500,0.0,0.0
2001-09-07,10.77,10.92,10.7,10.83,1408500,0.0,0.0
2001-09-10,10.87,11.3,10.85,11.3,622100,0.0,0.0
2001-09-17,11.29,11.29,10.79,10.89,1934300,0.0,0.0
2001-09-18,10.89,11.18,10.7,10.85,902800,0.0,0.0
2001-09-19,10.89,10.95,10.23,10.4,2415400,0.0,0.0
2001-09-20,10.36,10.36,9.57,9.66,3498900,0.0,0.0
2001-09-21,9.58,9.69,9.07,9.51,2051800,0.0,0.0
2001-09-24,9.69,9.9,9.66,9.84,1964200,0.0,0.0
2001-09-25,9.84,9.84,9.47,9.54,1827300,0.0,0.0
2001-09-26,9.54,9.66,9.1,9.1,3327200,0.0,0.0
2001-09-27,9.14,9.14,8.66,8.84,2347500,0.0,0.0
2001-09-28,9.02,10.03,9.02,9.51,2844000,0.0,0.0
2001-10-01,9.43,9.69,9.43,9.47,878800,0.0,0.0
2001-10-02,9.36,9.47,9.04,9.38,1900400,0.0,0.0
2001-10-03,9.41,9.74,9.4,9.66,2539400,0.0,0.0
2001-10-04,9.67,10.29,9.67,10.06,3108500,0.0,0.0
2001-10-05,10.07,10.25,9.93,10.1,2172300,0.0,0.0
2001-10-08,10.14,10.21,9.87,9.87,576100,0.0,0.0
2001-10-09,10.05,10.29,9.98,9.99,1601100,0.0,0.0
2001-10-10,9.95,10.25,9.92,10.19,1700400,0.0,0.0
2001-10-11,11.56,11.56,10.96,11.3,4214100,0.0,0.0
2001-10-12,11.38,12.34,11.38,12.34,5193300,0.0,0.0
2001-10-15,12.31,13.38,12.31,13.05,3277900,0.0,0.0
2001-10-16,13.16,13.46,12.6,13.01,1996000,0.0,0.0
2001-10-17,13.16,13.23,12.56,12.66,1877100,0.0,0.0
2001-10-18,12.66,12.66,12.39,12.45,942000,0.0,0.0
2001-10-19,12.45,12.56,12.33,12.56,2062500,0.0,0.0
2001-10-22,12.68,13.1,12.65,13.05,469600,0.0,0.0
2001-10-23,13.05,13.22,12.88,13.14,915400,0.0,0.0
2001-10-24,13.18,13.24,13.1,13.23,472600,0.0,0.0
2001-10-25,13.23,13.24,12.77,13.23,265100,0.0,0.0
2001-10-26,13.2,13.26,13.05,13.14,566500,0.0,0.0
2001-10-29,13.21,13.22,12.97,13.09,616200,0.0,0.0
2001-10-30,13.01,13.02,12.79,12.94,574700,0.0,0.0
2001-10-31,12.99,13.12,12.75,13.1,718600,0.0,0.0
2001-11-01,13.06,13.86,13.06,13.65,1089900,0.0,0.0
2001-11-02,13.79,14.24,13.5,13.61,2372800,0.0,0.0
2001-11-05,13.61,13.62,13.25,13.5,1552700,0.0,0.0
2001-11-06,13.41,13.41,12.94,13.4,562600,0.0,0.0
2001-11-07,13.41,14.09,13.39,14.09,1987000,0.0,0.0
2001-11-08,13.94,14.89,13.94,14.88,1747200,0.0,0.0
2001-11-09,14.73,14.88,14.65,14.88,1325400,0.0,0.0
2001-11-12,14.73,14.73,14.17,14.53,2398300,0.0,0.0
2001-11-13,14.69,15.84,14.66,15.51,1463000,0.0,0.0
