Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.09,1.01,1.01,1371300,0.0,0.0
1980-03-18,0.0,1.04,1.0,1.04,2348300,0.0,0.0
1980-03-19,0.0,1.11,1.05,1.05,2337900,0.0,0.0
1980-03-20,0.0,1.1,1.07,1.08,1183700,0.0,0.0
1980-03-21,0.0,1.08,1.05,1.05,290100,0.0,0.0
1980-03-24,0.0,1.06,1.01,1.02,969100,0.0,0.0
1980-03-25,0.0,1.03,0.97,0.98,1673300,0.0,0.0
1980-03-26,0.0,0.99,0.94,0.94,3354300,0.0,0.0
1980-03-27,0.0,0.95,0.83,0.92,3666200,0.0,0.0
1980-03-28,0.0,1.01,0.91,1.01,2949600,0.0,0.0
1980-03-31,0.0,1.07,1.02,1.05,665200,0.0,0.0
1980-04-01,0.0,1.09,1.06,1.09,1213600,0.0,0.0
1980-04-02,0.0,1.1,1.07,1.07,1372000,0.0,0.0
1980-04-03,0.0,1.06,1.04,1.05,899600,0.0,0.0
1980-04-07,0.0,1.05,1.01,1.02,976100,0.0,0.0
1980-04-08,0.0,1.03,1.01,1.03,489700,0.0,0.0
1980-04-09,0.0,1.03,1.02,1.02,714100,0.0,0.0
1980-04-10,0.0,1.07,1.03,1.06,1469100,0.0,0.0
1980-04-11,0.0,1.07,1.06,1.07,1324300,0.0,0.0
1980-04-14,0.0,1.06,1.05,1.06,574400,0.0,0.0
1980-04-15,0.0,1.07,1.05,1.06,169700,0.0,0.0
1980-04-16,0.0,1.08,1.01,1.01,1063500,0.0,0.0
1980-04-17,0.0,1.02,0.99,0.99,1133100,0.0,0.0
1980-04-18,0.0,1.01,0.98,0.99,803900,0.0,0.0
1980-04-21,0.0,0.98,0.95,0.96,521100,0.0,0.0
1980-04-22,0.0,1.07,1.0,1.07,1381000,0.0,0.0
1980-04-23,0.0,1.1,1.01,1.01,2691000,0.0,0.0
1980-04-24,0.0,1.05,0.99,1.04,1047300,0.0,0.0
1980-04-25,0.0,1.07,1.01,1.07,563200,0.0,0.0
1980-04-28,0.0,1.12,1.07,1.11,778000,0.0,0.0
1980-04-29,0.0,1.13,1.1,1.11,279800,0.0,0.0
1980-04-30,0.0,1.17,1.12,1.16,1131500,0.0,0.0
1980-05-01,0.0,1.17,1.13,1.13,542200,0.0,0.0
1980-05-02,0.0,1.15,1.12,1.15,411300,0.0,0.0
1980-05-05,0.0,1.19,1.14,1.19,889900,0.0,0.0
1980-05-06,0.0,1.26,1.19,1.22,1700400,0.0,0.0
1980-05-07,0.0,1.26,1.22,1.25,521100,0.0,0.0
1980-05-08,0.0,1.26,1.23,1.24,1269200,0.0,0.0
1980-05-09,0.0,1.24,1.21,1.23,723600,0.0,0.0
1980-05-12,0.0,1.27,1.22,1.27,783100,0.0,0.0
1980-05-13,0.0,1.28,1.24,1.27,596200,0.0,0.0
1980-05-14,0.0,1.28,1.25,1.25,317100,0.0,0.0
1980-05-15,0.0,1.26,1.23,1.23,1262400,0.0,0.0
1980-05-16,0.0,1.23,1.21,1.21,445000,0.0,0.0
1980-05-19,0.0,1.23,1.18,1.22,396100,0.0,0.0
1980-05-20,0.0,1.24,1.21,1.22,577900,0.0,0.0
1980-05-21,0.0,1.22,1.19,1.22,900200,0.0,0.0
1980-05-22,0.0,1.27,1.22,1.25,637000,0.0,0.0
1980-05-23,0.0,1.3,1.27,1.27,775100,0.0,0.0
1980-05-27,0.0,1.31,1.26,1.3,932700,0.0,0.0
1980-05-28,0.0,1.33,1.3,1.33,1017400,0.0,0.0
1980-05-29,0.0,1.33,1.26,1.26,684700,0.0,0.0
1980-05-30,0.0,1.26,1.23,1.24,1989700,0.0,0.0
1980-06-02,0.0,1.3,1.24,1.28,509900,0.0,0.0
1980-06-03,0.0,1.29,1.26,1.28,529200,0.0,0.0
1980-06-04,0.0,1.34,1.27,1.31,1035300,0.0,0.0
1980-06-05,0.0,1.32,1.25,1.25,540000,0.0,0.0
1980-06-06,0.0,1.29,1.26,1.28,614200,0.0,0.0
1980-06-09,0.0,1.3,1.27,1.28,1062600,0.0,0.0
1980-06-10,0.0,1.29,1.27,1.28,620700,0.0,0.0
1980-06-11,0.0,1.29,1.27,1.28,1072500,0.0,0.0
1980-06-12,0.0,1.29,1.26,1.26,577100,0.0,0.0
1980-06-13,0.0,1.29,1.27,1.28,689400,0.0,0.0
1980-06-16,0.0,1.28,1.26,1.28,512500,0.0,0.0
1980-06-17,0.0,1.29,1.26,1.26,506400,0.0,0.0
1980-06-18,0.0,1.26,1.2,1.22,962300,0.0,0.0
1980-06-19,0.0,1.25,1.23,1.24,1552700,0.0,0.0
1980-06-20,0.0,1.25,1.23,1.24,601200,0.0,0.0
1980-06-23,0.0,1.26,1.24,1.25,242500,0.0,0.0
1980-06-24,0.0,1.31,1.26,1.3,504900,0.0,0.0
1980-06-25,0.0,1.33,1.3,1.31,573900,0.0,0.0
1980-06-26,0.0,1.34,1.3,1.3,848500,0.0,0.0
1980-06-27,0.0,1.3,1.28,1.28,438900,0.0,0.0
1980-06-30,0.0,1.28,1.23,1.23,726400,0.0,0.0
1980-07-01,0.0,1.29,1.23,1.25,848500,0.0,0.0
1980-07-02,0.0,1.28,1.25,1.28,303800,0.0,0.0
1980-07-03,0.0,1.29,1.24,1.24,738700,0.0,0.0
1980-07-07,0.0,1.27,1.24,1.27,680000,0.0,0.0
1980-07-08,0.0,1.28,1.24,1.24,582700,0.0,0.0
1980-07-09,0.0,1.27,1.24,1.24,819200,0.0,0.0
1980-07-10,0.0,1.24,1.22,1.23,772500,0.0,0.0
1980-07-11,0.0,1.22,1.19,1.2,1432400,0.0,0.0
1980-07-14,0.0,1.21,1.16,1.18,1093400,0.0,0.0
1980-07-15,0.0,1.23,1.2,1.23,1341400,0.0,0.0
1980-07-16,0.0,1.26,1.23,1.23,449100,0.0,0.0
1980-07-17,0.0,1.25,1.21,1.25,986600,0.0,0.0
1980-07-18,0.0,1.28,1.23,1.23,792100,0.0,0.0
1980-07-21,0.0,1.24,1.21,1.22,411300,0.0,0.0
1980-07-22,0.0,1.24,1.19,1.2,2352700,0.0,0.0
1980-07-23,0.0,1.2,1.12,1.14,1121700,0.0,0.0
1980-07-24,0.0,1.16,1.1,1.14,4069500,0.0,0.0
1980-07-25,0.0,1.17,1.14,1.15,817500,0.0,0.0
1980-07-28,0.0,1.22,1.15,1.21,1095100,0.0,0.0
1980-07-29,0.0,1.26,1.2,1.25,2439100,0.0,0.0
1980-07-30,0.0,1.27,1.19,1.2,4194800,0.0,0.0
1980-07-31,0.0,1.2,1.16,1.19,1223000,0.0,0.0
1980-08-01,0.0,1.21,1.18,1.2,1324300,0.0,0.0
1980-08-04,0.0,1.2,1.14,1.14,1106000,0.0,0.0
1980-08-05,0.0,1.18,1.16,1.18,1471900,0.0,0.0
1980-08-06,0.0,1.21,1.18,1.21,1455300,0.0,0.0
1980-08-07,0.0,1.25,1.23,1.24,631900,0.0,0.0
1980-08-08,0.0,1.26,1.21,1.22,2821900,0.0,0.0
1980-08-11,0.0,1.24,1.21,1.23,853900,0.0,0.0
1980-08-12,0.0,1.21,1.18,1.18,2436600,0.0,0.0
1980-08-13,0.0,1.18,1.14,1.17,3477000,0.0,0.0
1980-08-14,0.0,1.22,1.18,1.22,1324800,0.0,0.0
1980-08-15,0.0,1.25,1.24,1.25,2024400,0.0,0.0
