Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-01-02,13.86,13.88,13.65,13.79,444000,0.0,0
1998-01-05,13.88,13.9,13.55,13.69,564300,0.0,0
1998-01-06,13.57,13.59,13.45,13.49,253600,0.0,0
1998-01-07,13.49,13.49,13.17,13.37,358100,0.0,0
1998-01-08,13.39,13.39,13.13,13.21,325100,0.0,0
1998-01-09,13.19,13.47,13.19,13.33,306600,0.0,0
1998-01-12,13.25,13.47,13.21,13.45,268300,0.0,0
1998-01-13,13.45,13.45,13.27,13.35,193300,0.0,0
1998-01-14,13.35,13.35,13.25,13.29,139500,0.0,0
1998-01-15,13.27,13.27,12.97,12.99,155400,0.0,0
1998-01-16,13.09,13.15,13.03,13.05,251100,0.0,0
1998-01-20,12.08,12.12,11.76,11.94,1051500,0.0,0
1998-01-21,11.88,11.88,11.52,11.86,1026300,0.0,0
1998-01-22,11.72,11.8,11.64,11.72,492700,0.0,0
1998-01-23,11.64,11.72,11.48,11.6,323500,0.0,0
1998-01-26,11.62,11.68,11.46,11.66,273000,0.0,0
1998-01-27,11.66,11.74,11.54,11.68,563700,0.0,0
1998-01-28,11.62,11.76,11.62,11.76,284000,0.0,0
1998-01-29,11.76,11.92,11.72,11.84,383800,0.0,0
1998-01-30,11.84,11.88,11.78,11.8,486500,0.0,0
1998-02-02,11.84,11.88,11.76,11.82,233000,0.0,0
1998-02-03,11.8,11.86,11.72,11.8,189200,0.0,0
1998-02-04,11.8,11.8,11.68,11.76,557800,0.0,0
1998-02-05,11.9,11.96,11.8,11.9,210000,0.0,0
1998-02-06,11.92,12.1,11.84,12.1,251100,0.0,0
1998-02-09,12.06,12.22,12.06,12.2,271700,0.0,0
1998-02-10,12.18,12.34,12.18,12.22,357200,0.0,0
1998-02-11,12.18,12.2,12.12,12.16,280600,0.0,0
1998-02-12,12.08,12.22,12.04,12.18,496100,0.0,0
1998-02-13,12.12,12.2,12.06,12.08,181800,0.0,0
1998-02-17,12.06,12.24,11.96,12.24,360600,0.0,0
1998-02-18,12.24,12.32,12.22,12.24,267600,0.0,0
1998-02-19,12.24,12.3,12.24,12.3,386300,0.0,0
1998-02-20,12.28,12.34,12.18,12.34,798600,0.0,0
1998-02-23,12.34,12.45,12.26,12.45,347100,0.0,0
1998-02-24,12.39,12.41,12.28,12.41,228500,0.0,0
1998-02-25,12.43,12.49,12.36,12.36,342500,0.0,0
1998-02-26,12.32,12.39,12.26,12.3,152800,0.0,0
1998-02-27,12.28,12.4,12.26,12.39,218800,0.0,0
1998-03-02,12.3,12.41,12.3,12.39,219700,0.0,0
1998-03-03,12.39,12.41,12.36,12.39,416300,0.0,0
1998-03-04,12.36,12.41,12.32,12.36,146700,0.0,0
1998-03-05,12.3,12.39,12.28,12.34,293600,0.0,0
1998-03-06,12.25,12.49,12.25,12.49,3544900,0.635,0
1998-03-09,12.45,12.47,12.37,12.39,309000,0.0,0
1998-03-10,12.39,12.53,12.37,12.49,290000,0.0,0
1998-03-11,12.47,12.74,12.47,12.7,543800,0.0,0
1998-03-12,12.7,12.7,12.59,12.63,241700,0.0,0
1998-03-13,12.59,12.7,12.57,12.68,425000,0.0,0
1998-03-16,12.68,13.0,12.66,12.94,395400,0.0,0
1998-03-17,12.94,13.21,12.94,13.21,351500,0.0,0
1998-03-18,13.15,13.43,13.15,13.39,668800,0.0,0
1998-03-19,13.35,13.6,13.31,13.6,431500,0.0,0
1998-03-20,13.68,13.9,13.64,13.86,521300,0.0,0
1998-03-23,13.84,13.86,13.7,13.78,293400,0.0,0
1998-03-24,13.76,13.84,13.68,13.78,291300,0.0,0
1998-03-25,13.76,13.9,13.72,13.9,222000,0.0,0
1998-03-26,13.88,13.88,13.72,13.74,452000,0.0,0
1998-03-27,13.66,13.7,13.45,13.56,412800,0.0,0
1998-03-30,13.56,13.7,13.52,13.6,366000,0.0,0
1998-03-31,13.52,13.84,13.47,13.8,414900,0.0,0
1998-04-01,13.82,13.82,13.64,13.76,200100,0.0,0
1998-04-02,13.72,13.82,13.7,13.82,386000,0.0,0
1998-04-03,13.82,13.95,13.76,13.92,254700,0.0,0
1998-04-06,13.86,13.88,13.78,13.82,179800,0.0,0
1998-04-07,13.78,13.78,13.64,13.7,235300,0.0,0
1998-04-08,13.66,13.72,13.6,13.72,453200,0.0,0
1998-04-09,13.7,13.72,13.54,13.72,731700,0.0,0
1998-04-13,13.76,13.76,13.64,13.7,796600,0.0,0
1998-04-14,13.66,13.86,13.62,13.84,526400,0.0,0
1998-04-15,13.8,13.92,13.76,13.86,357100,0.0,0
1998-04-16,13.78,13.78,13.68,13.74,325300,0.0,0
1998-04-17,13.74,13.8,13.62,13.8,287900,0.0,0
1998-04-20,13.74,13.74,13.62,13.66,149800,0.0,0
1998-04-21,13.6,13.6,13.45,13.54,373900,0.0,0
1998-04-22,13.49,13.52,13.43,13.43,285400,0.0,0
1998-04-23,13.45,13.54,13.02,13.02,387700,0.0,0
1998-04-24,13.02,13.29,12.92,13.06,398800,0.0,0
1998-04-27,13.02,13.06,12.51,12.96,128000,0.0,0
1998-04-28,12.98,13.0,12.8,12.86,592600,0.0,0
1998-04-29,12.9,12.9,12.74,12.8,242900,0.0,0
1998-04-30,12.84,13.06,12.84,12.98,442400,0.0,0
1998-05-01,13.0,13.0,12.86,12.88,258000,0.0,0
1998-05-04,12.92,12.94,12.78,12.86,175300,0.0,0
1998-05-05,12.8,12.84,12.63,12.76,165800,0.0,0
1998-05-06,12.82,12.82,12.7,12.78,135300,0.0,0
1998-05-07,12.74,12.78,12.74,12.78,118300,0.0,0
1998-05-08,12.74,12.8,12.66,12.72,163500,0.0,0
1998-05-11,12.72,12.86,12.7,12.74,288200,0.0,0
1998-05-12,12.74,12.76,12.68,12.76,100100,0.0,0
1998-05-13,12.72,12.74,12.61,12.68,124900,0.0,0
1998-05-14,12.66,12.72,12.63,12.68,175900,0.0,0
1998-05-15,12.68,12.74,12.61,12.63,225400,0.0,0
1998-05-18,12.57,12.63,12.49,12.57,134400,0.0,0
1998-05-19,12.55,12.57,12.41,12.55,149200,0.0,0
1998-05-20,12.55,12.76,12.53,12.76,144600,0.0,0
1998-05-21,12.76,12.84,12.7,12.78,96100,0.0,0
1998-05-22,12.74,12.82,12.63,12.63,201900,0.0,0
1998-05-26,12.66,12.68,12.51,12.51,121600,0.0,0
1998-05-27,12.49,12.68,12.33,12.53,158600,0.0,0
1998-05-28,12.53,12.74,12.53,12.68,217500,0.0,0
1998-05-29,12.63,12.82,12.63,12.82,163000,0.0,0
1998-06-01,12.78,13.33,12.76,13.29,190200,0.0,0
1998-06-02,13.21,13.35,13.15,13.23,175700,0.0,0
1998-06-03,13.19,13.39,13.17,13.27,105000,0.0,0
1998-06-04,13.21,13.31,13.17,13.21,133800,0.0,0
1998-06-05,13.19,13.39,13.19,13.39,167700,0.0,0
1998-06-08,13.33,13.35,13.23,13.25,1874800,0.635,0
1998-06-09,13.27,13.27,13.06,13.1,261000,0.0,0
1998-06-10,13.13,13.37,13.1,13.35,174600,0.0,0
1998-06-11,13.31,13.48,13.23,13.42,260500,0.0,0
1998-06-12,13.35,13.44,13.23,13.35,275100,0.0,0
1998-06-15,13.31,13.35,13.21,13.25,227000,0.0,0
1998-06-16,13.31,13.33,13.23,13.25,283000,0.0,0
1998-06-17,13.25,13.29,13.13,13.17,364200,0.0,0
1998-06-18,13.23,13.42,13.19,13.37,308200,0.0,0
1998-06-19,13.37,13.37,13.17,13.21,212700,0.0,0
1998-06-22,13.23,13.35,13.21,13.21,121200,0.0,0
1998-06-23,13.25,13.25,13.15,13.23,105600,0.0,0
1998-06-24,13.19,13.27,13.19,13.19,353200,0.0,0
1998-06-25,13.31,13.33,13.08,13.1,254300,0.0,0
1998-06-26,13.08,13.19,13.02,13.13,213700,0.0,0
1998-06-29,13.19,13.35,13.08,13.27,197000,0.0,0
1998-06-30,13.17,13.33,13.17,13.23,227100,0.0,0
1998-07-01,13.33,13.42,13.21,13.42,204800,0.0,0
1998-07-02,13.37,13.44,13.29,13.44,107100,0.0,0
1998-07-06,13.4,13.46,13.27,13.37,155100,0.0,0
1998-07-07,13.33,13.44,13.31,13.4,106000,0.0,0
1998-07-08,13.42,13.46,13.29,13.42,99800,0.0,0
1998-07-09,13.35,13.4,13.31,13.35,127900,0.0,0
1998-07-10,13.31,13.37,13.1,13.27,375900,0.0,0
1998-07-13,13.27,13.27,13.13,13.13,91500,0.0,0
1998-07-14,13.13,13.25,13.08,13.19,188700,0.0,0
1998-07-15,13.1,13.23,13.02,13.15,141600,0.0,0
1998-07-16,13.1,13.13,13.02,13.08,299900,0.0,0
1998-07-17,13.08,13.08,12.94,13.08,154900,0.0,0
1998-07-20,13.04,13.06,12.9,13.0,82600,0.0,0
1998-07-21,12.98,13.04,12.85,12.98,212100,0.0,0
1998-07-22,12.98,13.15,12.92,13.15,67900,0.0,0
1998-07-23,13.1,13.13,12.9,12.98,99100,0.0,0
1998-07-24,12.98,12.98,12.79,12.94,246700,0.0,0
1998-07-27,12.94,12.98,12.81,12.96,181200,0.0,0
1998-07-28,12.9,12.92,12.71,12.81,114600,0.0,0
1998-07-29,12.83,12.83,12.71,12.75,123500,0.0,0
1998-07-30,12.75,12.96,12.73,12.81,190300,0.0,0
1998-07-31,12.85,12.85,12.52,12.58,185900,0.0,0
1998-08-03,12.65,12.75,12.54,12.75,121400,0.0,0
1998-08-04,12.67,12.81,12.42,12.44,153100,0.0,0
1998-08-05,12.44,12.56,12.31,12.56,167400,0.0,0
1998-08-06,12.52,12.56,12.4,12.52,68600,0.0,0
1998-08-07,12.48,12.71,12.42,12.67,199900,0.0,0
1998-08-10,12.67,12.69,12.58,12.69,130200,0.0,0
1998-08-11,12.56,12.65,12.48,12.61,182500,0.0,0
1998-08-12,12.61,13.1,12.52,13.0,278900,0.0,0
1998-08-13,12.92,13.1,12.77,12.83,191800,0.0,0
1998-08-14,12.81,12.98,12.79,12.88,141600,0.0,0
1998-08-17,13.06,13.06,12.92,13.02,226200,0.0,0
1998-08-18,12.94,13.02,12.88,12.98,322300,0.0,0
1998-08-19,12.92,12.98,12.83,12.92,467200,0.0,0
1998-08-20,12.94,12.98,12.83,12.9,84600,0.0,0
1998-08-21,12.81,13.23,12.79,13.15,254800,0.0,0
1998-08-24,13.17,13.31,13.13,13.29,109200,0.0,0
1998-08-25,13.29,13.31,13.13,13.27,240400,0.0,0
1998-08-26,13.21,13.48,13.15,13.35,299500,0.0,0
1998-08-27,13.27,13.35,13.13,13.19,122700,0.0,0
1998-08-28,13.19,13.21,12.94,13.15,174400,0.0,0
1998-08-31,13.13,13.65,13.06,13.17,310300,0.0,0
1998-09-01,13.23,13.31,13.15,13.27,353700,0.0,0
1998-09-02,13.23,13.23,12.9,12.98,218100,0.0,0
1998-09-03,12.9,13.0,12.79,12.92,121800,0.0,0
1998-09-04,12.92,12.98,12.81,12.98,144600,0.0,0
1998-09-08,12.9,13.26,12.86,13.26,1733500,0.635,0
1998-09-09,13.24,13.26,13.05,13.24,100300,0.0,0
1998-09-10,13.15,13.26,12.94,13.19,142000,0.0,0
1998-09-11,13.17,13.36,12.98,13.36,258200,0.0,0
1998-09-14,13.38,13.41,13.22,13.38,155500,0.0,0
1998-09-15,13.34,13.51,13.3,13.51,139900,0.0,0
1998-09-16,13.43,13.66,13.38,13.64,163500,0.0,0
1998-09-17,13.51,13.55,13.36,13.53,137900,0.0,0
1998-09-18,13.53,13.74,13.49,13.64,303600,0.0,0
1998-09-21,13.53,13.68,13.45,13.68,108200,0.0,0
1998-09-22,13.7,13.93,13.7,13.93,406100,0.0,0
1998-09-23,13.93,14.04,13.77,14.0,491400,0.0,0
1998-09-24,13.96,14.0,13.53,13.79,152100,0.0,0
1998-09-25,13.7,14.02,13.68,13.81,270300,0.0,0
1998-09-28,14.0,14.0,13.81,13.98,163600,0.0,0
1998-09-29,14.04,14.19,14.0,14.17,313400,0.0,0
1998-09-30,14.12,14.29,14.06,14.19,189000,0.0,0
1998-10-01,14.36,14.46,14.27,14.4,256800,0.0,0
1998-10-02,14.36,14.76,14.36,14.63,426200,0.0,0
1998-10-05,14.61,14.86,14.51,14.86,246100,0.0,0
1998-10-06,14.84,14.86,14.65,14.82,309300,0.0,0
1998-10-07,14.84,14.99,14.51,14.7,541800,0.0,0
1998-10-08,14.61,14.73,14.38,14.61,366100,0.0,0
1998-10-09,14.55,14.57,14.0,14.21,343900,0.0,0
1998-10-12,14.06,14.06,13.43,13.47,231700,0.0,0
1998-10-13,13.51,13.7,13.45,13.58,216300,0.0,0
1998-10-14,13.68,14.08,13.66,13.89,326600,0.0,0
1998-10-15,13.81,14.19,13.81,14.17,388500,0.0,0
1998-10-16,14.17,14.17,13.83,13.83,390200,0.0,0
1998-10-19,13.91,14.0,13.7,13.77,148000,0.0,0
1998-10-20,13.85,13.96,13.45,13.49,244300,0.0,0
1998-10-21,13.51,13.53,13.32,13.47,191800,0.0,0
1998-10-22,13.49,13.62,13.41,13.55,136200,0.0,0
