Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-01-02,15.54,15.54,15.54,15.54,0.0,0.0,0.0
1973-01-03,15.61,15.61,15.61,15.61,0.0,0.0,0.0
1973-01-04,15.43,15.43,15.43,15.43,0.0,0.0,0.0
1973-01-05,15.52,15.52,15.52,15.52,0.0,0.0,0.0
1973-01-08,15.47,15.47,15.47,15.47,0.0,0.0,0.0
1973-01-09,15.56,15.56,15.56,15.56,0.0,0.0,0.0
1973-01-10,15.56,15.56,15.56,15.56,0.0,0.0,0.0
1973-01-11,15.68,15.68,15.68,15.68,0.0,0.0,0.0
1973-01-12,15.7,15.7,15.7,15.7,0.0,0.0,0.0
1973-01-15,15.74,15.74,15.74,15.74,0.0,0.0,0.0
1973-01-16,15.5,15.5,15.5,15.5,0.0,0.0,0.0
1973-01-17,15.25,15.25,15.25,15.25,0.0,0.0,0.0
1973-01-18,15.16,15.16,15.16,15.16,0.0,0.0,0.0
1973-01-19,14.95,14.95,14.95,14.95,0.0,0.0,0.0
1973-01-22,14.98,14.98,14.98,14.98,0.0,0.0,0.0
1973-01-23,15.07,15.07,15.07,15.07,0.0,0.0,0.0
1973-01-24,14.98,14.98,14.98,14.98,0.0,0.0,0.0
1973-01-26,14.57,14.57,14.57,14.57,0.0,0.0,0.0
1973-01-29,14.12,14.12,14.12,14.12,0.0,0.0,0.0
1973-01-30,14.12,14.12,14.12,14.12,0.0,0.0,0.0
1973-01-31,14.16,14.16,14.16,14.16,0.0,0.0,0.0
1973-02-01,14.12,14.12,14.12,14.12,0.0,0.0,0.0
1973-02-02,14.09,14.09,14.09,14.09,0.0,0.0,0.0
1973-02-05,14.09,14.09,14.09,14.09,0.0,0.0,0.0
1973-02-06,14.16,14.16,14.16,14.16,0.0,0.0,0.0
1973-02-07,14.12,14.12,14.12,14.12,0.0,0.0,0.0
1973-02-08,13.96,13.96,13.96,13.96,0.0,0.0,0.0
1973-02-09,14.03,14.03,14.03,14.03,0.0,0.0,0.0
1973-02-12,14.21,14.21,14.21,14.21,0.0,0.0,0.0
1973-02-13,14.39,14.39,14.39,14.39,0.0,0.0,0.0
1973-02-14,14.14,14.14,14.14,14.14,0.0,0.0,0.0
1973-02-15,13.8,13.8,13.8,13.8,0.0,0.0,0.0
1973-02-16,13.82,13.82,13.82,13.82,0.0,0.0,0.0
1973-02-20,13.93,13.93,13.93,13.93,0.0,0.0,0.0
1973-02-21,13.84,13.84,13.84,13.84,0.0,0.0,0.0
1973-02-22,13.8,13.8,13.8,13.8,0.0,0.0,0.0
1973-02-23,13.6,13.6,13.6,13.6,0.0,0.0,0.0
1973-02-26,13.53,13.53,13.53,13.53,0.0,0.0,0.0
1973-02-27,12.96,12.96,12.96,12.96,0.0,0.0,0.0
1973-02-28,12.94,12.94,12.94,12.94,0.0,0.0,0.0
1973-03-01,12.94,12.94,12.94,12.94,0.0,0.0,0.0
1973-03-02,13.14,13.14,13.14,13.14,0.0,0.0,0.0
1973-03-05,13.21,13.21,13.21,13.21,0.0,0.0,0.0
1973-03-06,13.53,13.53,13.53,13.53,0.0,0.0,0.0
1973-03-07,13.82,13.82,13.82,13.82,0.0,0.0,0.0
1973-03-08,13.84,13.84,13.84,13.84,0.0,0.0,0.0
1973-03-09,13.84,13.84,13.84,13.84,0.0,0.0,0.0
1973-03-12,13.89,13.89,13.89,13.89,0.0,0.0,0.0
1973-03-13,13.91,13.91,13.91,13.91,0.0,0.0,0.0
1973-03-14,13.93,13.93,13.93,13.93,0.0,0.0,0.0
1973-03-15,13.89,13.89,13.89,13.89,0.0,0.0,0.0
1973-03-16,13.93,13.93,13.93,13.93,0.0,0.0,0.0
1973-03-19,13.64,13.64,13.64,13.64,0.0,0.0,0.0
1973-03-20,13.53,13.53,13.53,13.53,0.0,0.0,0.0
1973-03-21,13.32,13.32,13.32,13.32,0.0,0.0,0.0
1973-03-22,12.94,12.94,12.94,12.94,0.0,0.0,0.0
1973-03-23,12.98,12.98,12.98,12.98,0.0,0.0,0.0
1973-03-26,12.98,12.98,12.98,12.98,0.0,0.0,0.0
1973-03-27,13.1,13.1,13.1,13.1,0.0,0.0,0.0
1973-03-28,13.57,13.57,13.57,13.57,0.0,0.0,0.0
1973-03-29,13.89,13.89,13.89,13.89,0.0,0.0,0.0
1973-03-30,13.66,13.66,13.66,13.66,0.0,0.0,0.0
1973-04-02,13.39,13.39,13.39,13.39,0.0,0.0,0.0
1973-04-03,13.26,13.26,13.26,13.26,0.0,0.0,0.0
1973-04-04,12.8,12.8,12.8,12.8,0.0,0.0,0.0
1973-04-05,12.94,12.94,12.94,12.94,0.0,0.0,0.0
1973-04-06,13.03,13.03,13.03,13.03,0.0,0.0,0.0
1973-04-09,13.03,13.03,13.03,13.03,0.0,0.0,0.0
1973-04-10,12.94,12.94,12.94,12.94,0.0,0.0,0.0
1973-04-11,12.98,12.98,12.98,12.98,0.0,0.0,0.0
1973-04-12,13.21,13.21,13.21,13.21,0.0,0.0,0.0
1973-04-13,13.26,13.26,13.26,13.26,0.0,0.0,0.0
1973-04-16,13.23,13.23,13.23,13.23,0.0,0.0,0.0
1973-04-17,13.14,13.14,13.14,13.14,0.0,0.0,0.0
1973-04-18,13.1,13.1,13.1,13.1,0.0,0.0,0.0
1973-04-19,13.07,13.07,13.07,13.07,0.0,0.0,0.0
1973-04-23,12.92,12.92,12.92,12.92,0.0,0.0,0.0
1973-04-24,12.71,12.71,12.71,12.71,0.0,0.0,0.0
1973-04-25,12.62,12.62,12.62,12.62,0.0,0.0,0.0
1973-04-26,12.53,12.53,12.53,12.53,0.0,0.0,0.0
1973-04-27,12.4,12.4,12.4,12.4,0.0,0.0,0.0
1973-04-30,12.35,12.35,12.35,12.35,0.0,0.0,0.0
1973-05-01,12.12,12.12,12.12,12.12,0.0,0.0,0.0
1973-05-02,12.19,12.19,12.19,12.19,0.0,0.0,0.0
1973-05-03,12.19,12.19,12.19,12.19,0.0,0.0,0.0
1973-05-04,12.58,12.58,12.58,12.58,0.0,0.0,0.0
1973-05-07,12.35,12.35,12.35,12.35,0.0,0.0,0.0
1973-05-08,12.24,12.24,12.24,12.24,0.0,0.0,0.0
1973-05-09,12.17,12.17,12.17,12.17,0.0,0.0,0.0
1973-05-10,12.06,12.06,12.06,12.06,0.0,0.0,0.0
1973-05-11,11.92,11.92,11.92,11.92,0.0,0.0,0.0
1973-05-14,11.17,11.17,11.17,11.17,0.0,0.0,0.0
1973-05-15,11.22,11.22,11.22,11.22,0.0,0.0,0.0
1973-05-16,11.27,11.27,11.27,11.27,0.0,0.0,0.0
1973-05-17,11.22,11.22,11.22,11.22,0.0,0.0,0.0
1973-05-18,10.93,10.93,10.93,10.93,0.0,0.0,0.0
1973-05-21,10.88,10.88,10.88,10.88,0.0,0.0,0.0
1973-05-22,10.93,10.93,10.93,10.93,0.0,0.0,0.0
1973-05-23,11.08,11.08,11.08,11.08,0.0,0.0,0.0
1973-05-24,12.12,12.12,12.12,12.12,0.0,0.0,0.0
1973-05-25,12.03,12.03,12.03,12.03,0.0,0.0,0.0
1973-05-29,11.81,11.81,11.81,11.81,0.0,0.0,0.0
1973-05-30,11.27,11.27,11.27,11.27,0.0,0.0,0.0
1973-05-31,11.08,11.08,11.08,11.08,0.0,0.0,0.0
1973-06-01,11.04,11.04,11.04,11.04,0.0,0.0,0.0
1973-06-04,11.04,11.04,11.04,11.04,0.0,0.0,0.0
1973-06-05,11.27,11.27,11.27,11.27,0.0,0.0,0.0
1973-06-06,11.11,11.11,11.11,11.11,0.0,0.0,0.0
1973-06-07,11.24,11.24,11.24,11.24,0.0,0.0,0.0
1973-06-08,11.56,11.56,11.56,11.56,0.0,0.0,0.0
1973-06-11,11.54,11.54,11.54,11.54,0.0,0.0,0.0
1973-06-12,12.22,12.22,12.22,12.22,0.0,0.0,0.0
1973-06-13,12.19,12.19,12.19,12.19,0.0,0.0,0.0
