Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-07-22,4.47,4.51,4.47,4.47,1415500,0.0,0.0
1994-07-25,4.47,4.51,4.47,4.51,138600,0.0,0.0
1994-07-26,4.47,4.51,4.47,4.47,71500,0.0,0.0
1994-07-27,4.51,4.51,4.47,4.47,37300,0.0,0.0
1994-07-28,4.47,4.51,4.47,4.47,83500,0.0,0.0
1994-07-29,4.47,4.51,4.47,4.47,19900,0.0,0.0
1994-08-01,4.47,4.51,4.47,4.47,21700,0.0,0.0
1994-08-02,4.47,4.51,4.47,4.47,60000,0.0,0.0
1994-08-03,4.47,4.51,4.47,4.51,37500,0.0,0.0
1994-08-04,4.47,4.47,4.41,4.41,553800,0.0,0.0
1994-08-05,4.41,4.44,4.41,4.41,130600,0.0,0.0
1994-08-08,4.41,4.44,4.41,4.41,50700,0.0,0.0
1994-08-09,4.44,4.44,4.41,4.44,81700,0.0,0.0
1994-08-10,4.41,4.41,4.35,4.35,134000,0.0,0.0
1994-08-11,4.35,4.41,4.32,4.32,67700,0.0,0.0
1994-08-12,4.35,4.35,4.32,4.35,85700,0.0,0.0
1994-08-15,4.32,4.38,4.32,4.35,24200,0.0,0.0
1994-08-16,4.41,4.41,4.35,4.38,109900,0.0,0.0
1994-08-17,4.38,4.38,4.35,4.35,92800,0.0,0.0
1994-08-18,4.35,4.38,4.35,4.38,44900,0.0,0.0
1994-08-19,4.35,4.38,4.32,4.35,54000,0.0,0.0
1994-08-22,4.35,4.35,4.32,4.35,36100,0.0,0.0
1994-08-23,4.32,4.35,4.32,4.32,27200,0.0,0.0
1994-08-24,4.32,4.38,4.32,4.35,64400,0.0,0.0
1994-08-25,4.38,4.41,4.35,4.38,51300,0.0,0.0
1994-08-26,4.38,4.41,4.38,4.41,47500,0.0,0.0
1994-08-29,4.41,4.44,4.38,4.41,45300,0.0,0.0
1994-08-30,4.44,4.47,4.41,4.47,36300,0.0,0.0
1994-08-31,4.47,4.47,4.44,4.44,26400,0.0,0.0
1994-09-01,4.47,4.47,4.41,4.41,34800,0.0,0.0
1994-09-02,4.44,4.44,4.38,4.41,35600,0.0,0.0
1994-09-06,4.44,4.44,4.35,4.35,11600,0.0,0.0
1994-09-07,4.35,4.38,4.35,4.35,33200,0.0,0.0
1994-09-08,4.35,4.38,4.32,4.38,57200,0.0,0.0
1994-09-09,4.38,4.41,4.26,4.41,33100,0.0,0.0
1994-09-12,4.35,4.41,4.35,4.35,34400,0.0,0.0
1994-09-13,4.38,4.41,4.35,4.38,45300,0.0,0.0
1994-09-14,4.38,4.41,4.29,4.29,36200,0.0,0.0
1994-09-15,4.32,4.38,4.32,4.35,116100,0.0,0.0
1994-09-16,4.35,4.35,4.29,4.29,25600,0.0,0.0
1994-09-19,4.29,4.32,4.23,4.29,71600,0.0,0.0
1994-09-20,4.26,4.26,4.17,4.2,72600,0.0,0.0
1994-09-21,4.17,4.23,4.11,4.14,124500,0.0,0.0
1994-09-22,4.14,4.26,4.14,4.26,83800,0.0,0.0
1994-09-23,4.26,4.29,4.23,4.23,43800,0.0,0.0
1994-09-26,4.29,4.29,4.23,4.29,36800,0.0,0.0
1994-09-27,4.29,4.41,4.26,4.26,60900,0.0,0.0
1994-09-28,4.29,4.29,4.23,4.23,36200,0.0,0.0
1994-09-29,4.23,4.29,4.2,4.26,26400,0.0,0.0
1994-09-30,4.2,4.23,4.17,4.2,28200,0.0,0.0
1994-10-03,4.17,4.2,4.14,4.14,24400,0.0,0.0
1994-10-04,4.17,4.2,3.99,4.05,60700,0.0,0.0
1994-10-05,4.05,4.14,4.05,4.14,22800,0.0,0.0
1994-10-06,4.11,4.17,4.11,4.17,32900,0.0,0.0
1994-10-07,4.17,4.23,4.14,4.2,18600,0.0,0.0
1994-10-10,4.26,4.29,4.26,4.26,12100,0.0,0.0
1994-10-11,4.32,4.35,4.29,4.32,31400,0.0,0.0
1994-10-12,4.35,4.35,4.29,4.32,14300,0.0,0.0
1994-10-13,4.32,4.38,4.29,4.32,14300,0.0,0.0
1994-10-14,4.32,4.32,4.29,4.29,11000,0.0,0.0
1994-10-17,4.29,4.32,4.26,4.32,7300,0.0,0.0
1994-10-18,4.29,4.32,4.26,4.29,10500,0.0,0.0
1994-10-19,4.29,4.38,4.29,4.35,44000,0.0,0.0
1994-10-20,4.35,4.38,4.32,4.35,69500,0.0,0.0
1994-10-21,4.35,4.35,4.29,4.35,39400,0.0,0.0
1994-10-24,4.35,4.35,4.29,4.29,7800,0.0,0.0
1994-10-25,4.29,4.35,4.29,4.32,4900,0.0,0.0
1994-10-26,4.29,4.32,4.29,4.29,12800,0.0,0.0
1994-10-27,4.29,4.38,4.29,4.35,122700,0.0,0.0
1994-10-28,4.35,4.38,4.35,4.35,13200,0.0,0.0
1994-10-31,4.38,4.41,4.35,4.41,67200,0.0,0.0
1994-11-01,4.38,4.41,4.35,4.35,35600,0.0,0.0
1994-11-02,4.35,4.41,4.35,4.38,36800,0.0,0.0
1994-11-03,4.38,4.41,4.35,4.38,50900,0.0,0.0
