Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.58,0.56,0.58,18400,0.0,0.0
1980-03-18,0.0,0.58,0.56,0.56,3200,0.0,0.0
1980-03-19,0.0,0.61,0.58,0.58,8800,0.0,0.0
1980-03-20,0.0,0.6,0.58,0.58,9600,0.0,0.0
1980-03-21,0.0,0.58,0.56,0.56,12400,0.0,0.0
1980-03-24,0.0,0.58,0.56,0.58,35200,0.0,0.0
1980-03-25,0.0,0.58,0.54,0.54,10400,0.0,0.0
1980-03-26,0.0,0.58,0.54,0.54,56000,0.0,0.0
1980-03-27,0.0,0.52,0.52,0.52,35600,0.0,0.0
1980-03-28,0.0,0.56,0.52,0.56,20000,0.0,0.0
1980-03-31,0.0,0.58,0.56,0.56,10800,0.0,0.0
1980-04-01,0.0,0.58,0.58,0.58,3600,0.0,0.0
1980-04-02,0.0,0.58,0.56,0.58,8800,0.0,0.0
1980-04-03,0.0,0.6,0.56,0.58,16800,0.0,0.0
1980-04-07,0.0,0.6,0.52,0.52,54000,0.0,0.0
1980-04-08,0.0,0.54,0.52,0.54,3200,0.0,0.0
1980-04-09,0.0,0.56,0.54,0.56,13200,0.0,0.0
1980-04-10,0.0,0.56,0.54,0.56,22400,0.0,0.0
1980-04-11,0.0,0.56,0.54,0.56,70400,0.0,0.0
1980-04-14,0.0,0.56,0.5,0.54,72000,0.0,0.0
1980-04-15,0.0,0.54,0.52,0.52,9200,0.0,0.0
1980-04-16,0.0,0.54,0.52,0.52,14400,0.0,0.0
1980-04-17,0.0,0.54,0.5,0.5,379200,0.0,0.0
1980-04-18,0.0,0.52,0.52,0.52,12800,0.0,0.0
1980-04-21,0.0,0.54,0.52,0.54,18400,0.0,0.0
1980-04-22,0.0,0.54,0.52,0.54,28400,0.0,0.0
1980-04-23,0.0,0.56,0.54,0.56,41200,0.0,0.0
1980-04-24,0.0,0.56,0.54,0.54,22400,0.0,0.0
1980-04-25,0.0,0.56,0.54,0.56,26400,0.0,0.0
1980-04-28,0.0,0.56,0.54,0.54,10800,0.0,0.0
1980-04-29,0.0,0.54,0.52,0.52,7600,0.0,0.0
1980-04-30,0.0,0.54,0.52,0.54,10400,0.0,0.0
1980-05-01,0.0,0.56,0.54,0.56,17600,0.0,0.0
1980-05-02,0.0,0.58,0.56,0.58,60800,0.0,0.0
1980-05-05,0.0,0.58,0.56,0.58,48400,0.0,0.0
1980-05-06,0.0,0.58,0.56,0.56,18400,0.0,0.0
