Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-11-18,47.13,47.37,44.99,45.93,587100,0.0,0
2013-11-19,46.41,46.42,42.91,43.39,1682000,0.0,0
2013-11-20,43.56,43.58,41.67,42.3,1106900,0.0,0
2013-11-21,42.16,42.77,40.77,41.48,730200,0.0,0
2013-11-22,41.59,41.78,40.97,41.67,947600,0.0,0
2013-11-25,41.95,43.22,41.4,41.85,727300,0.0,0
2013-11-26,42.63,42.63,40.77,40.92,873700,0.0,0
2013-11-27,41.26,41.26,40.26,40.96,1153300,0.0,0
2013-11-29,40.5,41.54,40.5,40.96,949900,0.0,0
2013-12-02,40.81,41.37,39.33,40.87,5130700,0.0,0
2013-12-03,40.55,42.49,40.45,40.64,3239300,0.0,0
2013-12-04,40.2,40.37,39.46,39.63,2777700,0.0,0
2013-12-05,40.05,40.05,38.49,38.89,3380500,0.0,0
2013-12-06,38.6,38.9,38.5,38.56,4662300,0.0,0
2013-12-09,38.56,39.1,38.12,39.01,3074000,0.0,0
2013-12-10,38.91,40.58,38.88,40.32,3289400,0.0,0
2013-12-11,40.09,40.75,39.79,40.22,3367300,0.0,0
2013-12-12,39.8,40.83,39.79,40.71,1770500,0.0,0
2013-12-13,40.66,41.49,40.66,40.97,683800,0.0,0
2013-12-16,40.74,41.67,39.89,41.39,1953900,0.0,0
2013-12-17,41.14,41.68,40.89,41.45,1396700,0.0,0
2013-12-18,41.35,42.16,40.83,41.94,1225200,0.0,0
2013-12-19,41.64,42.16,41.51,42.11,593000,0.0,0
2013-12-20,41.97,42.11,41.6,41.93,2878600,0.0,0
2013-12-23,41.84,42.49,41.26,42.3,773600,0.0,0
2013-12-24,42.4,42.65,41.92,42.23,304700,0.0,0
2013-12-26,42.5,42.64,42.1,42.35,513200,0.0,0
2013-12-27,42.41,42.6,41.77,42.29,393300,0.0,0
2013-12-30,42.11,42.52,41.68,41.8,381500,0.0,0
2013-12-31,41.9,42.16,41.46,41.86,874200,0.0,0
2014-01-02,41.76,41.85,40.99,41.35,992900,0.0,0
2014-01-03,41.28,41.99,40.9,41.64,378400,0.0,0
2014-01-06,41.65,41.66,41.09,41.38,597800,0.0,0
2014-01-07,39.94,41.66,39.94,41.56,1371300,0.0,0
2014-01-08,41.7,42.02,41.11,41.57,1407100,0.0,0
2014-01-09,41.58,41.92,41.53,41.81,1093500,0.0,0
2014-01-10,41.84,43.65,41.7,43.32,2008600,0.0,0
2014-01-13,43.29,44.94,42.82,44.56,2278500,0.0,0
2014-01-14,44.68,45.37,44.44,45.28,2338200,0.0,0
2014-01-15,45.44,46.6,44.77,45.0,1733000,0.0,0
2014-01-16,44.79,45.17,44.56,44.9,1178700,0.0,0
2014-01-17,45.02,45.7,44.52,45.47,1572100,0.0,0
2014-01-21,46.78,46.78,45.41,45.63,1570400,0.0,0
2014-01-22,45.58,46.57,45.55,45.95,682200,0.0,0
2014-01-23,46.12,46.12,45.07,45.21,867600,0.0,0
2014-01-24,45.11,45.2,43.42,44.37,1417500,0.0,0
2014-01-27,42.82,45.47,42.82,44.15,717800,0.0,0
2014-01-28,44.31,45.36,44.31,45.22,721700,0.0,0
2014-01-29,44.86,45.93,44.65,45.26,800900,0.0,0
2014-01-30,45.39,47.02,45.31,46.82,1247100,0.0,0
2014-01-31,46.66,47.33,46.45,46.75,2011100,0.0,0
2014-02-03,46.75,47.31,44.71,44.94,1184800,0.0,0
2014-02-04,44.94,45.93,44.83,45.52,891300,0.0,0
2014-02-05,45.32,46.09,44.67,45.09,823100,0.0,0
2014-02-06,45.0,46.67,45.0,46.65,1168400,0.0,0
2014-02-07,46.73,47.62,46.73,47.31,1837500,0.0,0
2014-02-10,47.36,47.48,46.85,47.21,763400,0.0,0
2014-02-11,47.11,47.75,46.73,47.26,1446100,0.0,0
2014-02-12,47.29,48.31,47.11,47.37,1405300,0.0,0
2014-02-13,47.35,47.78,46.98,47.48,695000,0.0,0
2014-02-14,47.51,47.6,46.98,47.02,891700,0.0,0
2014-02-18,47.1,48.18,47.1,47.47,2748500,0.0,0
2014-02-19,47.21,47.69,46.45,46.57,1076100,0.0,0
2014-02-20,47.58,50.0,46.51,48.81,2623600,0.0,0
2014-02-21,49.02,50.01,49.02,49.61,2198700,0.0,0
2014-02-24,49.6,50.31,49.6,50.08,667900,0.0,0
2014-02-25,50.21,51.71,50.14,51.69,1117600,0.0,0
2014-02-26,51.94,52.84,51.33,51.78,1880100,0.0,0
2014-02-27,51.81,52.61,51.35,52.43,1139900,0.0,0
2014-02-28,52.19,52.41,50.99,51.49,1198500,0.0,0
2014-03-03,51.79,52.04,50.28,50.67,659600,0.0,0
2014-03-04,50.88,52.1,50.66,51.16,1189900,0.0,0
2014-03-05,51.06,51.45,50.57,51.11,395000,0.0,0
2014-03-06,51.15,51.25,50.25,50.39,617400,0.0,0
2014-03-07,50.63,50.95,49.82,50.58,776100,0.0,0
2014-03-10,50.4,50.84,49.49,50.48,1155300,0.0,0
2014-03-11,50.67,51.91,50.63,51.63,874700,0.0,0
2014-03-12,51.55,51.86,49.99,51.42,1255500,0.0,0
2014-03-13,51.67,51.9,50.41,50.85,946400,0.08,0
2014-03-14,50.87,51.18,50.52,50.57,1071800,0.0,0
2014-03-17,50.7,51.07,50.22,50.24,1011700,0.0,0
2014-03-18,50.24,50.75,50.01,50.55,880800,0.0,0
2014-03-19,50.45,51.23,50.21,50.55,645000,0.0,0
2014-03-20,50.67,51.44,50.11,51.39,628100,0.0,0
2014-03-21,51.59,52.0,50.98,51.05,1356800,0.0,0
2014-03-24,51.23,51.45,50.32,50.73,895600,0.0,0
2014-03-25,50.95,51.14,50.44,50.48,708000,0.0,0
2014-03-26,50.59,50.76,49.34,49.37,691100,0.0,0
2014-03-27,49.21,49.31,48.57,48.81,492900,0.0,0
2014-03-28,48.97,49.75,48.9,49.49,346100,0.0,0
2014-03-31,49.69,49.88,49.25,49.5,334600,0.0,0
2014-04-01,49.75,51.29,49.61,51.16,593600,0.0,0
2014-04-02,51.16,52.0,50.84,51.87,500500,0.0,0
2014-04-03,51.96,52.18,51.78,52.13,427900,0.0,0
2014-04-04,52.01,52.51,50.28,50.98,492000,0.0,0
2014-04-07,50.96,51.23,48.89,48.97,1054200,0.0,0
2014-04-08,48.71,49.13,48.2,48.77,1213700,0.0,0
2014-04-09,48.82,48.94,48.6,48.86,1212800,0.0,0
2014-04-10,48.88,49.13,47.55,48.08,1488500,0.0,0
2014-04-11,47.94,48.29,47.3,47.45,1184600,0.0,0
2014-04-14,47.7,48.02,46.66,47.22,605900,0.0,0
2014-04-15,47.32,47.84,46.42,47.4,419300,0.0,0
2014-04-16,47.59,48.12,47.28,47.65,254000,0.0,0
2014-04-17,47.5,47.95,46.9,47.58,427200,0.0,0
2014-04-21,47.42,48.05,47.06,48.03,225700,0.0,0
2014-04-22,48.11,48.53,47.78,48.39,422500,0.0,0
2014-04-23,48.28,48.35,47.42,47.82,507800,0.0,0
2014-04-24,48.02,48.18,47.17,47.66,659800,0.0,0
2014-04-25,47.39,47.81,46.84,47.0,290300,0.0,0
2014-04-28,47.28,47.51,45.97,46.32,605400,0.0,0
2014-04-29,46.45,46.9,45.98,46.39,442000,0.0,0
2014-04-30,46.49,46.92,45.96,46.82,481100,0.0,0
2014-05-01,48.39,49.2,46.94,48.62,722100,0.0,0
2014-05-02,48.56,49.09,47.67,48.1,479000,0.0,0
2014-05-05,47.7,47.93,47.03,47.49,413800,0.0,0
2014-05-06,47.39,47.59,47.01,47.33,596000,0.0,0
2014-05-07,47.33,47.74,46.81,47.37,598000,0.0,0
2014-05-08,47.06,47.82,46.59,46.83,530600,0.0,0
2014-05-09,46.68,47.59,46.17,47.44,489100,0.0,0
2014-05-12,47.48,48.23,47.48,47.89,586100,0.0,0
2014-05-13,47.91,48.12,47.75,47.89,638700,0.0,0
2014-05-14,47.72,47.84,47.19,47.24,470700,0.0,0
2014-05-15,46.98,47.19,45.52,45.81,738400,0.0,0
2014-05-16,45.84,46.9,45.68,46.75,719500,0.0,0
2014-05-19,46.77,47.78,46.74,47.64,653500,0.0,0
2014-05-20,47.31,47.95,47.2,47.91,1543600,0.0,0
2014-05-21,47.93,48.41,47.82,48.11,338500,0.0,0
2014-05-22,48.05,49.18,47.74,48.85,501100,0.0,0
2014-05-23,49.08,49.89,48.7,49.77,451800,0.0,0
2014-05-27,49.8,50.13,49.65,49.78,331600,0.0,0
2014-05-28,49.92,50.53,49.77,50.23,523700,0.0,0
2014-05-29,50.23,51.1,50.23,50.78,815600,0.0,0
2014-05-30,50.75,50.77,49.65,49.7,400300,0.0,0
2014-06-02,50.06,50.06,49.37,49.4,646500,0.0,0
2014-06-03,48.67,50.04,48.67,49.72,451900,0.0,0
2014-06-04,49.59,50.58,49.55,50.42,621100,0.0,0
2014-06-05,50.47,51.55,50.19,51.53,608900,0.0,0
2014-06-06,51.64,53.21,51.58,52.97,965400,0.0,0
2014-06-09,53.1,53.9,52.77,53.46,850400,0.0,0
2014-06-10,53.36,53.84,53.08,53.82,618100,0.0,0
2014-06-11,53.51,53.53,53.11,53.45,625600,0.0,0
2014-06-12,53.38,53.74,53.1,53.32,1780200,0.08,0
2014-06-13,53.45,53.45,53.11,53.29,545100,0.0,0
2014-06-16,53.14,54.5,53.05,54.28,634300,0.0,0
2014-06-17,54.04,54.78,53.3,54.39,1436700,0.0,0
2014-06-18,54.37,54.63,54.2,54.48,1901900,0.0,0
2014-06-19,54.47,54.86,53.24,54.41,875800,0.0,0
2014-06-20,54.29,54.9,54.04,54.74,1265000,0.0,0
2014-06-23,54.84,55.38,54.56,54.69,384500,0.0,0
2014-06-24,54.44,54.7,53.67,53.85,580300,0.0,0
2014-06-25,53.79,53.99,53.24,53.86,503900,0.0,0
2014-06-26,53.89,53.95,53.37,53.51,336500,0.0,0
2014-06-27,53.63,53.63,52.75,52.81,1105000,0.0,0
2014-06-30,52.75,53.92,52.65,53.85,609900,0.0,0
2014-07-01,53.94,54.59,53.94,54.21,424500,0.0,0
2014-07-02,54.15,54.98,54.15,54.51,484600,0.0,0
2014-07-03,54.59,54.86,54.17,54.31,138700,0.0,0
2014-07-07,54.19,54.19,53.15,53.24,274700,0.0,0
2014-07-08,53.24,53.24,52.24,52.74,424300,0.0,0
2014-07-09,52.73,53.23,52.6,52.83,342800,0.0,0
2014-07-10,52.11,53.09,51.89,52.82,496000,0.0,0
2014-07-11,52.89,53.63,52.67,53.23,269000,0.0,0
2014-07-14,53.3,53.75,52.84,53.19,426400,0.0,0
2014-07-15,53.06,53.38,52.52,52.83,306800,0.0,0
2014-07-16,53.0,53.31,52.39,52.66,417400,0.0,0
2014-07-17,52.3,52.42,51.48,51.56,408600,0.0,0
2014-07-18,51.64,52.26,51.41,52.15,300700,0.0,0
2014-07-21,52.05,52.3,51.84,52.03,265900,0.0,0
2014-07-22,52.4,52.81,51.98,52.16,242000,0.0,0
2014-07-23,52.18,52.34,51.4,51.73,362800,0.0,0
2014-07-24,51.7,52.69,51.58,52.23,412400,0.0,0
2014-07-25,51.9,52.49,51.67,52.35,473700,0.0,0
2014-07-28,52.35,52.36,50.66,50.9,513200,0.0,0
2014-07-29,50.85,51.17,49.8,49.83,582000,0.0,0
2014-07-30,49.93,51.27,49.81,50.98,799300,0.0,0
2014-07-31,48.36,50.1,47.44,48.86,1583400,0.0,0
2014-08-01,48.86,48.91,47.11,47.85,903900,0.0,0
2014-08-04,48.06,49.19,47.48,47.62,956900,0.0,0
2014-08-05,47.64,48.39,47.31,47.88,668400,0.0,0
2014-08-06,46.84,47.72,46.39,47.62,1078300,0.0,0
2014-08-07,47.98,48.1,47.12,47.38,622300,0.0,0
2014-08-08,47.43,48.19,47.43,48.08,850400,0.0,0
