Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1984-07-19,0.84,0.84,0.83,0.84,70200.0,0.0,0.0
1984-07-20,0.83,0.84,0.83,0.83,52600.0,0.0,0.0
1984-07-23,0.82,0.83,0.81,0.81,113400.0,0.0,0.0
1984-07-24,0.81,0.81,0.8,0.81,55300.0,0.0,0.0
1984-07-25,0.79,0.81,0.79,0.81,116100.0,0.0,0.0
1984-07-26,0.81,0.81,0.81,0.81,66100.0,0.0,0.0
1984-07-27,0.81,0.82,0.81,0.81,144400.0,0.0,0.0
1984-07-30,0.82,0.82,0.81,0.81,135000.0,0.0,0.0
1984-07-31,0.81,0.83,0.81,0.83,82300.0,0.0,0.0
1984-08-01,0.83,0.89,0.83,0.88,697900.0,0.0,0.0
1984-08-02,0.88,0.88,0.87,0.87,2164000.0,0.0,0.0
1984-08-03,0.87,0.91,0.87,0.91,783000.0,0.0,0.0
1984-08-06,0.93,0.94,0.88,0.91,909900.0,0.0,0.0
1984-08-07,0.91,0.96,0.9,0.95,523800.0,0.0,0.0
1984-08-08,0.96,0.99,0.96,0.96,1217700.0,0.0,0.0
1984-08-09,0.96,0.98,0.95,0.98,402300.0,0.0,0.0
1984-08-10,0.98,0.98,0.96,0.96,662800.0,0.0,0.0
1984-08-13,0.96,0.96,0.93,0.94,184900.0,0.0,0.0
1984-08-14,0.95,0.95,0.9,0.9,224100.0,0.0,0.0
1984-08-15,0.91,0.93,0.9,0.9,218700.0,0.0,0.0
1984-08-16,0.9,0.91,0.9,0.91,66100.0,0.0,0.0
1984-08-17,0.9,0.9,0.89,0.9,86400.0,0.0,0.0
1984-08-20,0.9,0.9,0.9,0.9,67500.0,0.0,0.0
1984-08-21,0.91,0.91,0.88,0.88,398200.0,0.0,0.0
1984-08-22,0.89,0.9,0.89,0.89,535900.0,0.0,0.0
1984-08-23,0.9,0.9,0.89,0.9,70200.0,0.0,0.0
1984-08-24,0.91,0.93,0.9,0.92,203800.0,0.0,0.0
1984-08-27,0.92,0.92,0.9,0.91,386100.0,0.0,0.0
1984-08-28,0.92,0.92,0.91,0.91,110700.0,0.0,0.0
1984-08-29,0.92,0.95,0.92,0.93,499500.0,0.0,0.0
1984-08-30,0.93,0.93,0.91,0.91,129600.0,0.0,0.0
1984-08-31,0.92,0.92,0.9,0.91,49900.0,0.0,0.0
1984-09-04,0.9,0.91,0.9,0.9,64800.0,0.0,0.0
1984-09-05,0.9,0.9,0.88,0.9,537300.0,0.0,0.0
1984-09-06,0.9,0.91,0.9,0.9,164700.0,0.0,0.0
1984-09-07,0.9,0.91,0.9,0.91,143100.0,0.0,0.0
1984-09-10,0.91,0.91,0.9,0.91,199800.0,0.01481,0.0
