Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-02-27,14.87,15.4,14.87,14.87,50000,0.0,0
1998-03-02,14.76,14.76,14.55,14.76,75000,0.0,0
1998-03-03,14.65,14.65,14.33,14.65,35000,0.0,0
1998-03-04,13.48,13.48,13.26,13.48,60000,0.0,0
1998-03-05,13.8,13.8,13.8,13.8,400,0.0,0
1998-03-06,13.8,14.01,13.8,13.8,3600,0.0,0
1998-03-09,13.8,14.12,13.58,13.58,3200,0.0,0
1998-03-10,13.58,14.44,13.58,13.9,56800,0.0,0
1998-03-11,13.9,14.12,13.8,13.9,10400,0.0,0
1998-03-12,13.9,14.01,13.8,14.01,3800,0.0,0
1998-03-13,14.12,14.12,14.12,14.12,1000,0.0,0
1998-03-16,14.12,14.12,13.8,13.8,7700,0.0,0
1998-03-17,13.8,13.8,13.48,13.58,28000,0.0,0
1998-03-18,13.58,13.8,13.48,13.8,45700,0.0,0
1998-03-19,13.8,14.87,13.69,14.65,383600,0.0,0
1998-03-20,14.76,15.19,14.76,15.19,275600,0.0,0
1998-03-23,15.19,16.26,14.87,16.15,398600,0.0,0
1998-03-24,16.15,17.01,16.15,16.9,261800,0.0,0
1998-03-25,16.9,17.22,16.69,17.01,135600,0.0,0
1998-03-26,17.01,17.01,16.47,16.79,26300,0.0,0
1998-03-27,16.79,16.9,15.72,16.47,62200,0.0,0
1998-03-30,16.47,17.01,16.47,17.01,49500,0.0,0
1998-03-31,17.01,17.33,17.01,17.22,79000,0.0,0
1998-04-01,17.22,17.65,17.11,17.54,150100,0.0,0
1998-04-02,18.61,20.0,18.61,19.89,140500,0.0,0
1998-04-03,19.89,22.35,18.61,21.18,458700,0.0,0
1998-04-06,21.18,22.25,19.68,20.54,105300,0.0,0
1998-04-07,20.54,20.54,18.93,18.93,152800,0.0,0
1998-04-08,18.93,19.68,17.97,19.25,45100,0.0,0
1998-04-09,19.25,19.68,19.04,19.68,151400,0.0,0
1998-04-13,19.68,19.89,19.15,19.36,85900,0.0,0
1998-04-14,19.36,19.68,19.25,19.47,322900,0.0,0
1998-04-15,19.47,19.57,18.4,18.61,23100,0.0,0
1998-04-16,18.61,18.61,17.86,18.18,55400,0.0,0
1998-04-17,18.18,18.5,17.97,18.5,15100,0.0,0
