Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-10-30,17.43,17.6,17.37,17.6,45441800,0.0,0.0
2001-10-31,17.69,18.29,17.65,18.02,11104400,0.0,0.0
2001-11-01,18.18,18.33,17.99,18.15,3901800,0.0,0.0
2001-11-02,18.1,18.55,18.08,18.46,4075000,0.0,0.0
2001-11-05,18.72,18.72,18.4,18.46,2763800,0.0,0.0
2001-11-06,18.48,19.07,18.14,18.96,3248200,0.0,0.0
2001-11-07,18.83,18.83,18.29,18.61,2675200,0.0,0.0
2001-11-08,18.51,18.55,18.08,18.38,3404000,0.0,0.0
2001-11-09,18.29,18.29,17.64,18.08,3291600,0.0,0.0
2001-11-12,18.08,18.44,17.95,18.44,973600,0.0,0.0
2001-11-13,18.68,18.68,18.3,18.4,1721800,0.0,0.0
2001-11-14,18.94,19.8,18.74,19.78,4213000,0.0,0.0
2001-11-15,19.67,20.12,19.56,20.12,2310400,0.0,0.0
2001-11-16,20.18,20.31,19.93,20.14,2176200,0.0,0.0
2001-11-19,20.12,20.47,19.97,20.44,2007200,0.0,0.0
2001-11-20,20.36,21.2,20.33,21.0,2803000,0.0,0.0
2001-11-21,20.96,21.39,20.83,21.09,2684000,0.0,0.0
2001-11-23,21.07,21.24,21.07,21.17,287800,0.0,0.0
2001-11-26,21.39,21.63,20.79,20.89,1917400,0.0,0.0
2001-11-27,21.0,21.45,20.77,20.92,1148000,0.0,0.0
2001-11-28,20.89,21.17,20.45,21.07,625200,0.0,0.0
2001-11-29,21.3,21.56,21.12,21.52,1136800,0.0,0.0
2001-11-30,21.56,21.95,21.43,21.88,2960200,0.0,0.0
2001-12-03,21.86,22.08,21.56,22.08,1270800,0.0,0.0
2001-12-04,22.1,22.16,21.73,22.16,794000,0.0,0.0
2001-12-05,22.29,22.34,20.96,21.03,1356200,0.0,0.0
2001-12-06,21.04,21.09,20.38,20.87,902600,0.0,0.0
2001-12-07,20.87,20.96,20.49,20.92,649600,0.0,0.0
2001-12-10,20.92,21.03,20.72,20.76,308000,0.0,0.0
2001-12-11,20.76,20.95,20.53,20.74,892800,0.0,0.0
2001-12-12,20.76,20.76,20.59,20.6,478800,0.0,0.0
2001-12-13,20.49,20.7,20.18,20.7,960600,0.0,0.0
2001-12-14,20.66,20.7,20.38,20.66,813600,0.0,0.0
2001-12-17,20.7,21.22,20.62,21.2,421200,0.0,0.0
2001-12-18,21.3,21.35,21.18,21.22,809200,0.0,0.0
2001-12-19,21.22,21.24,20.55,20.66,1473200,0.0,0.0
2001-12-20,20.55,20.66,20.14,20.18,1312000,0.0,0.0
2001-12-21,20.14,20.14,19.47,19.69,4283800,0.0,0.0
2001-12-24,19.69,19.78,19.62,19.62,900200,0.0,0.0
2001-12-26,19.73,20.0,19.73,19.9,1191600,0.0,0.0
2001-12-27,19.95,20.36,19.95,20.18,1925400,0.0,0.0
2001-12-28,20.21,20.87,20.21,20.87,1714800,0.0,0.0
2001-12-31,20.96,21.63,20.96,21.3,1792800,0.0,0.0
2002-01-02,21.38,21.38,20.96,21.0,1933000,0.0,0.0
2002-01-03,21.0,21.21,20.85,20.85,625600,0.0,0.0
2002-01-04,20.87,21.0,20.18,20.6,2318600,0.0,0.0
2002-01-07,20.6,20.63,20.23,20.24,1916400,0.0,0.0
2002-01-08,20.16,20.59,19.97,20.4,932000,0.0,0.0
2002-01-09,20.46,20.76,20.44,20.49,855000,0.0,0.0
2002-01-10,20.49,21.84,20.47,21.56,2550400,0.0,0.0
2002-01-11,21.56,22.29,21.48,22.16,1111800,0.0,0.0
2002-01-14,22.21,22.55,21.88,22.34,1364600,0.0,0.0
2002-01-15,22.25,22.25,21.26,21.82,1426800,0.0,0.0
2002-01-16,21.71,22.25,21.35,21.94,1721200,0.0,0.0
2002-01-17,21.95,21.97,21.52,21.65,912000,0.0,0.0
2002-01-18,21.54,21.95,21.44,21.94,1406000,0.0,0.0
2002-01-22,21.83,22.33,21.54,22.27,1613000,0.0,0.0
2002-01-23,22.12,22.75,22.12,22.49,1625400,0.0,0.0
2002-01-24,22.4,22.85,22.4,22.72,1846800,0.0,0.0
2002-01-25,22.81,23.28,22.74,23.19,1670400,0.0,0.0
2002-01-28,22.98,23.45,22.9,23.13,1404200,0.0,0.0
2002-01-29,22.83,23.13,22.79,22.9,1353400,0.0,0.0
2002-01-30,22.59,22.94,22.36,22.6,1301400,0.0,0.0
2002-01-31,22.64,22.9,22.29,22.9,2071800,0.0,0.0
2002-02-01,22.92,23.28,22.81,22.87,1569400,0.0,0.0
2002-02-04,22.8,22.81,22.12,22.46,1055200,0.0,0.0
2002-02-05,22.51,23.35,22.16,23.34,1731800,0.0,0.0
2002-02-06,24.32,24.94,23.9,24.32,5261000,0.0,0.0
2002-02-07,24.32,25.32,24.24,24.79,1815400,0.0,0.0
2002-02-08,24.85,24.97,24.69,24.83,1792800,0.0,0.0
2002-02-11,24.76,25.0,24.69,24.77,1503800,0.0,0.0
2002-02-12,24.53,24.57,24.34,24.49,2127000,0.0,0.0
2002-02-13,24.57,24.64,24.04,24.12,1555200,0.0,0.0
2002-02-14,24.19,24.42,23.99,24.28,1656000,0.0,0.0
2002-02-15,24.27,24.32,24.11,24.14,1526600,0.0,0.0
2002-02-19,24.1,24.13,23.0,23.4,2207200,0.0,0.0
2002-02-20,23.15,23.54,23.13,23.24,1516600,0.0,0.0
2002-02-21,23.22,24.34,23.11,23.91,1646000,0.0,0.0
2002-02-22,23.86,24.57,23.86,24.25,1305400,0.0,0.0
2002-02-25,24.19,24.75,24.13,24.55,1013000,0.0,0.0
2002-02-26,24.75,25.37,24.75,25.07,1992000,0.0,0.0
2002-02-27,25.0,25.18,24.79,24.95,2011200,0.0,0.0
2002-02-28,24.87,25.07,24.68,25.0,1878800,0.0,0.0
2002-03-01,24.9,24.98,24.83,24.98,1153000,0.0,0.0
