Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1979-05-15,1.35,1.36,1.33,1.35,22000,0.0,1.3333333333333333
1979-05-16,1.36,1.45,1.36,1.44,65600,0.0,0.0
1979-05-17,1.44,1.46,1.44,1.46,57200,0.0,0.0
1979-05-18,1.46,1.51,1.46,1.5,118600,0.0,0.0
1979-05-21,1.5,1.54,1.48,1.53,106200,0.0,0.0
1979-05-22,1.53,1.56,1.53,1.55,127000,0.0,0.0
1979-05-23,1.55,1.55,1.5,1.5,85400,0.0,0.0
1979-05-24,1.5,1.51,1.46,1.48,80200,0.0,0.0
1979-05-25,1.48,1.51,1.46,1.5,63200,0.0,0.0
1979-05-29,1.5,1.58,1.5,1.56,122800,0.0,0.0
1979-05-30,1.58,1.66,1.58,1.65,113600,0.0,0.0
1979-05-31,1.64,1.64,1.61,1.64,80200,0.0,0.0
1979-06-01,1.64,1.66,1.64,1.64,103000,0.0,0.0
1979-06-04,1.64,1.68,1.64,1.67,70600,0.0,0.0
1979-06-05,1.68,1.76,1.68,1.73,135800,0.0,0.0
1979-06-06,1.75,1.8,1.75,1.76,147800,0.0,0.0
1979-06-07,1.76,1.79,1.76,1.76,141400,0.0,0.0
1979-06-08,1.76,1.78,1.71,1.74,53200,0.0,0.0
1979-06-11,1.74,1.76,1.71,1.75,48600,0.0,0.0
1979-06-12,1.75,1.76,1.73,1.74,47800,0.0,0.0
1979-06-13,1.74,1.75,1.67,1.69,75600,0.0,0.0
1979-06-14,1.69,1.72,1.66,1.69,58200,0.0,0.0
1979-06-15,1.71,1.77,1.71,1.75,106800,0.0,0.0
1979-06-18,1.75,1.75,1.71,1.73,34600,0.0,0.0
1979-06-19,1.73,1.75,1.71,1.75,113600,0.0,0.0
1979-06-20,1.75,1.77,1.75,1.76,151800,0.0,0.0
1979-06-21,1.76,1.76,1.72,1.74,388800,0.0,0.0
1979-06-22,1.74,1.74,1.7,1.73,69800,0.0,0.0
1979-06-25,1.73,1.73,1.62,1.66,73400,0.0,0.0
1979-06-26,1.66,1.69,1.65,1.66,77000,0.0,0.0
1979-06-27,1.66,1.71,1.66,1.68,123800,0.0,0.0
1979-06-28,1.68,1.7,1.65,1.66,63200,0.0,0.0
1979-06-29,1.66,1.71,1.66,1.71,135200,0.0,0.0
1979-07-02,1.71,1.72,1.67,1.67,40200,0.0,0.0
1979-07-03,1.67,1.7,1.67,1.7,44800,0.0,0.0
1979-07-05,1.7,1.7,1.67,1.7,17800,0.0,0.0
1979-07-06,1.7,1.73,1.69,1.71,98400,0.0,0.0
1979-07-09,1.74,1.92,1.74,1.92,223200,0.0,0.0
1979-07-10,1.92,1.93,1.83,1.86,168600,0.0,0.0
1979-07-11,1.86,1.86,1.81,1.82,172600,0.0,0.0
1979-07-12,1.82,1.84,1.8,1.81,85400,0.0,0.0
1979-07-13,1.79,1.79,1.73,1.75,89400,0.0,0.0
1979-07-16,1.75,1.76,1.72,1.76,26200,0.0,0.0
1979-07-17,1.76,1.76,1.68,1.68,58200,0.0,0.0
1979-07-18,1.66,1.66,1.61,1.66,81800,0.0,0.0
1979-07-19,1.66,1.7,1.63,1.67,34600,0.0,0.0
1979-07-20,1.67,1.67,1.65,1.65,19800,0.0,0.0
1979-07-23,1.65,1.69,1.65,1.66,47800,0.0,0.0
1979-07-24,1.68,1.71,1.68,1.71,24000,0.0,0.0
1979-07-25,1.71,1.74,1.71,1.72,23600,0.0,0.0
1979-07-26,1.72,1.73,1.71,1.71,22000,0.0,0.0
1979-07-27,1.71,1.73,1.7,1.7,40200,0.0,0.0
1979-07-30,1.7,1.7,1.66,1.66,79000,0.0,0.0
1979-07-31,1.66,1.68,1.66,1.68,69400,0.0,0.0
1979-08-01,1.68,1.73,1.68,1.7,53200,0.0,0.0
1979-08-02,1.7,1.73,1.68,1.73,98400,0.0,0.0
