Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-05-28,8.63,8.94,8.63,8.79,1862700,0.0,0.0
1997-05-29,8.79,8.94,8.79,8.94,296800,0.0,0.0
1997-05-30,8.84,9.26,8.84,9.2,220400,0.0,0.0
1997-06-02,9.26,9.31,8.99,9.2,66800,0.0,0.0
1997-06-03,9.1,9.26,9.05,9.26,180000,0.0,0.0
1997-06-04,9.31,9.31,9.1,9.15,99900,0.0,0.0
1997-06-05,8.99,9.15,8.89,9.15,291600,0.0,0.0
1997-06-06,8.99,8.99,8.99,8.99,0,0.0,0.0
1997-06-09,8.99,8.99,8.99,8.99,0,0.0,0.0
1997-06-10,8.99,9.1,8.99,9.1,57600,0.0,0.0
1997-06-11,8.94,9.05,8.84,8.89,146600,0.0,0.0
1997-06-12,8.89,9.05,8.84,8.94,73300,0.0,0.0
1997-06-13,8.89,8.94,8.89,8.89,134200,0.0,0.0
1997-06-16,8.89,9.05,8.89,9.05,73200,0.0,0.0
1997-06-17,8.94,8.99,8.94,8.94,53300,0.0,0.0
1997-06-18,8.99,9.05,8.94,8.99,54100,0.0,0.0
1997-06-19,8.99,9.05,8.99,8.99,44100,0.0,0.0
1997-06-20,8.99,9.1,8.99,9.05,37800,0.0,0.0
1997-06-23,9.05,9.15,8.94,8.94,80800,0.0,0.0
1997-06-24,8.99,8.99,8.89,8.99,116000,0.0,0.0
1997-06-25,8.99,9.05,8.89,9.05,127400,0.0,0.0
1997-06-26,9.05,9.1,8.99,9.05,52100,0.0,0.0
1997-06-27,8.99,9.15,8.94,9.1,44500,0.0,0.0
1997-06-30,9.1,9.15,8.94,9.15,60300,0.0,0.0
1997-07-01,9.05,9.46,9.05,9.41,121300,0.0,0.0
1997-07-02,9.47,9.47,9.31,9.47,77300,0.1275,0.0
1997-07-03,9.52,9.57,9.41,9.57,46000,0.0,0.0
1997-07-07,9.57,9.68,9.52,9.57,122200,0.0,0.0
1997-07-08,9.57,9.57,9.41,9.57,50400,0.0,0.0
1997-07-09,9.57,9.62,9.47,9.57,97000,0.0,0.0
1997-07-10,9.57,9.62,9.52,9.57,99000,0.0,0.0
1997-07-11,9.57,9.62,9.36,9.62,136100,0.0,0.0
1997-07-14,9.62,10.04,9.62,9.89,106600,0.0,0.0
1997-07-15,9.78,10.1,9.78,9.99,85400,0.0,0.0
1997-07-16,10.1,10.2,9.99,10.1,68800,0.0,0.0
1997-07-17,9.99,10.15,9.94,10.04,53000,0.0,0.0
1997-07-18,9.99,10.04,9.99,10.04,126500,0.0,0.0
1997-07-21,10.04,10.1,9.99,10.1,111800,0.0,0.0
1997-07-22,10.1,10.1,9.99,10.1,38800,0.0,0.0
1997-07-23,10.1,10.2,10.04,10.2,180000,0.0,0.0
1997-07-24,10.1,10.15,10.1,10.1,47600,0.0,0.0
1997-07-25,10.15,10.2,10.1,10.2,25500,0.0,0.0
1997-07-28,10.2,10.31,10.15,10.2,96800,0.0,0.0
1997-07-29,10.2,10.26,10.1,10.26,19900,0.0,0.0
1997-07-30,10.26,10.36,10.26,10.31,59600,0.0,0.0
1997-07-31,10.36,10.52,10.36,10.36,83500,0.0,0.0
1997-08-01,10.41,10.52,10.36,10.41,18700,0.0,0.0
1997-08-04,10.36,10.83,10.36,10.83,25700,0.0,0.0
