Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-05-03,23.77,27.12,22.29,25.69,0,0.0,0.0
2007-05-04,26.28,32.26,26.22,30.69,283300,0.0,0.0
2007-05-07,31.18,31.66,27.02,28.08,121700,0.0,0.0
2007-05-08,28.08,29.1,26.58,27.48,60300,0.0,0.0
2007-05-09,27.6,29.39,27.48,28.49,39800,0.0,0.0
2007-05-10,28.55,28.67,27.31,27.38,38500,0.0,0.0
2007-05-11,27.48,28.67,27.48,27.78,15800,0.0,0.0
2007-05-14,27.96,30.88,27.96,29.45,59500,0.0,0.0
2007-05-15,29.45,29.99,28.79,28.91,13800,0.0,0.0
2007-05-16,28.91,29.26,28.08,29.11,14000,0.0,0.0
2007-05-17,28.73,28.73,27.96,27.96,13900,0.0,0.0
2007-05-18,28.6,29.07,27.97,28.36,11400,0.0,0.0
2007-05-21,28.61,30.46,28.29,28.61,27500,0.0,0.0
2007-05-22,28.79,28.79,28.08,28.24,15300,0.0,0.0
2007-05-23,28.37,30.44,28.31,29.57,27700,0.0,0.0
2007-05-24,30.76,33.44,30.46,32.73,82100,0.0,0.0
2007-05-25,33.09,36.02,33.09,35.94,82200,0.0,0.0
2007-05-29,36.86,36.9,35.06,35.84,48100,0.0,0.0
2007-05-30,34.05,38.62,32.5,35.54,111500,0.0,0.0
2007-05-31,37.56,38.37,34.97,35.23,57900,0.0,0.0
2007-06-01,34.35,35.24,33.48,35.24,28400,0.0,0.0
2007-06-04,35.24,35.77,34.47,35.47,27600,0.0,0.0
2007-06-05,35.27,35.84,34.05,34.94,71800,0.0,0.0
2007-06-06,34.94,35.18,34.05,34.35,14900,0.0,0.0
2007-06-07,34.25,34.35,31.47,32.82,26300,0.0,0.0
2007-06-08,32.85,33.22,32.02,32.39,17800,0.0,0.0
2007-06-11,32.26,32.26,29.87,30.08,15500,0.0,0.0
2007-06-12,30.37,30.57,27.55,29.22,88900,0.0,0.0
2007-06-13,29.75,31.06,28.67,29.01,25500,0.0,0.0
2007-06-14,30.02,30.88,29.16,30.45,23800,0.0,0.0
2007-06-15,30.82,31.42,30.29,30.3,13400,0.0,0.0
2007-06-18,30.56,31.05,28.68,30.12,23000,0.0,0.0
2007-06-19,29.8,30.93,29.74,30.74,14100,0.0,0.0
2007-06-20,30.81,32.02,30.57,30.72,14000,0.0,0.0
2007-06-21,30.99,33.45,30.82,32.26,37300,0.0,0.0
2007-06-22,32.85,33.45,30.46,30.46,44900,0.0,0.0
2007-06-25,30.67,30.88,29.63,30.66,13300,0.0,0.0
2007-06-26,30.66,30.67,29.69,30.37,8000,0.0,0.0
2007-06-27,30.35,30.35,29.27,29.96,9800,0.0,0.0
2007-06-28,30.03,30.03,29.28,29.57,9200,0.0,0.0
2007-06-29,29.47,29.49,28.67,28.9,15800,0.0,0.0
2007-07-02,28.67,30.11,28.6,29.92,24500,0.0,0.0
2007-07-03,29.87,30.14,29.59,29.64,2600,0.0,0.0
2007-07-05,29.58,29.76,28.46,28.67,18300,0.0,0.0
2007-07-06,28.71,28.71,27.07,27.11,47600,0.0,0.0
2007-07-09,27.24,27.99,27.0,27.24,22400,0.0,0.0
2007-07-10,27.63,27.63,27.13,27.27,6400,0.0,0.0
2007-07-11,27.25,27.27,26.39,26.57,23700,0.0,0.0
2007-07-12,26.87,26.87,24.72,25.39,65700,0.0,0.0
2007-07-13,25.39,26.74,25.39,26.38,38800,0.0,0.0
2007-07-16,26.1,27.18,25.63,26.59,36900,0.0,0.0
2007-07-17,27.0,27.0,26.28,26.46,11100,0.0,0.0
2007-07-18,26.47,26.52,25.49,26.4,20300,0.0,0.0
2007-07-19,26.71,26.8,25.7,26.28,5800,0.0,0.0
