Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-03-11,6.18,6.25,6.18,6.25,2359000,0.0,0.0
1994-03-14,6.21,6.21,6.18,6.18,536500,0.0,0.0
1994-03-15,6.18,6.21,6.18,6.18,215700,0.0,0.0
1994-03-16,6.18,6.4,6.18,6.4,338600,0.0,0.0
1994-03-17,6.4,6.4,6.25,6.33,195900,0.0,0.0
1994-03-18,6.33,6.33,6.21,6.29,285700,0.0,0.0
1994-03-21,6.29,6.29,6.25,6.25,38900,0.0,0.0
1994-03-22,6.25,6.25,6.21,6.21,78400,0.0,0.0
1994-03-23,6.21,6.44,6.21,6.36,209200,0.0,0.0
1994-03-24,6.33,6.33,6.29,6.29,155000,0.0,0.0
1994-03-25,6.29,6.33,6.29,6.29,91500,0.0,0.0
1994-03-28,6.29,6.33,6.25,6.33,111200,0.0,0.0
1994-03-29,6.33,6.33,6.18,6.18,101200,0.0,0.0
1994-03-30,6.18,6.21,6.1,6.14,105000,0.0,0.0
1994-03-31,6.14,6.18,6.14,6.18,108300,0.0,0.0
1994-04-04,6.1,6.1,5.99,6.03,42300,0.0,0.0
1994-04-05,6.06,6.25,6.06,6.21,55600,0.0,0.0
1994-04-06,6.21,6.25,6.21,6.25,31800,0.0,0.0
1994-04-07,6.25,6.29,6.21,6.21,52000,0.0,0.0
1994-04-08,6.21,6.21,6.14,6.14,24000,0.0,0.0
1994-04-11,6.14,6.18,6.1,6.1,44400,0.0,0.0
1994-04-12,6.1,6.14,6.06,6.14,15100,0.0,0.0
1994-04-13,6.14,6.14,6.1,6.1,30500,0.0,0.0
1994-04-14,6.1,6.14,6.1,6.1,38800,0.0,0.0
1994-04-15,6.1,6.14,6.03,6.03,12200,0.0,0.0
1994-04-18,6.03,6.1,6.03,6.03,39800,0.0,0.0
1994-04-19,6.06,6.1,6.06,6.06,24500,0.0,0.0
1994-04-20,6.06,6.06,6.03,6.06,72000,0.0,0.0
1994-04-21,6.06,6.1,6.06,6.06,15000,0.0,0.0
1994-04-22,6.06,6.14,6.03,6.14,20700,0.0,0.0
1994-04-25,6.14,6.14,6.06,6.06,27300,0.0,0.0
1994-04-26,6.1,6.14,6.1,6.14,64000,0.0,0.0
1994-04-28,6.14,6.21,6.14,6.18,27100,0.0,0.0
1994-04-29,6.18,6.18,6.14,6.14,5500,0.0,0.0
1994-05-02,6.14,6.18,6.14,6.18,11700,0.0,0.0
1994-05-03,6.18,6.18,6.1,6.14,29000,0.0,0.0
1994-05-04,6.14,6.14,6.06,6.06,39600,0.0,0.0
1994-05-05,6.06,6.1,6.03,6.1,7600,0.0,0.0
1994-05-06,6.1,6.1,5.99,6.03,13600,0.0,0.0
1994-05-09,6.03,6.06,6.03,6.06,3700,0.0,0.0
1994-05-10,6.06,6.06,6.03,6.06,75100,0.0,0.0
1994-05-11,6.06,6.1,6.03,6.06,81400,0.0,0.0
1994-05-12,6.06,6.1,6.06,6.06,7100,0.0,0.0
1994-05-13,6.06,6.1,6.06,6.06,14500,0.0,0.0
1994-05-16,6.06,6.1,6.03,6.06,12600,0.0,0.0
1994-05-17,6.06,6.1,6.03,6.03,13400,0.0,0.0
1994-05-18,6.03,6.1,6.03,6.1,6700,0.0,0.0
1994-05-19,6.1,6.14,6.1,6.14,36500,0.0,0.0
1994-05-20,6.14,6.21,6.14,6.14,26800,0.0,0.0
1994-05-23,6.18,6.29,6.18,6.29,36200,0.0,0.0
1994-05-24,6.29,6.4,6.25,6.4,116200,0.0,0.0
