Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-08-06,13.33,13.67,12.57,13.08,24197800,0.0,0
2009-08-07,13.05,13.54,12.95,13.28,2454300,0.0,0
2009-08-10,13.44,13.44,12.62,12.91,2421000,0.0,0
2009-08-11,12.91,12.93,12.53,12.66,2305400,0.0,0
2009-08-12,13.05,13.09,12.66,12.93,1451300,0.0,0
2009-08-13,12.93,13.51,12.93,13.37,1150600,0.0,0
2009-08-14,13.33,13.74,13.13,13.42,637800,0.0,0
2009-08-17,13.15,13.23,13.09,13.11,254400,0.0,0
2009-08-18,13.32,13.9,13.21,13.79,1446700,0.0,0
2009-08-19,13.61,14.5,13.58,14.46,2070800,0.0,0
2009-08-20,14.51,14.51,13.97,14.35,1882100,0.0,0
2009-08-21,14.38,14.52,14.21,14.4,863600,0.0,0
2009-08-24,14.16,14.43,13.98,14.14,1021600,0.0,0
2009-08-25,14.26,14.47,14.18,14.43,530800,0.0,0
2009-08-26,14.3,14.43,13.86,14.43,708600,0.0,0
2009-08-27,14.43,14.72,14.18,14.68,1161100,0.0,0
2009-08-28,14.63,15.35,14.55,14.93,1295000,0.0,0
2009-08-31,14.83,14.87,14.39,14.71,1004800,0.0,0
2009-09-01,14.75,14.9,13.69,14.43,1383500,0.0,0
2009-09-02,14.35,14.75,14.13,14.29,1293400,0.0,0
2009-09-03,14.52,14.52,13.74,14.1,3657700,0.0,0
2009-09-04,14.34,14.55,14.13,14.35,1158600,0.0,0
2009-09-08,14.35,14.49,14.1,14.3,574900,0.0,0
2009-09-09,14.43,14.43,13.92,13.95,551200,0.0,0
2009-09-10,13.75,14.11,13.7,13.78,415200,0.0,0
2009-09-11,13.74,14.01,13.37,13.64,620300,0.0,0
2009-09-14,13.45,13.66,13.18,13.46,1614500,0.0,0
2009-09-15,13.94,14.02,13.44,13.88,1986900,0.0,0
2009-09-16,14.06,14.34,13.83,14.21,2021100,0.0,0
2009-09-17,14.27,14.47,13.36,13.45,1446400,0.0,0
2009-09-18,13.39,13.75,13.08,13.09,899900,0.0,0
2009-09-21,13.16,13.44,12.83,13.42,553000,0.0,0
2009-09-22,13.71,14.04,13.59,13.94,1114100,0.0,0
2009-09-23,14.24,14.38,13.98,14.06,530300,0.0,0
2009-09-24,14.01,14.43,13.54,14.13,778800,0.0,0
2009-09-25,14.13,14.13,13.82,13.84,468500,0.0,0
2009-09-28,14.0,14.43,13.76,14.26,233600,0.0,0
2009-09-29,14.18,14.42,13.7,13.76,356700,0.0,0
2009-09-30,13.74,14.01,13.71,13.79,512600,0.0,0
2009-10-01,13.74,13.81,13.1,13.18,660500,0.0,0
2009-10-02,13.09,13.22,12.85,13.0,629600,0.0,0
2009-10-05,13.01,13.36,12.93,13.33,188900,0.0,0
2009-10-06,13.53,13.9,13.29,13.31,469400,0.0,0
2009-10-07,13.39,13.42,12.87,13.04,291700,0.0,0
2009-10-08,13.02,13.08,12.88,12.94,557300,0.0,0
2009-10-09,12.91,13.29,12.88,13.13,870500,0.0,0
2009-10-12,13.11,13.29,12.96,13.2,1288800,0.0,0
2009-10-13,13.08,13.47,13.05,13.36,557300,0.0,0
2009-10-14,13.61,13.74,13.37,13.63,695500,0.0,0
2009-10-15,14.06,14.51,13.82,13.87,2092000,0.0,0
2009-10-16,13.92,13.92,13.1,13.28,1263800,0.0,0
2009-10-19,13.3,13.45,12.98,13.12,2142900,0.0,0
2009-10-20,13.2,13.52,13.15,13.36,489000,0.0,0
2009-10-21,13.23,13.67,13.02,13.33,233800,0.0,0
2009-10-22,13.2,13.2,12.62,13.16,983400,0.0,0
2009-10-23,13.04,13.26,12.87,12.97,1134100,0.0,0
2009-10-26,12.86,13.03,12.78,12.8,162400,0.0,0
2009-10-27,12.89,12.92,12.33,12.49,328800,0.0,0
2009-10-28,12.53,12.53,12.03,12.07,622000,0.0,0
2009-10-29,12.08,12.28,11.9,12.15,1183300,0.0,0
2009-10-30,12.2,12.28,12.02,12.12,278100,0.0,0
2009-11-02,12.2,12.2,11.9,12.02,276600,0.0,0
2009-11-03,11.86,11.98,11.67,11.71,363700,0.0,0
2009-11-04,11.8,12.32,11.58,11.94,805300,0.0,0
2009-11-05,12.14,12.72,12.0,12.38,274100,0.0,0
2009-11-06,12.38,12.68,12.02,12.36,257500,0.0,0
2009-11-09,12.33,12.72,12.19,12.66,252900,0.0,0
2009-11-10,12.68,12.68,12.27,12.49,146800,0.0,0
2009-11-11,12.55,12.55,12.22,12.41,153500,0.0,0
2009-11-12,12.45,12.89,12.45,12.61,130000,0.0,0
2009-11-13,12.62,12.73,12.45,12.59,62100,0.0,0
2009-11-16,12.63,13.1,12.55,12.94,155600,0.0,0
2009-11-17,12.79,13.08,12.59,12.99,98500,0.0,0
2009-11-18,13.05,13.05,12.78,12.95,115500,0.0,0
2009-11-19,12.8,12.84,12.32,12.58,116600,0.0,0
2009-11-20,12.57,12.65,12.37,12.48,423700,0.0,0
2009-11-23,12.56,12.62,12.24,12.28,465300,0.0,0
2009-11-24,12.2,12.39,12.13,12.33,522800,0.0,0
2009-11-25,12.43,12.91,12.41,12.53,135300,0.0,0
2009-11-27,12.23,12.83,12.17,12.82,61600,0.0,0
2009-11-30,12.83,12.92,12.32,12.82,276500,0.0,0
2009-12-01,12.85,13.2,12.85,12.9,417800,0.0,0
2009-12-02,12.95,13.02,12.43,12.62,846500,0.0,0
2009-12-03,12.59,12.88,12.59,12.87,507900,0.0,0
2009-12-04,13.25,13.5,12.61,13.35,946800,0.0,0
2009-12-07,13.33,13.68,13.33,13.63,308400,0.0,0
2009-12-08,13.42,13.71,13.37,13.54,249500,0.0,0
2009-12-09,13.42,13.58,13.2,13.58,96700,0.0,0
2009-12-10,13.58,13.73,13.54,13.55,255500,0.0,0
2009-12-11,13.49,13.5,13.3,13.4,77400,0.0,0
2009-12-14,13.53,13.66,13.49,13.62,224800,0.0,0
2009-12-15,13.62,13.66,13.5,13.53,140400,0.0,0
2009-12-16,13.64,13.84,13.53,13.74,315700,0.0,0
2009-12-17,13.67,13.72,13.04,13.18,149000,0.0,0
2009-12-18,13.17,13.58,13.12,13.25,417800,0.0,0
2009-12-21,13.57,13.62,13.22,13.33,144300,0.0,0
2009-12-22,13.33,13.52,13.12,13.52,312700,0.0,0
2009-12-23,13.54,13.61,13.46,13.56,223500,0.0,0
2009-12-24,13.51,13.74,13.51,13.56,30800,0.0,0
2009-12-28,13.54,14.38,13.54,14.05,795400,0.0,0
2009-12-29,14.16,14.29,14.06,14.17,227600,0.0,0
2009-12-30,13.99,14.37,13.99,14.3,302500,0.0,0
