Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-06-01,0.4,0.4,0.4,0.4,0,0.0,0.0
1972-06-02,0.4,0.4,0.4,0.4,0,0.0,0.0
1972-06-05,0.39,0.39,0.39,0.39,0,0.0,0.0
1972-06-06,0.37,0.37,0.37,0.37,0,0.0,0.0
1972-06-07,0.37,0.37,0.37,0.37,0,0.0,0.0
1972-06-08,0.38,0.38,0.38,0.38,0,0.0,0.0
1972-06-09,0.38,0.38,0.38,0.38,0,0.0,0.0
1972-06-12,0.38,0.38,0.38,0.38,0,0.0,0.0
1972-06-13,0.38,0.38,0.38,0.38,0,0.0,0.0
1972-06-14,0.38,0.38,0.38,0.38,0,0.0,0.0
1972-06-15,0.37,0.37,0.37,0.37,0,0.0,0.0
1972-06-16,0.37,0.37,0.37,0.37,0,0.0,0.0
1972-06-19,0.37,0.37,0.37,0.37,0,0.0,0.0
1972-06-20,0.37,0.37,0.37,0.37,0,0.0,0.0
1972-06-21,0.38,0.38,0.38,0.38,0,0.0,0.0
1972-06-22,0.38,0.38,0.38,0.38,0,0.0,0.0
1972-06-23,0.36,0.36,0.36,0.36,0,0.0,0.0
1972-06-26,0.35,0.35,0.35,0.35,0,0.0,0.0
1972-06-27,0.37,0.37,0.37,0.37,0,0.0,0.0
1972-06-28,0.37,0.37,0.37,0.37,0,0.0,0.0
1972-06-29,0.38,0.38,0.38,0.38,0,0.0,0.0
1972-06-30,0.39,0.39,0.39,0.39,0,0.0,0.0
1972-07-03,0.41,0.41,0.41,0.41,0,0.0,0.0
1972-07-05,0.42,0.42,0.42,0.42,0,0.0,0.0
1972-07-06,0.42,0.42,0.42,0.42,0,0.0,0.0
1972-07-07,0.42,0.42,0.42,0.42,0,0.0,0.0
1972-07-10,0.41,0.41,0.41,0.41,0,0.0,0.0
1972-07-11,0.41,0.41,0.41,0.41,0,0.0,0.0
1972-07-12,0.41,0.41,0.41,0.41,0,0.0,0.0
1972-07-13,0.4,0.4,0.4,0.4,0,0.0,0.0
1972-07-14,0.4,0.4,0.4,0.4,0,0.0,0.0
1972-07-17,0.39,0.39,0.39,0.39,0,0.0,0.0
1972-07-18,0.4,0.4,0.4,0.4,0,0.0,0.0
1972-07-19,0.4,0.4,0.4,0.4,0,0.0,0.0
1972-07-20,0.38,0.38,0.38,0.38,0,0.0,0.0
1972-07-21,0.39,0.39,0.39,0.39,0,0.0,0.0
1972-07-24,0.39,0.39,0.39,0.39,0,0.0,0.0
1972-07-25,0.39,0.39,0.39,0.39,0,0.0,0.0
1972-07-26,0.39,0.39,0.39,0.39,0,0.0,0.0
1972-07-27,0.39,0.39,0.39,0.39,0,0.0,0.0
1972-07-28,0.39,0.39,0.39,0.39,0,0.0,0.0
1972-07-31,0.39,0.39,0.39,0.39,0,0.0,0.0
1972-08-01,0.4,0.4,0.4,0.4,0,0.0,0.0
1972-08-02,0.42,0.42,0.42,0.42,0,0.0,0.0
1972-08-03,0.43,0.43,0.43,0.43,0,0.0,0.0
1972-08-04,0.43,0.43,0.43,0.43,0,0.0,0.0
1972-08-07,0.43,0.43,0.43,0.43,0,0.0,0.0
1972-08-08,0.43,0.43,0.43,0.43,0,0.0,0.0
1972-08-09,0.43,0.43,0.43,0.43,0,0.0,0.0
1972-08-10,0.44,0.44,0.44,0.44,0,0.0,0.0
1972-08-11,0.44,0.44,0.44,0.44,0,0.0,0.0
1972-08-14,0.44,0.44,0.44,0.44,0,0.0,0.0
1972-08-15,0.43,0.43,0.43,0.43,0,0.0,0.0
1972-08-16,0.43,0.43,0.43,0.43,0,0.0,0.0
