Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.0,0.44,0.43,0.43,737600,0.0,0.0
1973-02-22,0.0,0.44,0.43,0.43,176000,0.0,0.0
1973-02-23,0.0,0.44,0.43,0.44,182400,0.0,0.0
1973-02-26,0.0,0.44,0.44,0.44,273600,0.0,0.0
1973-02-27,0.0,0.44,0.42,0.42,478400,0.0,0.0
1973-02-28,0.0,0.44,0.43,0.44,296000,0.02188,0.0
1973-03-01,0.0,0.44,0.43,0.43,160000,0.0,0.0
1973-03-02,0.0,0.44,0.42,0.44,350400,0.0,0.0
1973-03-05,0.0,0.45,0.44,0.44,60800,0.0,0.0
1973-03-06,0.0,0.45,0.44,0.45,185600,0.0,0.0
1973-03-07,0.0,0.45,0.45,0.45,366400,0.0,0.0
1973-03-08,0.0,0.46,0.45,0.46,539200,0.0,0.0
1973-03-09,0.0,0.46,0.45,0.45,96000,0.0,0.0
1973-03-12,0.0,0.45,0.45,0.45,64000,0.0,0.0
1973-03-13,0.0,0.45,0.45,0.45,278400,0.0,0.0
1973-03-14,0.0,0.46,0.45,0.45,123200,0.0,0.0
1973-03-15,0.0,0.46,0.46,0.46,100800,0.0,0.0
1973-03-16,0.0,0.45,0.44,0.44,344000,0.0,0.0
1973-03-19,0.0,0.45,0.43,0.43,104000,0.0,0.0
1973-03-20,0.0,0.44,0.43,0.43,89600,0.0,0.0
1973-03-21,0.0,0.44,0.43,0.43,144000,0.0,0.0
1973-03-22,0.0,0.42,0.42,0.42,220800,0.0,0.0
1973-03-23,0.0,0.42,0.42,0.42,132800,0.0,0.0
1973-03-26,0.0,0.43,0.42,0.42,190400,0.0,0.0
1973-03-27,0.0,0.43,0.43,0.43,83200,0.0,0.0
1973-03-28,0.0,0.44,0.43,0.43,91200,0.0,0.0
1973-03-29,0.0,0.43,0.43,0.43,155200,0.0,0.0
1973-03-30,0.0,0.44,0.43,0.43,57600,0.0,0.0
1973-04-02,0.0,0.43,0.43,0.43,112000,0.0,0.0
1973-04-03,0.0,0.43,0.42,0.42,160000,0.0,0.0
1973-04-04,0.0,0.43,0.43,0.43,81600,0.0,0.0
1973-04-05,0.0,0.43,0.42,0.42,132800,0.0,0.0
1973-04-06,0.0,0.43,0.42,0.42,268800,0.0,0.0
1973-04-09,0.0,0.43,0.42,0.43,144000,0.0,0.0
1973-04-10,0.0,0.44,0.43,0.44,440000,0.0,0.0
1973-04-11,0.0,0.44,0.43,0.44,246400,0.0,0.0
1973-04-12,0.0,0.45,0.44,0.45,232000,0.0,0.0
1973-04-13,0.0,0.45,0.44,0.45,235200,0.0,0.0
1973-04-16,0.0,0.45,0.44,0.44,46400,0.0,0.0
1973-04-17,0.0,0.45,0.44,0.45,121600,0.0,0.0
1973-04-18,0.0,0.45,0.44,0.45,76800,0.0,0.0
1973-04-19,0.0,0.45,0.44,0.45,275200,0.0,0.0
1973-04-23,0.0,0.45,0.45,0.45,107200,0.0,0.0
1973-04-24,0.0,0.45,0.42,0.43,369600,0.0,0.0
1973-04-25,0.0,0.43,0.41,0.41,208000,0.0,0.0
1973-04-26,0.0,0.43,0.41,0.43,257600,0.0,0.0
1973-04-27,0.0,0.43,0.42,0.42,164800,0.0,0.0
1973-04-30,0.0,0.42,0.41,0.42,156800,0.0,0.0
1973-05-01,0.0,0.43,0.42,0.42,139200,0.0,0.0
1973-05-02,0.0,0.44,0.43,0.44,233600,0.0,0.0
1973-05-03,0.0,0.43,0.43,0.43,342400,0.0,0.0
1973-05-04,0.0,0.44,0.43,0.44,448000,0.0,0.0
1973-05-07,0.0,0.45,0.44,0.45,190400,0.0,0.0
1973-05-08,0.0,0.45,0.44,0.45,126400,0.0,0.0
1973-05-09,0.0,0.46,0.45,0.45,139200,0.0,0.0
1973-05-10,0.0,0.46,0.45,0.45,288000,0.0,0.0
1973-05-11,0.0,0.45,0.44,0.44,236800,0.0,0.0
1973-05-14,0.0,0.44,0.42,0.42,204800,0.0,0.0
1973-05-15,0.0,0.43,0.41,0.42,302400,0.0,0.0
1973-05-16,0.0,0.43,0.42,0.43,104000,0.0,0.0
1973-05-17,0.0,0.43,0.42,0.42,84800,0.0,0.0
1973-05-18,0.0,0.43,0.42,0.42,148800,0.0,0.0
1973-05-21,0.0,0.42,0.41,0.42,270400,0.0,0.0
1973-05-22,0.0,0.43,0.41,0.41,155200,0.0,0.0
1973-05-23,0.0,0.43,0.42,0.43,108800,0.0,0.0
1973-05-24,0.0,0.45,0.43,0.45,171200,0.0,0.0
1973-05-25,0.0,0.46,0.45,0.46,267200,0.0,0.0
1973-05-29,0.0,0.46,0.45,0.45,102400,0.0,0.0
1973-05-30,0.0,0.44,0.43,0.43,177600,0.0,0.0
1973-05-31,0.0,0.43,0.43,0.43,556800,0.0,0.0
1973-06-01,0.0,0.43,0.42,0.42,569600,0.0,0.0
1973-06-04,0.0,0.42,0.41,0.41,297600,0.0,0.0
1973-06-05,0.0,0.41,0.4,0.41,236800,0.0,0.0
1973-06-06,0.0,0.42,0.4,0.4,134400,0.0,0.0
1973-06-07,0.0,0.41,0.39,0.39,152000,0.0,0.0
1973-06-08,0.0,0.41,0.4,0.4,108800,0.0,0.0
1973-06-11,0.0,0.42,0.4,0.41,233600,0.0,0.0
1973-06-12,0.0,0.43,0.42,0.42,60800,0.0,0.0
1973-06-13,0.0,0.43,0.42,0.43,238400,0.0,0.0
1973-06-14,0.0,0.43,0.42,0.42,46400,0.0,0.0
1973-06-15,0.0,0.42,0.42,0.42,65600,0.0,0.0
1973-06-18,0.0,0.42,0.42,0.42,118400,0.0,0.0
1973-06-19,0.0,0.42,0.39,0.39,280000,0.0,0.0
1973-06-20,0.0,0.4,0.4,0.4,108800,0.0,0.0
1973-06-21,0.0,0.4,0.39,0.39,150400,0.0,0.0
1973-06-22,0.0,0.4,0.39,0.39,190400,0.0,0.0
1973-06-25,0.0,0.39,0.38,0.38,241600,0.0,0.0
1973-06-26,0.0,0.39,0.38,0.39,84800,0.0,0.0
1973-06-27,0.0,0.39,0.39,0.39,56000,0.0,0.0
1973-06-28,0.0,0.4,0.39,0.39,108800,0.0,0.0
1973-06-29,0.0,0.4,0.39,0.4,99200,0.0,0.0
1973-07-02,0.0,0.39,0.38,0.38,70400,0.0,0.0
1973-07-03,0.0,0.38,0.38,0.38,83200,0.0,0.0
1973-07-05,0.0,0.39,0.38,0.39,38400,0.0,0.0
1973-07-06,0.0,0.38,0.38,0.38,104000,0.0,0.0
1973-07-09,0.0,0.39,0.38,0.38,136000,0.0,0.0
