Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-02-27,2.55,2.55,2.55,2.55,0,0,0.0
1980-02-28,2.55,2.55,2.55,2.55,0,0,0.0
1980-02-29,2.65,2.66,2.65,2.66,2600,0,0.0
1980-03-03,2.66,2.66,2.66,2.66,0,0,0.0
1980-03-04,2.6,2.6,2.55,2.56,2600,0,0.0
1980-03-05,2.56,2.56,2.56,2.56,0,0,0.0
1980-03-06,2.56,2.56,2.56,2.56,0,0,0.0
1980-03-07,2.13,2.13,2.13,2.13,1200,0,0.0
1980-03-10,2.14,2.14,2.14,2.14,0,0,0.0
1980-03-11,2.14,2.16,2.13,2.13,1200,0,0.0
1980-03-12,2.06,2.06,2.06,2.06,0,0,0.0
1980-03-13,2.06,2.1,2.03,2.03,3800,0,0.0
1980-03-14,2.03,2.03,2.03,2.03,0,0,0.0
1980-03-17,2.03,2.03,2.0,2.0,2600,0,0.0
1980-03-18,2.0,2.0,2.0,2.0,0,0,2.0
1980-03-19,1.93,1.93,1.93,1.93,2600,0,0.0
1980-03-20,1.93,1.93,1.93,1.93,0,0,0.0
1980-03-21,1.87,1.87,1.87,1.87,1200,0,0.0
1980-03-24,1.87,1.89,1.81,1.83,5400,0,0.0
1980-03-25,1.83,1.87,1.83,1.83,9800,0,0.0
1980-03-26,1.83,1.85,1.83,1.85,12600,0,0.0
1980-03-27,1.81,1.81,1.8,1.8,2600,0,0.0
1980-03-28,1.8,1.81,1.8,1.81,2600,0,0.0
1980-03-31,1.81,1.81,1.78,1.8,6600,0,0.0
1980-04-01,1.78,1.78,1.78,1.78,0,0,0.0
1980-04-02,1.8,1.8,1.8,1.8,0,0,0.0
1980-04-03,1.8,1.8,1.8,1.8,7200,0,0.0
1980-04-07,1.78,1.78,1.78,1.78,6600,0,0.0
1980-04-08,1.74,1.74,1.74,1.74,1200,0,0.0
1980-04-09,1.74,1.74,1.74,1.74,0,0,0.0
1980-04-10,1.69,1.69,1.69,1.69,0,0,0.0
1980-04-11,1.69,1.76,1.69,1.69,5400,0,0.0
1980-04-14,1.69,1.69,1.63,1.63,5400,0,0.0
1980-04-15,1.67,1.67,1.67,1.67,2600,0,0.0
1980-04-16,1.67,1.69,1.63,1.69,16200,0,0.0
1980-04-17,1.67,1.67,1.63,1.67,12600,0,0.0
1980-04-18,1.67,1.69,1.67,1.69,13400,0,0.0
1980-04-21,1.7,1.7,1.7,1.7,13400,0,0.0
1980-04-22,1.7,1.8,1.69,1.76,460200,0,0.0
1980-04-23,1.76,1.78,1.7,1.76,108200,0,0.0
1980-04-24,1.76,1.83,1.76,1.8,131400,0,0.0
1980-04-25,1.8,1.8,1.74,1.8,43200,0,0.0
1980-04-28,1.8,1.83,1.8,1.81,51200,0,0.0
1980-04-29,1.81,1.87,1.81,1.87,48600,0,0.0
1980-04-30,1.87,1.87,1.83,1.83,32400,0,0.0
1980-05-01,1.83,1.89,1.83,1.87,51600,0,0.0
1980-05-02,1.87,1.89,1.83,1.89,32400,0,0.0
1980-05-05,1.89,1.94,1.85,1.94,37800,0,0.0
1980-05-06,1.94,2.0,1.94,2.0,48600,0,0.0
1980-05-07,2.0,2.07,2.0,2.07,45000,0,0.0
1980-05-08,2.07,2.11,2.02,2.02,63800,0,0.0
1980-05-09,2.02,2.02,1.96,2.02,31400,0,0.0
