Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-04-02,14.86,14.86,14.2,14.72,9470300,0.0,0
2007-04-03,14.7,14.71,13.95,14.39,7892900,0.0,0
2007-04-04,14.35,14.45,14.18,14.27,4738000,0.0,0
2007-04-05,14.15,14.94,14.11,14.62,4602900,0.0,0
2007-04-09,14.76,14.76,14.26,14.38,3600900,0.0,0
2007-04-10,14.09,14.67,14.03,14.5,3130800,0.0,0
2007-04-11,14.52,15.13,14.3,14.42,3356100,0.0,0
2007-04-12,14.38,14.54,14.25,14.48,2666300,0.0,0
2007-04-13,15.13,15.13,14.41,14.77,2980900,0.0,0
2007-04-16,14.8,15.01,14.8,14.98,1455800,0.0,0
2007-04-17,14.67,15.53,14.56,15.41,1567200,0.0,0
2007-04-18,15.26,15.63,15.06,15.6,1958200,0.0,0
2007-04-19,15.24,16.19,15.22,15.95,1890100,0.0,0
2007-04-20,16.12,16.42,15.84,15.9,2671300,0.0,0
2007-04-23,15.75,15.92,15.49,15.62,1531800,0.0,0
2007-04-24,15.62,15.62,15.47,15.55,1752700,0.0,0
2007-04-25,15.55,15.59,15.25,15.28,1029600,0.0,0
2007-04-26,14.92,15.19,14.86,15.13,1193200,0.0,0
2007-04-27,15.09,15.29,14.94,15.25,734500,0.0,0
2007-04-30,15.24,15.24,15.06,15.12,1581800,0.0,0
2007-05-01,15.06,15.17,14.98,15.12,1468800,0.0,0
2007-05-02,15.07,15.17,14.98,15.1,1460100,0.0,0
2007-05-03,15.13,15.42,15.1,15.31,1243100,0.0,0
2007-05-04,15.24,15.84,15.19,15.68,1242300,0.0,0
2007-05-07,15.66,15.87,15.48,15.85,1482300,0.0,0
2007-05-08,15.54,16.08,15.5,16.05,1294300,0.0,0
2007-05-09,15.93,16.48,15.9,16.14,2454100,0.0,0
2007-05-10,15.99,16.26,15.8,15.93,1278800,0.0,0
2007-05-11,15.94,16.18,15.92,16.17,468300,0.0,0
2007-05-14,16.09,16.11,15.93,16.08,661100,0.0,0
2007-05-15,16.08,16.15,15.72,15.72,1811800,0.0,0
2007-05-16,15.62,15.62,15.41,15.47,1595900,0.0,0
2007-05-17,15.18,15.64,15.16,15.58,893700,0.0,0
2007-05-18,15.54,15.65,15.31,15.44,1201800,0.0,0
2007-05-21,15.42,15.5,15.37,15.47,3019200,0.0,0
2007-05-22,15.56,15.56,15.35,15.38,1490500,0.0,0
2007-05-23,15.37,15.47,15.12,15.35,1014700,0.0,0
2007-05-24,15.1,15.34,15.09,15.1,1404600,0.0,0
2007-05-25,15.1,15.2,15.05,15.09,624200,0.0,0
2007-05-29,14.75,15.13,14.75,15.09,639000,0.0,0
2007-05-30,14.95,15.12,14.9,15.07,1165000,0.0,0
2007-05-31,15.08,15.28,15.01,15.27,953500,0.0,0
2007-06-01,15.32,15.41,14.9,15.04,886100,0.0,0
2007-06-04,14.85,15.09,14.83,14.98,967300,0.0,0
2007-06-05,14.9,15.15,14.82,15.04,847000,0.0,0
2007-06-06,14.92,14.94,14.55,14.67,1072800,0.0,0
2007-06-07,14.55,14.68,14.27,14.31,1127400,0.0,0
2007-06-08,14.33,14.47,14.27,14.44,627600,0.0,0
2007-06-11,14.38,14.57,14.33,14.54,2175300,0.0,0
2007-06-12,14.45,14.7,14.45,14.58,994400,0.0,0
2007-06-13,14.73,14.82,14.59,14.64,829700,0.06,0
2007-06-14,14.61,14.7,14.5,14.59,629800,0.0,0
2007-06-15,14.67,14.82,14.64,14.75,732300,0.0,0
2007-06-18,14.81,14.81,14.59,14.7,810700,0.0,0
2007-06-19,14.58,14.79,14.44,14.45,1422600,0.0,0
2007-06-20,14.39,14.48,14.37,14.46,1922200,0.0,0
2007-06-21,14.39,14.73,14.38,14.71,1592800,0.0,0
2007-06-22,14.7,15.14,14.7,15.06,1826000,0.0,0
2007-06-25,14.99,15.23,14.92,15.23,2052100,0.0,0
2007-06-26,15.32,15.32,14.95,15.06,1435300,0.0,0
2007-06-27,14.99,15.14,14.82,14.98,1720900,0.0,0
2007-06-28,14.99,15.01,14.54,14.69,1430600,0.0,0
2007-06-29,14.67,14.83,14.45,14.47,1323100,0.0,0
2007-07-02,14.55,14.67,14.45,14.64,848600,0.0,0
2007-07-03,14.61,15.02,14.57,14.92,322700,0.0,0
2007-07-05,14.99,15.01,14.76,14.83,669000,0.0,0
2007-07-06,14.78,15.07,14.78,14.95,492000,0.0,0
2007-07-09,14.95,15.48,14.73,15.39,1492100,0.0,0
2007-07-10,15.28,15.37,14.95,14.98,925900,0.0,0
2007-07-11,14.92,14.95,14.72,14.82,606100,0.0,0
2007-07-12,14.91,15.17,14.91,15.15,1520600,0.0,0
2007-07-13,15.19,15.35,14.98,15.05,475600,0.0,0
2007-07-16,15.01,15.32,14.98,15.28,566900,0.0,0
2007-07-17,15.21,15.51,15.15,15.24,873900,0.0,0
2007-07-18,15.15,15.29,15.02,15.17,1002700,0.0,0
2007-07-19,14.91,15.48,14.91,15.34,828100,0.0,0
2007-07-20,14.68,15.35,14.68,15.17,525000,0.0,0
2007-07-23,15.22,15.32,15.14,15.14,317800,0.0,0
2007-07-24,14.98,14.99,14.55,14.61,1680000,0.0,0
2007-07-25,14.75,14.76,14.25,14.48,1083600,0.0,0
2007-07-26,13.62,14.33,13.62,14.08,2240500,0.0,0
2007-07-27,14.05,14.13,13.6,13.6,920800,0.0,0
2007-07-30,13.62,13.7,13.46,13.52,1338300,0.0,0
2007-07-31,13.53,13.67,13.25,13.31,1855100,0.0,0
2007-08-01,12.66,13.71,12.23,12.91,2217500,0.0,0
2007-08-02,12.86,13.11,12.86,13.0,2218700,0.0,0
2007-08-03,13.05,13.09,12.66,12.9,1868000,0.0,0
2007-08-06,12.96,13.39,12.96,13.3,2274600,0.0,0
2007-08-07,13.19,13.43,13.17,13.28,1512100,0.0,0
2007-08-08,12.62,13.88,12.62,13.76,1097000,0.0,0
2007-08-09,12.43,14.35,11.97,13.61,1585400,0.0,0
2007-08-10,12.32,13.98,12.27,13.87,1597400,0.0,0
2007-08-13,13.85,14.16,13.39,13.46,945000,0.0,0
2007-08-14,13.43,13.91,13.24,13.7,714500,0.0,0
2007-08-15,13.7,13.7,13.24,13.33,979500,0.0,0
2007-08-16,13.05,13.48,12.64,13.21,2624500,0.0,0
2007-08-17,13.49,13.49,12.85,13.24,504900,0.0,0
2007-08-20,13.24,13.3,12.91,13.11,527500,0.0,0
2007-08-21,13.12,13.62,12.79,13.5,700600,0.0,0
2007-08-22,13.51,13.66,12.76,12.8,2301800,0.0,0
2007-08-23,12.26,12.41,11.56,12.33,2232600,0.0,0
2007-08-24,12.24,13.61,12.22,13.55,1597000,0.0,0
2007-08-27,13.45,13.55,13.34,13.46,608600,0.0,0
2007-08-28,13.32,13.48,13.27,13.32,851100,0.0,0
2007-08-29,13.41,13.52,13.33,13.52,815900,0.0,0
2007-08-30,13.49,13.8,13.45,13.72,819800,0.0,0
2007-08-31,13.81,13.92,13.7,13.75,615700,0.0,0
2007-09-04,13.66,14.03,13.59,14.01,1005800,0.0,0
2007-09-05,13.89,13.89,13.06,13.18,1004400,0.0,0
2007-09-06,13.19,13.19,12.8,12.96,598700,0.0,0
2007-09-07,12.78,12.78,12.5,12.65,762900,0.0,0
2007-09-10,12.66,13.26,12.66,13.21,816400,0.0,0
2007-09-11,13.22,13.32,12.98,13.04,1191000,0.0,0
2007-09-12,13.02,13.69,12.94,13.59,489000,0.06,0
2007-09-13,13.62,14.31,13.45,14.16,604400,0.0,0
2007-09-14,13.98,14.41,13.86,14.16,616600,0.0,0
2007-09-17,13.98,14.03,13.54,13.73,653300,0.0,0
2007-09-18,13.8,14.33,13.62,14.31,786400,0.0,0
2007-09-19,14.35,14.53,14.22,14.39,495600,0.0,0
2007-09-20,14.35,14.63,14.23,14.54,434200,0.0,0
2007-09-21,14.68,14.76,14.44,14.52,861200,0.0,0
2007-09-24,14.48,14.48,13.73,13.94,656800,0.0,0
2007-09-25,13.82,14.15,13.76,14.08,848200,0.0,0
2007-09-26,14.12,14.62,14.05,14.34,400900,0.0,0
2007-09-27,14.31,14.52,14.28,14.43,834300,0.0,0
2007-09-28,14.34,14.47,14.18,14.39,580500,0.0,0
2007-10-01,14.34,14.65,14.2,14.43,543100,0.0,0
2007-10-02,14.49,14.5,14.3,14.37,440900,0.0,0
2007-10-03,14.24,14.69,14.24,14.67,339300,0.0,0
2007-10-04,14.76,14.98,14.69,14.94,294200,0.0,0
2007-10-05,14.94,15.07,14.64,14.79,468700,0.0,0
2007-10-08,14.82,15.07,14.65,14.76,271700,0.0,0
2007-10-09,14.76,14.9,14.58,14.85,341900,0.0,0
2007-10-10,14.71,14.88,14.68,14.86,435900,0.0,0
2007-10-11,14.84,15.12,14.57,14.8,665500,0.0,0
2007-10-12,14.79,14.99,14.79,14.87,322300,0.0,0
2007-10-15,14.9,15.14,14.83,15.03,366800,0.0,0
2007-10-16,14.9,15.0,14.64,14.64,220500,0.0,0
2007-10-17,14.69,14.95,14.58,14.69,253500,0.0,0
2007-10-18,14.58,15.13,14.58,15.02,445000,0.0,0
2007-10-19,15.03,15.04,14.85,14.89,342400,0.0,0
2007-10-22,14.73,15.04,14.66,14.99,478800,0.0,0
2007-10-23,14.99,14.99,14.68,14.79,443100,0.0,0
2007-10-24,14.72,14.96,14.24,14.78,450800,0.0,0
2007-10-25,14.83,14.88,14.44,14.59,373400,0.0,0
2007-10-26,14.71,14.82,14.4,14.78,323500,0.0,0
2007-10-29,14.81,14.95,14.72,14.86,315900,0.0,0
2007-10-30,14.79,15.21,14.73,15.01,537400,0.0,0
2007-10-31,14.98,15.19,14.79,15.19,271500,0.0,0
2007-11-01,15.07,15.29,14.79,14.81,607900,0.0,0
2007-11-02,14.82,14.9,14.26,14.37,639400,0.0,0
2007-11-05,14.1,14.38,13.94,14.02,703200,0.0,0
2007-11-06,14.01,14.1,13.75,13.84,799000,0.0,0
2007-11-07,14.16,15.99,14.16,15.7,6138200,0.0,0
2007-11-08,15.78,17.24,15.6,16.71,2291100,0.0,0
2007-11-09,16.4,16.93,16.3,16.82,972500,0.0,0
2007-11-12,16.78,16.93,15.67,16.02,1641300,0.0,0
2007-11-13,16.1,16.53,16.05,16.44,826000,0.0,0
2007-11-14,16.49,16.49,16.11,16.27,471000,0.0,0
2007-11-15,16.28,16.86,16.09,16.84,942100,0.0,0
2007-11-16,16.87,16.91,16.46,16.64,1607300,0.0,0
2007-11-19,16.49,16.96,16.11,16.68,1469900,0.0,0
2007-11-20,16.64,16.87,16.54,16.84,870800,0.0,0
2007-11-21,16.7,16.81,16.25,16.28,422200,0.0,0
