Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-06-18,9.07,9.33,9.07,9.29,7918300,0.0,0
1997-06-19,9.33,9.37,9.2,9.24,1472400,0.0,0
1997-06-20,9.29,9.29,9.11,9.16,1030200,0.0,0
1997-06-23,9.16,9.16,9.07,9.07,628900,0.0,0
1997-06-24,9.09,9.11,9.05,9.05,541800,0.0,0
1997-06-25,9.11,9.22,9.11,9.18,570500,0.0,0
1997-06-26,9.29,9.37,9.22,9.37,488700,0.0,0
1997-06-27,9.37,9.42,9.29,9.33,586400,0.0,0
1997-06-30,9.31,9.55,9.11,9.46,629800,0.0,0
1997-07-01,9.42,9.42,9.24,9.24,269700,0.0,0
1997-07-02,9.16,9.24,9.16,9.16,350800,0.0,0
1997-07-03,9.18,9.29,9.18,9.24,173000,0.0,0
1997-07-07,9.33,9.35,9.2,9.29,449500,0.0,0
1997-07-08,9.26,9.33,9.24,9.26,239400,0.0,0
1997-07-09,9.24,9.26,9.2,9.22,226000,0.0,0
1997-07-10,9.2,9.2,9.13,9.16,425100,0.0,0
1997-07-11,9.16,9.2,9.13,9.18,326300,0.0,0
1997-07-14,9.26,9.44,9.24,9.29,311000,0.0,0
1997-07-15,9.35,9.35,9.22,9.26,534400,0.0,0
1997-07-16,9.26,9.37,9.24,9.33,443700,0.0,0
1997-07-17,9.35,9.44,9.35,9.39,443800,0.0,0
1997-07-18,9.37,9.39,9.16,9.24,359600,0.0,0
1997-07-21,9.16,9.33,9.11,9.31,422700,0.0,0
1997-07-22,9.31,9.35,9.29,9.31,246500,0.0,0
1997-07-23,9.35,9.35,9.31,9.31,196900,0.0,0
1997-07-24,9.35,9.42,9.29,9.39,481800,0.0,0
1997-07-25,9.44,9.5,9.42,9.48,225800,0.0,0
1997-07-28,9.44,9.5,9.37,9.48,127600,0.0,0
1997-07-29,9.46,9.57,9.44,9.52,350200,0.0,0
1997-07-30,9.52,9.59,9.37,9.57,126600,0.0,0
1997-07-31,9.57,9.72,9.55,9.68,203500,0.0,0
1997-08-01,9.7,9.7,9.46,9.68,85200,0.0,0
1997-08-04,9.7,9.72,9.44,9.68,115600,0.0,0
1997-08-05,9.61,9.83,9.57,9.76,152900,0.0,0
1997-08-06,9.72,10.2,9.7,10.2,234900,0.0,0
