Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1977-01-03,11.1,11.17,11.1,11.17,47800,0.0,0.0
1977-01-04,11.17,11.21,11.13,11.21,34200,0.0,0.0
1977-01-05,11.21,11.21,11.1,11.13,15300,0.0,0.0
1977-01-06,11.1,11.1,10.96,11.06,39000,0.0,0.0
1977-01-07,11.06,11.1,10.96,11.1,20400,0.0,0.0
1977-01-10,11.1,11.24,11.1,11.21,42800,0.0,0.0
1977-01-11,11.21,11.28,11.21,11.24,22000,0.0,0.0
1977-01-12,11.24,11.24,11.1,11.24,34900,0.0,0.0
1977-01-13,11.24,11.38,11.24,11.31,34400,0.0,0.0
1977-01-14,11.31,11.38,11.28,11.35,20600,0.0,0.0
1977-01-17,11.21,11.21,11.03,11.1,33700,0.0,0.0
1977-01-18,11.1,11.13,11.03,11.13,34200,0.0,0.0
1977-01-19,11.13,11.17,11.06,11.17,19600,0.0,0.0
1977-01-20,11.17,11.24,10.96,11.1,79400,0.0,0.0
1977-01-21,11.1,11.13,10.99,11.1,19200,0.0,0.0
1977-01-24,11.1,11.13,11.03,11.13,24000,0.0,0.0
1977-01-25,11.13,11.24,11.13,11.21,24900,0.0,0.0
1977-01-26,11.17,11.17,11.06,11.1,22800,0.0,0.0
1977-01-27,11.1,11.13,10.99,11.13,26400,0.0,0.0
1977-01-28,11.1,11.13,10.99,11.13,26400,0.0,0.0
1977-01-31,11.1,11.1,10.99,11.03,18000,0.0,0.0
1977-02-01,11.03,11.1,11.03,11.1,20100,0.0,0.0
1977-02-02,11.1,11.13,11.03,11.03,72000,0.0,0.0
1977-02-03,11.03,11.13,10.92,11.03,186900,0.0,0.0
1977-02-04,11.03,11.13,10.99,11.06,35600,0.0,0.0
1977-02-07,11.06,11.13,11.03,11.1,20600,0.0,0.0
1977-02-08,11.1,11.17,11.06,11.13,23500,0.0,0.0
1977-02-09,11.13,11.13,11.03,11.06,17200,0.0,0.0
1977-02-10,11.06,11.21,11.06,11.21,16300,0.0,0.0
1977-02-11,11.21,11.21,11.1,11.17,24700,0.0,0.0
1977-02-14,11.17,11.17,11.1,11.13,17200,0.0,0.0
1977-02-15,11.13,11.13,11.06,11.13,16800,0.0,0.0
1977-02-16,11.13,11.17,11.06,11.13,25200,0.0,0.0
1977-02-17,11.13,11.17,11.1,11.1,22300,0.0,0.0
1977-02-18,11.1,11.21,11.06,11.21,26100,0.0,0.0
1977-02-22,11.21,11.21,11.13,11.21,17500,0.0,0.0
1977-02-23,11.21,11.24,11.17,11.24,44200,0.0,0.0
1977-02-24,11.24,11.24,11.17,11.24,80600,0.0,0.0
1977-02-25,11.21,11.21,11.13,11.13,18000,0.0,0.0
1977-02-28,11.13,11.21,10.99,11.1,35100,0.0,0.0
1977-03-01,11.1,11.21,11.03,11.13,47100,0.0,0.0
1977-03-02,11.13,11.24,11.13,11.24,36300,0.0,0.0
1977-03-03,11.24,11.24,11.17,11.24,68400,0.0,0.0
1977-03-04,11.24,11.31,11.21,11.31,43500,0.0,0.0
