Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-08-04,0.0,0.66,0.65,0.65,2550700.0,0.0,0.0
1983-08-05,0.0,0.66,0.65,0.65,769600.0,0.0,0.0
1983-08-08,0.0,0.65,0.64,0.64,498100.0,0.0,0.0
1983-08-09,0.0,0.66,0.64,0.64,202600.0,0.0,0.0
1983-08-10,0.0,0.66,0.64,0.64,132400.0,0.0,0.0
1983-08-11,0.0,0.68,0.65,0.65,123400.0,0.0,0.0
1983-08-12,0.0,0.68,0.65,0.65,110200.0,0.0,0.0
1983-08-15,0.0,0.72,0.7,0.7,223600.0,0.0,0.0
1983-08-16,0.0,0.81,0.77,0.77,293800.0,0.0,0.0
1983-08-17,0.0,0.79,0.77,0.77,162900.0,0.0,0.0
1983-08-18,0.0,0.78,0.77,0.77,135600.0,0.0,0.0
1983-08-19,0.0,0.78,0.77,0.77,95400.0,0.0,0.0
1983-08-22,0.0,0.77,0.75,0.75,211500.0,0.0,0.0
1983-08-23,0.0,0.77,0.75,0.75,609400.0,0.0,0.0
1983-08-24,0.0,0.76,0.73,0.73,258400.0,0.0,0.0
1983-08-25,0.0,0.76,0.73,0.73,71700.0,0.0,0.0
1983-08-26,0.0,0.76,0.73,0.73,108600.0,0.0,0.0
1983-08-29,0.0,0.76,0.73,0.73,234900.0,0.0,0.0
1983-08-30,0.0,0.76,0.73,0.73,129700.0,0.0,0.0
1983-08-31,0.0,0.76,0.73,0.73,40500.0,0.0,0.0
1983-09-01,0.0,0.76,0.71,0.71,37000.0,0.0,0.0
1983-09-02,0.0,0.75,0.71,0.71,15700.0,0.0,0.0
1983-09-06,0.0,0.76,0.72,0.72,102100.0,0.0,0.0
1983-09-07,0.0,0.76,0.73,0.73,37000.0,0.0,0.0
1983-09-08,0.0,0.76,0.75,0.75,32400.0,0.0,0.0
1983-09-09,0.0,0.76,0.75,0.75,29200.0,0.0,0.0
1983-09-12,0.0,0.76,0.75,0.75,10900.0,0.0,0.0
1983-09-13,0.0,0.78,0.76,0.76,48700.0,0.0,0.0
1983-09-14,0.0,0.78,0.77,0.77,105300.0,0.0,0.0
1983-09-15,0.0,0.82,0.78,0.78,123400.0,0.0,0.0
1983-09-16,0.0,0.84,0.82,0.82,164700.0,0.0,0.0
1983-09-19,0.0,0.88,0.83,0.83,52600.0,0.0,0.0
1983-09-20,0.0,0.88,0.84,0.84,36400.0,0.0,0.0
1983-09-21,0.0,0.88,0.84,0.84,19000.0,0.0,0.0
1983-09-22,0.0,0.89,0.84,0.84,73500.0,0.0,0.0
1983-09-23,0.0,0.89,0.84,0.84,48700.0,0.0,0.0
1983-09-26,0.0,0.89,0.85,0.85,46000.0,0.0,0.0
1983-09-27,0.0,0.9,0.87,0.87,10300.0,0.0,0.0
1983-09-28,0.0,0.9,0.87,0.87,49500.0,0.0,0.0
1983-09-29,0.0,0.9,0.88,0.88,76500.0,0.0,0.0
1983-09-30,0.0,0.9,0.88,0.88,12700.0,0.0,0.0
1983-10-03,0.0,0.9,0.88,0.88,233100.0,0.0,0.0
1983-10-04,0.0,0.9,0.88,0.88,10300.0,0.0,0.0
1983-10-05,0.0,0.9,0.88,0.88,13600.0,0.0,0.0
1983-10-06,0.0,0.9,0.88,0.88,23800.0,0.0,0.0
1983-10-07,0.0,0.9,0.87,0.87,40500.0,0.0,0.0
1983-10-10,0.0,0.9,0.87,0.87,4900.0,0.0,0.0
1983-10-11,0.0,0.9,0.87,0.87,50500.0,0.0,0.0
1983-10-12,0.0,0.9,0.85,0.85,10900.0,0.0,0.0
1983-10-13,0.0,0.9,0.85,0.85,4000.0,0.0,0.0
1983-10-14,0.0,0.9,0.85,0.85,3300.0,0.0,0.0
1983-10-17,0.0,0.88,0.84,0.84,19500.0,0.0,0.0
1983-10-18,0.0,0.85,0.82,0.82,39700.0,0.0,0.0
1983-10-19,0.0,0.83,0.79,0.79,39700.0,0.0,0.0
1983-10-20,0.0,0.83,0.8,0.8,39700.0,0.0,0.0
1983-10-21,0.0,0.83,0.79,0.79,6000.0,0.0,0.0
1983-10-24,0.0,0.83,0.79,0.79,10800.0,0.0,0.0
1983-10-25,0.79,0.79,0.79,0.79,0.0,0.0,0.0
1983-10-26,0.0,0.82,0.78,0.78,9000.0,0.0,0.0
1983-10-27,0.0,0.82,0.79,0.79,100.0,0.0,0.0
1983-10-28,0.0,0.82,0.78,0.78,100.0,0.0,0.0
1983-10-31,0.0,0.81,0.78,0.78,6700.0,0.0,0.0
1983-11-01,0.0,0.79,0.76,0.76,9000.0,0.0,0.0
1983-11-02,0.0,0.81,0.78,0.78,21100.0,0.0,0.0
1983-11-03,0.0,0.81,0.78,0.78,6000.0,0.0,0.0
1983-11-04,0.0,0.81,0.77,0.77,900.0,0.0,0.0
1983-11-07,0.0,0.79,0.77,0.77,6000.0,0.0,0.0
1983-11-08,0.0,0.79,0.76,0.76,10300.0,0.0,0.0
1983-11-09,0.0,0.78,0.76,0.76,2700.0,0.0,0.0
1983-11-10,0.0,0.78,0.76,0.76,56700.0,0.0,0.0
1983-11-11,0.0,0.78,0.77,0.77,21100.0,0.0,0.0
