Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-19,11.96,11.96,11.96,11.96,100,0.0,0
2020-03-20,12.95,12.95,11.96,12.7,2300,0.0,0
2020-03-23,12.7,12.7,11.46,11.5,18700,0.0,0
2020-03-24,12.85,12.85,11.46,11.66,96100,0.0,0
2020-03-25,11.76,13.4,11.76,13.4,19200,0.0,0
2020-03-26,13.95,15.39,13.95,15.39,76400,0.0,0
2020-03-27,14.95,15.94,14.5,14.5,486500,0.0,0
2020-03-30,15.19,16.44,15.19,15.84,210000,0.0,0
2020-03-31,16.33,17.19,14.51,17.19,461500,0.0,0
2020-04-01,15.94,15.94,14.51,14.99,2998900,0.0,0
2020-04-02,15.6,15.84,12.08,13.23,15966300,0.0,0
2020-04-03,13.7,16.94,13.33,16.86,66934300,0.0,0
2020-04-06,17.0,17.09,14.8,15.38,37138000,0.0,0
2020-04-07,15.14,15.74,14.5,15.19,23486000,0.0,0
2020-04-08,14.45,15.19,13.68,14.21,49372700,0.0,0
2020-04-09,13.95,15.44,13.85,14.73,34992600,0.0,0
2020-04-13,14.45,14.45,13.93,13.94,21497400,0.0,0
2020-04-14,13.95,14.15,13.73,13.82,22350000,0.0,0
2020-04-15,13.48,13.6,12.89,13.31,14990700,0.0,0
2020-04-16,13.1,13.2,12.22,12.84,21745200,0.0,0
2020-04-17,13.25,13.78,12.88,13.69,21336500,0.0,0
2020-04-20,13.45,14.69,13.43,14.4,20032200,0.0,0
2020-04-21,14.17,15.19,14.13,14.64,16235900,0.0,0
2020-04-22,14.9,15.1,14.17,14.74,12543300,0.0,0
2020-04-23,14.65,15.86,14.56,15.66,12226000,0.0,0
2020-04-24,15.54,16.61,15.23,16.19,17393100,0.0,0
2020-04-27,16.11,16.75,15.92,16.74,12186100,0.0,0
2020-04-28,16.82,17.68,16.55,16.94,12983800,0.0,0
2020-04-29,17.4,18.01,17.11,17.58,12523200,0.0,0
2020-04-30,17.16,17.77,16.92,17.65,19091300,0.0,0
2020-05-01,17.27,17.29,16.56,16.71,10727200,0.0,0
2020-05-04,16.09,16.46,15.63,16.34,9700300,0.0,0
2020-05-05,16.62,16.7,15.78,15.91,16298000,0.0,0
2020-05-06,15.94,16.31,15.37,16.23,10647200,0.0,0
2020-05-07,16.15,16.98,15.82,16.35,12454100,0.0,0
2020-05-08,16.98,18.33,16.87,18.29,18118200,0.0,0
2020-05-11,18.36,18.68,17.95,18.28,9574600,0.0,0
2020-05-12,18.32,18.33,17.63,17.73,7743200,0.0,0
2020-05-13,17.15,17.37,16.04,16.38,10676300,0.0,0
2020-05-14,15.96,16.65,15.66,16.49,7797200,0.0,0
2020-05-15,16.24,16.9,15.94,16.65,7353800,0.0,0
2020-05-18,17.24,17.66,17.23,17.49,6135000,0.0,0
2020-05-19,17.38,17.85,17.09,17.7,8338100,0.0,0
2020-05-20,18.09,18.98,17.97,18.66,11910000,0.0,0
2020-05-21,18.47,19.45,18.43,19.38,9711500,0.0,0
2020-05-22,19.4,19.79,18.88,18.98,5937100,0.0,0
2020-05-26,19.54,20.52,19.27,19.44,7305400,0.0,0
2020-05-27,19.5,20.06,19.36,19.92,8969700,0.0,0
2020-05-28,20.01,20.38,19.43,19.53,8509200,0.0,0
2020-05-29,18.89,20.9,18.81,20.39,32993100,0.0,0
2020-06-01,20.47,21.87,20.47,21.74,7695700,0.0,0
2020-06-02,21.61,21.75,20.83,21.28,8295600,0.0,0
2020-06-03,21.39,22.5,21.3,22.14,9636300,0.0,0
2020-06-04,21.95,23.04,21.95,22.6,6651900,0.0,0
2020-06-05,23.45,24.31,23.29,23.47,7843600,0.0,0
2020-06-08,23.54,24.29,23.22,24.28,8570400,0.0,0
2020-06-09,23.65,23.87,23.12,23.12,6850000,0.0,0
2020-06-10,22.23,23.07,21.96,22.12,10262100,0.0,0
2020-06-11,20.09,21.72,19.93,20.98,6834800,0.0,0
2020-06-12,21.92,22.23,20.94,21.46,5212800,0.0,0
2020-06-15,20.64,22.46,20.55,21.89,7735600,0.0,0
2020-06-16,22.88,22.9,21.84,21.99,7287800,0.0,0
2020-06-17,22.09,22.26,21.0,21.18,5737100,0.0,0
2020-06-18,20.92,21.81,20.92,21.17,3618900,0.0,0
2020-06-19,21.68,21.77,20.92,21.37,14451100,0.0,0
2020-06-22,21.44,22.74,21.23,22.66,5995500,0.0,0
2020-06-23,23.04,23.15,22.24,22.31,5961200,0.0,0
2020-06-24,22.02,22.58,21.37,21.74,6825600,0.0,0
2020-06-25,21.62,21.87,21.03,21.52,6141000,0.08,0
2020-06-26,21.52,21.74,20.59,20.97,21346900,0.0,0
2020-06-29,21.08,22.47,21.0,22.12,8086000,0.0,0
2020-06-30,21.81,22.41,21.41,22.22,7082500,0.0,0
2020-07-01,22.32,23.01,21.87,22.61,9181500,0.0,0
2020-07-02,22.99,23.22,22.57,22.91,5667400,0.0,0
2020-07-06,23.13,24.29,23.13,24.21,7145200,0.0,0
2020-07-07,23.76,24.18,23.72,24.01,4671900,0.0,0
2020-07-08,23.88,24.09,23.46,23.99,4692100,0.0,0
2020-07-09,24.0,24.22,23.76,23.91,5470300,0.0,0
2020-07-10,23.84,26.06,23.72,24.89,12262400,0.0,0
2020-07-13,25.14,25.21,23.26,24.28,8562400,0.0,0
2020-07-14,24.3,25.16,24.23,25.15,7218300,0.0,0
2020-07-15,25.58,26.57,25.54,26.45,5798700,0.0,0
