Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-03-25,2.65,2.66,2.59,2.61,20047500,0.0,0.0
1993-03-26,2.61,2.66,2.6,2.62,5826000,0.0,0.0
1993-03-29,2.6,2.62,2.58,2.59,2249400,0.0,0.0
1993-03-30,2.58,2.59,2.55,2.59,2520900,0.0,0.0
1993-03-31,2.58,2.66,2.58,2.65,2130900,0.0,0.0
1993-04-01,2.63,2.65,2.61,2.61,1686300,0.0,0.0
1993-04-02,2.61,2.61,2.6,2.6,1596000,0.0,0.0
1993-04-05,2.59,2.59,2.57,2.57,1044300,0.0,0.0
1993-04-06,2.58,2.6,2.58,2.6,458100,0.0,0.0
1993-04-07,2.6,2.7,2.6,2.66,632100,0.0,0.0
1993-04-08,2.65,2.67,2.63,2.63,1555500,0.0,0.0
1993-04-12,2.63,2.65,2.6,2.61,980100,0.0,0.0
1993-04-13,2.6,2.62,2.6,2.62,4521000,0.0,0.0
1993-04-14,2.62,2.63,2.61,2.61,385200,0.0,0.0
1993-04-15,2.62,2.66,2.61,2.65,479100,0.0,0.0
1993-04-16,2.65,2.67,2.65,2.66,317400,0.0,0.0
1993-04-19,2.63,2.66,2.62,2.65,189900,0.0,0.0
1993-04-20,2.65,2.65,2.58,2.58,1680000,0.0,0.0
1993-04-21,2.58,2.59,2.58,2.59,440400,0.0,0.0
1993-04-22,2.58,2.59,2.57,2.58,390900,0.0,0.0
1993-04-23,2.59,2.59,2.55,2.59,700800,0.0,0.0
1993-04-26,2.58,2.58,2.51,2.51,1038300,0.0,0.0
1993-04-27,2.51,2.52,2.51,2.52,604200,0.0,0.0
1993-04-28,2.52,2.52,2.51,2.51,815700,0.0,0.0
1993-04-29,2.52,2.53,2.51,2.51,477600,0.0,0.0
1993-04-30,2.52,2.61,2.52,2.61,1086600,0.0,0.0
1993-05-03,2.6,2.65,2.6,2.65,654600,0.0,0.0
1993-05-04,2.71,2.74,2.7,2.71,1054200,0.0,0.0
1993-05-05,2.81,2.9,2.79,2.9,1123500,0.0,0.0
1993-05-06,2.92,2.92,2.83,2.84,699600,0.0,0.0
1993-05-07,2.82,2.85,2.82,2.83,197400,0.0,0.0
1993-05-10,2.83,2.84,2.78,2.83,288900,0.0,0.0
1993-05-11,2.82,2.84,2.82,2.84,396000,0.0,0.0
1993-05-12,2.83,2.84,2.82,2.84,428400,0.0,0.0
1993-05-13,2.83,2.83,2.75,2.75,135300,0.0,0.0
1993-05-14,2.74,2.76,2.74,2.75,402600,0.0,0.0
1993-05-17,2.75,2.75,2.7,2.73,121800,0.0,0.0
1993-05-18,2.73,2.73,2.71,2.73,91200,0.0,0.0
1993-05-19,2.7,2.79,2.7,2.78,201600,0.0,0.0
