Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-08-18,10.2,10.4,10.2,10.3,5783000,0.0,0
1998-08-19,10.3,10.5,10.3,10.3,388700,0.0,0
1998-08-20,10.4,10.5,10.3,10.3,348500,0.0,0
1998-08-21,10.3,10.3,10.3,10.3,804000,0.0,0
1998-08-24,10.3,10.3,10.3,10.3,119700,0.0,0
1998-08-25,10.3,10.3,10.2,10.3,294100,0.0,0
1998-08-26,10.3,10.3,9.61,9.71,383800,0.0,0
1998-08-27,9.71,9.81,8.52,8.82,435300,0.0,0
1998-08-28,9.01,9.01,7.92,7.92,192400,0.0,0
1998-08-31,7.92,8.02,6.04,6.44,150800,0.0,0
1998-09-01,6.54,7.13,5.3,6.74,440700,0.0,0
1998-09-02,6.74,8.32,6.74,7.58,509200,0.0,0
1998-09-03,7.73,7.73,6.74,6.93,165900,0.0,0
1998-09-04,7.13,7.13,6.44,6.64,155700,0.0,0
1998-09-08,7.13,7.92,6.93,7.83,149300,0.0,0
1998-09-09,7.83,7.92,7.53,7.53,116900,0.0,0
1998-09-10,7.43,7.43,7.13,7.33,80700,0.0,0
1998-09-11,7.38,7.43,7.13,7.13,84800,0.0,0
1998-09-14,7.33,7.63,7.13,7.13,90800,0.0,0
1998-09-15,7.23,7.33,6.83,6.93,200400,0.0,0
1998-09-16,6.93,6.93,6.14,6.24,221300,0.0,0
1998-09-17,6.24,6.83,6.24,6.56,87300,0.0,0
1998-09-18,6.64,6.88,6.14,6.54,147300,0.0,0
1998-09-21,6.24,6.34,5.45,5.55,472900,0.0,0
1998-09-22,5.65,6.44,5.6,6.34,728300,0.0,0
1998-09-23,6.54,6.83,6.34,6.64,382500,0.0,0
1998-09-24,6.74,7.43,6.74,7.18,280800,0.0,0
1998-09-25,6.93,7.48,6.93,7.43,44400,0.0,0
1998-09-28,7.53,7.83,7.43,7.43,26500,0.0,0
1998-09-29,7.53,7.73,7.33,7.55,88300,0.0,0
1998-09-30,7.53,7.97,7.43,7.63,172300,0.0,0
1998-10-01,7.63,7.63,7.03,7.03,85500,0.0,0
1998-10-02,7.03,7.33,7.03,7.03,58700,0.0,0
1998-10-05,6.93,7.03,6.34,6.34,63000,0.0,0
1998-10-06,7.13,7.23,6.34,6.64,129500,0.0,0
1998-10-07,6.64,6.83,6.19,6.19,340400,0.0,0
1998-10-08,6.14,6.19,4.75,5.0,346800,0.0,0
1998-10-09,5.55,5.65,4.85,4.95,271500,0.0,0
1998-10-12,5.15,5.15,4.75,4.95,660400,0.0,0
1998-10-13,4.95,5.94,4.95,5.55,228600,0.0,0
1998-10-14,5.45,6.04,5.45,6.04,46400,0.0,0
1998-10-15,5.94,6.04,5.84,5.99,44100,0.0,0
1998-10-16,6.19,6.64,5.94,6.24,421600,0.0,0
1998-10-19,6.44,6.79,6.34,6.79,50600,0.0,0
1998-10-20,6.83,7.53,6.74,7.43,354800,0.0,0
1998-10-21,7.48,8.22,7.48,7.92,156000,0.0,0
1998-10-22,8.02,9.11,7.92,9.06,134600,0.0,0
1998-10-23,9.21,10.4,9.01,10.3,411400,0.0,0
1998-10-26,10.3,10.3,10.0,10.1,125500,0.0,0
1998-10-27,10.2,10.6,9.81,9.86,417500,0.0,0
1998-10-28,9.81,10.1,9.71,10.1,53000,0.0,0
1998-10-29,10.0,10.35,9.31,9.51,280000,0.0,0
1998-10-30,9.51,10.2,9.41,10.2,198600,0.0,0
1998-11-02,10.25,10.55,10.0,10.2,105900,0.0,0
1998-11-03,10.15,10.2,10.0,10.1,24900,0.0,0
1998-11-04,10.2,10.2,9.71,9.91,105800,0.0,0
1998-11-05,9.91,10.5,9.76,10.5,81800,0.0,0
1998-11-06,10.5,10.55,10.2,10.5,55600,0.0,0
1998-11-09,10.2,10.55,10.1,10.5,84200,0.0,0
1998-11-10,10.5,10.55,10.2,10.3,22600,0.0,0
1998-11-11,10.2,10.4,10.0,10.1,22200,0.0,0
1998-11-12,10.1,10.1,9.71,9.91,23700,0.0,0
