Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-02-04,8.09,9.49,8.09,9.27,6055200,0.0,0.0
1997-02-05,8.48,8.82,8.43,8.43,1377000,0.0,0.0
1997-02-06,8.43,8.48,8.2,8.26,446800,0.0,0.0
1997-02-07,8.32,8.37,8.26,8.32,378200,0.0,0.0
1997-02-10,8.09,8.15,8.04,8.04,813400,0.0,0.0
1997-02-11,8.04,8.09,8.04,8.04,961400,0.0,0.0
1997-02-12,8.04,8.48,8.04,8.26,1196800,0.0,0.0
1997-02-13,8.26,8.26,8.04,8.04,544800,0.0,0.0
1997-02-14,8.09,8.2,8.09,8.2,274000,0.0,0.0
1997-02-18,8.15,8.15,8.09,8.15,224200,0.0,0.0
1997-02-19,8.04,8.09,7.7,7.81,704200,0.0,0.0
1997-02-20,7.81,8.04,7.81,7.93,124600,0.0,0.0
1997-02-21,7.93,8.04,7.87,8.04,31000,0.0,0.0
1997-02-24,9.15,9.15,8.82,9.04,705400,0.0,0.0
1997-02-25,8.82,9.1,8.82,9.04,338800,0.0,0.0
1997-02-26,9.6,9.88,9.54,9.71,602400,0.0,0.0
1997-02-27,9.54,9.71,9.54,9.6,206400,0.0,0.0
1997-02-28,9.6,9.77,9.43,9.77,135600,0.0,0.0
1997-03-03,9.77,9.77,9.71,9.71,37000,0.0,0.0
1997-03-04,9.71,9.77,9.54,9.66,67800,0.0,0.0
1997-03-05,9.66,9.82,9.66,9.77,36400,0.0,0.0
1997-03-06,11.05,11.05,10.72,10.88,241800,0.0,0.0
1997-03-07,11.22,11.39,11.22,11.27,477400,0.0,0.0
1997-03-10,13.17,13.17,12.73,12.84,864400,0.0,0.0
1997-03-11,12.28,12.34,12.11,12.22,546400,0.0,0.0
1997-03-12,12.22,12.5,12.22,12.5,522400,0.0,0.0
1997-03-13,12.5,12.67,12.45,12.5,336000,0.0,0.0
1997-03-14,13.12,13.45,13.12,13.45,504000,0.0,0.0
1997-03-17,14.23,14.34,14.01,14.18,740800,0.0,0.0
1997-03-18,13.73,13.73,13.23,13.34,122400,0.0,0.0
1997-03-19,13.17,13.17,12.61,12.73,468200,0.0,0.0
1997-03-20,12.39,12.61,12.34,12.61,47600,0.0,0.0
1997-03-21,12.39,12.56,12.39,12.56,16000,0.0,0.0
1997-03-24,12.61,12.89,12.61,12.78,34600,0.0,0.0
1997-03-25,12.73,12.78,12.73,12.78,48400,0.0,0.0
1997-03-26,12.84,13.23,12.84,13.0,77400,0.0,0.0
1997-03-27,13.17,13.23,13.06,13.06,78000,0.0,0.0
1997-03-31,13.12,13.12,12.84,12.84,78800,0.0,0.0
1997-04-01,12.95,13.0,12.89,13.0,124000,0.0,0.0
1997-04-02,12.89,12.89,12.89,12.89,5600,0.0,0.0
1997-04-03,12.89,12.89,12.5,12.5,24600,0.0,0.0
1997-04-04,12.5,12.5,12.39,12.45,9400,0.0,0.0
1997-04-07,12.39,12.67,12.39,12.61,14800,0.0,0.0
1997-04-08,12.67,12.67,12.61,12.67,6000,0.0,0.0
1997-04-09,13.17,13.23,13.17,13.23,56600,0.0,0.0
1997-04-10,13.17,13.17,13.12,13.12,35200,0.0,0.0
1997-04-11,13.4,13.56,13.4,13.51,167600,0.0,0.0
1997-04-14,13.4,13.51,13.34,13.34,14800,0.0,0.0
1997-04-15,13.51,13.51,13.4,13.4,456600,0.0,0.0
1997-04-16,13.56,13.67,13.56,13.62,12400,0.0,0.0
1997-04-17,13.4,13.4,13.28,13.28,12800,0.0,0.0
1997-04-18,13.28,13.34,13.28,13.34,5600,0.0,0.0
1997-04-21,13.34,13.34,13.23,13.23,6600,0.0,0.0
1997-04-22,13.23,13.34,13.23,13.34,6200,0.0,0.0
1997-04-23,13.51,13.67,13.45,13.67,15400,0.0,0.0
1997-04-24,13.67,13.73,13.67,13.67,17000,0.0,0.0
1997-04-25,14.62,14.9,14.62,14.85,89400,0.0,0.0
1997-04-28,14.51,14.62,14.29,14.29,40200,0.0,0.0
1997-04-29,13.95,14.01,13.84,13.95,114400,0.0,0.0
1997-04-30,13.95,13.95,13.9,13.9,27800,0.0,0.0
1997-05-01,13.79,13.9,13.79,13.84,26400,0.0,0.0
1997-05-02,13.84,13.9,13.84,13.9,6000,0.0,0.0
1997-05-05,13.79,13.79,13.67,13.67,7000,0.0,0.0
1997-05-06,13.73,14.07,13.67,14.07,27000,0.0,0.0
1997-05-07,14.01,14.07,13.79,13.79,7400,0.0,0.0
1997-05-08,13.9,13.95,13.73,13.73,7200,0.0,0.0
1997-05-09,13.73,13.84,13.67,13.84,7000,0.0,0.0
1997-05-12,13.79,13.79,13.4,13.4,13200,0.0,0.0
1997-05-13,13.28,13.56,13.28,13.51,19600,0.0,0.0
1997-05-14,13.45,13.45,13.45,13.45,5200,0.0,0.0
1997-05-15,13.12,13.12,13.12,13.12,22000,0.0,0.0
1997-05-16,13.12,13.12,13.0,13.0,9400,0.0,0.0
1997-05-19,12.89,12.89,12.67,12.67,9800,0.0,0.0
1997-05-20,12.67,12.78,12.67,12.73,4800,0.0,0.0
1997-05-21,12.73,12.89,12.73,12.84,12200,0.0,0.0
1997-05-22,12.84,12.84,12.61,12.67,13400,0.0,0.0
1997-05-23,12.67,12.78,12.67,12.78,3400,0.0,0.0
1997-05-27,12.89,13.23,12.89,13.17,56600,0.0,0.0
1997-05-28,13.23,13.23,13.17,13.17,2200,0.0,0.0
1997-05-29,13.12,13.12,13.12,13.12,2600,0.0,0.0
1997-05-30,13.06,13.23,13.0,13.23,7400,0.0,0.0
1997-06-02,13.23,13.28,13.17,13.23,56400,0.0,0.0
1997-06-03,13.23,13.23,13.12,13.12,1600,0.0,0.0
1997-06-04,13.12,13.12,12.95,12.95,2200,0.0,0.0
1997-06-05,13.0,13.0,12.89,12.89,600,0.0,0.0
1997-06-06,12.78,12.78,12.56,12.61,5800,0.0,0.0
1997-06-09,12.67,12.67,12.67,12.67,1600,0.0,0.0
1997-06-10,12.67,12.67,12.28,12.34,14200,0.0,0.0
1997-06-11,12.06,12.06,11.72,11.78,25600,0.0,0.0
1997-06-12,10.6,10.94,10.6,10.94,64200,0.0,0.0
1997-06-13,11.16,11.44,11.16,11.44,18200,0.0,0.0
1997-06-16,11.61,11.94,11.61,11.83,39600,0.0,0.0
1997-06-17,11.78,11.78,11.67,11.67,5200,0.0,0.0
1997-06-18,11.44,11.44,11.22,11.27,30400,0.0,0.0
1997-06-19,11.16,11.5,11.16,11.5,45800,0.0,0.0
1997-06-20,11.55,11.55,11.27,11.33,8000,0.0,0.0
1997-06-23,10.72,10.83,10.72,10.77,153600,0.0,0.0
1997-06-24,10.44,10.49,10.38,10.44,7400,0.0,0.0
1997-06-25,10.38,10.44,10.38,10.44,6600,0.0,0.0
1997-06-26,10.49,10.88,10.49,10.88,66400,0.0,0.0
1997-06-27,11.72,11.78,11.61,11.61,113200,0.0,0.0
1997-06-30,11.67,11.72,11.5,11.61,18000,0.0,0.0
1997-07-01,11.61,11.61,11.55,11.55,17800,0.0,0.0
1997-07-02,11.61,11.61,11.61,11.61,1000,0.0,0.0
1997-07-03,11.72,11.72,11.5,11.5,25000,0.0,0.0
1997-07-07,11.5,12.06,11.5,12.03,12000,0.0,0.0
1997-07-08,12.06,12.06,11.83,11.83,6400,0.0,0.0
1997-07-09,11.0,11.0,10.91,10.94,39200,0.0,0.0
1997-07-10,10.94,11.16,10.94,11.16,39600,0.0,0.0
1997-07-11,11.22,11.27,11.16,11.27,67000,0.0,0.0
1997-07-14,11.22,11.39,11.22,11.39,8800,0.0,0.0
1997-07-15,11.61,11.8,11.61,11.69,29400,0.0,0.0
1997-07-16,11.69,11.69,11.67,11.67,11600,0.0,0.0
1997-07-17,11.69,11.72,11.69,11.69,17400,0.0,0.0
1997-07-18,11.72,11.83,11.72,11.8,5000,0.0,0.0
1997-07-21,11.83,11.83,11.78,11.8,5800,0.0,0.0
1997-07-22,11.8,11.8,11.69,11.8,4000,0.0,0.0
1997-07-23,11.83,12.06,11.83,12.06,19400,0.0,0.0
1997-07-24,12.06,12.06,11.67,11.67,12200,0.0,0.0
1997-07-25,11.61,11.67,11.61,11.67,3800,0.0,0.0
1997-07-28,11.67,11.67,11.61,11.61,3000,0.0,0.0
1997-07-29,11.55,11.55,11.44,11.55,36200,0.0,0.0
1997-07-30,11.61,11.8,11.61,11.8,57400,0.0,0.0
1997-07-31,11.78,11.78,11.75,11.78,1600,0.0,0.0
1997-08-01,11.89,11.94,11.89,11.94,2800,0.0,0.0
1997-08-04,12.0,12.0,11.78,11.78,7600,0.0,0.0
1997-08-05,11.83,11.83,11.83,11.83,2000,0.0,0.0
1997-08-06,11.78,11.78,11.67,11.72,1600,0.0,0.0
1997-08-07,13.12,13.14,12.95,12.95,165800,0.0,0.0
1997-08-08,13.06,13.06,12.73,12.84,22800,0.0,0.0
1997-08-11,12.84,12.84,12.67,12.67,8200,0.0,0.0
1997-08-12,13.62,14.01,13.62,13.95,39000,0.0,0.0
1997-08-13,14.4,14.46,14.32,14.37,53400,0.0,0.0
1997-08-14,14.37,14.57,14.37,14.51,36200,0.0,0.0
1997-08-15,13.4,13.45,12.39,12.39,71200,0.0,0.0
1997-08-18,12.5,12.95,12.5,12.84,23600,0.0,0.0
1997-08-19,12.73,12.73,12.67,12.67,8000,0.0,0.0
1997-08-20,13.4,13.48,13.4,13.4,36400,0.0,0.0
1997-08-21,13.51,13.56,13.4,13.56,3600,0.0,0.0
1997-08-22,13.56,13.9,13.56,13.84,17600,0.0,0.0
1997-08-25,16.74,17.58,16.69,17.53,231800,0.0,0.0
1997-08-26,17.75,17.8,17.22,17.36,122400,0.0,0.0
1997-08-27,16.69,16.69,16.1,16.47,46200,0.0,0.0
1997-08-28,16.35,16.35,15.85,15.91,12800,0.0,0.0
1997-08-29,15.8,16.02,15.8,15.91,15000,0.0,0.0
1997-09-02,13.84,14.32,13.76,14.32,171200,0.0,0.0
1997-09-03,14.62,15.18,14.62,14.79,129000,0.0,0.0
1997-09-04,13.28,13.67,13.28,13.62,77600,0.0,0.0
1997-09-05,13.84,13.84,13.45,13.45,17200,0.0,0.0
1997-09-08,14.07,14.09,13.95,14.09,22200,0.0,0.0
1997-09-09,15.29,15.35,15.07,15.29,83400,0.0,0.0
1997-09-10,14.85,14.96,14.68,14.68,20400,0.0,0.0
1997-09-11,14.71,14.79,14.68,14.71,6000,0.0,0.0
1997-09-12,14.6,14.74,14.6,14.65,18200,0.0,0.0
1997-09-15,14.79,15.07,14.76,15.01,22200,0.0,0.0
1997-09-16,15.04,15.04,14.54,14.76,9400,0.0,0.0
1997-09-17,14.76,14.79,14.54,14.79,12000,0.0,0.0
