Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-02-27,7.7,7.7,7.47,7.53,10788700,0.0,0
2001-02-28,8.08,8.08,7.84,7.96,3052800,0.0,0
2001-03-01,7.68,7.74,7.49,7.59,1128100,0.0,0
2001-03-02,7.61,7.73,7.57,7.7,661100,0.0,0
2001-03-05,7.68,7.86,7.66,7.86,412800,0.0,0
2001-03-06,7.73,7.75,7.66,7.7,301300,0.0,0
2001-03-07,7.51,7.54,7.48,7.49,263400,0.0,0
2001-03-08,7.49,7.51,7.46,7.48,978900,0.0,0
2001-03-09,7.46,7.47,7.35,7.37,264700,0.0,0
2001-03-12,7.35,7.45,7.33,7.33,101200,0.0,0
2001-03-13,7.37,7.4,7.36,7.38,108000,0.0,0
2001-03-14,7.35,7.43,7.35,7.43,955700,0.0,0
2001-03-15,7.43,7.45,7.35,7.37,793600,0.0,0
2001-03-16,7.38,7.43,7.36,7.37,155100,0.0,0
2001-03-19,7.43,7.63,7.43,7.59,542500,0.0,0
2001-03-20,7.66,7.7,7.62,7.62,178700,0.0,0
2001-03-21,7.64,7.78,7.64,7.64,156400,0.0,0
2001-03-22,8.01,8.16,7.96,8.05,218200,0.0,0
2001-03-23,8.43,8.63,8.4,8.62,415000,0.0,0
2001-03-26,8.17,8.4,8.05,8.4,267200,0.0,0
2001-03-27,8.36,8.36,8.2,8.29,106800,0.0,0
2001-03-28,8.15,8.21,7.98,8.03,138400,0.0,0
2001-03-29,8.01,8.05,7.89,8.02,36600,0.0,0
2001-03-30,8.15,8.24,8.14,8.21,316000,0.0,0
2001-04-02,8.08,8.18,8.05,8.08,50600,0.0,0
2001-04-03,7.94,7.94,7.66,7.66,74500,0.0,0
2001-04-04,7.56,7.59,7.47,7.49,12400,0.0,0
2001-04-05,7.47,7.63,7.47,7.62,294100,0.0,0
2001-04-06,7.84,8.08,7.84,8.08,177200,0.0,0
2001-04-09,8.1,8.1,7.98,7.98,122700,0.0,0
2001-04-10,7.87,7.96,7.7,7.95,90200,0.0,0
2001-04-11,8.26,8.4,8.26,8.33,99200,0.0,0
2001-04-12,8.26,8.29,7.94,8.01,74200,0.0,0
2001-04-16,7.94,7.94,7.86,7.87,10300,0.0,0
2001-04-17,8.26,8.29,8.24,8.24,61100,0.0,0
2001-04-18,8.82,8.89,8.81,8.83,149600,0.0,0
2001-04-19,8.59,8.63,8.5,8.5,17100,0.0,0
2001-04-20,8.17,8.26,8.12,8.12,48000,0.0,0
2001-04-23,8.17,8.31,8.05,8.17,100000,0.0,0
2001-04-24,8.36,8.39,8.31,8.39,17600,0.0,0
2001-04-25,8.64,8.64,8.45,8.59,136800,0.0,0
2001-04-26,8.5,8.54,8.43,8.5,63100,0.0,0
2001-04-27,8.96,8.99,8.92,8.97,140700,0.0,0
2001-04-30,8.92,8.96,8.81,8.95,439700,0.0,0
2001-05-01,8.96,8.97,8.86,8.96,168000,0.0,0
2001-05-02,8.82,8.87,8.61,8.64,202800,0.0,0
