Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-08-11,1.86,1.9,1.83,1.86,76671500,0.0,0.0
2005-08-12,1.86,2.06,1.86,2.05,29113500,0.0,0.0
2005-08-15,2.03,2.04,1.98,1.98,10596500,0.0,0.0
2005-08-16,1.94,1.98,1.94,1.96,5141000,0.0,0.0
2005-08-17,1.96,1.97,1.92,1.93,6423500,0.0,0.0
2005-08-18,1.94,1.94,1.86,1.87,12727000,0.0,0.0
2005-08-19,1.89,1.91,1.86,1.9,3029500,0.0,0.0
2005-08-22,1.91,1.95,1.88,1.95,2909500,0.0,0.0
2005-08-23,2.0,2.05,1.98,2.01,13466000,0.0,0.0
2005-08-24,2.0,2.03,1.98,2.0,3083000,0.0,0.0
2005-08-25,2.03,2.03,1.99,2.0,4667000,0.0,0.0
2005-08-26,2.01,2.02,1.99,2.0,2704000,0.0,0.0
2005-08-29,1.94,1.97,1.93,1.95,5458000,0.0,0.0
2005-08-30,1.96,1.99,1.94,1.95,2581000,0.0,0.0
2005-08-31,1.95,1.95,1.9,1.92,3004500,0.0,0.0
2005-09-01,1.93,1.93,1.78,1.86,12468500,0.0,0.0
2005-09-02,1.88,1.9,1.83,1.84,5748500,0.0,0.0
2005-09-06,1.86,1.88,1.85,1.88,2726500,0.0,0.0
2005-09-07,1.88,1.88,1.83,1.85,3643500,0.0,0.0
2005-09-08,1.86,1.89,1.86,1.87,2558500,0.0,0.0
2005-09-09,1.9,1.9,1.88,1.9,2468500,0.0,0.0
2005-09-12,1.88,1.89,1.83,1.84,3300500,0.0,0.0
2005-09-13,1.85,1.85,1.8,1.82,3798500,0.0,0.0
2005-09-14,1.8,1.82,1.79,1.8,2055500,0.0,0.0
2005-09-15,1.8,1.81,1.72,1.73,6004000,0.0,0.0
2005-09-16,1.72,1.76,1.67,1.75,9555000,0.0,0.0
2005-09-19,1.75,1.83,1.74,1.78,5559000,0.0,0.0
2005-09-20,1.78,1.84,1.77,1.81,4178000,0.0,0.0
2005-09-21,1.8,1.8,1.68,1.72,8313500,0.0,0.0
2005-09-22,1.72,1.73,1.66,1.66,7184000,0.0,0.0
2005-09-23,1.66,1.8,1.66,1.79,4830500,0.0,0.0
2005-09-26,1.79,1.81,1.75,1.78,7826500,0.0,0.0
2005-09-27,1.77,1.78,1.76,1.77,4505000,0.0,0.0
2005-09-28,1.76,1.76,1.72,1.74,3055000,0.0,0.0
2005-09-29,1.74,1.78,1.7,1.72,6141000,0.0,0.0
2005-09-30,1.72,1.73,1.68,1.7,12109000,0.0,0.0
2005-10-03,1.7,1.7,1.64,1.66,4279000,0.0,0.0
2005-10-04,1.65,1.66,1.61,1.61,2002000,0.0,0.0
2005-10-05,1.6,1.6,1.47,1.51,10826000,0.0,0.0
2005-10-06,1.51,1.55,1.5,1.54,4121000,0.0,0.0
2005-10-07,1.58,1.58,1.54,1.55,2174500,0.0,0.0
2005-10-10,1.55,1.56,1.42,1.44,2443000,0.0,0.0
2005-10-11,1.45,1.45,1.38,1.39,3256500,0.0,0.0
2005-10-12,1.39,1.39,1.35,1.37,2545500,0.0,0.0
2005-10-13,1.37,1.37,1.28,1.29,3555000,0.0,0.0
2005-10-14,1.3,1.43,1.3,1.42,7229500,0.0,0.0
2005-10-17,1.42,1.42,1.39,1.4,3007000,0.0,0.0
2005-10-18,1.4,1.4,1.37,1.37,2575000,0.0,0.0
2005-10-19,1.39,1.4,1.37,1.39,5052000,0.0,0.0
2005-10-20,1.4,1.5,1.4,1.47,7568500,0.0,0.0
2005-10-21,1.47,1.5,1.46,1.48,4029500,0.0,0.0
2005-10-24,1.48,1.51,1.48,1.5,2160000,0.0,0.0
2005-10-25,1.52,1.54,1.5,1.51,2629500,0.0,0.0
2005-10-26,1.51,1.53,1.48,1.5,2839500,0.0,0.0
2005-10-27,1.49,1.51,1.48,1.49,810000,0.0,0.0
2005-10-28,1.51,1.54,1.51,1.53,1664500,0.0,0.0
2005-10-31,1.55,1.6,1.55,1.58,3915000,0.0,0.0
2005-11-01,1.62,1.63,1.55,1.56,2830000,0.0,0.0
2005-11-02,1.56,1.57,1.52,1.55,3455000,0.0,0.0
2005-11-03,1.53,1.55,1.51,1.52,1815000,0.0,0.0
2005-11-04,1.52,1.58,1.51,1.53,2600500,0.0,0.0
2005-11-07,1.53,1.58,1.53,1.55,1783500,0.0,0.0
2005-11-08,1.54,1.55,1.53,1.55,1599500,0.0,0.0
2005-11-09,1.56,1.59,1.55,1.56,2294000,0.02,0.0
2005-11-10,1.57,1.66,1.54,1.59,4019000,0.0,0.0
2005-11-11,1.59,1.63,1.59,1.62,1347500,0.0,0.0
