Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-11-14,12.05,12.05,11.25,11.55,11726200,0.0,0
2002-11-15,11.73,11.93,11.64,11.83,2374400,0.0,0
2002-11-18,12.12,12.18,11.96,11.98,1956100,0.0,0
2002-11-19,11.86,11.95,11.81,11.89,828800,0.0,0
2002-11-20,11.93,12.02,11.8,11.99,463200,0.0,0
2002-11-21,11.99,12.05,11.83,11.89,881500,0.0,0
2002-11-22,11.57,11.73,11.44,11.68,843800,0.0,0
2002-11-25,11.58,11.64,11.43,11.55,440500,0.0,0
2002-11-26,11.67,11.73,11.6,11.64,888700,0.0,0
2002-11-27,11.67,12.15,11.67,12.09,710800,0.0,0
2002-11-29,12.15,12.18,12.07,12.08,189300,0.0,0
2002-12-02,12.18,12.18,11.98,11.99,523900,0.0,0
2002-12-03,12.0,12.0,11.8,11.84,323800,0.0,0
2002-12-04,11.7,11.73,11.54,11.65,324600,0.0,0
2002-12-05,11.73,11.73,11.64,11.7,140300,0.0,0
2002-12-06,11.7,11.82,11.67,11.75,137900,0.0,0
2002-12-09,11.59,11.59,11.32,11.35,576800,0.0,0
2002-12-10,11.43,11.48,11.38,11.46,317200,0.0,0
2002-12-11,11.57,11.57,11.48,11.48,305900,0.0,0
2002-12-12,11.44,11.46,11.35,11.45,385600,0.0,0
2002-12-13,11.57,11.57,11.41,11.49,234200,0.0,0
2002-12-16,11.51,11.6,11.44,11.51,361400,0.0,0
2002-12-17,11.56,11.58,11.51,11.52,196400,0.0,0
2002-12-18,11.48,11.48,11.21,11.25,519000,0.0,0
2002-12-19,11.12,11.22,11.09,11.21,320200,0.0,0
2002-12-20,11.35,11.51,11.35,11.51,263700,0.0,0
2002-12-23,11.51,11.55,11.41,11.51,166500,0.0,0
2002-12-24,11.51,11.57,11.41,11.45,161200,0.0,0
2002-12-26,11.48,11.54,11.45,11.45,103200,0.0,0
2002-12-27,11.42,11.42,11.22,11.28,99600,0.0,0
2002-12-30,11.12,11.12,11.03,11.1,205700,0.0,0
2002-12-31,11.1,11.15,11.1,11.11,137900,0.0,0
2003-01-02,11.22,11.51,11.22,11.48,73000,0.0,0
2003-01-03,11.46,11.48,11.39,11.4,73100,0.0,0
2003-01-06,11.4,11.7,11.38,11.6,121000,0.0,0
2003-01-07,11.51,11.6,11.5,11.5,155200,0.0,0
2003-01-08,11.99,11.99,11.89,11.96,684500,0.0,0
2003-01-09,12.1,12.23,12.1,12.23,1075800,0.0,0
2003-01-10,12.12,12.22,12.09,12.15,453200,0.0,0
2003-01-13,12.38,12.44,12.25,12.36,1148000,0.0,0
2003-01-14,12.4,12.47,12.38,12.47,430900,0.0,0
2003-01-15,12.54,12.54,12.34,12.39,575400,0.0,0
2003-01-16,12.38,12.39,12.22,12.3,485700,0.0,0
2003-01-17,11.99,12.15,11.99,12.14,159700,0.0,0
2003-01-21,12.25,12.27,12.12,12.12,526100,0.0,0
2003-01-22,12.22,12.32,12.22,12.29,327600,0.0,0
2003-01-23,12.45,12.49,12.4,12.49,408400,0.0,0
2003-01-24,12.44,12.47,12.25,12.25,206100,0.0,0
2003-01-27,12.34,12.48,12.33,12.41,456100,0.0,0
2003-01-28,12.44,12.44,12.23,12.41,332700,0.0,0
2003-01-29,12.34,12.38,12.26,12.37,259900,0.0,0
2003-01-30,12.34,12.34,12.15,12.16,94100,0.0,0
2003-01-31,12.22,12.34,12.15,12.34,243400,0.0,0
2003-02-03,12.31,12.5,12.31,12.41,159000,0.0,0
2003-02-04,12.25,12.34,12.23,12.23,102300,0.0,0
2003-02-05,12.32,12.41,12.28,12.28,216300,0.0,0
2003-02-06,12.38,12.38,12.25,12.3,306000,0.0,0
2003-02-07,12.31,12.34,12.28,12.29,132800,0.0,0
2003-02-10,12.29,12.34,12.29,12.34,125800,0.0,0
2003-02-11,12.33,12.4,12.28,12.29,96700,0.0,0
2003-02-12,12.31,12.38,12.28,12.31,189900,0.0,0
2003-02-13,12.25,12.25,12.09,12.16,205400,0.0,0
2003-02-14,12.1,12.18,11.99,12.05,219300,0.0,0
2003-02-18,12.05,12.11,12.05,12.09,60200,0.0,0
2003-02-19,12.1,12.13,12.07,12.13,75300,0.0,0
2003-02-20,12.18,12.23,12.18,12.18,63200,0.0,0
2003-02-21,12.12,12.22,12.09,12.22,265900,0.0,0
2003-02-24,12.12,12.16,12.0,12.03,25200,0.0,0
2003-02-25,11.99,12.04,11.8,12.0,221400,0.0,0
2003-02-26,11.95,12.02,11.86,11.93,83100,0.0,0
2003-02-27,11.83,11.93,11.83,11.91,37100,0.0,0
2003-02-28,11.79,11.82,11.73,11.78,37600,0.0,0
2003-03-03,11.82,11.89,11.8,11.8,10700,0.0,0
2003-03-04,11.8,11.8,11.57,11.58,77800,0.0,0
2003-03-05,11.51,11.56,11.45,11.56,48400,0.0,0
2003-03-06,11.5,11.53,11.35,11.44,84000,0.0,0
2003-03-07,11.09,11.25,11.07,11.22,79200,0.0,0
