Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-10-22,3.78,3.84,3.61,3.71,48774000,0.0,0.0
1997-10-23,3.55,3.66,3.5,3.66,12589600,0.0,0.0
1997-10-24,4.31,4.31,3.78,3.85,13516800,0.0,0.0
1997-10-27,3.92,4.09,3.69,3.69,8522400,0.0,0.0
1997-10-28,3.6,4.44,3.58,4.44,8966400,0.0,0.0
1997-10-29,4.12,4.21,3.99,4.04,5478400,0.0,0.0
1997-10-30,4.04,4.18,3.96,3.96,5248000,0.0,0.0
1997-10-31,4.3,4.3,4.11,4.29,4318800,0.0,0.0
1997-11-03,4.67,4.84,4.66,4.81,7115600,0.0,0.0
1997-11-04,4.67,4.79,4.66,4.77,3320800,0.0,0.0
1997-11-05,4.91,5.07,4.91,5.04,3684400,0.0,0.0
1997-11-06,4.84,4.84,4.76,4.78,1577600,0.0,0.0
1997-11-07,4.41,4.64,4.38,4.44,2635600,0.0,0.0
1997-11-10,4.57,4.63,4.52,4.56,952400,0.0,0.0
1997-11-11,4.59,4.61,4.49,4.51,858800,0.0,0.0
1997-11-12,4.32,4.41,4.14,4.17,1923200,0.0,0.0
1997-11-13,4.41,4.5,4.29,4.49,1330800,0.0,0.0
1997-11-14,4.52,4.56,4.46,4.56,810400,0.0,0.0
1997-11-17,4.67,4.7,4.62,4.64,978400,0.0,0.0
1997-11-18,4.5,4.52,4.46,4.47,354000,0.0,0.0
1997-11-19,4.51,4.54,4.51,4.52,642000,0.0,0.0
1997-11-20,4.54,4.57,4.52,4.57,405600,0.0,0.0
1997-11-21,4.58,4.62,4.51,4.51,440400,0.0,0.0
1997-11-24,4.51,4.51,4.38,4.38,691200,0.0,0.0
1997-11-25,4.46,4.54,4.43,4.53,474000,0.0,0.0
1997-11-26,4.55,4.55,4.45,4.48,267200,0.0,0.0
1997-11-28,4.45,4.48,4.38,4.48,308000,0.0,0.0
1997-12-01,4.54,4.54,4.47,4.5,449600,0.0,0.0
1997-12-02,4.53,4.53,4.46,4.46,480400,0.0,0.0
1997-12-03,4.43,4.49,4.36,4.48,630400,0.0,0.0
1997-12-04,4.59,4.61,4.54,4.58,618400,0.0,0.0
1997-12-05,4.62,4.66,4.57,4.64,876000,0.0,0.0
1997-12-08,4.64,4.64,4.59,4.59,143200,0.0,0.0
1997-12-09,4.52,4.52,4.49,4.52,152800,0.0,0.0
1997-12-10,4.48,4.48,4.24,4.29,643200,0.0,0.0
1997-12-11,4.38,4.38,4.31,4.34,1726400,0.0,0.0
1997-12-12,4.41,4.41,4.39,4.4,855600,0.0,0.0
