Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-06-21,16.52,18.49,16.52,16.8,48156400,0.0,0
2000-06-22,16.52,16.52,15.01,15.15,12253300,0.0,0
2000-06-23,15.15,15.39,15.01,15.39,6486800,0.0,0
2000-06-26,15.2,15.58,15.06,15.11,2597000,0.0,0
2000-06-27,15.76,16.47,15.76,16.0,4655000,0.0,0
2000-06-28,16.19,16.33,15.48,15.67,4082800,0.0,0
2000-06-29,15.76,15.81,15.06,15.72,4159700,0.0,0
2000-06-30,15.72,15.95,15.58,15.95,2686600,0.0,0
2000-07-03,16.05,16.52,16.05,16.52,1065100,0.0,0
2000-07-05,17.27,17.74,17.17,17.31,4231400,0.0,0
2000-07-06,17.64,18.02,17.45,17.97,2713600,0.0,0
2000-07-07,18.2,18.3,17.83,18.16,2353200,0.0,0
2000-07-10,18.25,18.77,18.2,18.49,1799700,0.0,0
2000-07-11,18.77,19.0,18.02,18.49,2330100,0.0,0
2000-07-12,18.86,18.91,18.58,18.77,2232700,0.0,0
2000-07-13,19.0,19.89,18.96,19.61,2014500,0.0,0
2000-07-14,20.36,21.58,20.36,21.21,3518800,0.0,0
2000-07-17,21.02,21.07,19.99,20.27,3261500,0.0,0
2000-07-18,19.33,19.47,18.81,19.19,2049600,0.0,0
2000-07-19,19.1,19.33,18.81,18.91,1156900,0.0,0
2000-07-20,19.71,20.46,19.52,20.32,1785500,0.0,0
2000-07-21,19.57,19.66,19.14,19.42,1211600,0.0,0
2000-07-24,19.14,19.24,18.77,18.86,1086700,0.0,0
2000-07-25,19.05,19.05,18.44,18.77,1046600,0.0,0
2000-07-26,18.91,18.91,18.44,18.77,1336600,0.0,0
2000-07-27,18.67,18.67,17.88,18.02,1884300,0.0,0
2000-07-28,17.97,17.97,16.94,17.45,1051200,0.0,0
2000-07-31,17.27,17.78,17.08,17.69,1284900,0.0,0
2000-08-01,18.3,18.67,18.3,18.63,1496100,0.0,0
2000-08-02,18.58,18.86,18.44,18.63,863900,0.0,0
2000-08-03,18.58,19.14,18.16,19.1,1000200,0.0,0
2000-08-04,19.47,19.47,18.77,18.86,1062100,0.0,0
2000-08-07,18.77,18.81,18.44,18.77,1135800,0.0,0
2000-08-08,18.02,18.25,17.17,17.45,3496200,0.0,0
2000-08-09,17.55,17.92,17.17,17.41,2609000,0.0,0
2000-08-10,17.74,17.92,17.5,17.74,443900,0.0,0
2000-08-11,17.69,17.97,17.5,17.83,364400,0.0,0
2000-08-14,17.83,18.2,17.64,18.11,756400,0.0,0
2000-08-15,18.11,18.2,17.83,18.02,1453100,0.0,0
2000-08-16,18.11,18.63,18.11,18.2,815300,0.0,0
2000-08-17,18.49,18.72,18.39,18.67,1318600,0.0,0
2000-08-18,18.39,18.44,17.97,18.2,526800,0.0,0
2000-08-21,18.06,18.16,17.92,18.02,655600,0.0,0
2000-08-22,17.92,18.02,17.74,18.02,477200,0.0,0
2000-08-23,17.74,17.74,17.45,17.59,600000,0.0,0
2000-08-24,17.59,17.83,17.5,17.78,534600,0.0,0
2000-08-25,17.59,17.74,17.45,17.74,592500,0.0,0
2000-08-28,17.78,17.97,17.64,17.83,1275700,0.0,0
2000-08-29,17.74,17.74,16.89,16.89,521000,0.0,0
2000-08-30,17.31,17.45,17.17,17.36,575900,0.0,0
2000-08-31,17.31,17.5,17.22,17.45,2294500,0.0,0
2000-09-01,17.5,17.55,17.22,17.27,2330800,0.0,0
2000-09-05,17.83,18.06,17.83,17.83,769500,0.0,0
2000-09-06,17.83,17.92,17.74,17.74,410900,0.0,0
2000-09-07,17.74,17.88,17.5,17.83,411700,0.0,0
2000-09-08,17.92,17.97,17.45,17.45,247300,0.0,0
2000-09-11,17.64,17.97,17.64,17.83,366300,0.0,0
2000-09-12,17.5,17.55,17.36,17.41,289700,0.0,0
2000-09-13,17.36,17.64,17.36,17.59,569300,0.0,0
2000-09-14,17.64,17.92,17.64,17.78,473700,0.0,0
2000-09-15,17.74,17.78,17.55,17.55,292100,0.0,0
2000-09-18,16.98,16.98,15.76,16.09,1604700,0.0,0
2000-09-19,16.28,17.36,16.14,16.8,1574300,0.0,0
2000-09-20,16.66,16.7,16.33,16.42,1071600,0.0,0
2000-09-21,15.95,16.0,15.67,15.81,523900,0.0,0
2000-09-22,15.11,15.86,14.97,15.86,1296700,0.0,0
2000-09-25,15.91,16.33,15.91,16.09,569600,0.0,0
2000-09-26,16.37,16.61,16.33,16.33,1384200,0.0,0
2000-09-27,16.61,16.89,16.33,16.52,613200,0.0,0
2000-09-28,16.52,16.89,16.37,16.61,501800,0.0,0
2000-09-29,16.66,16.7,16.28,16.37,363500,0.0,0
2000-10-02,16.42,16.42,16.0,16.14,915800,0.0,0
2000-10-03,16.47,16.56,16.28,16.47,520300,0.0,0
2000-10-04,16.66,17.5,16.61,17.36,569700,0.0,0
2000-10-05,17.69,17.92,17.64,17.83,381600,0.0,0
2000-10-06,17.64,17.74,17.08,17.22,496100,0.0,0
2000-10-09,17.03,17.27,16.66,17.27,516300,0.0,0
2000-10-10,17.17,17.27,16.52,16.66,419700,0.0,0
2000-10-11,16.37,16.37,15.86,16.23,500300,0.0,0
2000-10-12,16.09,16.09,15.11,15.11,496000,0.0,0
2000-10-13,15.11,15.95,15.11,15.95,538800,0.0,0
2000-10-16,15.76,15.81,15.3,15.44,320700,0.0,0
2000-10-17,15.44,15.53,14.54,14.73,552400,0.0,0
2000-10-18,14.45,14.64,13.51,14.64,917500,0.0,0
2000-10-19,14.92,15.95,14.92,15.81,512800,0.0,0
2000-10-20,15.67,16.14,15.48,15.95,462400,0.0,0
2000-10-23,15.58,15.62,14.97,15.2,550400,0.0,0
2000-10-24,14.97,15.3,14.87,14.87,586500,0.0,0
2000-10-25,15.06,15.2,14.64,14.69,873900,0.0,0
2000-10-26,14.97,15.39,14.92,15.39,400800,0.0,0
2000-10-27,15.2,15.3,14.97,15.11,982800,0.0,0
2000-10-30,14.92,14.92,14.73,14.92,557700,0.0,0
2000-10-31,14.92,15.39,14.87,15.39,631900,0.0,0
2000-11-01,15.3,15.34,15.11,15.2,172100,0.0,0
2000-11-02,15.39,16.05,15.34,15.91,304500,0.0,0
2000-11-03,15.95,16.0,15.76,15.81,356800,0.0,0
2000-11-06,15.86,16.19,15.86,16.14,601100,0.0,0
2000-11-07,16.05,16.14,15.81,15.91,731900,0.0,0
2000-11-08,15.95,16.0,15.58,15.67,451400,0.0,0
2000-11-09,15.67,15.81,15.48,15.67,494400,0.0,0
2000-11-10,15.53,15.53,15.01,15.01,760600,0.0,0
2000-11-13,14.73,14.92,14.17,14.92,1608800,0.0,0
2000-11-14,15.11,15.58,15.11,15.53,590300,0.0,0
2000-11-15,15.01,15.2,14.87,14.92,291900,0.0,0
2000-11-16,15.11,15.11,14.73,15.01,279100,0.0,0
2000-11-17,15.01,15.11,14.73,14.92,749800,0.0,0
2000-11-20,14.83,14.87,14.54,14.73,463600,0.0,0
2000-11-21,14.64,14.73,14.5,14.73,434500,0.0,0
2000-11-22,14.17,14.17,13.18,13.23,665200,0.0,0
2000-11-24,12.39,12.67,12.29,12.57,487300,0.0,0
2000-11-27,12.01,12.01,11.31,11.54,806600,0.0,0
2000-11-28,11.07,11.17,10.56,10.7,2040900,0.0,0
2000-11-29,10.79,10.79,10.32,10.56,814800,0.0,0
2000-11-30,10.56,10.65,10.32,10.6,760100,0.0,0
2000-12-01,12.2,12.76,12.2,12.43,840900,0.0,0
2000-12-04,12.72,13.04,12.43,12.9,481100,0.0,0
2000-12-05,12.57,13.23,12.29,13.18,467100,0.0,0
2000-12-06,13.14,13.14,12.48,12.48,326400,0.0,0
2000-12-07,12.67,12.9,12.62,12.76,264000,0.0,0
2000-12-08,12.81,13.37,12.81,13.0,330300,0.0,0
2000-12-11,13.09,13.09,12.76,12.86,367100,0.0,0
2000-12-12,12.76,12.76,12.48,12.57,192600,0.0,0
2000-12-13,13.14,13.23,12.95,13.04,440300,0.0,0
2000-12-14,13.18,13.23,13.04,13.14,251000,0.0,0
2000-12-15,12.86,12.86,12.34,12.48,180100,0.0,0
2000-12-18,12.53,12.53,12.01,12.15,263500,0.0,0
2000-12-19,11.54,11.54,10.98,11.07,858500,0.0,0
2000-12-20,11.45,11.59,11.26,11.26,517300,0.0,0
2000-12-21,11.26,11.54,11.21,11.45,538700,0.0,0
2000-12-22,11.35,11.68,11.35,11.54,487700,0.0,0
2000-12-26,11.5,11.59,11.4,11.54,306400,0.0,0
2000-12-27,11.21,11.21,10.98,11.07,387700,0.0,0
2000-12-28,10.98,11.35,10.89,10.93,401800,0.0,0
2000-12-29,11.26,11.31,11.07,11.07,533000,0.0,0
2001-01-02,11.12,11.26,10.89,10.89,368000,0.0,0
2001-01-03,10.89,12.25,10.84,12.11,879400,0.0,0
2001-01-04,11.64,11.68,11.21,11.31,428800,0.0,0
2001-01-05,11.26,11.26,10.98,10.98,631600,0.0,0
2001-01-08,11.07,11.17,10.98,11.17,603300,0.0,0
2001-01-09,11.17,11.4,11.17,11.35,627700,0.0,0
2001-01-10,11.31,11.5,11.21,11.45,475000,0.0,0
2001-01-11,11.31,11.45,11.17,11.17,705000,0.0,0
2001-01-12,11.26,11.26,11.12,11.17,976900,0.0,0
2001-01-16,11.07,11.07,10.7,10.79,331400,0.0,0
2001-01-17,10.93,11.07,10.89,10.98,686200,0.0,0
2001-01-18,12.01,12.76,12.01,12.76,1897500,0.0,0
2001-01-19,12.95,13.0,12.53,12.76,561200,0.0,0
2001-01-22,13.04,13.04,12.81,12.95,258200,0.0,0
2001-01-23,12.76,13.0,12.62,12.9,184200,0.0,0
