Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.36,0.35,0.35,84000.0,0.0,0.0
1980-03-18,0.0,0.36,0.35,0.35,24300.0,0.0,0.0
1980-03-19,0.0,0.37,0.35,0.35,24600.0,0.0,0.0
1980-03-20,0.0,0.37,0.35,0.35,16200.0,0.0,0.0
1980-03-21,0.0,0.36,0.35,0.35,6600.0,0.0,0.0
1980-03-24,0.0,0.35,0.34,0.34,84000.0,0.0,0.0
1980-03-25,0.0,0.35,0.34,0.34,5700.0,0.0,0.0
1980-03-26,0.0,0.36,0.35,0.35,70500.0,0.0,0.0
1980-03-27,0.0,0.36,0.35,0.35,66600.0,0.0,0.0
1980-03-28,0.0,0.36,0.35,0.35,5400.0,0.0,0.0
1980-03-31,0.0,0.36,0.35,0.35,10800.0,0.0,0.0
1980-04-01,0.0,0.38,0.37,0.37,171900.0,0.0,0.0
1980-04-02,0.0,0.42,0.41,0.41,73200.0,0.0,0.0
1980-04-03,0.0,0.4,0.39,0.39,27300.0,0.0,0.0
1980-04-07,0.0,0.39,0.38,0.38,50400.0,0.0,0.0
1980-04-08,0.0,0.39,0.38,0.38,1800.0,0.0,0.0
1980-04-09,0.0,0.39,0.38,0.38,12600.0,0.0,0.0
1980-04-10,0.0,0.38,0.36,0.36,36300.0,0.0,0.0
1980-04-11,0.0,0.38,0.36,0.36,7200.0,0.0,0.0
1980-04-14,0.0,0.37,0.35,0.35,38100.0,0.0,0.0
1980-04-15,0.0,0.36,0.35,0.35,14700.0,0.0,0.0
1980-04-16,0.0,0.38,0.36,0.36,28200.0,0.0,0.0
1980-04-17,0.0,0.38,0.36,0.36,9300.0,0.0,0.0
1980-04-18,0.0,0.38,0.36,0.36,30900.0,0.0,0.0
1980-04-21,0.0,0.38,0.36,0.36,28200.0,0.0,0.0
1980-04-22,0.0,0.38,0.36,0.36,1800.0,0.0,0.0
1980-04-23,0.0,0.38,0.37,0.37,23400.0,0.0,0.0
1980-04-24,0.0,0.38,0.37,0.37,14700.0,0.0,0.0
1980-04-25,0.0,0.38,0.36,0.36,13500.0,0.0,0.0
1980-04-28,0.0,0.38,0.37,0.37,5700.0,0.0,0.0
1980-04-29,0.0,0.39,0.37,0.37,9300.0,0.0,0.0
1980-04-30,0.0,0.38,0.37,0.37,9900.0,0.0,0.0
1980-05-01,0.0,0.38,0.36,0.36,16500.0,0.0,0.0
1980-05-02,0.0,0.38,0.36,0.36,5700.0,0.0,0.0
1980-05-05,0.0,0.38,0.37,0.37,32400.0,0.0,0.0
1980-05-06,0.0,0.39,0.38,0.38,57000.0,0.0,0.0
1980-05-07,0.0,0.4,0.39,0.39,15300.0,0.0,0.0
1980-05-08,0.0,0.4,0.39,0.39,7200.0,0.0,0.0
1980-05-09,0.0,0.4,0.39,0.39,13800.0,0.0,0.0
1980-05-12,0.0,0.4,0.39,0.39,29700.0,0.0,0.0
1980-05-13,0.0,0.4,0.39,0.39,5400.0,0.0,0.0
1980-05-14,0.0,0.41,0.39,0.39,8400.0,0.0,0.0
1980-05-15,0.0,0.41,0.39,0.39,6600.0,0.0,0.0
1980-05-16,0.0,0.41,0.39,0.39,6600.0,0.0,0.0
1980-05-19,0.0,0.41,0.39,0.39,14700.0,0.0,0.0
1980-05-20,0.0,0.4,0.39,0.39,40800.0,0.0,0.0
1980-05-21,0.0,0.4,0.39,0.39,9300.0,0.0,0.0
1980-05-22,0.0,0.41,0.39,0.39,24600.0,0.0,0.0
1980-05-23,0.0,0.41,0.39,0.39,13800.0,0.0,0.0
1980-05-27,0.0,0.43,0.41,0.41,31500.0,0.0,0.0
1980-05-28,0.0,0.44,0.42,0.42,21900.0,0.0,0.0
1980-05-29,0.0,0.43,0.42,0.42,15300.0,0.0,0.0
1980-05-30,0.0,0.43,0.42,0.42,59400.0,0.0,0.0
1980-06-02,0.0,0.43,0.42,0.42,40800.0,0.0,0.0
1980-06-03,0.0,0.43,0.42,0.42,9900.0,0.0,0.0
1980-06-04,0.0,0.45,0.44,0.44,1088100.0,0.0,0.0
1980-06-05,0.0,0.45,0.44,0.44,43500.0,0.0,0.0
1980-06-06,0.0,0.47,0.45,0.45,233400.0,0.0,0.0
1980-06-09,0.0,0.46,0.44,0.44,44400.0,0.0,0.0
1980-06-10,0.0,0.46,0.44,0.44,45000.0,0.0,0.0
1980-06-11,0.0,0.46,0.44,0.44,8100.0,0.0,0.0
1980-06-12,0.0,0.46,0.44,0.44,140700.0,0.0,0.0
1980-06-13,0.0,0.46,0.45,0.45,23400.0,0.0,0.0
1980-06-16,0.0,0.46,0.45,0.45,25500.0,0.0,0.0
1980-06-17,0.0,0.46,0.45,0.45,10800.0,0.0,0.0
1980-06-18,0.0,0.46,0.45,0.45,68700.0,0.0,0.0
1980-06-19,0.0,0.46,0.45,0.45,16200.0,0.0,0.0
1980-06-20,0.0,0.46,0.45,0.45,5700.0,0.0,0.0
1980-06-23,0.0,0.47,0.45,0.45,47100.0,0.0,0.0
1980-06-24,0.0,0.47,0.45,0.45,5400.0,0.0,0.0
1980-06-25,0.0,0.47,0.45,0.45,9900.0,0.0,0.0
1980-06-26,0.0,0.47,0.45,0.45,28800.0,0.0,0.0
1980-06-27,0.0,0.47,0.45,0.45,36300.0,0.0,0.0
1980-06-30,0.0,0.46,0.45,0.45,65100.0,0.0,0.0
1980-07-01,0.0,0.47,0.45,0.45,48600.0,0.0,0.0
1980-07-02,0.0,0.47,0.45,0.45,12600.0,0.0,0.0
1980-07-03,0.0,0.47,0.45,0.45,23400.0,0.0,0.0
1980-07-07,0.0,0.46,0.46,0.46,18000.0,0.0,0.0
1980-07-08,0.0,0.47,0.46,0.46,36300.0,0.0,0.0
1980-07-09,0.0,0.47,0.46,0.46,27000.0,0.0,0.0
1980-07-10,0.0,0.47,0.46,0.46,2700.0,0.0,0.0
1980-07-11,0.0,0.47,0.46,0.46,13500.0,0.0,0.0
1980-07-14,0.0,0.47,0.46,0.46,40500.0,0.0,0.0
1980-07-15,0.0,0.46,0.46,0.46,66000.0,0.0,0.0
