Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.07,0.07,0.07,126600,0.0,0.0
1980-03-18,0.0,0.07,0.07,0.07,518400,0.0,0.0
1980-03-19,0.0,0.07,0.06,0.06,736800,0.0,0.0
1980-03-20,0.0,0.07,0.07,0.07,1350000,0.0,0.0
1980-03-21,0.0,0.07,0.07,0.07,454200,0.0,0.0
1980-03-24,0.0,0.07,0.07,0.07,311400,0.0,0.0
1980-03-25,0.0,0.07,0.07,0.07,736800,0.0,0.0
1980-03-26,0.0,0.07,0.07,0.07,600,0.0,0.0
1980-03-27,0.0,0.06,0.06,0.06,2158200,0.0,0.0
1980-03-28,0.0,0.06,0.06,0.06,547800,0.0,0.0
1980-03-31,0.0,0.06,0.06,0.06,372600,0.0,0.0
1980-04-01,0.0,0.07,0.06,0.06,243600,0.0,0.0
1980-04-02,0.0,0.07,0.06,0.06,37800,0.0,0.0
1980-04-03,0.0,0.07,0.06,0.06,84600,0.0,0.0
1980-04-07,0.0,0.06,0.06,0.06,219600,0.0,0.0
1980-04-08,0.0,0.06,0.06,0.06,600,0.0,0.0
1980-04-09,0.0,0.06,0.06,0.06,181800,0.0,0.0
1980-04-10,0.0,0.07,0.06,0.06,681000,0.0,0.0
1980-04-11,0.0,0.07,0.06,0.06,408600,0.0,0.0
1980-04-14,0.0,0.07,0.06,0.06,243600,0.0,0.0
1980-04-15,0.0,0.07,0.06,0.06,591000,0.0,0.0
1980-04-16,0.06,0.06,0.06,0.06,0,0.0,0.0
1980-04-17,0.06,0.06,0.06,0.06,0,0.0,0.0
1980-04-18,0.0,0.07,0.06,0.06,37800,0.0,0.0
1980-04-21,0.0,0.07,0.06,0.06,600,0.0,0.0
1980-04-22,0.06,0.06,0.06,0.06,0,0.0,0.0
1980-04-23,0.0,0.07,0.06,0.06,219600,0.0,0.0
1980-04-24,0.0,0.07,0.06,0.06,243600,0.0,0.0
1980-04-25,0.0,0.07,0.06,0.06,777600,0.0,0.0
1980-04-28,0.0,0.07,0.07,0.07,272400,0.0,0.0
1980-04-29,0.0,0.07,0.07,0.07,284400,0.0,0.0
1980-04-30,0.07,0.07,0.07,0.07,0,0.0,0.0
1980-05-01,0.0,0.07,0.07,0.07,243600,0.0,0.0
1980-05-02,0.0,0.07,0.07,0.07,146400,0.0,0.0
1980-05-05,0.0,0.07,0.07,0.07,84600,0.0,0.0
1980-05-06,0.0,0.07,0.07,0.07,146400,0.0,0.0
1980-05-07,0.0,0.07,0.07,0.07,284400,0.0,0.0
1980-05-08,0.0,0.07,0.07,0.07,466800,0.0,0.0
1980-05-09,0.0,0.07,0.07,0.07,837600,0.0,0.0
1980-05-12,0.0,0.08,0.07,0.07,365400,0.0,0.0
1980-05-13,0.0,0.08,0.08,0.08,1110600,0.0,0.0
1980-05-14,0.0,0.08,0.07,0.07,821400,0.0,0.0
1980-05-15,0.0,0.08,0.08,0.08,329400,0.0,0.0
1980-05-16,0.0,0.09,0.08,0.08,777600,0.0,1.5
1980-05-19,0.0,0.08,0.08,0.08,181800,0.0,0.0
1980-05-20,0.0,0.08,0.08,0.08,454200,0.0,0.0
1980-05-21,0.0,0.08,0.08,0.08,394200,0.0,0.0
1980-05-22,0.0,0.08,0.08,0.08,365400,0.0,0.0
1980-05-23,0.0,0.09,0.09,0.09,918600,0.0,0.0
1980-05-27,0.0,0.09,0.09,0.09,794400,0.0,0.0
1980-05-28,0.0,0.09,0.09,0.09,121200,0.0,0.0
1980-05-29,0.0,0.09,0.09,0.09,639600,0.0,0.0
1980-05-30,0.0,0.09,0.09,0.09,146400,0.0,0.0
1980-06-02,0.0,0.09,0.08,0.08,303000,0.0,0.0
1980-06-03,0.0,0.08,0.08,0.08,311400,0.0,0.0
1980-06-04,0.0,0.09,0.08,0.08,248400,0.0,0.0
1980-06-05,0.0,0.08,0.08,0.08,272400,0.0,0.0
1980-06-06,0.0,0.08,0.08,0.08,408600,0.0,0.0
1980-06-09,0.0,0.09,0.09,0.09,1623600,0.0,0.0
1980-06-10,0.0,0.09,0.09,0.09,529800,0.0,0.0
1980-06-11,0.0,0.09,0.09,0.09,162600,0.0,0.0
1980-06-12,0.0,0.09,0.08,0.08,311400,0.0,0.0
1980-06-13,0.0,0.09,0.08,0.08,162600,0.0,0.0
1980-06-16,0.0,0.09,0.08,0.08,272400,0.0,0.0
1980-06-17,0.0,0.09,0.08,0.08,219600,0.0,0.0
1980-06-18,0.0,0.09,0.08,0.08,65400,0.0,0.0
1980-06-19,0.0,0.09,0.08,0.08,426600,0.0,0.0
1980-06-20,0.0,0.09,0.08,0.08,84600,0.0,0.0
1980-06-23,0.0,0.09,0.08,0.08,329400,0.0,0.0
1980-06-24,0.0,0.09,0.08,0.08,576000,0.0,0.0
1980-06-25,0.0,0.09,0.08,0.08,493800,0.0,0.0
1980-06-26,0.0,0.09,0.08,0.08,372600,0.0,0.0
1980-06-27,0.0,0.09,0.08,0.08,84600,0.0,0.0
1980-06-30,0.0,0.09,0.08,0.08,84600,0.0,0.0
1980-07-01,0.0,0.09,0.08,0.08,681000,0.0,0.0
1980-07-02,0.0,0.09,0.09,0.09,437400,0.0,0.0
1980-07-03,0.0,0.09,0.09,0.09,303000,0.0,0.0
1980-07-07,0.0,0.09,0.09,0.09,37800,0.0,0.0
1980-07-08,0.0,0.09,0.09,0.09,219600,0.0,0.0
1980-07-09,0.0,0.09,0.09,0.09,372600,0.0,0.0
1980-07-10,0.0,0.09,0.09,0.09,97800,0.0,0.0
1980-07-11,0.0,0.09,0.09,0.09,126600,0.0,0.0
1980-07-14,0.0,0.09,0.09,0.09,146400,0.0,0.0
1980-07-15,0.0,0.09,0.09,0.09,121200,0.0,0.0
1980-07-16,0.0,0.09,0.09,0.09,181800,0.0,0.0
1980-07-17,0.0,0.09,0.09,0.09,365400,0.0,0.0
1980-07-18,0.0,0.1,0.09,0.09,558600,0.0,0.0
1980-07-21,0.0,0.09,0.09,0.09,712800,0.0,0.0
1980-07-22,0.0,0.09,0.09,0.09,207600,0.0,0.0
1980-07-23,0.0,0.1,0.09,0.09,303000,0.0,0.0
1980-07-24,0.0,0.1,0.09,0.09,126600,0.0,0.0
1980-07-25,0.0,0.1,0.09,0.09,84600,0.0,0.0
1980-07-28,0.0,0.1,0.1,0.1,162600,0.0,0.0
1980-07-29,0.0,0.1,0.1,0.1,121200,0.0,0.0
1980-07-30,0.0,0.1,0.1,0.1,243600,0.0,0.0
1980-07-31,0.0,0.1,0.1,0.1,576000,0.0,0.0
1980-08-01,0.0,0.1,0.1,0.1,37800,0.0,0.0
1980-08-04,0.0,0.1,0.1,0.1,56400,0.0,0.0
1980-08-05,0.0,0.1,0.1,0.1,959400,0.0,0.0
1980-08-06,0.0,0.11,0.11,0.11,947400,0.0,0.0
1980-08-07,0.0,0.12,0.12,0.12,928800,0.0,0.0
1980-08-08,0.0,0.12,0.12,0.12,1166400,0.0,0.0
1980-08-11,0.0,0.12,0.12,0.12,493800,0.0,0.0
1980-08-12,0.0,0.12,0.12,0.12,947400,0.0,0.0
1980-08-13,0.0,0.12,0.12,0.12,1147200,0.0,0.0
1980-08-14,0.0,0.12,0.12,0.12,97800,0.0,0.0
1980-08-15,0.0,0.13,0.12,0.12,284400,0.0,0.0
1980-08-18,0.0,0.13,0.12,0.12,248400,0.0,0.0
1980-08-19,0.0,0.13,0.12,0.12,146400,0.0,0.0
1980-08-20,0.0,0.13,0.12,0.12,56400,0.0,0.0
1980-08-21,0.0,0.13,0.12,0.12,189600,0.0,0.0
1980-08-22,0.0,0.13,0.12,0.12,207600,0.0,0.0
1980-08-25,0.0,0.12,0.12,0.12,146400,0.0,0.0
1980-08-26,0.0,0.12,0.12,0.12,437400,0.0,0.0
1980-08-27,0.0,0.12,0.12,0.12,162600,0.0,0.0
1980-08-28,0.0,0.12,0.12,0.12,454200,0.0,0.0
1980-08-29,0.0,0.12,0.12,0.12,802800,0.0,0.0
1980-09-02,0.0,0.12,0.12,0.12,84600,0.0,0.0
1980-09-03,0.0,0.13,0.12,0.12,207600,0.0,0.0
1980-09-04,0.0,0.13,0.12,0.12,126600,0.0,0.0
1980-09-05,0.0,0.13,0.12,0.12,181800,0.0,0.0
1980-09-08,0.0,0.13,0.13,0.13,493800,0.0,0.0
1980-09-09,0.0,0.13,0.13,0.13,181800,0.0,0.0
1980-09-10,0.0,0.14,0.14,0.14,1166400,0.0,0.0
1980-09-11,0.0,0.14,0.14,0.14,372600,0.0,0.0
1980-09-12,0.0,0.13,0.13,0.13,394200,0.0,0.0
1980-09-15,0.0,0.13,0.13,0.13,1806000,0.0,0.0
1980-09-16,0.0,0.13,0.13,0.13,619200,0.0,0.0
1980-09-17,0.0,0.13,0.13,0.13,207600,0.0,0.0
1980-09-18,0.0,0.13,0.13,0.13,1256400,0.0,0.0
1980-09-19,0.0,0.14,0.13,0.13,426600,0.0,0.0
1980-09-22,0.0,0.14,0.14,0.14,858600,0.0,0.0
1980-09-23,0.0,0.14,0.14,0.14,1847400,0.0,0.0
1980-09-24,0.0,0.15,0.14,0.14,97800,0.0,0.0
1980-09-25,0.0,0.14,0.14,0.14,248400,0.0,0.0
1980-09-26,0.0,0.14,0.14,0.14,655800,0.0,0.0
1980-09-29,0.0,0.14,0.13,0.13,558600,0.0,0.0
1980-09-30,0.0,0.14,0.13,0.13,146400,0.0,0.0
1980-10-01,0.0,0.14,0.13,0.13,365400,0.0,0.0
1980-10-02,0.0,0.14,0.13,0.13,303000,0.0,0.0
1980-10-03,0.0,0.14,0.13,0.13,146400,0.0,0.0
1980-10-06,0.0,0.13,0.13,0.13,345600,0.0,0.0
1980-10-07,0.0,0.13,0.13,0.13,736800,0.0,0.0
1980-10-08,0.0,0.13,0.13,0.13,15649200,0.0,0.0
1980-10-09,0.0,0.13,0.12,0.12,1993200,0.0,0.0
1980-10-10,0.0,0.12,0.12,0.12,3652800,0.0,0.0
1980-10-13,0.0,0.12,0.12,0.12,4057800,0.0,0.0
1980-10-14,0.0,0.12,0.12,0.12,4731000,0.0,0.0
1980-10-15,0.0,0.13,0.13,0.13,5411400,0.0,0.0
1980-10-16,0.0,0.13,0.13,0.13,7938600,0.0,0.0
1980-10-17,0.0,0.13,0.13,0.13,3810600,0.0,0.0
1980-10-20,0.0,0.13,0.13,0.13,1256400,0.0,0.0
1980-10-21,0.0,0.13,0.13,0.13,1665600,0.0,0.0
1980-10-22,0.0,0.13,0.13,0.13,1968000,0.0,0.0
1980-10-23,0.0,0.13,0.13,0.13,2005800,0.0,0.0
1980-10-24,0.0,0.13,0.13,0.13,802800,0.0,0.0
1980-10-27,0.0,0.13,0.12,0.12,700200,0.0,0.0
1980-10-28,0.0,0.13,0.12,0.12,372600,0.0,0.0
1980-10-29,0.0,0.13,0.12,0.12,243600,0.0,0.0
1980-10-30,0.0,0.13,0.12,0.12,311400,0.0,0.0
1980-10-31,0.0,0.12,0.12,0.12,947400,0.0,0.0
1980-11-03,0.0,0.12,0.12,0.12,1779000,0.0,0.0
1980-11-05,0.0,0.12,0.12,0.12,454200,0.0,0.0
1980-11-06,0.0,0.12,0.12,0.12,985200,0.0,0.0
1980-11-07,0.0,0.12,0.12,0.12,437400,0.0,0.0
1980-11-10,0.0,0.12,0.12,0.12,612600,0.0,0.0
1980-11-11,0.0,0.13,0.12,0.12,1665600,0.0,0.0
1980-11-12,0.0,0.13,0.13,0.13,673200,0.0,0.0
1980-11-13,0.0,0.13,0.13,0.13,959400,0.0,0.0
1980-11-14,0.0,0.13,0.13,0.13,1009800,0.0,0.0
1980-11-17,0.0,0.13,0.13,0.13,1166400,0.0,0.0
1980-11-18,0.0,0.13,0.13,0.13,639600,0.0,0.0
1980-11-19,0.0,0.13,0.13,0.13,1110600,0.0,0.0
1980-11-20,0.0,0.13,0.13,0.13,928800,0.0,0.0
1980-11-21,0.0,0.13,0.13,0.13,712800,0.0,0.0
1980-11-24,0.0,0.13,0.13,0.13,491400,0.0,0.0
1980-11-25,0.0,0.13,0.13,0.13,1450800,0.0,0.0
1980-11-26,0.0,0.13,0.13,0.13,1657800,0.0,0.0
1980-11-28,0.0,0.13,0.13,0.13,1377600,0.0,0.0
1980-12-01,0.0,0.13,0.13,0.13,673200,0.0,0.0
1980-12-02,0.0,0.13,0.13,0.13,619200,0.0,0.0
1980-12-03,0.0,0.13,0.13,0.13,345600,0.0,0.0
1980-12-04,0.0,0.13,0.13,0.13,248400,0.0,0.0
1980-12-05,0.0,0.13,0.13,0.13,518400,0.0,0.0
1980-12-08,0.0,0.13,0.12,0.12,1040400,0.0,0.0
1980-12-09,0.0,0.12,0.12,0.12,437400,0.0,0.0
1980-12-10,0.0,0.12,0.12,0.12,1749600,0.0,0.0
1980-12-11,0.0,0.12,0.12,0.12,1009800,0.0,0.0
1980-12-12,0.0,0.12,0.12,0.12,426600,0.0,0.0
1980-12-15,0.0,0.12,0.12,0.12,207600,0.0,0.0
1980-12-16,0.0,0.12,0.12,0.12,1166400,0.0,0.0
1980-12-17,0.0,0.12,0.12,0.12,1069200,0.0,0.0
1980-12-18,0.0,0.13,0.13,0.13,1410000,0.0,0.0
1980-12-19,0.0,0.13,0.13,0.13,886200,0.0,0.0
1980-12-22,0.0,0.13,0.13,0.13,3747600,0.0,0.0
1980-12-23,0.0,0.13,0.13,0.13,1296000,0.0,0.0
1980-12-24,0.0,0.13,0.13,0.13,1228200,0.0,0.0
1980-12-26,0.0,0.13,0.13,0.13,248400,0.0,0.0
1980-12-29,0.0,0.13,0.13,0.13,518400,0.0,0.0
1980-12-30,0.0,0.13,0.13,0.13,1912200,0.0,0.0
1980-12-31,0.0,0.13,0.13,0.13,837600,0.0,0.0
