Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-12-06,4.73,5.24,4.72,5.21,27551000,0.0,0.0
2002-12-09,5.18,5.2,4.99,5.1,3149500,0.0,0.0
2002-12-10,5.1,5.26,5.06,5.19,1723000,0.0,0.0
2002-12-11,5.18,5.52,5.13,5.47,2549000,0.0,0.0
2002-12-12,5.47,5.47,5.29,5.33,1355500,0.0,0.0
2002-12-13,5.33,5.34,5.25,5.3,987500,0.0,0.0
2002-12-16,5.28,5.31,5.21,5.23,798000,0.0,0.0
2002-12-17,5.22,5.34,5.2,5.25,1646000,0.0,0.0
2002-12-18,5.24,5.24,5.16,5.18,742000,0.0,0.0
2002-12-19,5.16,5.18,5.12,5.13,684000,0.0,0.0
2002-12-20,5.15,5.41,5.1,5.4,904500,0.0,0.0
2002-12-23,5.38,5.41,5.26,5.27,638500,0.0,0.0
2002-12-24,5.29,5.29,5.21,5.23,218000,0.0,0.0
2002-12-26,5.23,5.24,5.16,5.17,325000,0.0,0.0
2002-12-27,5.16,5.16,5.07,5.1,830500,0.0,0.0
2002-12-30,5.13,5.2,5.11,5.14,1076500,0.0,0.0
2002-12-31,5.13,5.32,5.13,5.3,1778000,0.0,0.0
2003-01-02,5.3,5.33,5.27,5.31,315000,0.0,0.0
2003-01-03,5.31,5.56,5.28,5.56,861500,0.0,0.0
2003-01-06,5.47,5.87,5.47,5.84,1874500,0.0,0.0
2003-01-07,5.83,5.9,5.74,5.83,1383000,0.0,0.0
2003-01-08,5.83,5.86,5.79,5.83,411000,0.0,0.0
2003-01-09,5.84,5.97,5.79,5.95,649000,0.0,0.0
2003-01-10,5.93,5.99,5.91,5.95,844000,0.0,0.0
2003-01-13,5.95,6.03,5.93,6.02,810000,0.0,0.0
2003-01-14,6.02,6.07,5.96,5.96,554000,0.0,0.0
2003-01-15,5.88,5.88,5.68,5.71,1459000,0.0,0.0
2003-01-16,5.71,5.71,5.5,5.51,725000,0.0,0.0
2003-01-17,5.49,5.53,5.44,5.46,590500,0.0,0.0
2003-01-21,5.47,5.49,5.37,5.4,468000,0.0,0.0
2003-01-22,5.38,5.39,5.35,5.36,163500,0.0,0.0
2003-01-23,5.37,5.55,5.36,5.51,476000,0.0,0.0
2003-01-24,5.5,5.72,5.46,5.7,685000,0.0,0.0
2003-01-27,5.68,5.69,5.61,5.61,209000,0.0,0.0
2003-01-28,5.62,5.65,5.58,5.58,364500,0.0,0.0
2003-01-29,5.57,5.71,5.55,5.64,401500,0.0,0.0
2003-01-30,5.64,5.66,5.32,5.37,735000,0.0,0.0
2003-01-31,5.34,5.35,5.1,5.16,2886000,0.0,0.0
2003-02-03,5.15,5.21,5.12,5.14,780000,0.0,0.0
2003-02-04,5.12,5.12,5.04,5.1,740000,0.0,0.0
2003-02-05,5.09,5.1,5.02,5.07,1159000,0.0,0.0
2003-02-06,5.06,5.1,5.03,5.04,1077500,0.0,0.0
2003-02-07,5.05,5.12,5.04,5.11,744500,0.0,0.0
2003-02-10,5.11,5.27,5.1,5.22,278500,0.0,0.0
2003-02-11,5.22,5.28,5.21,5.21,222500,0.0,0.0
2003-02-12,5.19,5.21,5.16,5.21,355500,0.0,0.0
2003-02-13,5.2,5.31,5.2,5.28,265500,0.0,0.0
2003-02-14,5.3,5.44,5.3,5.4,958000,0.0,0.0
2003-02-18,5.43,5.44,5.36,5.4,753500,0.0,0.0
2003-02-19,5.41,5.46,5.39,5.43,420500,0.0,0.0
2003-02-20,5.44,5.47,5.43,5.47,159000,0.0,0.0
2003-02-21,5.47,5.54,5.46,5.51,206000,0.0,0.0
2003-02-24,5.46,5.56,5.46,5.53,182500,0.0,0.0
2003-02-25,5.52,5.56,5.5,5.55,144500,0.0,0.0
2003-02-26,5.55,5.58,5.47,5.5,214000,0.0,0.0
2003-02-27,5.49,5.49,5.26,5.26,945000,0.0,0.0
2003-02-28,5.25,5.32,5.2,5.23,565000,0.0,0.0
2003-03-03,5.23,5.29,5.22,5.24,211000,0.0,0.0
2003-03-04,5.23,5.25,5.2,5.2,151000,0.0,0.0
2003-03-05,5.2,5.21,5.12,5.13,269500,0.0,0.0
2003-03-06,5.13,5.19,5.13,5.16,352500,0.028,0.0
2003-03-07,5.16,5.21,5.14,5.16,175500,0.0,0.0
2003-03-10,5.15,5.2,5.15,5.16,163000,0.0,0.0
2003-03-11,5.16,5.2,5.14,5.15,104500,0.0,0.0
2003-03-12,5.16,5.18,5.1,5.16,312000,0.0,0.0
2003-03-13,5.18,5.2,5.17,5.18,204000,0.0,0.0
2003-03-14,5.18,5.29,5.18,5.26,471500,0.0,0.0
2003-03-17,5.26,5.63,5.26,5.6,607000,0.0,0.0
2003-03-18,5.6,5.7,5.57,5.61,478500,0.0,0.0
2003-03-19,5.61,5.72,5.61,5.72,149500,0.0,0.0
2003-03-20,5.72,5.72,5.55,5.55,571000,0.0,0.0
2003-03-21,5.57,5.74,5.57,5.74,632500,0.0,0.0
2003-03-24,5.72,5.87,5.69,5.85,1112000,0.0,0.0
2003-03-25,5.84,5.91,5.84,5.9,545500,0.0,0.0
2003-03-26,5.89,5.96,5.89,5.91,1076000,0.0,0.0
2003-03-27,5.89,5.96,5.82,5.96,777500,0.0,0.0
2003-03-28,5.94,5.94,5.89,5.93,306500,0.0,0.0
2003-03-31,5.91,5.91,5.82,5.86,435000,0.0,0.0
2003-04-01,5.87,5.87,5.79,5.84,232000,0.0,0.0
2003-04-02,5.77,5.88,5.75,5.87,536000,0.0,0.0
2003-04-03,5.87,5.99,5.87,5.88,633000,0.0,0.0
2003-04-04,5.89,5.94,5.88,5.89,321500,0.0,0.0
2003-04-07,5.93,5.95,5.68,5.69,1109500,0.0,0.0
2003-04-08,5.68,5.7,5.62,5.66,398000,0.0,0.0
2003-04-09,5.67,5.71,5.63,5.69,390000,0.0,0.0
2003-04-10,5.7,5.74,5.67,5.74,224500,0.0,0.0
2003-04-11,5.75,5.75,5.68,5.7,178500,0.0,0.0
2003-04-14,5.7,5.8,5.69,5.79,212500,0.0,0.0
