Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-12-29,13.11,13.18,10.28,10.65,1432158,0,0
2016-12-30,10.97,11.0,10.54,10.75,560954,0,0
2017-01-03,11.0,11.35,10.85,11.15,179112,0,0
2017-01-04,11.35,11.35,10.78,11.0,168979,0,0
2017-01-05,11.05,11.2,10.99,11.18,324280,0,0
2017-01-06,11.16,11.4,11.16,11.33,92857,0,0
2017-01-09,11.43,11.43,11.14,11.15,124476,0,0
2017-01-10,11.3,11.3,11.0,11.2,53479,0,0
2017-01-11,11.2,11.22,10.98,11.05,115406,0,0
2017-01-12,11.18,11.25,11.03,11.15,17061,0,0
2017-01-13,11.15,11.15,11.0,11.09,45872,0,0
2017-01-17,10.95,11.05,10.9,11.0,189881,0,0
2017-01-18,11.01,11.05,10.91,10.91,117305,0,0
2017-01-19,10.95,11.12,10.95,10.97,271238,0,0
2017-01-20,11.09,11.09,10.99,11.0,45385,0,0
2017-01-23,11.0,11.3,10.95,11.18,186775,0,0
2017-01-24,11.2,11.4,11.15,11.35,159700,0,0
2017-01-25,11.35,11.66,11.35,11.65,185097,0,0
2017-01-26,11.65,12.06,11.65,11.97,160134,0,0
2017-01-27,12.05,12.2,11.98,12.1,256168,0,0
2017-01-30,12.3,12.4,12.2,12.32,93413,0,0
2017-01-31,12.4,12.4,12.15,12.25,54448,0,0
2017-02-01,12.3,12.3,12.15,12.15,49873,0,0
2017-02-02,12.15,12.15,11.9,12.15,58771,0,0
2017-02-03,12.18,12.25,12.1,12.1,83156,0,0
2017-02-06,12.2,12.2,12.05,12.15,60828,0,0
2017-02-07,12.17,12.29,12.0,12.13,74783,0,0
2017-02-08,12.13,12.13,11.95,12.02,122201,0,0
2017-02-09,12.05,12.13,12.02,12.1,78159,0,0
2017-02-10,12.1,12.1,12.0,12.0,19821,0,0
2017-02-13,12.05,12.1,11.95,12.0,50027,0,0
2017-02-14,12.08,12.08,11.95,11.98,25019,0,0
2017-02-15,12.08,12.08,11.91,11.91,19047,0,0
2017-02-16,11.99,11.99,11.95,11.95,16094,0,0
2017-02-17,11.98,12.02,11.91,12.0,145191,0,0
2017-02-21,12.14,12.6,12.14,12.46,390670,0,0
2017-02-22,12.55,13.1,12.47,13.1,306146,0,0
2017-02-23,13.25,13.35,12.5,12.7,89584,0,0
2017-02-24,12.35,12.5,12.07,12.5,49056,0,0
2017-02-27,12.68,12.68,12.3,12.43,18739,0,0
2017-02-28,12.45,12.45,12.0,12.15,37342,0,0
2017-03-01,12.5,12.57,12.15,12.34,41012,0,0
2017-03-02,12.6,12.7,12.25,12.3,55773,0,0
2017-03-03,12.43,12.45,11.78,12.2,104390,0,0
2017-03-06,12.35,12.4,12.2,12.26,31315,0,0
2017-03-07,12.25,12.25,11.74,11.8,76586,0,0
2017-03-08,11.73,11.73,10.86,11.0,133144,0,0
2017-03-09,11.05,11.15,10.35,11.05,119681,0,0
2017-03-10,11.19,11.25,10.95,10.96,45850,0,0
2017-03-13,11.0,11.4,10.91,11.2,125941,0,0
2017-03-14,11.29,11.47,11.15,11.44,45263,0,0
2017-03-15,11.55,11.75,11.55,11.68,24576,0,0
2017-03-16,11.7,11.76,11.55,11.64,24120,0,0
2017-03-17,11.53,11.66,11.2,11.55,50975,0,0
2017-03-20,11.64,11.64,11.32,11.49,45027,0,0
2017-03-21,11.33,11.5,11.03,11.12,44170,0,0
2017-03-22,11.02,11.19,10.91,10.91,19357,0,0
2017-03-23,10.91,11.43,10.91,11.4,20449,0,0
2017-03-24,11.45,11.5,11.33,11.33,6453,0,0
2017-03-27,11.52,11.76,11.4,11.62,144565,0,0
2017-03-28,11.75,11.85,11.6,11.73,83968,0,0
2017-03-29,11.82,11.85,11.6,11.75,36267,0,0
2017-03-30,11.9,11.9,11.64,11.7,36861,0,0
2017-03-31,11.7,11.76,11.6,11.65,21237,0,0
2017-04-03,11.84,11.84,11.47,11.56,19314,0,0
2017-04-04,11.64,11.74,11.35,11.73,21648,0,0
2017-04-05,11.79,12.6,11.78,12.03,236910,0,0
2017-04-06,12.08,12.32,12.08,12.3,172270,0,0
2017-04-07,12.26,12.48,12.1,12.28,67855,0,0
2017-04-10,12.49,12.98,12.4,12.98,512512,0,0
2017-04-11,13.0,13.25,12.29,12.55,200132,0,0
2017-04-12,12.79,12.79,12.3,12.58,84431,0,0
2017-04-13,12.42,12.76,11.9,12.11,95409,0,0
2017-04-17,12.17,12.17,11.35,11.45,106907,0,0
2017-04-18,11.53,11.56,11.22,11.37,72421,0,0
2017-04-19,11.38,11.8,11.38,11.61,56327,0,0
2017-04-20,11.73,11.73,11.36,11.48,86817,0,0
2017-04-21,11.66,11.83,11.37,11.75,105856,0,0
2017-04-24,11.6,11.65,11.45,11.49,32254,0,0
2017-04-25,11.61,11.62,11.1,11.11,38311,0,0
2017-04-26,11.17,11.17,10.81,10.84,37164,0,0
2017-04-27,11.01,11.01,10.4,10.44,55695,0,0
2017-04-28,10.45,10.73,10.45,10.55,64190,0,0
2017-05-01,10.68,11.2,10.68,11.09,54729,0,0
2017-05-02,11.15,11.6,11.13,11.5,46883,0,0
2017-05-03,11.6,11.6,11.3,11.39,39627,0,0
2017-05-04,11.5,11.5,10.95,11.27,23687,0,0
2017-05-05,11.32,11.42,11.05,11.3,11011,0,0
2017-05-08,11.38,11.4,10.67,10.75,44167,0,0
2017-05-09,10.8,10.8,10.17,10.21,63263,0,0
2017-05-10,10.39,10.4,9.5,9.62,116364,0,0
2017-05-11,9.66,10.4,9.54,10.0,83080,0,0
2017-05-12,10.12,10.29,9.9,10.02,48748,0,0
2017-05-15,10.28,10.48,9.92,10.48,52499,0,0
2017-05-16,10.46,10.61,10.3,10.57,19860,0,0
2017-05-17,10.67,10.67,10.32,10.32,40620,0,0
2017-05-18,10.25,10.3,9.65,9.9,61468,0,0
2017-05-19,9.9,10.0,9.73,9.75,39140,0,0
2017-05-22,9.75,9.75,9.75,9.75,0,0,0
2017-05-23,10.03,10.03,9.15,9.38,66723,0,0
2017-05-24,9.29,9.55,8.8,8.91,37354,0,0
2017-05-25,9.18,9.18,8.71,9.07,38557,0,0
2017-05-26,9.18,9.65,9.1,9.3,26823,0,0
2017-05-30,9.17,9.17,8.65,8.75,39330,0,0
2017-05-31,8.8,8.9,8.75,8.76,34122,0,0
2017-06-01,9.0,9.0,8.66,8.66,25606,0,0
2017-06-02,8.7,9.17,8.7,9.08,34646,0,0
2017-06-05,9.2,9.2,8.08,8.17,65564,0,0
2017-06-06,8.74,8.74,7.72,8.2,79639,0,0
2017-06-07,8.28,8.47,7.76,8.38,86558,0,0
2017-06-08,8.45,8.48,7.99,8.2,56016,0,0
2017-06-09,8.24,8.5,7.93,8.27,115432,0,0
2017-06-12,8.27,8.81,8.02,8.68,90970,0,0
2017-06-13,8.75,8.9,8.21,8.38,84800,0,0
2017-06-14,8.27,8.29,7.62,7.82,98104,0,0
2017-06-15,7.9,8.03,7.32,7.61,132226,0,0
2017-06-16,7.6,8.15,7.6,8.0,101767,0,0
2017-06-19,8.22,8.45,8.0,8.45,96382,0,0
2017-06-20,8.42,8.42,8.03,8.04,93736,0,0
2017-06-21,8.04,8.21,8.0,8.15,53600,0,0
2017-06-22,8.25,8.6,8.0,8.5,185095,0,0
2017-06-23,8.5,8.51,8.18,8.29,25880,0,0
2017-06-26,8.16,8.3,8.0,8.0,26181,0,0
2017-06-27,8.08,8.08,7.91,8.0,88211,0,0
2017-06-28,8.0,8.2,7.92,8.2,27535,0,0
2017-06-29,8.05,8.25,8.0,8.09,44820,0,0
2017-06-30,7.91,8.29,7.91,8.22,10722,0,0
2017-07-03,8.22,8.22,8.22,8.22,0,0,0
2017-07-05,7.91,8.09,7.9,8.09,12051,0,0
2017-07-06,8.0,8.16,8.0,8.07,8972,0,0
2017-07-07,8.15,8.2,8.08,8.2,44340,0,0
2017-07-10,8.32,8.32,8.15,8.16,20352,0,0
2017-07-11,8.16,8.44,8.16,8.4,19557,0,0
2017-07-12,8.35,8.88,8.35,8.84,51259,0,0
2017-07-13,9.0,9.0,8.83,9.0,7836,0,0
2017-07-14,9.0,9.52,9.0,9.45,42020,0,0
2017-07-17,9.45,9.69,9.11,9.47,66909,0,0
2017-07-18,9.46,9.69,9.01,9.69,30285,0,0
2017-07-19,9.75,9.75,9.43,9.7,24910,0,0
2017-07-20,9.73,9.83,9.55,9.6,22311,0,0
2017-07-21,9.73,9.9,9.67,9.79,14424,0,0
2017-07-24,9.75,10.35,9.75,10.31,77382,0,0
2017-07-25,10.32,10.32,9.8,9.87,25387,0,0
2017-07-26,9.9,10.13,9.75,10.01,46921,0,0
2017-07-27,10.14,10.68,10.13,10.4,186216,0,0
2017-07-28,10.25,10.65,10.25,10.65,17846,0,0
2017-07-31,10.4,10.44,10.01,10.4,28468,0,0
2017-08-01,10.35,10.35,10.2,10.3,3038,0,0
2017-08-02,10.35,10.53,10.35,10.5,27539,0,0
2017-08-03,10.6,10.6,10.2,10.42,23293,0,0
2017-08-04,10.5,10.5,10.18,10.4,7343,0,0
2017-08-07,10.4,10.4,10.4,10.4,0,0,0
2017-08-08,10.4,10.58,10.21,10.57,12141,0,0
2017-08-09,10.47,10.52,10.2,10.41,16181,0,0
2017-08-10,10.26,10.6,10.26,10.34,16917,0,0
2017-08-11,10.4,10.4,10.02,10.3,32566,0,0
2017-08-14,10.16,10.45,10.16,10.45,7010,0,0
2017-08-15,10.33,10.4,10.26,10.4,204239,0,0
2017-08-16,10.3,10.4,10.02,10.29,20000,0,0
2017-08-17,10.15,10.29,10.02,10.15,6910,0,0
2017-08-18,10.18,10.18,9.92,10.0,9772,0,0
2017-08-21,10.13,10.13,9.4,9.45,28856,0,0
2017-08-22,9.51,9.58,9.45,9.48,31515,0,0
2017-08-23,9.59,10.1,9.55,9.86,20190,0,0
2017-08-24,9.85,9.85,9.25,9.25,30632,0,0
2017-08-25,9.37,9.82,9.12,9.15,19593,0,0
2017-08-28,9.4,9.83,9.0,9.2,32372,0,0
2017-08-29,9.59,9.59,9.2,9.38,17717,0,0
2017-08-30,9.7,9.7,9.09,9.35,3799,0,0
2017-08-31,9.43,9.46,9.38,9.4,8783,0,0
2017-09-01,9.39,9.39,8.9,8.97,54519,0,0
2017-09-05,9.17,9.17,8.86,8.86,10661,0,0
2017-09-06,8.95,8.98,8.59,8.6,20069,0,0
2017-09-07,8.61,8.98,8.61,8.75,24755,0,0
2017-09-08,8.98,9.05,8.8,8.85,38018,0,0
2017-09-11,9.13,9.15,8.87,9.0,74572,0,0
