Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-04-30,18.11,18.11,18.11,18.11,100200,0.0,0
2014-05-01,18.21,18.27,18.21,18.22,2100,0.0,0
2014-05-02,18.21,18.21,18.21,18.21,300,0.0,0
2014-05-05,18.11,18.11,18.06,18.06,800,0.0,0
2014-05-06,18.21,18.21,18.21,18.21,1100,0.0,0
2014-05-07,18.13,18.13,17.92,18.0,4500,0.0,0
2014-05-08,18.11,18.11,17.97,17.99,3000,0.0,0
2014-05-09,17.96,17.97,17.92,17.95,2600,0.0,0
2014-05-12,18.05,18.19,17.92,18.16,51100,0.0,0
2014-05-13,18.27,18.27,18.14,18.18,6300,0.0,0
2014-05-14,18.59,18.59,18.24,18.25,53600,0.0,0
2014-05-15,18.18,18.18,18.02,18.08,11000,0.0,0
2014-05-16,18.15,18.29,18.15,18.29,1300,0.0,0
2014-05-19,18.19,18.19,18.1,18.11,400,0.0,0
2014-05-20,18.06,18.06,18.06,18.06,100,0.0,0
2014-05-21,18.27,18.27,18.27,18.27,100,0.0,0
2014-05-22,18.48,18.48,18.34,18.38,2500,0.0,0
2014-05-23,18.48,18.48,18.48,18.48,200,0.0,0
2014-05-27,18.62,18.62,18.31,18.34,6100,0.0,0
2014-05-28,18.58,18.58,18.44,18.44,5700,0.0,0
2014-05-29,18.48,18.48,18.42,18.42,5100,0.0,0
2014-05-30,18.63,18.63,18.42,18.45,6700,0.0,0
2014-06-02,18.61,18.61,18.58,18.61,2000,0.0,0
2014-06-03,18.5,18.57,18.49,18.53,5900,0.0,0
2014-06-04,18.44,18.44,18.19,18.34,5500,0.0,0
2014-06-05,18.52,18.59,18.52,18.52,6400,0.0,0
2014-06-06,18.52,18.52,18.52,18.52,0,0.0,0
2014-06-09,18.59,18.6,18.59,18.6,500,0.0,0
2014-06-10,18.74,18.8,18.74,18.8,1500,0.0,0
2014-06-11,18.8,18.8,18.8,18.8,0,0.0,0
2014-06-12,18.7,18.7,18.65,18.65,800,0.0,0
2014-06-13,18.89,18.9,18.85,18.88,5000,0.0,0
2014-06-16,18.91,18.91,18.85,18.87,5200,0.0,0
2014-06-17,18.83,18.85,18.83,18.85,800,0.0,0
2014-06-18,18.78,18.92,18.76,18.92,1800,0.0,0
2014-06-19,18.65,18.66,18.62,18.62,600,0.0,0
2014-06-20,18.67,18.67,18.66,18.66,700,0.0,0
2014-06-23,18.55,18.58,18.55,18.58,5000,0.0,0
2014-06-24,18.66,18.74,18.65,18.69,3700,0.0,0
2014-06-25,18.66,18.66,18.66,18.66,100,0.0,0
2014-06-26,18.9,18.9,18.82,18.85,2100,0.0,0
2014-06-27,18.87,18.87,18.87,18.87,200,0.0,0
2014-06-30,19.0,19.0,18.99,18.99,2300,0.0,0
2014-07-01,19.08,19.13,19.08,19.13,2500,0.0,0
2014-07-02,19.24,19.24,19.24,19.24,600,0.0,0
2014-07-03,19.32,19.32,19.32,19.32,2800,0.0,0
2014-07-07,19.31,19.31,19.31,19.31,600,0.0,0
2014-07-08,19.26,19.26,19.23,19.23,1800,0.0,0
2014-07-09,19.05,19.12,19.05,19.11,1300,0.0,0
2014-07-10,18.97,18.97,18.95,18.96,1100,0.0,0
2014-07-11,19.05,19.15,19.05,19.13,2000,0.0,0
2014-07-14,19.37,19.37,19.35,19.35,1200,0.0,0
2014-07-15,19.32,19.32,19.32,19.32,1000,0.0,0
2014-07-16,19.45,19.45,19.41,19.41,2700,0.0,0
2014-07-17,19.25,19.26,19.15,19.16,4100,0.0,0
2014-07-18,19.33,19.35,19.33,19.35,1600,0.0,0
2014-07-21,19.32,19.32,19.32,19.32,300,0.0,0
2014-07-22,19.68,19.68,19.68,19.68,1500,0.0,0
2014-07-23,19.78,19.79,19.77,19.77,5000,0.0,0
2014-07-24,20.03,20.1,20.03,20.08,1200,0.0,0
2014-07-25,20.01,20.27,20.01,20.25,2800,0.0,0
2014-07-28,20.89,20.89,20.55,20.68,4900,0.0,0
2014-07-29,20.73,20.81,20.73,20.79,7400,0.0,0
2014-07-30,20.93,20.93,20.58,20.61,8000,0.0,0
2014-07-31,20.62,20.62,20.58,20.6,4100,0.0,0
2014-08-01,20.57,20.57,20.57,20.57,200,0.0,0
2014-08-04,20.81,20.91,20.79,20.91,3300,0.0,0
2014-08-05,20.76,20.79,20.73,20.73,4600,0.0,0
2014-08-06,20.68,20.71,20.61,20.63,5700,0.0,0
2014-08-07,20.6,20.6,20.48,20.48,400,0.0,0
2014-08-08,20.72,20.78,20.72,20.78,300,0.0,0
2014-08-11,20.97,21.07,20.96,21.07,6200,0.0,0
2014-08-12,21.0,21.09,20.96,21.08,16200,0.0,0
2014-08-13,21.13,21.13,21.13,21.13,600,0.0,0
2014-08-14,20.96,20.97,20.95,20.95,3300,0.0,0
2014-08-15,21.3,21.3,21.02,21.06,2900,0.0,0
2014-08-18,21.3,21.3,21.21,21.23,600,0.0,0
2014-08-19,21.35,21.35,21.23,21.26,2400,0.0,0
2014-08-20,21.29,21.29,21.17,21.17,6300,0.0,0
2014-08-21,21.24,21.24,20.97,20.97,1200,0.0,0
2014-08-22,20.97,20.97,20.97,20.97,0,0.0,0
2014-08-25,20.97,20.97,20.97,20.97,100,0.0,0
2014-08-26,20.89,20.89,20.89,20.89,100,0.0,0
2014-08-27,20.85,20.87,20.84,20.85,2100,0.0,0
2014-08-28,20.59,20.59,20.55,20.55,700,0.0,0
2014-08-29,20.77,20.77,20.77,20.77,800,0.0,0
2014-09-02,21.09,21.1,21.09,21.1,1100,0.0,0
2014-09-03,21.57,21.73,21.54,21.54,800,0.0,0
2014-09-04,21.65,21.65,21.65,21.65,500,0.0,0
2014-09-05,21.65,21.65,21.65,21.65,0,0.0,0
2014-09-08,21.65,21.65,21.65,21.65,0,0.0,0
2014-09-09,21.7,21.7,21.58,21.59,600,0.0,0
