Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-01-21,0.0,29.67,28.98,28.98,140600,0.0,0.0
1983-01-24,0.0,31.05,30.87,30.87,596800,0.0,0.0
1983-01-25,0.0,32.77,32.6,32.6,308600,0.0,0.0
1983-01-26,0.0,32.77,32.6,32.6,156400,0.0,0.0
1983-01-27,0.0,34.5,34.32,34.32,148200,0.0,0.0
1983-01-28,0.0,33.98,33.81,33.81,148800,0.0,0.0
1983-01-31,0.0,33.63,33.29,33.29,126600,0.0,0.0
1983-02-01,0.0,32.43,32.25,32.25,79200,0.0,0.0
1983-02-02,0.0,32.25,32.08,32.08,86600,0.0,0.0
1983-02-03,0.0,32.6,32.43,32.43,50600,0.0,0.0
1983-02-04,0.0,32.77,32.6,32.6,34800,0.0,0.0
1983-02-07,0.0,33.12,32.77,32.77,78800,0.0,0.0
1983-02-08,0.0,32.94,32.77,32.77,54000,0.0,0.0
1983-02-09,0.0,32.77,32.6,32.6,37800,0.0,0.0
1983-02-10,0.0,32.94,32.77,32.77,27200,0.0,0.0
1983-02-11,0.0,32.94,32.77,32.77,39800,0.0,0.0
1983-02-14,0.0,32.94,32.77,32.77,65000,0.0,0.0
1983-02-15,0.0,32.25,32.08,32.08,41000,0.0,0.0
1983-02-16,0.0,32.43,32.25,32.25,32800,0.0,0.0
1983-02-17,0.0,31.91,31.56,31.56,38000,0.0,0.0
1983-02-18,0.0,32.08,31.91,31.91,28200,0.0,0.0
1983-02-22,0.0,32.25,31.91,31.91,25200,0.0,0.0
1983-02-23,0.0,32.08,31.74,31.74,31800,0.0,0.0
1983-02-24,0.0,32.08,31.91,31.91,42200,0.0,0.0
1983-02-25,0.0,32.25,32.08,32.08,62400,0.0,0.0
1983-02-28,0.0,31.91,31.74,31.74,26000,0.0,0.0
1983-03-01,0.0,30.53,30.36,30.36,40000,0.0,0.0
1983-03-02,0.0,30.36,30.01,30.01,42200,0.0,0.0
1983-03-03,0.0,29.84,29.67,29.67,20000,0.0,0.0
1983-03-04,0.0,29.84,29.49,29.49,28600,0.0,0.0
1983-03-07,0.0,30.36,30.01,30.01,23000,0.0,0.0
1983-03-08,0.0,31.91,31.39,31.39,54200,0.0,0.0
1983-03-09,0.0,32.43,32.25,32.25,28200,0.0,0.0
1983-03-10,0.0,32.43,31.74,31.74,28000,0.0,0.0
1983-03-11,0.0,32.08,31.74,31.74,8800,0.0,0.0
1983-03-14,0.0,31.39,31.22,31.22,34600,0.0,0.0
1983-03-15,0.0,31.05,30.87,30.87,13000,0.0,0.0
1983-03-16,0.0,31.05,30.7,30.7,11200,0.0,0.0
1983-03-17,0.0,29.84,29.67,29.67,11000,0.0,0.0
1983-03-18,0.0,29.84,29.32,29.32,26200,0.0,0.0
1983-03-21,0.0,29.67,29.32,29.32,17600,0.0,0.0
1983-03-22,0.0,29.32,28.98,28.98,39600,0.0,0.0
1983-03-23,0.0,29.67,29.32,29.32,12200,0.0,0.0
1983-03-24,0.0,30.36,30.01,30.01,20000,0.0,0.0
1983-03-25,0.0,31.91,31.39,31.39,21800,0.0,0.0
1983-03-28,0.0,31.74,31.39,31.39,9400,0.0,0.0
1983-03-29,0.0,31.39,31.22,31.22,10000,0.0,0.0
1983-03-30,0.0,31.39,31.22,31.22,15200,0.0,0.0
1983-03-31,0.0,31.22,30.87,30.87,7000,0.0,0.0
1983-04-04,0.0,30.7,30.36,30.36,4800,0.0,0.0
1983-04-05,0.0,29.84,29.67,29.67,12200,0.0,0.0
1983-04-06,0.0,29.84,29.67,29.67,8400,0.0,0.0
