Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-06-18,3.36,3.83,3.36,3.49,2316,0,0
2012-06-19,3.25,3.84,3.25,3.6,766,0,0
2012-06-20,3.48,3.83,3.48,3.61,2091,0,0
2012-06-21,3.36,3.4,3.14,3.4,8550,0,0
2012-06-22,3.48,3.59,3.48,3.48,302,0,0
2012-06-25,3.24,3.36,2.98,3.12,3759,0,0
2012-06-26,3.24,3.36,3.12,3.12,1831,0,0
2012-06-27,3.12,3.24,3.01,3.24,4594,0,0
2012-06-28,3.12,3.12,3.0,3.12,1803,0,0
2012-06-29,3.06,3.6,3.06,3.57,6048,0,0
2012-07-02,3.36,3.59,3.36,3.58,479,0,0
2012-07-03,3.26,3.36,3.14,3.24,1067,0,0
2012-07-05,3.24,3.54,3.12,3.54,3055,0,0
2012-07-06,3.24,3.52,3.24,3.52,596,0,0
2012-07-09,3.59,3.59,3.25,3.26,216,0,0
2012-07-10,3.25,3.48,3.25,3.25,2523,0,0
2012-07-11,3.26,3.48,3.24,3.24,2454,0,0
2012-07-12,3.24,3.48,3.13,3.24,1351,0,0
2012-07-13,3.13,3.47,3.0,3.0,1753,0,0
2012-07-16,3.0,3.46,3.0,3.12,461,0,0
2012-07-17,3.04,3.24,3.0,3.05,1026,0,0
2012-07-18,3.24,3.35,3.05,3.06,2148,0,0
2012-07-19,3.07,3.24,3.06,3.24,722,0,0
2012-07-20,3.07,3.24,3.06,3.06,3046,0,0
2012-07-23,3.07,3.35,3.06,3.06,3910,0,0
2012-07-24,3.35,3.36,3.12,3.16,3673,0,0
2012-07-25,3.12,3.22,3.04,3.12,2374,0,0
2012-07-26,3.12,3.35,3.12,3.2,2694,0,0
2012-07-27,3.24,3.35,3.0,3.0,4375,0,0
2012-07-30,3.12,3.3,3.0,3.24,2014,0,0
2012-07-31,3.0,3.24,3.0,3.18,801,0,0
2012-08-01,3.12,3.12,3.0,3.1,2101,0,0
2012-08-02,3.12,3.12,3.0,3.0,827,0,0
2012-08-03,3.0,3.22,3.0,3.04,3406,0,0
2012-08-06,3.12,3.12,2.4,2.82,25301,0,0
2012-08-07,2.66,2.86,2.66,2.76,2883,0,0
2012-08-08,2.7,2.76,2.54,2.54,5561,0,0
2012-08-09,2.53,2.76,2.53,2.64,3584,0,0
2012-08-10,2.56,2.76,2.56,2.58,1745,0,0
2012-08-13,2.58,2.86,2.58,2.64,1743,0,0
2012-08-14,3.0,3.0,2.64,2.88,1084,0,0
2012-08-15,2.64,3.0,2.64,3.0,3438,0,0
2012-08-16,2.7,3.0,2.7,3.0,582,0,0
2012-08-17,3.0,3.0,2.65,2.88,3620,0,0
2012-08-20,3.0,3.0,2.66,2.76,5464,0,0
2012-08-21,2.76,2.88,2.76,2.76,3524,0,0
2012-08-22,2.88,2.88,2.64,2.64,10003,0,0
2012-08-23,2.76,2.76,2.59,2.59,3313,0,0
2012-08-24,2.59,2.64,2.53,2.62,7662,0,0
2012-08-27,2.7,2.76,2.58,2.58,1154,0,0
2012-08-28,2.5,2.5,1.8,2.24,62493,0,0
2012-08-29,2.25,3.43,2.25,3.24,66688,0,0
2012-08-30,3.25,3.62,2.71,3.38,72070,0,0
2012-08-31,3.34,3.34,2.7,2.7,50639,0,0
2012-09-04,2.82,2.82,2.61,2.65,7019,0,0
2012-09-05,2.69,2.7,2.5,2.54,20385,0,0
2012-09-06,2.55,2.6,2.45,2.59,4395,0,0
2012-09-07,2.55,2.6,2.43,2.53,13445,0,0
2012-09-10,2.5,3.3,2.5,2.92,40036,0,0
2012-09-11,2.91,2.91,2.71,2.72,23461,0,0
2012-09-12,2.72,2.72,2.55,2.66,6148,0,0
2012-09-13,2.6,2.89,2.6,2.61,14765,0,0
2012-09-14,2.68,2.87,2.55,2.7,10160,0,0
2012-09-17,2.68,2.68,2.53,2.68,5327,0,0
2012-09-18,2.6,2.7,2.59,2.6,500,0,0
2012-09-19,2.51,2.54,2.2,2.34,29087,0,0
2012-09-20,2.22,2.43,2.19,2.43,12308,0,0
2012-09-21,2.44,2.6,2.44,2.52,13571,0,0
2012-09-24,2.52,2.57,2.35,2.47,10942,0,0
2012-09-25,2.45,2.46,2.31,2.31,10716,0,0
2012-09-26,2.34,2.53,2.27,2.38,9845,0,0
2012-09-27,2.33,2.46,2.28,2.37,17330,0,0
2012-09-28,2.36,2.41,2.21,2.36,10235,0,0
2012-10-01,2.38,2.38,2.22,2.34,9664,0,0
2012-10-02,2.3,2.3,2.21,2.27,14625,0,0
2012-10-03,2.22,2.26,2.17,2.21,10213,0,0
2012-10-04,2.17,2.21,2.16,2.17,6960,0,0
2012-10-05,2.16,2.2,2.16,2.16,1566,0,0
2012-10-08,2.15,2.16,2.08,2.12,4389,0,0
2012-10-09,2.08,2.08,2.01,2.05,6661,0,0
2012-10-10,2.09,2.1,1.9,1.91,11177,0,0
2012-10-11,1.91,1.95,1.83,1.9,14158,0,0
2012-10-12,1.87,1.9,1.84,1.87,4959,0,0
2012-10-15,1.85,2.2,1.85,1.99,26180,0,0
2012-10-16,2.01,2.11,1.81,2.0,10419,0,0
2012-10-17,2.01,2.13,1.81,1.97,14127,0,0
2012-10-18,1.87,1.92,1.83,1.9,3897,0,0
