Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-09-14,344.0,344.0,344.0,344.0,0,0,0
2000-09-15,344.0,344.0,344.0,344.0,0,0,0
2000-09-18,344.0,344.0,344.0,344.0,0,0,0
2000-09-19,344.0,344.0,344.0,344.0,0,0,0
2000-09-20,329.0,329.0,329.0,329.0,0,0,0
2000-09-21,329.0,329.0,329.0,329.0,0,0,0
2000-09-22,329.0,329.0,329.0,329.0,0,0,0
2000-09-25,329.0,329.0,329.0,329.0,0,0,0
2000-09-26,329.0,329.0,329.0,329.0,0,0,0
2000-09-27,329.0,329.0,329.0,329.0,0,0,0
2000-09-28,329.0,329.0,329.0,329.0,0,0,0
2000-09-29,329.0,329.0,329.0,329.0,0,0,0
2000-10-02,329.0,329.0,329.0,329.0,0,0,0
2000-10-03,329.0,329.0,329.0,329.0,0,0,0
2000-10-04,329.0,329.0,329.0,329.0,0,0,0
2000-10-05,329.0,329.0,329.0,329.0,0,0,0
2000-10-06,329.0,329.0,329.0,329.0,0,0,0
2000-10-09,329.0,329.0,329.0,329.0,0,0,0
2000-10-10,329.0,329.0,329.0,329.0,0,0,0
2000-10-11,329.0,329.0,329.0,329.0,0,0,0
2000-10-12,329.0,329.0,329.0,329.0,0,0,0
2000-10-13,329.0,329.0,329.0,329.0,0,0,0
2000-10-16,329.0,329.0,329.0,329.0,0,0,0
2000-10-17,329.0,329.0,329.0,329.0,0,0,0
2000-10-18,329.0,329.0,329.0,329.0,0,0,0
2000-10-19,329.0,329.0,329.0,329.0,0,0,0
2000-10-20,329.0,329.0,329.0,329.0,0,0,0
2000-10-23,329.0,329.0,329.0,329.0,0,0,0
2000-10-24,329.0,329.0,329.0,329.0,0,0,0
2000-10-25,329.0,329.0,329.0,329.0,0,0,0
2000-10-26,329.0,329.0,329.0,329.0,0,0,0
2000-10-27,329.0,329.0,329.0,329.0,0,0,0
2000-10-30,329.0,329.0,329.0,329.0,0,0,0
2000-10-31,329.0,329.0,329.0,329.0,0,0,0
2000-11-01,329.0,329.0,329.0,329.0,0,0,0
2000-11-02,329.0,329.0,329.0,329.0,0,0,0
2000-11-03,329.0,329.0,329.0,329.0,0,0,0
2000-11-06,329.0,329.0,329.0,329.0,0,0,0
2000-11-07,329.0,329.0,329.0,329.0,0,0,0
2000-11-08,329.0,329.0,329.0,329.0,0,0,0
2000-11-09,329.0,329.0,329.0,329.0,0,0,0
2000-11-10,329.0,329.0,329.0,329.0,0,0,0
2000-11-13,329.0,329.0,329.0,329.0,0,0,0
2000-11-14,329.0,329.0,329.0,329.0,0,0,0
2000-11-15,329.0,329.0,329.0,329.0,0,0,0
2000-11-16,329.0,329.0,329.0,329.0,0,0,0
2000-11-17,329.0,329.0,329.0,329.0,0,0,0
2000-11-20,329.0,329.0,329.0,329.0,0,0,0
2000-11-21,329.0,329.0,329.0,329.0,0,0,0
2000-11-22,7.59,7.59,7.59,7.59,0,0,0
2000-11-24,7.5,7.5,7.5,7.5,0,0,0
2000-11-27,7.71,7.71,7.71,7.71,0,0,0
2000-11-28,7.8,7.8,7.8,7.8,0,0,0
2000-11-29,7.8,7.8,7.8,7.8,0,0,0
2000-11-30,7.8,7.8,7.8,7.8,0,0,0
2000-12-01,7.95,7.95,7.95,7.95,0,0,0
2000-12-04,7.95,7.95,7.95,7.95,0,0,0
2000-12-05,8.19,8.19,8.19,8.19,0,0,0
2000-12-06,8.4,8.4,8.4,8.4,0,0,0
2000-12-07,8.4,8.4,8.4,8.4,0,0,0
