Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-12-16,4.02,4.07,4.02,4.07,730800,0.0,0
1994-12-19,4.07,4.07,4.02,4.02,66000,0.0,0
1994-12-20,4.07,4.07,4.02,4.02,21600,0.0,0
1994-12-21,4.02,4.07,4.02,4.02,60900,0.0,0
1994-12-22,4.02,4.07,4.02,4.02,110300,0.0,0
1994-12-23,4.02,4.07,4.02,4.07,18000,0.0,0
1994-12-27,4.02,4.07,4.02,4.02,20500,0.0,0
1994-12-28,4.02,4.07,4.02,4.07,73500,0.0,0
1994-12-29,4.12,4.17,4.07,4.17,71000,0.0,0
1994-12-30,4.12,4.22,4.12,4.17,13300,0.0,0
1995-01-03,4.17,4.17,4.02,4.02,26100,0.0,0
1995-01-04,4.07,4.07,4.07,4.07,18900,0.0,0
1995-01-05,4.02,4.12,4.02,4.02,42100,0.0,0
1995-01-06,4.02,4.07,3.97,4.02,261800,0.0,0
1995-01-09,4.07,4.07,3.87,3.87,136100,0.0,0
1995-01-10,3.77,3.77,3.71,3.71,217700,0.0,0
1995-01-11,3.71,3.82,3.71,3.82,228900,0.0,0
1995-01-12,3.82,3.92,3.82,3.92,122600,0.0,0
1995-01-13,3.77,3.87,3.77,3.82,409900,0.0,0
1995-01-16,3.82,3.87,3.82,3.87,20900,0.0,0
1995-01-17,3.87,3.87,3.82,3.82,8500,0.0,0
1995-01-18,3.82,3.82,3.82,3.82,52300,0.0,0
1995-01-19,3.82,3.82,3.77,3.77,27900,0.0,0
1995-01-20,3.77,3.87,3.77,3.87,34600,0.0,0
1995-01-23,3.82,3.82,3.77,3.77,19800,0.0,0
1995-01-24,3.77,3.77,3.77,3.77,22800,0.0,0
1995-01-25,3.77,3.77,3.77,3.77,31800,0.0,0
1995-01-26,3.82,3.87,3.82,3.82,43700,0.0,0
1995-01-27,3.82,3.82,3.82,3.82,11900,0.0,0
1995-01-30,3.77,3.82,3.77,3.77,12200,0.0,0
1995-01-31,3.77,3.77,3.71,3.71,15900,0.0,0
1995-02-01,3.71,3.77,3.71,3.71,21300,0.0,0
1995-02-02,3.71,3.71,3.71,3.71,8100,0.0,0
1995-02-03,3.71,3.77,3.71,3.77,23800,0.0,0
1995-02-06,3.77,3.82,3.71,3.71,15300,0.0,0
1995-02-07,3.71,3.77,3.71,3.77,9100,0.0,0
1995-02-08,3.77,3.77,3.71,3.71,3100,0.0,0
1995-02-09,3.71,3.82,3.71,3.82,18300,0.0,0
1995-02-10,3.77,3.77,3.77,3.77,4000,0.0,0
1995-02-13,3.77,3.82,3.77,3.82,9200,0.0,0
1995-02-14,3.77,3.77,3.77,3.77,1600,0.0,0
1995-02-15,3.77,3.77,3.77,3.77,7900,0.0,0
1995-02-16,3.77,3.77,3.56,3.61,19800,0.0,0
1995-02-17,3.51,3.51,3.31,3.31,29400,0.0,0
1995-02-21,3.26,3.31,3.16,3.21,13600,0.0,0
1995-02-22,3.16,3.16,3.11,3.11,10200,0.0,0
1995-02-23,3.11,3.36,3.11,3.36,43100,0.0,0
1995-02-24,3.31,3.46,3.31,3.46,15100,0.0,0
1995-02-27,3.46,3.46,3.41,3.41,3500,0.0,0
1995-02-28,3.36,3.41,3.26,3.41,10200,0.0,0
1995-03-01,3.41,3.56,3.41,3.56,12100,0.0,0
1995-03-02,3.61,3.61,3.56,3.61,11400,0.0,0
1995-03-03,3.56,3.61,3.51,3.56,15900,0.0,0
1995-03-06,3.61,3.61,3.41,3.46,122000,0.0,0
1995-03-07,3.41,3.41,3.36,3.36,6100,0.0,0
1995-03-08,3.41,3.41,3.01,3.11,416300,0.0,0
1995-03-09,3.11,3.16,3.01,3.16,54800,0.0,0
1995-03-10,3.21,3.36,3.21,3.36,34800,0.0,0
1995-03-13,3.36,3.36,3.31,3.31,7800,0.0,0
1995-03-14,3.31,3.36,3.31,3.31,10700,0.0,0
1995-03-15,3.31,3.36,3.26,3.26,36500,0.0,0
1995-03-16,3.31,3.41,3.31,3.36,17700,0.0,0
1995-03-17,3.41,3.77,3.41,3.56,91300,0.0,0
1995-03-20,3.51,3.56,3.46,3.51,35000,0.0,0
1995-03-21,3.56,3.61,3.56,3.61,6800,0.0,0
1995-03-22,3.66,3.71,3.61,3.71,78700,0.0,0
1995-03-23,3.71,3.71,3.66,3.66,6700,0.0,0
1995-03-24,3.71,3.77,3.61,3.77,30200,0.0,0
1995-03-27,3.77,3.87,3.77,3.87,14500,0.0,0
1995-03-28,3.82,4.07,3.82,3.92,80800,0.0,0
1995-03-29,3.97,3.97,3.66,3.66,34900,0.0,0
1995-03-30,3.77,3.87,3.77,3.82,13100,0.0,0
1995-03-31,3.71,3.77,3.71,3.77,5200,0.0,0
1995-04-03,3.71,3.71,3.61,3.61,34600,0.0,0
1995-04-04,3.66,3.66,3.56,3.66,8900,0.0,0
1995-04-05,3.61,3.71,3.56,3.56,127100,0.0,0
1995-04-06,3.66,3.92,3.66,3.92,57900,0.0,0
1995-04-07,3.97,4.17,3.92,4.07,74600,0.0,0
1995-04-10,4.07,4.07,3.87,3.92,20500,0.0,0
1995-04-11,3.97,3.97,3.82,3.87,20600,0.0,0
1995-04-12,3.92,3.92,3.77,3.82,71700,0.0,0
1995-04-13,3.87,3.87,3.77,3.77,35800,0.0,0
1995-04-17,3.82,3.82,3.71,3.77,24700,0.0,0
1995-04-18,3.71,3.77,3.66,3.71,19800,0.0,0
1995-04-19,3.77,3.77,3.61,3.61,10200,0.0,0
1995-04-20,3.66,3.66,3.51,3.56,10200,0.0,0
1995-04-21,3.51,3.77,3.51,3.77,12900,0.0,0
1995-04-24,3.82,3.92,3.82,3.92,20100,0.0,0
1995-04-25,3.92,4.02,3.92,3.97,26300,0.0,0
1995-04-26,3.97,3.97,3.82,3.82,6900,0.0,0
1995-04-27,3.77,3.82,3.61,3.77,14400,0.0,0
1995-04-28,3.71,3.71,3.56,3.66,3300,0.0,0
1995-05-01,3.71,3.77,3.66,3.66,13400,0.0,0
1995-05-02,3.77,3.77,3.66,3.66,3300,0.0,0
1995-05-03,3.71,3.71,3.51,3.56,18500,0.0,0
1995-05-04,3.61,3.61,3.56,3.61,7100,0.0,0
1995-05-05,3.66,3.77,3.66,3.77,36500,0.0,0
1995-05-08,3.71,3.82,3.71,3.82,12100,0.0,0
1995-05-09,3.82,3.82,3.77,3.82,6000,0.0,0
1995-05-10,3.87,4.02,3.82,3.97,23600,0.0,0
1995-05-11,3.92,4.02,3.92,3.97,71500,0.0,0
1995-05-12,4.02,4.07,3.97,4.02,18900,0.0,0
1995-05-15,4.07,4.07,3.97,4.07,18800,0.0,0
1995-05-16,4.02,4.07,3.97,3.97,18600,0.0,0
1995-05-17,3.97,3.97,3.82,3.82,29700,0.0,0
1995-05-18,3.87,4.02,3.87,3.97,14700,0.0,0
1995-05-19,3.92,4.02,3.92,4.02,10000,0.0,0
1995-05-22,4.02,4.17,4.02,4.12,38500,0.0,0
1995-05-23,4.12,4.17,4.07,4.12,62200,0.0,0
1995-05-24,4.12,4.17,4.07,4.07,53100,0.0,0
1995-05-25,4.07,4.12,4.02,4.07,26800,0.0,0
1995-05-26,4.12,4.22,4.12,4.17,56700,0.0,0
1995-05-30,4.17,4.32,4.17,4.17,27000,0.0,0
1995-05-31,4.22,4.37,4.22,4.37,88000,0.0,0
1995-06-01,4.32,4.32,4.27,4.32,18100,0.0,0
1995-06-02,4.27,4.27,4.17,4.17,14400,0.0,0
1995-06-05,4.27,4.27,4.22,4.22,37000,0.0,0
1995-06-06,4.17,4.17,4.02,4.02,37500,0.0,0
1995-06-07,4.02,4.07,4.02,4.07,26100,0.0,0
1995-06-08,4.12,4.17,4.07,4.17,4200,0.0,0
1995-06-09,4.12,4.22,4.12,4.17,40800,0.0,0
1995-06-12,4.17,4.27,4.17,4.22,34300,0.0,0
1995-06-13,4.22,4.32,4.22,4.32,59500,0.0,0
1995-06-14,4.32,4.32,4.22,4.22,51800,0.0,0
1995-06-15,4.17,4.17,4.17,4.17,4100,0.0,0
1995-06-16,4.12,4.17,4.07,4.07,25300,0.0,0
1995-06-19,4.12,4.12,4.02,4.07,5600,0.0,0
1995-06-20,4.02,4.17,4.02,4.12,12700,0.0,0
1995-06-21,4.07,4.07,3.97,4.02,18800,0.0,0
1995-06-22,3.97,4.02,3.97,3.97,5700,0.0,0
1995-06-23,4.02,4.02,4.02,4.02,7700,0.0,0
1995-06-26,4.02,4.02,4.02,4.02,4400,0.0,0
1995-06-27,4.02,4.07,4.02,4.02,17900,0.0,0
1995-06-28,4.02,4.07,4.02,4.07,56400,0.0,0
1995-06-29,4.07,4.07,4.02,4.04,9300,0.0,0
1995-06-30,4.02,4.07,4.02,4.07,3700,0.0,0
1995-07-03,4.02,4.02,4.02,4.02,2300,0.0,0
1995-07-05,4.02,4.07,4.02,4.07,1400,0.0,0
1995-07-06,4.02,4.02,3.97,3.97,34700,0.0,0
1995-07-07,4.02,4.12,4.02,4.12,7600,0.0,0
1995-07-10,4.17,4.17,4.07,4.07,32400,0.0,0
1995-07-11,4.12,4.22,4.12,4.22,46800,0.0,0
1995-07-12,4.22,4.27,4.17,4.22,75700,0.0,0
1995-07-13,4.22,4.22,4.12,4.22,44200,0.0,0
1995-07-14,4.17,4.17,4.12,4.12,10000,0.0,0
1995-07-17,4.12,4.22,4.12,4.22,7000,0.0,0
1995-07-18,4.17,4.22,4.17,4.17,9300,0.0,0
1995-07-19,4.22,4.22,4.17,4.22,48900,0.0,0
1995-07-20,4.22,4.27,4.22,4.27,1700,0.0,0
1995-07-21,4.27,4.42,4.27,4.37,7700,0.0,0
1995-07-24,4.42,4.42,4.32,4.37,13200,0.0,0
1995-07-25,4.32,4.52,4.32,4.47,128300,0.0,0
1995-07-26,4.52,4.77,4.52,4.62,64500,0.0,0
1995-07-27,4.62,4.87,4.62,4.82,22500,0.0,0
1995-07-28,4.87,4.87,4.72,4.72,17600,0.0,0
1995-07-31,4.62,4.77,4.62,4.72,66700,0.0,0
1995-08-01,4.77,4.92,4.77,4.87,94100,0.0,0
1995-08-02,4.92,5.42,4.92,5.42,61700,0.0,0
1995-08-03,5.42,5.42,5.27,5.32,39500,0.0,0
1995-08-04,5.37,5.37,5.17,5.17,20400,0.0,0
1995-08-07,5.27,5.32,5.27,5.27,78500,0.0,0
1995-08-08,5.27,5.52,5.27,5.37,154100,0.0,0
1995-08-09,5.37,5.37,5.12,5.12,38900,0.0,0
1995-08-10,5.12,5.12,4.82,4.82,126000,0.0,0
1995-08-11,4.82,5.17,4.82,5.02,38100,0.0,0
1995-08-14,5.02,5.17,5.02,5.12,60700,0.0,0
1995-08-15,5.17,5.17,5.02,5.02,153200,0.0,0
1995-08-16,4.97,5.12,4.97,5.07,82600,0.0,0
1995-08-17,5.02,5.07,4.92,4.92,119900,0.0,0
1995-08-18,4.87,4.92,4.82,4.92,304500,0.0,0
1995-08-21,4.87,4.87,4.82,4.82,12000,0.0,0
1995-08-22,4.87,4.92,4.87,4.92,3300,0.0,0
1995-08-23,4.87,4.87,4.82,4.87,308600,0.0,0
1995-08-24,4.82,4.92,4.82,4.92,4300,0.0,0
1995-08-25,4.97,4.97,4.97,4.97,4000,0.0,0
1995-08-28,4.97,4.97,4.77,4.77,235700,0.0,0
1995-08-29,4.77,4.87,4.77,4.82,299700,0.0,0
1995-08-30,4.87,4.92,4.82,4.82,26000,0.0,0
1995-08-31,4.82,4.82,4.82,4.82,2400,0.0,0
1995-09-01,4.87,4.87,4.87,4.87,1900,0.0,0
1995-09-05,4.87,4.92,4.87,4.92,4400,0.0,0
1995-09-06,4.92,4.97,4.92,4.92,9400,0.0,0
1995-09-07,5.22,5.22,4.87,4.92,225800,0.0,0
1995-09-08,4.87,4.92,4.87,4.87,110400,0.0,0
1995-09-11,4.87,4.92,4.77,4.77,141900,0.0,0
1995-09-12,4.77,4.82,4.72,4.72,10300,0.0,0
1995-09-13,4.72,4.72,4.67,4.72,5000,0.0,0
1995-09-14,4.74,4.79,4.74,4.74,121600,0.05,0
1995-09-15,4.74,4.79,4.74,4.79,2800,0.0,0
1995-09-18,4.79,4.94,4.79,4.89,137900,0.0,0
1995-09-19,4.94,5.04,4.94,5.04,7500,0.0,0
1995-09-20,5.09,5.44,5.04,5.44,53300,0.0,0
1995-09-21,5.44,5.44,5.29,5.29,62500,0.0,0
1995-09-22,5.29,5.34,5.29,5.34,2200,0.0,0
1995-09-25,5.29,5.29,5.19,5.19,29500,0.0,0
1995-09-26,5.14,5.14,5.09,5.14,3500,0.0,0
1995-09-27,5.09,5.09,4.99,4.99,4700,0.0,0
1995-09-28,4.94,4.99,4.94,4.94,79900,0.0,0
1995-09-29,4.89,4.99,4.89,4.94,16400,0.0,0
1995-10-02,4.99,5.09,4.94,5.09,35000,0.0,0
1995-10-03,5.14,5.14,5.14,5.14,1600,0.0,0
1995-10-04,5.09,5.09,5.09,5.09,4000,0.0,0
1995-10-05,5.09,5.09,5.04,5.09,6500,0.0,0
1995-10-06,5.09,5.09,4.99,5.04,3900,0.0,0
1995-10-09,4.99,4.99,4.99,4.99,200,0.0,0
1995-10-10,4.94,4.94,4.84,4.84,8500,0.0,0
1995-10-11,4.89,4.89,4.89,4.89,500,0.0,0
1995-10-12,4.89,4.89,4.89,4.89,2000,0.0,0
1995-10-13,4.84,4.89,4.84,4.89,2000,0.0,0
1995-10-16,4.94,4.94,4.89,4.89,4700,0.0,0
1995-10-17,4.89,4.94,4.89,4.94,12600,0.0,0
1995-10-18,4.89,4.99,4.84,4.94,60800,0.0,0
1995-10-19,5.04,5.04,4.89,4.89,24900,0.0,0
1995-10-20,4.89,4.99,4.89,4.99,5700,0.0,0
1995-10-23,4.94,4.94,4.89,4.94,192700,0.0,0
1995-10-24,4.99,4.99,4.89,4.89,7400,0.0,0
1995-10-25,4.89,4.89,4.89,4.89,1000,0.0,0
1995-10-26,4.89,4.89,4.84,4.84,80400,0.0,0
1995-10-27,4.89,4.89,4.69,4.69,133200,0.0,0
1995-10-30,4.59,4.59,4.29,4.34,197100,0.0,0
1995-10-31,4.29,4.29,4.03,4.03,130200,0.0,0
1995-11-01,4.03,4.03,4.03,4.03,114300,0.0,0
1995-11-02,4.03,4.03,3.98,3.98,25400,0.0,0
1995-11-03,3.98,4.03,3.98,3.98,800,0.0,0
1995-11-06,4.03,4.03,3.98,3.98,14300,0.0,0
1995-11-07,3.98,3.98,3.93,3.93,7800,0.0,0
1995-11-08,3.93,3.98,3.93,3.93,35600,0.0,0
1995-11-09,3.93,3.98,3.93,3.98,2600,0.0,0
1995-11-10,3.98,3.98,3.98,3.98,16800,0.0,0
1995-11-13,3.93,3.98,3.93,3.98,12200,0.0,0
1995-11-14,3.93,3.93,3.93,3.93,23500,0.0,0
1995-11-15,4.03,4.03,3.98,3.98,2000,0.0,0
1995-11-16,3.98,3.98,3.83,3.93,10200,0.0,0
1995-11-17,3.88,3.88,3.83,3.88,164900,0.0,0
1995-11-20,3.93,3.93,3.63,3.63,204700,0.0,0
1995-11-21,3.68,3.68,3.63,3.63,4200,0.0,0
1995-11-22,3.63,3.63,3.63,3.63,1700,0.0,0
1995-11-24,3.58,3.58,3.58,3.58,800,0.0,0
1995-11-27,3.63,3.68,3.63,3.68,4600,0.0,0
1995-11-28,3.63,3.63,3.58,3.58,12000,0.0,0
1995-11-29,3.58,3.58,3.58,3.58,50000,0.0,0
1995-11-30,3.63,3.63,3.43,3.43,95500,0.0,0
1995-12-01,3.43,3.68,3.28,3.63,171400,0.0,0
1995-12-04,3.58,3.58,3.28,3.28,142800,0.0,0
1995-12-05,3.28,3.33,3.18,3.28,123500,0.0,0
1995-12-06,3.23,3.23,3.18,3.23,10100,0.0,0
1995-12-07,3.23,3.23,3.18,3.18,10500,0.0,0
1995-12-08,3.18,3.18,3.13,3.18,3200,0.0,0
1995-12-11,3.13,3.13,3.08,3.13,7900,0.0,0
1995-12-12,3.08,3.08,2.92,2.92,53200,0.0,0
1995-12-13,2.97,2.97,2.87,2.92,10700,0.0,0
1995-12-14,2.87,2.92,2.77,2.92,68600,0.0,0
1995-12-15,2.92,3.02,2.92,3.02,10300,0.0,0
1995-12-18,2.97,3.18,2.97,3.08,28200,0.0,0
1995-12-19,3.08,3.08,3.08,3.08,5200,0.0,0
1995-12-20,3.02,3.02,2.97,2.97,3400,0.0,0
1995-12-21,3.08,3.08,3.08,3.08,51000,0.0,0
1995-12-22,3.13,3.23,3.13,3.23,10100,0.0,0
1995-12-26,3.23,3.23,3.18,3.23,11400,0.0,0
1995-12-27,3.23,3.23,3.23,3.23,6400,0.0,0
1995-12-28,3.23,3.28,3.23,3.23,1100,0.0,0
1995-12-29,3.18,3.28,3.18,3.28,7500,0.0,0
1996-01-02,3.28,3.28,3.28,3.28,5000,0.0,0
1996-01-03,3.33,3.78,3.33,3.78,27600,0.0,0
