Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-06-01,0.0,0.71,0.71,0.71,74600,0.0,0.0
1972-06-02,0.71,0.72,0.71,0.72,227600,0.0,0.0
1972-06-05,0.72,0.72,0.72,0.72,96100,0.0,0.0
1972-06-06,0.72,0.72,0.71,0.72,77100,0.0,0.0
1972-06-07,0.71,0.71,0.7,0.7,121300,0.0,0.0
1972-06-08,0.7,0.71,0.7,0.7,328800,0.0,0.0
1972-06-09,0.7,0.7,0.69,0.69,232600,0.0,0.0
1972-06-12,0.69,0.7,0.69,0.7,182100,0.0,0.0
1972-06-13,0.7,0.71,0.7,0.71,203600,0.0,0.0
1972-06-14,0.71,0.72,0.71,0.72,168100,0.0,0.0
1972-06-15,0.72,0.73,0.72,0.72,699300,0.0,0.0
1972-06-16,0.72,0.72,0.71,0.72,54300,0.0,0.0
1972-06-19,0.72,0.72,0.71,0.71,159300,0.0,0.0
1972-06-20,0.71,0.72,0.71,0.72,56800,0.0,0.0
1972-06-21,0.72,0.72,0.72,0.72,112500,0.0,0.0
1972-06-22,0.72,0.72,0.72,0.72,73300,0.0,0.0
1972-06-23,0.72,0.72,0.71,0.71,106200,0.0,0.0
1972-06-26,0.72,0.72,0.71,0.71,74600,0.03558,0.0
1972-06-27,0.71,0.71,0.71,0.71,118800,0.0,0.0
1972-06-28,0.71,0.71,0.7,0.7,241500,0.0,0.0
1972-06-29,0.7,0.7,0.7,0.7,51800,0.0,0.0
1972-06-30,0.7,0.7,0.7,0.7,322400,0.0,0.0
1972-07-03,0.7,0.7,0.7,0.7,27700,0.0,0.0
1972-07-05,0.7,0.71,0.7,0.71,58100,0.0,0.0
1972-07-06,0.71,0.72,0.71,0.72,189600,0.0,0.0
1972-07-07,0.72,0.72,0.71,0.71,190900,0.0,0.0
1972-07-10,0.71,0.72,0.71,0.72,69500,0.0,0.0
1972-07-11,0.72,0.72,0.71,0.71,69500,0.0,0.0
1972-07-12,0.71,0.71,0.7,0.7,400800,0.0,0.0
1972-07-13,0.7,0.7,0.69,0.69,93500,0.0,0.0
1972-07-14,0.69,0.69,0.69,0.69,75800,0.0,0.0
1972-07-17,0.69,0.69,0.68,0.68,145400,0.0,0.0
1972-07-18,0.68,0.69,0.68,0.69,108700,0.0,0.0
1972-07-19,0.69,0.7,0.69,0.69,87200,0.0,0.0
1972-07-20,0.69,0.7,0.69,0.69,598100,0.0,0.0
1972-07-21,0.69,0.69,0.69,0.69,78300,0.0,0.0
1972-07-24,0.69,0.69,0.69,0.69,108700,0.0,0.0
1972-07-25,0.69,0.69,0.69,0.69,402100,0.0,0.0
1972-07-26,0.69,0.69,0.69,0.69,183300,0.0,0.0
1972-07-27,0.69,0.7,0.69,0.69,97300,0.0,0.0
1972-07-28,0.69,0.7,0.69,0.69,77100,0.0,0.0
1972-07-31,0.69,0.7,0.69,0.7,131400,0.0,0.0
1972-08-01,0.7,0.71,0.7,0.71,390700,0.0,0.0
1972-08-02,0.71,0.72,0.71,0.71,190900,0.0,0.0
1972-08-03,0.72,0.73,0.72,0.72,152900,0.0,0.0
1972-08-04,0.72,0.72,0.72,0.72,98600,0.0,0.0
1972-08-07,0.72,0.72,0.72,0.72,147900,0.0,0.0
1972-08-08,0.72,0.72,0.71,0.72,134000,0.0,0.0
1972-08-09,0.72,0.72,0.71,0.71,70700,0.0,0.0
1972-08-10,0.71,0.72,0.71,0.72,508300,0.0,0.0
1972-08-11,0.72,0.75,0.72,0.74,442600,0.0,0.0
1972-08-14,0.75,0.76,0.75,0.75,227600,0.0,0.0
1972-08-15,0.75,0.75,0.75,0.75,207300,0.0,0.0
1972-08-16,0.75,0.75,0.74,0.75,118800,0.0,0.0
1972-08-17,0.75,0.75,0.75,0.75,109900,0.0,0.0
1972-08-18,0.75,0.76,0.75,0.75,112500,0.0,0.0
1972-08-21,0.75,0.75,0.75,0.75,96100,0.0,0.0
1972-08-22,0.75,0.76,0.75,0.76,115000,0.0,0.0
1972-08-23,0.75,0.75,0.75,0.75,128900,0.0,0.0
1972-08-24,0.75,0.75,0.75,0.75,106200,0.0,0.0
1972-08-25,0.75,0.75,0.75,0.75,178300,0.0,0.0
1972-08-28,0.75,0.75,0.75,0.75,156700,0.0,0.0
1972-08-29,0.75,0.75,0.75,0.75,139100,0.0,0.0
1972-08-30,0.75,0.76,0.75,0.76,121300,0.0,0.0
1972-08-31,0.76,0.76,0.76,0.76,122600,0.0,0.0
1972-09-01,0.76,0.77,0.76,0.77,70700,0.0,0.0
1972-09-05,0.77,0.77,0.76,0.76,101100,0.0,0.0
1972-09-06,0.76,0.76,0.75,0.76,164300,0.0,0.0
1972-09-07,0.76,0.76,0.76,0.76,116300,0.0,0.0
1972-09-08,0.76,0.76,0.76,0.76,41700,0.0,0.0
1972-09-11,0.76,0.76,0.75,0.75,183300,0.0,0.0
1972-09-12,0.75,0.75,0.75,0.75,40400,0.0,0.0
1972-09-13,0.75,0.75,0.75,0.75,44200,0.0,0.0
1972-09-14,0.75,0.75,0.75,0.75,42900,0.0,0.0
1972-09-15,0.75,0.75,0.74,0.74,412200,0.0,0.0
1972-09-18,0.74,0.74,0.73,0.73,98600,0.0,0.0
1972-09-19,0.73,0.73,0.73,0.73,96100,0.0,0.0
1972-09-20,0.72,0.72,0.72,0.72,125100,0.0,0.0
1972-09-21,0.72,0.72,0.72,0.72,70700,0.0,0.0
1972-09-22,0.72,0.73,0.72,0.72,367900,0.0,0.0
1972-09-25,0.73,0.73,0.72,0.72,125100,0.03558,0.0
1972-09-26,0.72,0.72,0.72,0.72,154200,0.0,0.0
1972-09-27,0.72,0.72,0.72,0.72,146600,0.0,0.0
1972-09-28,0.73,0.74,0.73,0.74,214900,0.0,0.0
1972-09-29,0.74,0.75,0.74,0.75,713200,0.0,0.0
1972-10-02,0.75,0.75,0.74,0.75,88400,0.0,0.0
1972-10-03,0.75,0.75,0.75,0.75,69500,0.0,0.0
1972-10-04,0.75,0.75,0.74,0.74,97300,0.0,0.0
1972-10-05,0.74,0.74,0.73,0.73,74600,0.0,0.0
1972-10-06,0.73,0.73,0.72,0.73,151700,0.0,0.0
1972-10-09,0.73,0.73,0.73,0.73,50500,0.0,0.0
1972-10-10,0.73,0.74,0.73,0.73,55600,0.0,0.0
1972-10-11,0.73,0.73,0.73,0.73,109900,0.0,0.0
1972-10-12,0.73,0.73,0.72,0.73,61900,0.0,0.0
1972-10-13,0.72,0.72,0.72,0.72,92200,0.0,0.0
1972-10-16,0.72,0.72,0.71,0.71,60600,0.0,0.0
1972-10-17,0.71,0.72,0.71,0.71,192200,0.0,0.0
1972-10-18,0.72,0.73,0.72,0.73,245300,0.0,0.0
1972-10-19,0.73,0.74,0.73,0.73,297200,0.0,0.0
1972-10-20,0.73,0.74,0.73,0.74,244000,0.0,0.0
1972-10-23,0.74,0.75,0.74,0.74,145400,0.0,0.0
1972-10-24,0.74,0.75,0.74,0.74,93500,0.0,0.0
1972-10-25,0.75,0.75,0.75,0.75,360400,0.0,0.0
1972-10-26,0.75,0.75,0.74,0.74,383100,0.0,0.0
1972-10-27,0.74,0.75,0.74,0.75,149200,0.0,0.0
1972-10-30,0.75,0.75,0.74,0.75,183300,0.0,0.0
1972-10-31,0.75,0.75,0.74,0.75,237700,0.0,0.0
1972-11-01,0.75,0.76,0.75,0.76,94800,0.0,0.0
1972-11-02,0.76,0.76,0.76,0.76,115000,0.0,0.0
1972-11-03,0.77,0.78,0.77,0.78,304700,0.0,0.0
1972-11-06,0.78,0.78,0.78,0.78,275600,0.0,0.0
1972-11-08,0.78,0.78,0.78,0.78,337600,0.0,0.0
1972-11-09,0.78,0.78,0.77,0.78,182100,0.0,0.0
1972-11-10,0.78,0.79,0.78,0.78,202300,0.0,0.0
1972-11-13,0.78,0.79,0.78,0.79,169400,0.0,0.0
1972-11-14,0.78,0.78,0.78,0.78,126400,0.0,0.0
1972-11-15,0.78,0.79,0.78,0.79,247800,0.0,0.0
1972-11-16,0.79,0.82,0.79,0.82,534900,0.0,0.0
1972-11-17,0.82,0.83,0.82,0.82,1148300,0.0,0.0
1972-11-20,0.82,0.82,0.81,0.82,187100,0.0,0.0
1972-11-21,0.82,0.82,0.81,0.82,343900,0.0,0.0
1972-11-22,0.82,0.82,0.81,0.81,127700,0.0,0.0
1972-11-24,0.81,0.82,0.81,0.82,79600,0.0,0.0
1972-11-27,0.82,0.82,0.82,0.82,240200,0.0,0.0
1972-11-28,0.82,0.82,0.81,0.82,314800,0.0,0.0
1972-11-29,0.82,0.82,0.81,0.81,151700,0.0,0.0
1972-11-30,0.8,0.8,0.79,0.79,194700,0.0,0.0
1972-12-01,0.79,0.8,0.79,0.8,139100,0.0,0.0
1972-12-04,0.8,0.8,0.79,0.8,117600,0.0,0.0
1972-12-05,0.8,0.8,0.79,0.79,252900,0.0,0.0
1972-12-06,0.79,0.8,0.79,0.79,251600,0.0,0.0
1972-12-07,0.79,0.8,0.79,0.79,193400,0.0,0.0
1972-12-08,0.79,0.8,0.79,0.8,41700,0.0,0.0
1972-12-11,0.8,0.8,0.79,0.8,73300,0.0,0.0
1972-12-12,0.81,0.82,0.81,0.81,208600,0.0,0.0
1972-12-13,0.81,0.81,0.8,0.8,117600,0.0,0.0
1972-12-14,0.8,0.82,0.8,0.82,280700,0.0,0.0
1972-12-15,0.82,0.82,0.81,0.81,331300,0.0,0.0
1972-12-18,0.81,0.81,0.8,0.8,149200,0.0,0.0
1972-12-19,0.79,0.79,0.78,0.79,284500,0.0,0.0
1972-12-20,0.79,0.8,0.79,0.79,304700,0.0,0.0
1972-12-21,0.79,0.8,0.79,0.79,292000,0.0,0.0
1972-12-22,0.79,0.79,0.79,0.79,278200,0.03558,0.0
1972-12-26,0.79,0.79,0.79,0.79,118800,0.0,0.0
1972-12-27,0.79,0.79,0.78,0.79,321200,0.0,0.0
1972-12-29,0.79,0.87,0.79,0.8,323700,0.0,0.0
1973-01-02,0.8,0.8,0.79,0.8,247800,0.0,0.0
1973-01-03,0.81,0.83,0.81,0.83,350300,0.0,0.0
1973-01-04,0.83,0.83,0.82,0.83,259200,0.0,0.0
1973-01-05,0.83,0.83,0.82,0.82,188400,0.0,0.0
1973-01-08,0.82,0.83,0.82,0.82,190900,0.0,0.0
1973-01-09,0.82,0.83,0.82,0.82,120100,0.0,0.0
1973-01-10,0.82,0.82,0.81,0.81,154200,0.0,0.0
1973-01-11,0.81,0.81,0.8,0.81,208600,0.0,0.0
1973-01-12,0.81,0.81,0.8,0.8,255400,0.0,0.0
1973-01-15,0.8,0.81,0.8,0.8,287000,0.0,0.0
1973-01-16,0.8,0.8,0.79,0.8,116300,0.0,0.0
1973-01-17,0.8,0.82,0.8,0.82,144100,0.0,0.0
1973-01-18,0.82,0.82,0.81,0.82,515900,0.0,0.0
1973-01-19,0.82,0.82,0.81,0.81,158000,0.0,0.0
1973-01-22,0.81,0.81,0.8,0.8,278200,0.0,0.0
1973-01-23,0.8,0.8,0.79,0.79,465300,0.0,0.0
1973-01-24,0.79,0.8,0.78,0.78,332500,0.0,0.0
1973-01-26,0.78,0.78,0.77,0.78,299700,0.0,0.0
1973-01-29,0.78,0.78,0.77,0.77,149200,0.0,0.0
1973-01-30,0.77,0.78,0.77,0.77,437500,0.0,0.0
1973-01-31,0.77,0.77,0.76,0.76,203600,0.0,0.0
1973-02-01,0.76,0.77,0.76,0.76,263000,0.0,0.0
1973-02-02,0.76,0.77,0.76,0.77,147900,0.0,0.0
1973-02-05,0.77,0.77,0.77,0.77,214900,0.0,0.0
1973-02-06,0.77,0.78,0.77,0.78,127700,0.0,0.0
1973-02-07,0.78,0.79,0.78,0.78,241500,0.0,0.0
1973-02-08,0.78,0.78,0.78,0.78,111200,0.0,0.0
1973-02-09,0.78,0.81,0.78,0.8,453900,0.0,0.0
1973-02-12,0.82,0.82,0.82,0.82,226300,0.0,0.0
1973-02-13,0.83,0.86,0.83,0.84,680400,0.0,0.0
1973-02-14,0.84,0.84,0.82,0.83,278200,0.0,0.0
1973-02-15,0.83,0.83,0.82,0.82,217400,0.0,0.0
1973-02-16,0.82,0.82,0.8,0.81,231400,0.0,0.0
1973-02-20,0.81,0.82,0.81,0.82,122600,0.0,0.0
1973-02-21,0.82,0.82,0.82,0.82,85900,0.0,0.0
1973-02-22,0.82,0.83,0.82,0.83,87200,0.0,0.0
1973-02-23,0.83,0.83,0.82,0.82,131400,0.0,0.0
1973-02-26,0.82,0.82,0.81,0.82,161800,0.0,0.0
1973-02-27,0.82,0.82,0.8,0.8,190900,0.0,0.0
1973-02-28,0.8,0.8,0.79,0.8,412200,0.0,0.0
1973-03-01,0.8,0.8,0.79,0.79,464100,0.0,0.0
1973-03-02,0.79,0.8,0.79,0.8,233900,0.0,0.0
1973-03-05,0.8,0.81,0.8,0.81,221300,0.0,0.0
1973-03-06,0.81,0.82,0.81,0.82,293300,0.0,0.0
1973-03-07,0.82,0.84,0.82,0.82,376800,0.0,0.0
1973-03-08,0.82,0.83,0.82,0.82,524800,0.0,0.0
1973-03-09,0.82,0.82,0.82,0.82,168100,0.0,0.0
1973-03-12,0.82,0.82,0.81,0.81,298400,0.0,0.0
1973-03-13,0.81,0.82,0.81,0.81,479300,0.0,0.0
1973-03-14,0.81,0.82,0.81,0.82,314800,0.0,0.0
1973-03-15,0.82,0.82,0.81,0.81,309800,0.0,0.0
1973-03-16,0.81,0.82,0.81,0.81,223800,0.0,0.0
1973-03-19,0.81,0.81,0.79,0.79,184600,0.0,0.0
1973-03-20,0.79,0.8,0.79,0.8,294600,0.0,0.0
1973-03-21,0.81,0.81,0.81,0.81,102400,0.0,0.0
1973-03-22,0.8,0.8,0.78,0.79,471600,0.0,0.0
1973-03-23,0.79,0.8,0.78,0.79,464100,0.0,0.0
1973-03-26,0.79,0.8,0.79,0.8,347700,0.03558,0.0
1973-03-27,0.8,0.81,0.8,0.81,108700,0.0,0.0
1973-03-28,0.81,0.82,0.81,0.81,150400,0.0,0.0
1973-03-29,0.81,0.82,0.81,0.82,84700,0.0,0.0
1973-03-30,0.82,0.83,0.82,0.83,413500,0.0,0.0
1973-04-02,0.82,0.82,0.81,0.81,121300,0.0,0.0
1973-04-03,0.81,0.81,0.79,0.8,178300,0.0,0.0
1973-04-04,0.8,0.8,0.79,0.79,111200,0.0,0.0
1973-04-05,0.79,0.79,0.78,0.79,175700,0.0,0.0
1973-04-06,0.79,0.79,0.78,0.79,241500,0.0,0.0
1973-04-09,0.8,0.81,0.8,0.81,156700,0.0,0.0
1973-04-10,0.81,0.83,0.81,0.83,247800,0.0,0.0
1973-04-11,0.83,0.83,0.82,0.83,204800,0.0,0.0
1973-04-12,0.83,0.83,0.82,0.83,484300,0.0,0.0
1973-04-13,0.83,0.83,0.82,0.82,121300,0.0,0.0
1973-04-16,0.82,0.83,0.82,0.82,79600,0.0,0.0
1973-04-17,0.82,0.83,0.82,0.82,174400,0.0,0.0
1973-04-18,0.83,0.83,0.83,0.83,180800,0.0,0.0
1973-04-19,0.83,0.85,0.83,0.84,182100,0.0,0.0
1973-04-23,0.84,0.84,0.84,0.84,146600,0.0,0.0
1973-04-24,0.84,0.85,0.83,0.83,345200,0.0,0.0
1973-04-25,0.83,0.83,0.82,0.82,134000,0.0,0.0
1973-04-26,0.82,0.82,0.8,0.81,423600,0.0,0.0
1973-04-27,0.81,0.82,0.8,0.8,179500,0.0,0.0
1973-04-30,0.8,0.8,0.79,0.8,168100,0.0,0.0
1973-05-01,0.8,0.81,0.79,0.81,156700,0.0,0.0
1973-05-02,0.82,0.83,0.82,0.83,298400,0.0,0.0
1973-05-03,0.83,0.84,0.82,0.84,472900,0.0,0.0
1973-05-04,0.84,0.85,0.84,0.84,265500,0.0,0.0
1973-05-07,0.84,0.86,0.84,0.86,346400,0.0,0.0
1973-05-08,0.86,0.87,0.85,0.86,271800,0.0,0.0
1973-05-09,0.86,0.86,0.85,0.85,198500,0.0,0.0
1973-05-10,0.84,0.84,0.81,0.82,225700,0.0,2.0
1973-05-11,0.82,0.82,0.81,0.82,139100,0.0,0.0
1973-05-14,0.8,0.8,0.79,0.79,254100,0.0,0.0
1973-05-15,0.79,0.79,0.78,0.79,314800,0.0,0.0
1973-05-16,0.79,0.79,0.78,0.79,214900,0.0,0.0
1973-05-17,0.79,0.8,0.78,0.78,148600,0.0,0.0
1973-05-18,0.78,0.78,0.75,0.75,302200,0.0,0.0
1973-05-21,0.75,0.75,0.73,0.75,257300,0.0,0.0
1973-05-22,0.78,0.82,0.78,0.82,325600,0.0,0.0
1973-05-23,0.82,0.83,0.8,0.81,281300,0.0,0.0
1973-05-24,0.81,0.85,0.8,0.85,262300,0.0,0.0
1973-05-25,0.85,0.85,0.83,0.85,387500,0.0,0.0
1973-05-29,0.85,0.85,0.81,0.81,125100,0.0,0.0
1973-05-30,0.81,0.83,0.8,0.8,120100,0.0,0.0
1973-05-31,0.8,0.8,0.77,0.77,241500,0.0,0.0
1973-06-01,0.77,0.79,0.76,0.79,211800,0.0,0.0
1973-06-04,0.77,0.77,0.76,0.76,163100,0.0,0.0
1973-06-05,0.76,0.81,0.76,0.81,141600,0.0,0.0
1973-06-06,0.81,0.83,0.79,0.8,144100,0.0,0.0
1973-06-07,0.8,0.83,0.8,0.83,165600,0.0,0.0
