Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-06-01,0.0,0.12,0.12,0.12,552000,0.0,0.0
1972-06-02,0.12,0.12,0.12,0.12,396000,0.0,0.0
1972-06-05,0.12,0.12,0.12,0.12,242400,0.0,0.0
1972-06-06,0.12,0.12,0.12,0.12,448800,0.0,0.0
1972-06-07,0.12,0.12,0.12,0.12,578400,0.0,0.0
1972-06-08,0.12,0.12,0.12,0.12,208800,0.0,0.0
1972-06-09,0.12,0.12,0.12,0.12,21600,0.0,0.0
1972-06-12,0.12,0.12,0.11,0.11,124800,0.0,0.0
1972-06-13,0.11,0.11,0.11,0.11,276000,0.0,0.0
1972-06-14,0.11,0.12,0.11,0.12,211200,0.0,0.0
1972-06-15,0.12,0.12,0.11,0.12,249600,0.0,0.0
1972-06-16,0.12,0.12,0.12,0.12,309600,0.0,0.0
1972-06-19,0.12,0.12,0.12,0.12,55200,0.0,0.0
1972-06-20,0.12,0.12,0.12,0.12,192000,0.0,0.0
1972-06-21,0.12,0.12,0.12,0.12,223200,0.0,0.0
1972-06-22,0.12,0.12,0.11,0.11,175200,0.0,0.0
1972-06-23,0.11,0.11,0.11,0.11,141600,0.0,0.0
1972-06-26,0.11,0.11,0.11,0.11,518400,0.0,0.0
1972-06-27,0.11,0.11,0.11,0.11,199200,0.0,0.0
1972-06-28,0.11,0.11,0.11,0.11,93600,0.0,0.0
1972-06-29,0.11,0.11,0.11,0.11,182400,0.0,0.0
1972-06-30,0.11,0.11,0.11,0.11,410400,0.0,0.0
1972-07-03,0.11,0.11,0.11,0.11,132000,0.0,0.0
1972-07-05,0.11,0.11,0.11,0.11,146400,0.0,0.0
1972-07-06,0.11,0.11,0.11,0.11,962400,0.0,0.0
1972-07-07,0.11,0.11,0.11,0.11,645600,0.0,0.0
1972-07-10,0.11,0.11,0.11,0.11,580800,0.0,0.0
1972-07-11,0.11,0.11,0.11,0.11,132000,0.0,0.0
1972-07-12,0.11,0.11,0.11,0.11,403200,0.0,0.0
1972-07-13,0.11,0.11,0.11,0.11,2688000,0.0,0.0
1972-07-14,0.11,0.11,0.11,0.11,127200,0.0,0.0
1972-07-17,0.11,0.11,0.11,0.11,132000,0.0,0.0
1972-07-18,0.11,0.11,0.11,0.11,427200,0.0,0.0
1972-07-19,0.11,0.11,0.11,0.11,100800,0.0,0.0
1972-07-20,0.11,0.11,0.11,0.11,360000,0.0,0.0
1972-07-21,0.11,0.11,0.11,0.11,612000,0.0,0.0
1972-07-24,0.11,0.11,0.11,0.11,170400,0.0,0.0
1972-07-25,0.11,0.11,0.11,0.11,136800,0.0,0.0
1972-07-26,0.11,0.11,0.11,0.11,388800,0.0,0.0
1972-07-27,0.11,0.11,0.11,0.11,249600,0.0,0.0
