Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-11-13,20.67,21.7,20.43,21.36,22079100,0.0,0
2009-11-16,21.52,21.7,20.79,21.7,2080000,0.0,0
2009-11-17,21.64,21.77,21.14,21.65,1328000,0.0,0
2009-11-18,21.61,21.63,21.14,21.19,918300,0.0,0
2009-11-19,20.92,21.74,20.92,21.49,1031500,0.0,0
2009-11-20,21.14,21.92,21.14,21.81,1080900,0.0,0
2009-11-23,22.27,22.53,21.78,21.99,741100,0.0,0
2009-11-24,22.17,22.22,21.84,22.08,633100,0.0,0
2009-11-25,21.61,22.36,21.6,22.3,362600,0.0,0
2009-11-27,21.37,21.89,21.37,21.75,141400,0.0,0
2009-11-30,21.72,21.72,21.25,21.61,853000,0.0,0
2009-12-01,22.02,22.14,21.61,21.9,803500,0.0,0
2009-12-02,21.88,22.31,21.84,22.17,571300,0.0,0
2009-12-03,22.38,22.38,21.61,21.9,410000,0.0,0
2009-12-04,22.05,22.53,21.89,22.41,318100,0.0,0
2009-12-07,22.33,22.33,21.87,22.2,271500,0.0,0
2009-12-08,22.08,22.31,21.61,22.2,652900,0.0,0
2009-12-09,22.2,22.66,22.08,22.55,609400,0.0,0
2009-12-10,23.27,23.27,21.98,22.27,848400,0.0,0
2009-12-11,22.17,22.3,21.71,21.93,600300,0.0,0
2009-12-14,21.88,21.92,21.37,21.42,489100,0.0,0
2009-12-15,21.42,21.51,21.16,21.32,700100,0.0,0
2009-12-16,21.46,21.66,21.19,21.36,585400,0.0,0
2009-12-17,21.37,21.37,20.74,21.08,634000,0.0,0
2009-12-18,21.24,21.24,20.77,21.21,2105100,0.0,0
2009-12-21,21.14,21.24,20.83,21.23,536400,0.0,0
2009-12-22,21.21,21.24,20.95,21.05,766100,0.0,0
2009-12-23,21.82,21.84,21.05,21.06,1103000,0.0,0
2009-12-24,21.1,21.23,20.76,20.81,254300,0.0,0
2009-12-28,20.81,21.31,20.81,21.25,804300,0.0,0
2009-12-29,21.32,21.42,21.17,21.24,123500,0.0,0
2009-12-30,21.16,21.42,21.16,21.24,173300,0.0,0
2009-12-31,21.42,21.46,21.03,21.07,156700,0.0,0
2010-01-04,21.19,21.99,21.05,21.68,437200,0.0,0
2010-01-05,21.61,21.85,21.57,21.85,283600,0.0,0
2010-01-06,22.17,22.45,21.99,22.15,968100,0.0,0
2010-01-07,22.13,22.34,21.99,22.3,360700,0.0,0
2010-01-08,22.21,22.69,21.91,22.43,967300,0.0,0
2010-01-11,22.41,22.62,22.32,22.55,253500,0.0,0
2010-01-12,22.41,22.55,22.14,22.5,517700,0.0,0
2010-01-13,22.5,22.92,22.37,22.83,596300,0.0,0
2010-01-14,22.72,22.74,22.48,22.74,201500,0.0,0
2010-01-15,22.96,23.02,22.64,22.89,202100,0.0,0
2010-01-19,22.92,23.39,22.76,23.07,679300,0.0,0
2010-01-20,23.03,23.3,22.78,23.03,589800,0.0,0
2010-01-21,23.05,23.23,22.45,22.53,203300,0.0,0
2010-01-22,22.54,22.59,21.39,21.93,892700,0.0,0
2010-01-25,22.21,22.21,21.67,21.94,119500,0.0,0
2010-01-26,21.99,22.25,21.91,22.11,164800,0.0,0
2010-01-27,22.17,22.17,21.96,22.13,175300,0.0,0
2010-01-28,22.35,22.66,21.98,22.4,131400,0.0,0
2010-01-29,22.55,22.55,21.83,22.07,337800,0.0,0
2010-02-01,22.25,22.25,21.73,21.96,407500,0.0,0
2010-02-02,21.92,22.29,21.79,22.2,208300,0.0,0
2010-02-03,22.17,22.42,21.99,22.4,827700,0.0,0
2010-02-04,22.21,22.31,21.0,21.11,714000,0.0,0
2010-02-05,21.06,21.21,20.01,20.4,1137100,0.0,0
2010-02-08,20.56,21.26,20.44,21.04,208100,0.0,0
2010-02-09,21.13,21.38,20.92,21.2,220700,0.0,0
2010-02-10,21.03,21.03,20.55,20.72,403900,0.0,0
