Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-12-17,2.95,2.95,2.76,2.76,1272400,0.0,0.0
1996-12-18,2.76,2.83,2.61,2.81,1186800,0.0,0.0
1996-12-19,2.83,2.93,2.83,2.88,528800,0.0,0.0
1996-12-20,2.86,2.93,2.86,2.93,233200,0.0,0.0
1996-12-23,2.95,3.03,2.93,3.0,57200,0.0,0.0
1996-12-24,3.03,3.08,3.03,3.08,14000,0.0,0.0
1996-12-26,3.08,3.1,3.0,3.0,22000,0.0,0.0
1996-12-27,3.0,3.0,3.0,3.0,800,0.0,0.0
1996-12-30,3.03,3.03,2.98,2.98,28400,0.0,0.0
1996-12-31,2.95,2.98,2.95,2.98,15600,0.0,0.0
1997-01-02,2.95,2.95,2.88,2.88,710000,0.0,0.0
1997-01-03,2.88,2.98,2.88,2.95,1579600,0.0,0.0
1997-01-06,2.98,3.0,2.95,2.98,2490800,0.0,0.0
1997-01-07,3.0,3.15,2.98,3.15,641200,0.0,0.0
1997-01-08,3.2,3.3,3.18,3.18,336000,0.0,0.0
1997-01-09,3.18,3.23,3.18,3.2,459200,0.0,0.0
1997-01-10,3.23,3.25,3.2,3.23,812800,0.0,0.0
1997-01-13,3.23,3.23,3.15,3.2,3370000,0.0,0.0
1997-01-14,3.32,3.5,3.3,3.5,2018000,0.0,0.0
1997-01-15,3.4,3.42,3.23,3.23,2648400,0.0,0.0
1997-01-16,3.15,3.2,3.13,3.15,2926000,0.0,0.0
1997-01-17,3.15,3.2,3.13,3.18,1323600,0.0,0.0
1997-01-20,3.15,3.18,3.13,3.13,2368400,0.0,0.0
1997-01-21,3.15,3.18,3.15,3.15,2347200,0.0,0.0
1997-01-22,3.18,3.18,3.15,3.15,2797600,0.0,0.0
1997-01-23,3.2,3.27,3.2,3.23,1058800,0.0,0.0
1997-01-24,3.23,3.37,3.18,3.18,1254800,0.0,0.0
1997-01-27,3.18,3.23,3.18,3.18,1658000,0.0,0.0
1997-01-28,3.18,3.3,3.15,3.15,1005600,0.0,0.0
1997-01-29,3.15,3.23,3.13,3.15,1512000,0.0,0.0
1997-01-30,3.15,3.2,3.13,3.15,2211200,0.0,0.0
1997-01-31,3.1,3.15,3.08,3.1,1540400,0.0,0.0
1997-02-03,3.1,3.2,3.08,3.2,1889600,0.0,0.0
1997-02-04,3.2,3.25,3.18,3.25,1865600,0.0,0.0
1997-02-05,3.25,3.27,3.23,3.27,458400,0.0,0.0
1997-02-06,3.25,3.27,3.25,3.25,643600,0.0,0.0
1997-02-07,3.25,3.32,3.23,3.3,2542800,0.0,0.0
1997-02-10,3.25,3.27,3.23,3.25,944000,0.0,0.0
1997-02-11,3.2,3.27,3.2,3.25,772000,0.0,0.0
1997-02-12,3.23,3.25,3.2,3.23,400400,0.0,0.0
1997-02-13,3.23,3.37,3.23,3.32,1190800,0.0,0.0
1997-02-14,3.32,3.32,3.23,3.25,1210800,0.0,0.0
1997-02-18,3.2,3.27,3.2,3.25,2076800,0.0,0.0
1997-02-19,3.23,3.3,3.23,3.27,830800,0.0,0.0
1997-02-20,3.25,3.45,3.25,3.32,1074000,0.0,0.0
1997-02-21,3.32,3.37,3.3,3.35,638800,0.0,0.0
1997-02-24,3.35,3.47,3.35,3.47,1108000,0.0,0.0
1997-02-25,3.47,3.52,3.45,3.5,462000,0.0,0.0
1997-02-26,3.45,3.47,3.4,3.42,525600,0.0,0.0
1997-02-27,3.4,3.5,3.35,3.37,854800,0.0,0.0
1997-02-28,3.27,3.37,3.2,3.32,514400,0.0,0.0
1997-03-03,3.27,3.4,3.27,3.32,385600,0.0,0.0
1997-03-04,3.35,3.35,3.3,3.32,803600,0.0,0.0
1997-03-05,3.3,3.32,3.23,3.27,1542000,0.0,0.0
1997-03-06,3.27,3.27,3.23,3.25,408800,0.0,0.0
1997-03-07,3.23,3.25,3.13,3.2,968400,0.0,0.0
1997-03-10,3.2,3.25,3.2,3.23,331200,0.0,0.0
1997-03-11,3.23,3.27,3.23,3.23,1434000,0.0,0.0
1997-03-12,3.23,3.25,3.23,3.25,558000,0.0,0.0
1997-03-13,3.2,3.23,3.2,3.2,362800,0.0,0.0
1997-03-14,3.2,3.25,3.2,3.23,964800,0.0,0.0
1997-03-17,3.23,3.23,3.15,3.15,387600,0.0,0.0
1997-03-18,3.2,3.2,3.15,3.18,303600,0.0,0.0
1997-03-19,3.18,3.23,3.18,3.23,2478000,0.0,0.0
1997-03-20,3.23,3.23,3.18,3.2,196000,0.0,0.0
1997-03-21,3.18,3.23,3.13,3.15,806000,0.0,0.0
1997-03-24,3.13,3.15,3.08,3.08,227600,0.0,0.0
1997-03-25,3.03,3.1,2.98,3.0,256400,0.0,0.0
1997-03-26,2.95,2.98,2.88,2.98,317600,0.0,0.0
1997-03-27,2.95,3.03,2.95,3.0,231200,0.0,0.0
1997-03-31,2.98,3.03,2.93,2.93,335200,0.0,0.0
1997-04-01,2.93,2.95,2.91,2.91,514400,0.0,0.0
1997-04-02,2.91,2.93,2.88,2.88,270000,0.0,0.0
1997-04-03,2.91,2.93,2.88,2.91,285600,0.0,0.0
1997-04-04,2.91,2.93,2.91,2.91,2198000,0.0,0.0
1997-04-07,2.91,2.91,2.86,2.88,146800,0.0,0.0
1997-04-08,2.86,2.93,2.81,2.93,271200,0.0,0.0
1997-04-09,2.91,2.98,2.88,2.98,386400,0.0,0.0
1997-04-10,2.95,3.1,2.95,3.03,167200,0.0,0.0
1997-04-11,2.95,2.98,2.88,2.88,537600,0.0,0.0
1997-04-14,2.88,2.91,2.83,2.83,390000,0.0,0.0
1997-04-15,2.83,2.88,2.83,2.88,276800,0.0,0.0
1997-04-16,2.86,2.95,2.86,2.95,248400,0.0,0.0
1997-04-17,3.08,3.18,3.08,3.13,2013600,0.0,0.0
1997-04-18,3.13,3.15,3.13,3.15,385200,0.0,0.0
1997-04-21,3.15,3.2,3.13,3.15,569200,0.0,0.0
1997-04-22,3.15,3.15,3.15,3.15,246400,0.0,0.0
1997-04-23,3.15,3.18,3.15,3.15,145200,0.0,0.0
1997-04-24,3.15,3.18,3.15,3.15,533600,0.0,0.0
1997-04-25,3.15,3.18,3.15,3.15,140400,0.0,0.0
1997-04-28,3.15,3.18,3.15,3.15,106800,0.0,0.0
1997-04-29,3.18,3.3,3.18,3.3,478400,0.0,0.0
1997-04-30,3.32,3.55,3.3,3.47,1580000,0.0,0.0
1997-05-01,3.42,3.47,3.42,3.45,648800,0.0,0.0
1997-05-02,3.42,3.64,3.42,3.62,362400,0.0,0.0
1997-05-05,3.59,3.62,3.55,3.57,490400,0.0,0.0
1997-05-06,3.52,3.62,3.5,3.59,332000,0.0,0.0
1997-05-07,3.59,3.62,3.57,3.57,290400,0.0,0.0
1997-05-08,3.55,3.57,3.5,3.52,226000,0.0,0.0
1997-05-09,3.52,3.59,3.52,3.52,116400,0.0,0.0
1997-05-12,3.64,3.77,3.62,3.74,253600,0.0,0.0
1997-05-13,3.69,3.74,3.67,3.72,128800,0.0,0.0
1997-05-14,3.67,3.67,3.55,3.57,277600,0.0,0.0
1997-05-15,3.55,3.62,3.55,3.57,274800,0.0,0.0
1997-05-16,3.57,3.57,3.5,3.52,292400,0.0,0.0
1997-05-19,3.5,3.55,3.47,3.52,132000,0.0,0.0
1997-05-20,3.52,3.52,3.47,3.47,115600,0.0,0.0
1997-05-21,3.47,3.55,3.47,3.52,106800,0.0,0.0
1997-05-22,3.47,3.84,3.47,3.84,452800,0.0,0.0
1997-05-23,3.79,3.79,3.69,3.69,63200,0.0,0.0
1997-05-27,3.64,3.69,3.64,3.69,138800,0.0,0.0
1997-05-28,3.69,3.74,3.67,3.72,121200,0.0,0.0
1997-05-29,3.72,3.77,3.69,3.74,132400,0.0,0.0
1997-05-30,3.64,3.67,3.62,3.64,279200,0.0,0.0
1997-06-02,3.62,3.72,3.62,3.67,411600,0.0,0.0
1997-06-03,3.67,3.69,3.67,3.69,122400,0.0,0.0
1997-06-04,3.67,3.72,3.67,3.72,71600,0.0,0.0
1997-06-05,3.69,3.77,3.69,3.74,309600,0.0,0.0
1997-06-06,3.74,3.89,3.74,3.89,172000,0.0,0.0
1997-06-09,3.87,3.99,3.84,3.94,220000,0.0,0.0
1997-06-10,3.94,3.99,3.94,3.94,97200,0.0,0.0
1997-06-11,3.94,3.94,3.82,3.82,638000,0.0,0.0
1997-06-12,3.82,3.94,3.82,3.94,259600,0.0,0.0
1997-06-13,3.91,3.96,3.91,3.91,91600,0.0,0.0
1997-06-16,3.87,3.99,3.87,3.99,184800,0.0,0.0
1997-06-17,3.91,3.91,3.84,3.91,427200,0.0,0.0
1997-06-18,3.89,3.94,3.89,3.94,391600,0.0,0.0
1997-06-19,3.91,3.94,3.89,3.91,142400,0.0,0.0
1997-06-20,3.91,3.94,3.91,3.91,437200,0.0,0.0
1997-06-23,3.89,3.94,3.89,3.91,172400,0.0,0.0
1997-06-24,3.87,3.87,3.78,3.82,323600,0.0,0.0
1997-06-25,3.79,3.83,3.74,3.74,246000,0.0,0.0
1997-06-26,3.72,3.74,3.69,3.74,452400,0.0,0.0
1997-06-27,3.72,3.74,3.72,3.74,236000,0.0,0.0
1997-06-30,3.73,4.11,3.72,4.05,705600,0.0,0.0
1997-07-01,3.94,3.94,3.84,3.87,201200,0.0,0.0
1997-07-02,3.87,3.89,3.84,3.84,384400,0.0,0.0
1997-07-03,3.82,3.89,3.82,3.83,210400,0.0,0.0
1997-07-07,3.83,3.84,3.82,3.83,710800,0.0,0.0
1997-07-08,3.83,3.96,3.8,3.95,148000,0.0,0.0
1997-07-09,3.93,3.94,3.82,3.87,171600,0.0,0.0
1997-07-10,3.82,3.83,3.73,3.74,964000,0.0,0.0
1997-07-11,3.74,3.74,3.72,3.74,105600,0.0,0.0
1997-07-14,3.74,3.77,3.69,3.75,654000,0.0,0.0
1997-07-15,3.75,3.79,3.75,3.79,167200,0.0,0.0
1997-07-16,3.8,4.0,3.8,3.96,280000,0.0,0.0
1997-07-17,3.87,3.87,3.72,3.72,255200,0.0,0.0
1997-07-18,3.71,3.71,3.61,3.61,116400,0.0,0.0
1997-07-21,3.62,3.62,3.55,3.57,226800,0.0,0.0
1997-07-22,3.55,3.56,3.52,3.53,314000,0.0,0.0
1997-07-23,3.52,3.55,3.52,3.55,258800,0.0,0.0
1997-07-24,3.55,3.55,3.45,3.45,148400,0.0,0.0
1997-07-25,3.45,3.45,3.31,3.32,276000,0.0,0.0
1997-07-28,3.3,3.35,3.27,3.34,248400,0.0,0.0
1997-07-29,3.34,3.41,3.34,3.4,306000,0.0,0.0
