Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1978-12-29,0.0,0.05,0.05,0.05,654200,0.0,0.0
1979-01-02,0.05,0.05,0.05,0.05,0,0.0,0.0
1979-01-03,0.0,0.06,0.05,0.05,168800,0.0,0.0
1979-01-04,0.0,0.06,0.05,0.06,177200,0.0,0.0
1979-01-05,0.0,0.06,0.06,0.06,333400,0.0,0.0
1979-01-08,0.0,0.06,0.06,0.06,299600,0.0,0.0
1979-01-09,0.0,0.06,0.06,0.06,818800,0.0,0.0
1979-01-10,0.0,0.06,0.06,0.06,502200,0.0,0.0
1979-01-11,0.0,0.06,0.06,0.06,143500,0.0,0.0
1979-01-12,0.0,0.06,0.06,0.06,582400,0.0,0.0
1979-01-15,0.0,0.06,0.06,0.06,194100,0.0,0.0
1979-01-16,0.0,0.06,0.06,0.06,447400,0.0,0.0
1979-01-17,0.0,0.06,0.06,0.06,177200,0.0,0.0
1979-01-18,0.0,0.06,0.06,0.06,88600,0.0,0.0
1979-01-19,0.0,0.06,0.06,0.06,624600,0.0,0.0
1979-01-22,0.0,0.06,0.06,0.06,590900,0.0,0.0
1979-01-23,0.0,0.06,0.06,0.06,54800,0.0,0.0
1979-01-24,0.0,0.06,0.06,0.06,388300,0.0,0.0
1979-01-25,0.0,0.06,0.06,0.06,173000,0.0,0.0
1979-01-26,0.0,0.06,0.06,0.06,160300,0.0,0.0
1979-01-29,0.0,0.06,0.06,0.06,189900,0.0,0.0
1979-01-30,0.0,0.06,0.06,0.06,156100,0.0,0.0
1979-01-31,0.0,0.06,0.06,0.06,240500,0.0,0.0
1979-02-01,0.0,0.06,0.05,0.05,362900,0.0,0.0
1979-02-02,0.0,0.05,0.05,0.05,122400,0.0,0.0
1979-02-05,0.0,0.05,0.05,0.05,173000,0.0,0.0
1979-02-06,0.0,0.05,0.05,0.05,88600,0.0,0.0
1979-02-07,0.0,0.05,0.05,0.05,143500,0.0,0.0
1979-02-08,0.0,0.05,0.05,0.05,181400,0.0,0.0
1979-02-09,0.0,0.05,0.05,0.05,215200,0.0,0.0
1979-02-12,0.0,0.06,0.05,0.06,650000,0.0,0.0
1979-02-13,0.0,0.06,0.05,0.06,430500,0.0,0.0
1979-02-14,0.0,0.06,0.05,0.05,156100,0.0,0.0
1979-02-15,0.0,0.05,0.05,0.05,101200,0.0,0.0
1979-02-16,0.0,0.06,0.05,0.05,312300,0.0,0.0
1979-02-20,0.0,0.06,0.05,0.06,181400,0.0,0.0
1979-02-21,0.0,0.05,0.05,0.05,384000,0.0,0.0
1979-02-22,0.0,0.06,0.05,0.06,928500,0.0,0.0
1979-02-23,0.0,0.06,0.06,0.06,1000300,0.0,0.0
1979-02-26,0.0,0.06,0.06,0.06,253200,0.0,0.0
1979-02-27,0.0,0.06,0.06,0.06,498000,0.0,0.0
1979-02-28,0.0,0.06,0.06,0.06,991800,0.0,0.0
1979-03-01,0.0,0.06,0.06,0.06,249000,0.0,0.0
1979-03-02,0.0,0.06,0.06,0.06,274300,0.0,0.0
1979-03-05,0.0,0.06,0.06,0.06,223700,0.0,0.0
1979-03-06,0.0,0.06,0.06,0.06,156100,0.0,0.0
1979-03-07,0.0,0.06,0.06,0.06,282700,0.0,0.0
1979-03-08,0.0,0.07,0.06,0.07,1836000,0.0,0.0
1979-03-09,0.0,0.07,0.07,0.07,886300,0.0,0.0
1979-03-12,0.0,0.07,0.07,0.07,1599600,0.0,0.0
1979-03-13,0.0,0.07,0.07,0.07,552900,0.0,0.0
1979-03-14,0.0,0.07,0.07,0.07,485300,0.0,0.0
1979-03-15,0.0,0.07,0.07,0.07,177200,0.0,0.0
1979-03-16,0.0,0.07,0.07,0.07,1059400,0.0,0.0
1979-03-19,0.0,0.07,0.07,0.07,1034000,0.0,0.0
1979-03-20,0.0,0.07,0.07,0.07,519100,0.0,0.0
1979-03-21,0.0,0.08,0.07,0.08,1253500,0.0,0.0
1979-03-22,0.0,0.08,0.08,0.08,1063600,0.0,0.0
1979-03-23,0.0,0.08,0.07,0.07,460000,0.0,0.0
1979-03-26,0.0,0.07,0.07,0.07,434700,0.0,0.0
1979-03-27,0.0,0.07,0.07,0.07,569800,0.0,0.0
1979-03-28,0.0,0.07,0.07,0.07,303800,0.0,0.0
1979-03-29,0.0,0.07,0.07,0.07,173000,0.0,0.0
1979-03-30,0.0,0.07,0.07,0.07,346100,0.0,0.0
1979-04-02,0.0,0.07,0.07,0.07,371400,0.0,0.0
1979-04-03,0.0,0.08,0.07,0.08,2296100,0.0,0.0
1979-04-04,0.0,0.08,0.08,0.08,2275000,0.0,0.0
1979-04-05,0.0,0.09,0.08,0.09,4642800,0.0,0.0
1979-04-06,0.0,0.09,0.08,0.08,1549000,0.0,0.0
1979-04-09,0.0,0.08,0.08,0.08,1439200,0.0,0.0
1979-04-10,0.0,0.08,0.08,0.08,1046700,0.0,0.0
1979-04-11,0.0,0.08,0.08,0.08,540200,0.0,0.0
1979-04-12,0.0,0.08,0.08,0.08,945400,0.0,0.0
1979-04-16,0.0,0.08,0.07,0.08,738600,0.0,0.0
1979-04-17,0.0,0.08,0.08,0.08,1173300,0.0,0.0
1979-04-18,0.0,0.08,0.08,0.08,299600,0.0,0.0
1979-04-19,0.0,0.08,0.07,0.07,434700,0.0,0.0
1979-04-20,0.0,0.07,0.07,0.07,211000,0.0,0.0
1979-04-23,0.0,0.08,0.07,0.07,185700,0.0,0.0
1979-04-24,0.0,0.07,0.07,0.07,194100,0.0,0.0
1979-04-25,0.0,0.07,0.07,0.07,12600,0.0,0.0
1979-04-26,0.0,0.07,0.07,0.07,122400,0.0,0.0
1979-04-27,0.0,0.07,0.07,0.07,447400,0.0,0.0
1979-04-30,0.0,0.07,0.07,0.07,413600,0.0,0.0
1979-05-01,0.0,0.07,0.07,0.07,198300,0.0,0.0
1979-05-02,0.0,0.07,0.07,0.07,574000,0.0,0.0
1979-05-03,0.0,0.07,0.07,0.07,194100,0.0,0.0
1979-05-04,0.0,0.07,0.06,0.07,278500,0.0,0.0
1979-05-07,0.0,0.07,0.06,0.06,350300,0.0,0.0
1979-05-08,0.0,0.06,0.06,0.06,654200,0.0,0.0
1979-05-09,0.0,0.06,0.06,0.06,848300,0.0,0.0
1979-05-10,0.0,0.07,0.06,0.06,371400,0.0,0.0
1979-05-11,0.0,0.07,0.06,0.07,907400,0.0,0.0
1979-05-14,0.0,0.07,0.06,0.07,455800,0.0,0.0
1979-05-15,0.0,0.07,0.06,0.06,105500,0.0,0.0
1979-05-16,0.0,0.07,0.06,0.06,122400,0.0,0.0
1979-05-17,0.0,0.07,0.06,0.06,493800,0.0,0.0
1979-05-18,0.0,0.07,0.06,0.06,223700,0.0,0.0
1979-05-21,0.0,0.07,0.06,0.07,232100,0.0,0.0
1979-05-22,0.0,0.07,0.07,0.07,80100,0.0,0.0
1979-05-23,0.0,0.07,0.07,0.07,371400,0.0,0.0
1979-05-24,0.0,0.07,0.07,0.07,261600,0.0,0.0
1979-05-25,0.0,0.08,0.07,0.08,1667200,0.0,0.0
1979-05-29,0.0,0.08,0.08,0.08,1135300,0.0,0.0
1979-05-30,0.0,0.08,0.07,0.07,607700,0.0,0.0
1979-05-31,0.0,0.07,0.07,0.07,510700,0.0,0.0
1979-06-01,0.0,0.07,0.07,0.07,206800,0.0,0.0
1979-06-04,0.0,0.08,0.07,0.07,742800,0.0,0.0
1979-06-05,0.0,0.08,0.07,0.08,1072000,0.0,0.0
1979-06-06,0.0,0.08,0.08,0.08,721700,0.0,0.0
1979-06-07,0.0,0.08,0.07,0.08,552900,0.0,0.0
1979-06-08,0.0,0.08,0.07,0.08,485300,0.0,0.0
1979-06-11,0.0,0.08,0.08,0.08,557100,0.0,0.0
1979-06-12,0.0,0.08,0.08,0.08,409400,0.0,0.0
1979-06-13,0.0,0.08,0.08,0.08,709000,0.0,0.0
1979-06-14,0.0,0.09,0.08,0.09,2490200,0.0,0.0
1979-06-15,0.0,0.09,0.08,0.08,683700,0.0,0.0
1979-06-18,0.0,0.08,0.08,0.08,932700,0.0,0.0
1979-06-19,0.0,0.08,0.08,0.08,422000,0.0,0.0
1979-06-20,0.0,0.08,0.08,0.08,696400,0.0,0.0
1979-06-21,0.0,0.08,0.08,0.08,1000300,0.0,0.0
1979-06-22,0.0,0.08,0.08,0.08,510700,0.0,0.0
1979-06-25,0.0,0.08,0.08,0.08,468500,0.0,0.0
1979-06-26,0.0,0.08,0.08,0.08,1291500,0.0,0.0
1979-06-27,0.0,0.09,0.08,0.08,223700,0.0,0.0
1979-06-28,0.0,0.08,0.08,0.08,198300,0.0,0.0
1979-06-29,0.0,0.08,0.08,0.08,519100,0.0,0.0
1979-07-02,0.0,0.08,0.07,0.07,662600,0.0,0.0
1979-07-03,0.0,0.08,0.07,0.08,1422400,0.0,0.0
1979-07-05,0.0,0.08,0.08,0.08,143500,0.0,0.0
1979-07-06,0.0,0.08,0.07,0.07,189900,0.0,0.0
1979-07-09,0.0,0.08,0.07,0.07,270100,0.0,0.0
1979-07-10,0.0,0.08,0.07,0.07,257400,0.0,0.0
1979-07-11,0.0,0.08,0.07,0.07,725900,0.0,0.0
1979-07-12,0.0,0.08,0.07,0.07,143500,0.0,0.0
1979-07-13,0.0,0.07,0.07,0.07,354500,0.0,0.0
1979-07-16,0.0,0.07,0.07,0.07,544400,0.0,0.0
1979-07-17,0.0,0.07,0.07,0.07,422000,0.0,0.0
1979-07-18,0.0,0.07,0.07,0.07,793500,0.0,0.0
