Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.16,0.16,0.16,4700,0.0,0.0
1980-03-18,0.0,0.16,0.16,0.16,938000,0.0,0.0
1980-03-19,0.0,0.16,0.16,0.16,202700,0.0,0.0
1980-03-20,0.0,0.16,0.15,0.15,40400,0.0,0.0
1980-03-21,0.0,0.15,0.15,0.15,83400,0.0,0.0
1980-03-24,0.0,0.16,0.15,0.15,398500,0.0,0.0
1980-03-25,0.0,0.15,0.15,0.15,167000,0.0,0.0
1980-03-26,0.0,0.16,0.15,0.15,625300,0.0,0.0
1980-03-27,0.0,0.15,0.15,0.15,143100,0.0,0.0
1980-03-28,0.0,0.15,0.15,0.15,451000,0.0,0.0
1980-03-31,0.0,0.16,0.15,0.16,1515500,0.0,0.0
1980-04-01,0.0,0.16,0.16,0.16,386600,0.0,0.0
1980-04-02,0.0,0.16,0.16,0.16,1885500,0.0,0.0
1980-04-03,0.0,0.16,0.16,0.16,69200,0.0,0.0
1980-04-07,0.0,0.16,0.16,0.16,50000,0.0,0.0
1980-04-08,0.0,0.16,0.16,0.16,303000,0.0,0.0
1980-04-09,0.0,0.17,0.16,0.16,293500,0.0,0.0
1980-04-10,0.0,0.17,0.16,0.16,195600,0.0,0.0
1980-04-11,0.0,0.16,0.16,0.16,644300,0.0,0.0
1980-04-14,0.0,0.16,0.16,0.16,179000,0.0,0.0
1980-04-15,0.0,0.16,0.16,0.16,880700,0.0,0.0
1980-04-16,0.0,0.16,0.16,0.16,214700,0.0,0.0
1980-04-17,0.0,0.16,0.16,0.16,310200,0.0,0.0
1980-04-18,0.0,0.16,0.16,0.16,35700,0.0,0.0
1980-04-21,0.0,0.16,0.16,0.16,436700,0.0,0.0
1980-04-22,0.0,0.16,0.16,0.16,747000,0.0,0.0
1980-04-23,0.0,0.16,0.16,0.16,1546600,0.0,0.0
1980-04-24,0.0,0.16,0.16,0.16,233800,0.0,0.0
1980-04-25,0.0,0.16,0.16,0.16,40400,0.0,0.0
1980-04-28,0.0,0.16,0.16,0.16,355500,0.0,0.0
1980-04-29,0.0,0.16,0.16,0.16,517800,0.0,0.0
1980-04-30,0.0,0.16,0.16,0.16,102600,0.0,0.0
1980-05-01,0.0,0.16,0.16,0.16,465300,0.0,0.0
1980-05-02,0.0,0.16,0.16,0.16,887800,0.0,0.0
1980-05-05,0.0,0.16,0.15,0.15,398500,0.0,0.0
1980-05-06,0.0,0.15,0.15,0.15,88200,0.0,0.0
1980-05-07,0.0,0.15,0.15,0.15,33300,0.0,0.0
1980-05-08,0.0,0.15,0.15,0.15,38100,0.0,0.0
1980-05-09,0.0,0.15,0.15,0.15,62000,0.0,0.0
1980-05-12,0.0,0.15,0.15,0.15,202700,0.0,0.0
1980-05-13,0.0,0.15,0.15,0.15,1613400,0.0,0.0
1980-05-14,0.0,0.16,0.15,0.15,298300,0.0,0.0
1980-05-15,0.0,0.15,0.15,0.15,221900,0.0,0.0
1980-05-16,0.0,0.16,0.15,0.15,30900,0.0,0.0
1980-05-19,0.0,0.15,0.15,0.15,537000,0.0,0.0
1980-05-20,0.0,0.16,0.15,0.16,2861700,0.0,0.0
1980-05-21,0.0,0.16,0.16,0.16,257700,0.0,0.0
1980-05-22,0.0,0.16,0.16,0.16,57100,0.0,0.0
1980-05-23,0.0,0.16,0.16,0.16,463000,0.0,0.0
1980-05-27,0.0,0.16,0.16,0.16,422400,0.0,0.0
1980-05-28,0.0,0.16,0.15,0.15,143100,0.0,0.0
1980-05-29,0.0,0.16,0.15,0.16,231500,0.0,0.0
1980-05-30,0.0,0.16,0.16,0.16,66700,0.0,0.0
1980-06-02,0.0,0.16,0.15,0.16,606200,0.0,0.0
1980-06-03,0.0,0.16,0.15,0.16,398500,0.0,0.0
1980-06-04,0.0,0.16,0.15,0.16,207600,0.0,0.0
1980-06-05,0.0,0.16,0.16,0.16,248200,0.0,0.0
1980-06-06,0.0,0.16,0.16,0.16,580000,0.0,0.0
1980-06-09,0.0,0.17,0.16,0.17,961800,0.0,0.0
1980-06-10,0.0,0.17,0.17,0.17,252900,0.0,0.0
1980-06-11,0.0,0.17,0.17,0.17,594200,0.0,0.0
1980-06-12,0.0,0.17,0.17,0.17,434200,0.0,0.0
1980-06-13,0.0,0.17,0.17,0.17,374600,0.0,0.0
1980-06-16,0.0,0.17,0.16,0.17,334100,0.0,0.0
1980-06-17,0.0,0.17,0.17,0.17,171800,0.0,0.0
1980-06-18,0.0,0.17,0.17,0.17,198000,0.0,0.0
1980-06-19,0.0,0.18,0.17,0.17,186000,0.0,0.0
1980-06-20,0.0,0.17,0.17,0.17,124000,0.0,0.0
1980-06-23,0.0,0.17,0.17,0.17,150200,0.0,0.0
1980-06-24,0.0,0.17,0.17,0.17,326900,0.0,0.0
1980-06-25,0.0,0.17,0.17,0.17,54800,0.0,0.0
1980-06-26,0.0,0.18,0.17,0.18,162300,0.0,0.0
1980-06-27,0.0,0.18,0.17,0.17,231500,0.0,0.0
1980-06-30,0.0,0.18,0.17,0.17,19000,0.0,0.0
1980-07-01,0.0,0.18,0.17,0.17,92900,0.0,0.0
1980-07-02,0.0,0.18,0.17,0.18,379400,0.0,0.0
1980-07-03,0.0,0.19,0.18,0.19,816200,0.0,0.0
1980-07-07,0.0,0.2,0.19,0.19,104900,0.0,0.0
1980-07-08,0.0,0.2,0.19,0.19,52400,0.0,0.0
1980-07-09,0.0,0.19,0.19,0.19,50000,0.0,0.0
1980-07-10,0.0,0.19,0.19,0.19,336400,0.0,0.0
1980-07-11,0.0,0.19,0.19,0.19,921300,0.0,0.0
1980-07-14,0.0,0.19,0.19,0.19,214700,0.0,0.0
1980-07-15,0.0,0.2,0.19,0.19,412800,0.0,0.0
1980-07-16,0.0,0.2,0.19,0.2,181300,0.0,0.0
1980-07-17,0.0,0.2,0.19,0.19,188500,0.0,0.0
1980-07-18,0.0,0.19,0.19,0.19,448600,0.0,0.0
1980-07-21,0.0,0.19,0.19,0.19,303000,0.0,0.0
1980-07-22,0.0,0.2,0.19,0.19,109600,0.0,0.0
1980-07-23,0.0,0.19,0.19,0.19,295800,0.0,0.0
1980-07-24,0.0,0.19,0.19,0.19,651500,0.0,0.0
1980-07-25,0.0,0.19,0.19,0.19,100100,0.0,0.0
1980-07-28,0.0,0.19,0.19,0.19,40400,0.0,0.0
1980-07-29,0.0,0.2,0.19,0.2,169300,0.0,0.0
1980-07-30,0.0,0.2,0.2,0.2,200400,0.0,0.0
1980-07-31,0.0,0.2,0.19,0.2,121600,0.0,0.0
1980-08-01,0.0,0.2,0.2,0.2,388900,0.0,0.0
1980-08-04,0.0,0.2,0.2,0.2,47600,0.0,0.0
1980-08-05,0.0,0.2,0.2,0.2,369900,0.0,0.0
1980-08-06,0.0,0.21,0.2,0.21,770900,0.0,0.0
1980-08-07,0.0,0.22,0.22,0.22,262400,0.0,0.0
1980-08-08,0.0,0.23,0.22,0.22,360300,0.0,0.0
1980-08-11,0.0,0.22,0.22,0.22,1198100,0.0,0.0
1980-08-12,0.0,0.22,0.22,0.22,271900,0.0,0.0
1980-08-13,0.0,0.22,0.21,0.21,112100,0.0,0.0
1980-08-14,0.0,0.21,0.21,0.21,83400,0.0,0.0
1980-08-15,0.0,0.22,0.21,0.21,126300,0.0,0.0
1980-08-18,0.0,0.21,0.21,0.21,40400,0.0,0.0
1980-08-19,0.0,0.2,0.2,0.2,162300,0.0,0.0
1980-08-20,0.0,0.2,0.2,0.2,1050100,0.0,0.0
1980-08-21,0.0,0.21,0.2,0.21,551200,0.0,0.0
1980-08-22,0.0,0.21,0.21,0.21,398500,0.0,0.0
1980-08-25,0.0,0.21,0.21,0.21,408000,0.0,0.0
1980-08-26,0.0,0.21,0.21,0.21,181300,0.0,0.0
1980-08-27,0.0,0.21,0.21,0.21,768500,0.0,0.0
1980-08-28,0.0,0.21,0.21,0.21,76200,0.0,0.0
1980-08-29,0.0,0.21,0.21,0.21,16500,0.0,0.0
1980-09-02,0.0,0.21,0.21,0.21,28500,0.0,0.0
1980-09-03,0.0,0.22,0.21,0.22,312500,0.0,0.0
1980-09-04,0.0,0.23,0.22,0.23,155100,0.0,0.0
1980-09-05,0.0,0.23,0.23,0.23,677800,0.0,0.0
1980-09-08,0.0,0.23,0.22,0.22,2200600,0.0,0.0
1980-09-09,0.0,0.22,0.22,0.22,42900,0.0,0.0
1980-09-10,0.0,0.22,0.22,0.22,152600,0.0,0.0
1980-09-11,0.0,0.23,0.22,0.23,104900,0.0,0.0
1980-09-12,0.0,0.23,0.23,0.23,205200,0.0,0.0
1980-09-15,0.0,0.23,0.23,0.23,85900,0.0,0.0
1980-09-16,0.0,0.24,0.23,0.24,135900,0.0,0.0
1980-09-17,0.0,0.24,0.23,0.23,138400,0.0,0.0
1980-09-18,0.0,0.24,0.23,0.23,200400,0.0,0.0
1980-09-19,0.0,0.24,0.23,0.24,2262600,0.0,0.0
1980-09-22,0.0,0.24,0.23,0.23,295800,0.0,0.0
1980-09-23,0.0,0.24,0.24,0.24,28500,0.0,0.0
1980-09-24,0.0,0.24,0.23,0.24,140700,0.0,0.0
