Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-02-06,0.0,1.93,1.93,1.93,0,0.0,0.0
1986-02-07,1.93,1.93,1.93,1.93,0,0.0,0.0
1986-02-10,1.93,1.93,1.93,1.93,0,0.0,0.0
1986-02-11,1.93,1.93,1.93,1.93,0,0.0,0.0
1986-02-12,1.93,1.93,1.93,1.93,0,0.0,0.0
1986-02-13,0.0,1.93,1.93,1.93,0,0.0,0.0
1986-02-14,1.93,1.93,1.93,1.93,0,0.0,0.0
1986-02-18,1.93,1.93,1.93,1.93,0,0.0,0.0
1986-02-19,1.93,1.93,1.93,1.93,0,0.0,0.0
1986-02-20,1.93,1.93,1.93,1.93,0,0.0,0.0
1986-02-21,1.93,1.93,1.93,1.93,0,0.0,0.0
1986-02-24,1.93,1.93,1.93,1.93,0,0.0,0.0
1986-02-25,1.93,1.93,1.93,1.93,0,0.0,0.0
1986-02-26,1.93,1.93,1.93,1.93,0,0.0,0.0
1986-02-27,0.0,1.93,1.93,1.93,400,0.0,0.0
1986-02-28,0.0,1.93,1.93,1.93,400,0.0,0.0
1986-03-03,0.0,1.93,1.9,1.9,4200,0.0,0.0
1986-03-04,0.0,1.93,1.9,1.9,12400,0.0,0.0
1986-03-05,0.0,1.93,1.9,1.93,9000,0.0,0.0
1986-03-06,0.0,1.93,1.9,1.93,2000,0.0,0.0
1986-03-07,0.0,1.93,1.9,1.9,3600,0.0,0.0
1986-03-10,0.0,1.93,1.9,1.93,3000,0.0,0.0
1986-03-11,0.0,1.93,1.9,1.9,5800,0.0,0.0
1986-03-12,0.0,1.93,1.9,1.9,33200,0.0,0.0
1986-03-13,0.0,1.93,1.9,1.9,3800,0.0,0.0
1986-03-14,0.0,1.93,1.9,1.93,3000,0.0,0.0
1986-03-17,0.0,1.93,1.9,1.93,3800,0.0,0.0
1986-03-18,0.0,1.93,1.9,1.9,5000,0.0,0.0
1986-03-19,0.0,1.93,1.9,1.9,1800,0.0,0.0
1986-03-20,0.0,1.93,1.9,1.9,5200,0.0,0.0
1986-03-21,0.0,1.93,1.9,1.93,9000,0.0,0.0
1986-03-24,0.0,1.93,1.9,1.9,4200,0.0,0.0
1986-03-25,0.0,1.93,1.9,1.9,4400,0.0,0.0
1986-03-26,0.0,1.93,1.9,1.93,3200,0.0,0.0
1986-03-27,0.0,1.9,1.9,1.9,8200,0.0,0.0
1986-03-31,0.0,1.93,1.9,1.9,6600,0.0,0.0
1986-04-01,0.0,1.9,1.9,1.9,6800,0.0,0.0
1986-04-02,0.0,1.9,1.9,1.9,5600,0.0,0.0
1986-04-03,0.0,1.93,1.9,1.9,2800,0.0,0.0
1986-04-04,0.0,1.93,1.9,1.9,5800,0.0,0.0
1986-04-07,0.0,1.93,1.87,1.87,4000,0.0,0.0
1986-04-08,0.0,1.9,1.87,1.87,3000,0.0,0.0
1986-04-09,0.0,1.9,1.87,1.87,1800,0.0,0.0
1986-04-10,0.0,1.9,1.87,1.9,7200,0.0,0.0
1986-04-11,0.0,1.9,1.87,1.87,3600,0.0,0.0
1986-04-14,0.0,1.9,1.87,1.87,9800,0.0,0.0
1986-04-15,0.0,1.87,1.84,1.87,4800,0.0,0.0
1986-04-16,0.0,1.87,1.84,1.87,3200,0.0,0.0
1986-04-17,0.0,1.87,1.84,1.84,14400,0.0,0.0
1986-04-18,0.0,1.87,1.78,1.81,8000,0.0,0.0
1986-04-21,0.0,1.81,1.75,1.78,12200,0.0,0.0
1986-04-22,0.0,1.81,1.78,1.81,2200,0.0,0.0
1986-04-23,0.0,1.81,1.78,1.78,2200,0.0,0.0
1986-04-24,0.0,1.84,1.81,1.84,8600,0.0,0.0
1986-04-25,0.0,1.84,1.75,1.78,8800,0.0,0.0
1986-04-28,0.0,1.84,1.71,1.81,14800,0.0,0.0
1986-04-29,0.0,1.81,1.75,1.75,4000,0.0,0.0
1986-04-30,0.0,1.81,1.71,1.81,3000,0.0,0.0
1986-05-01,0.0,1.81,1.75,1.81,5400,0.0,0.0
1986-05-02,0.0,1.81,1.78,1.81,3200,0.0,0.0
1986-05-05,0.0,1.87,1.81,1.87,7000,0.0,0.0
1986-05-06,0.0,1.96,1.87,1.96,13600,0.0,0.0
1986-05-07,0.0,1.96,1.93,1.96,4800,0.0,0.0
1986-05-08,0.0,1.99,1.96,1.99,5400,0.0,0.0
1986-05-09,0.0,2.02,1.99,1.99,3000,0.0,0.0
1986-05-12,0.0,2.02,1.96,2.02,4200,0.0,0.0
1986-05-13,0.0,2.02,1.99,1.99,1600,0.0,0.0
1986-05-14,0.0,1.99,1.99,1.99,200,0.0,0.0
1986-05-15,0.0,1.99,1.96,1.96,2000,0.0,0.0
1986-05-16,0.0,1.96,1.93,1.96,1600,0.0,0.0
1986-05-19,0.0,1.96,1.87,1.87,1800,0.0,0.0
1986-05-20,0.0,1.87,1.84,1.87,1000,0.0,0.0
1986-05-21,0.0,1.81,1.75,1.81,4400,0.0,0.0
1986-05-22,0.0,1.87,1.78,1.81,6400,0.0,0.0
1986-05-23,0.0,1.84,1.78,1.81,3200,0.0,0.0
1986-05-27,0.0,1.9,1.84,1.9,600,0.0,0.0
