Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.83,0.8,0.8,133500,0.0,0.0
1980-03-18,0.0,0.86,0.8,0.86,224800,0.0,0.0
1980-03-19,0.0,0.87,0.84,0.84,319300,0.0,0.0
1980-03-20,0.0,0.84,0.83,0.84,118800,0.0,0.0
1980-03-21,0.0,0.84,0.83,0.84,100200,0.0,0.0
1980-03-24,0.0,0.83,0.81,0.82,123900,0.0,0.0
1980-03-25,0.0,0.83,0.8,0.82,353300,0.0,0.0
1980-03-26,0.0,0.85,0.83,0.84,83900,0.0,0.0
1980-03-27,0.0,0.84,0.82,0.82,100000,0.0,0.0
1980-03-28,0.0,0.84,0.83,0.84,34600,0.0,0.0
1980-03-31,0.0,0.86,0.83,0.86,75700,0.0,0.0
1980-04-01,0.0,0.9,0.86,0.9,142700,0.0,0.0
1980-04-02,0.0,0.91,0.89,0.9,138800,0.0,0.0
1980-04-03,0.0,0.92,0.9,0.9,394400,0.0,0.0
1980-04-07,0.0,0.9,0.87,0.88,710800,0.0,0.0
1980-04-08,0.0,0.89,0.87,0.89,274400,0.0,0.0
1980-04-09,0.0,0.92,0.89,0.91,293400,0.0,0.0
1980-04-10,0.0,0.94,0.92,0.94,185100,0.0,0.0
1980-04-11,0.0,0.96,0.94,0.94,169300,0.0,0.0
1980-04-14,0.0,0.95,0.93,0.94,237900,0.0,0.0
1980-04-15,0.0,0.93,0.91,0.92,99300,0.0,0.0
1980-04-16,0.0,0.97,0.93,0.96,331700,0.0,0.0
1980-04-17,0.0,0.99,0.96,0.99,157600,0.0,0.0
1980-04-18,0.0,0.99,0.98,0.99,125700,0.0,0.0
1980-04-21,0.0,1.0,0.99,1.0,99500,0.0,0.0
1980-04-22,0.0,1.01,0.98,1.01,129100,0.0,0.0
1980-04-23,0.0,1.01,1.0,1.0,198400,0.0,0.0
1980-04-24,0.0,1.02,0.99,1.01,351900,0.0,0.0
1980-04-25,0.0,1.01,1.0,1.01,59800,0.0,0.0
1980-04-28,0.0,1.01,1.0,1.01,53200,0.0,0.0
1980-04-29,0.0,1.01,1.01,1.01,57800,0.0,0.0
1980-04-30,0.0,1.02,1.01,1.01,353500,0.0,0.0
1980-05-01,0.0,1.03,1.01,1.01,281300,0.0,0.0
1980-05-02,0.0,1.02,1.01,1.01,240600,0.0,0.0
