Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1985-07-22,0.0,4.37,4.08,4.37,59400.0,0.0,0.0
1985-07-23,0.0,4.52,4.33,4.37,20800.0,0.0,0.0
1985-07-24,0.0,4.33,4.18,4.28,32600.0,0.0,0.0
1985-07-25,0.0,4.33,4.28,4.33,16600.0,0.0,0.0
1985-07-26,0.0,4.33,4.23,4.28,10400.0,0.0,0.0
1985-07-29,0.0,4.28,4.13,4.23,25000.0,0.0,0.0
1985-07-30,0.0,4.23,4.18,4.18,10400.0,0.0,0.0
1985-07-31,0.0,4.18,4.13,4.18,12800.0,0.0,0.0
1985-08-01,0.0,4.18,4.03,4.18,31800.0,0.0,0.0
1985-08-02,0.0,4.13,4.03,4.08,13000.0,0.0,0.0
1985-08-05,0.0,4.08,4.03,4.08,1200.0,0.0,0.0
1985-08-06,0.0,4.08,3.99,4.03,28600.0,0.0,0.0
1985-08-07,4.03,4.03,4.03,4.03,0.0,0.0,0.0
1985-08-08,0.0,4.03,3.99,3.99,600.0,0.0,0.0
1985-08-09,0.0,4.03,4.03,4.03,400.0,0.0,0.0
1985-08-12,0.0,3.94,3.84,3.94,3800.0,0.0,0.0
1985-08-13,0.0,3.99,3.94,3.99,4400.0,0.0,0.0
1985-08-14,0.0,3.94,3.94,3.94,1400.0,0.0,0.0
1985-08-15,0.0,3.89,3.89,3.89,1600.0,0.0,0.0
1985-08-16,0.0,3.84,3.84,3.84,800.0,0.0,0.0
1985-08-19,0.0,3.79,3.79,3.79,5200.0,0.0,0.0
1985-08-20,0.0,3.84,3.74,3.84,3000.0,0.0,0.0
1985-08-21,0.0,3.79,3.74,3.74,3400.0,0.0,0.0
1985-08-22,0.0,3.79,3.69,3.74,1600.0,0.0,0.0
1985-08-23,0.0,3.79,3.74,3.74,21800.0,0.0,0.0
1985-08-26,3.74,3.74,3.74,3.74,0.0,0.0,0.0
1985-08-27,0.0,3.69,3.6,3.6,9200.0,0.0,0.0
1985-08-28,0.0,3.65,3.55,3.65,12400.0,0.0,0.0
1985-08-29,0.0,3.79,3.65,3.79,7200.0,0.0,0.0
1985-08-30,0.0,3.89,3.84,3.89,8400.0,0.0,0.0
1985-09-03,0.0,3.94,3.89,3.89,10200.0,0.0,0.0
1985-09-04,0.0,3.84,3.84,3.84,800.0,0.0,0.0
1985-09-05,0.0,3.84,3.74,3.84,11400.0,0.0,0.0
1985-09-06,0.0,3.89,3.84,3.89,9800.0,0.0,0.0
1985-09-09,0.0,3.84,3.84,3.84,200.0,0.0,0.0
1985-09-10,0.0,3.84,3.79,3.84,9800.0,0.0,0.0
1985-09-11,0.0,3.89,3.79,3.79,5200.0,0.0,0.0
1985-09-12,0.0,3.89,3.79,3.79,5200.0,0.0,0.0
1985-09-13,0.0,3.89,3.79,3.79,7400.0,0.0,0.0
1985-09-16,0.0,3.74,3.69,3.74,2600.0,0.0,0.0
1985-09-17,0.0,3.79,3.69,3.69,4800.0,0.0,0.0
1985-09-18,0.0,3.65,3.65,3.65,800.0,0.0,0.0
1985-09-19,0.0,3.65,3.65,3.65,3200.0,0.0,0.0
1985-09-20,0.0,3.89,3.65,3.89,14200.0,0.0,0.0
1985-09-23,0.0,3.94,3.89,3.94,3200.0,0.0,0.0
1985-09-24,0.0,3.89,3.89,3.89,58000.0,0.0,0.0
1985-09-25,0.0,3.79,3.74,3.79,8000.0,0.0,0.0
1985-09-26,0.0,3.74,3.74,3.74,1400.0,0.0,0.0
1985-09-30,0.0,3.69,3.65,3.65,5600.0,0.0,0.0
1985-10-01,0.0,3.69,3.69,3.69,200.0,0.0,0.0
1985-10-02,0.0,3.69,3.69,3.69,3000.0,0.0,0.0
1985-10-03,0.0,3.74,3.69,3.69,3800.0,0.0,0.0
1985-10-04,3.69,3.69,3.69,3.69,0.0,0.0,0.0
1985-10-07,0.0,3.69,3.65,3.65,4800.0,0.0,0.0
1985-10-08,0.0,3.74,3.69,3.74,2000.0,0.0,0.0
1985-10-09,0.0,3.84,3.74,3.84,2800.0,0.0,0.0
1985-10-10,0.0,3.74,3.69,3.69,3200.0,0.0,0.0
1985-10-11,0.0,3.69,3.65,3.69,800.0,0.0,0.0
1985-10-14,0.0,3.84,3.74,3.84,2200.0,0.0,0.0
1985-10-15,0.0,3.79,3.79,3.79,800.0,0.0,0.0
1985-10-16,0.0,3.84,3.79,3.79,2000.0,0.0,0.0
1985-10-17,0.0,3.74,3.74,3.74,1400.0,0.0,0.0
1985-10-18,0.0,3.69,3.69,3.69,1600.0,0.0,0.0
1985-10-21,3.69,3.69,3.69,3.69,0.0,0.0,0.0
1985-10-22,0.0,3.69,3.69,3.69,400.0,0.0,0.0
1985-10-23,0.0,3.79,3.74,3.74,2000.0,0.0,0.0
1985-10-24,0.0,3.84,3.74,3.84,2200.0,0.0,0.0
1985-10-25,0.0,3.79,3.69,3.74,4600.0,0.0,0.0
1985-10-28,0.0,3.79,3.79,3.79,200.0,0.0,0.0
1985-10-29,0.0,3.79,3.74,3.79,800.0,0.0,0.0
1985-10-30,0.0,3.84,3.74,3.74,1400.0,0.0,0.0
1985-10-31,3.74,3.74,3.74,3.74,0.0,0.0,0.0
1985-11-01,0.0,3.69,3.69,3.69,400.0,0.0,0.0
1985-11-04,0.0,3.69,3.69,3.69,2200.0,0.0,0.0
1985-11-05,3.69,3.69,3.69,3.69,0.0,0.0,0.0
1985-11-06,0.0,3.74,3.74,3.74,200.0,0.0,0.0
1985-11-07,0.0,3.69,3.69,3.69,1200.0,0.0,0.0
1985-11-08,0.0,3.65,3.6,3.65,1000.0,0.0,0.0
1985-11-11,3.65,3.65,3.65,3.65,0.0,0.0,0.0
1985-11-12,0.0,3.74,3.65,3.69,4200.0,0.0,0.0
1985-11-13,0.0,3.69,3.65,3.65,3800.0,0.0,0.0
1985-11-14,0.0,3.65,3.6,3.6,3600.0,0.0,0.0
1985-11-15,0.0,3.55,3.55,3.55,5000.0,0.0,0.0
1985-11-18,0.0,3.5,3.5,3.5,400.0,0.0,0.0
1985-11-19,3.5,3.5,3.5,3.5,0.0,0.0,0.0
1985-11-20,0.0,3.5,3.5,3.5,1400.0,0.0,0.0
1985-11-21,0.0,3.55,3.5,3.5,4600.0,0.0,0.0
1985-11-22,0.0,3.6,3.5,3.6,1200.0,0.0,0.0
1985-11-25,0.0,3.5,3.5,3.5,11400.0,0.0,0.0
1985-11-26,0.0,3.5,3.5,3.5,800.0,0.0,0.0
1985-11-27,0.0,3.5,3.5,3.5,5600.0,0.0,0.0
1985-11-29,0.0,3.5,3.5,3.5,400.0,0.0,0.0
1985-12-02,0.0,3.5,3.5,3.5,200.0,0.0,0.0
1985-12-03,0.0,3.5,3.45,3.45,4600.0,0.0,0.0
1985-12-04,0.0,3.45,3.45,3.45,1000.0,0.0,0.0
1985-12-05,0.0,3.5,3.45,3.45,12400.0,0.0,0.0
1985-12-06,0.0,3.45,3.45,3.45,1000.0,0.0,0.0
1985-12-09,0.0,3.45,3.31,3.31,20800.0,0.0,0.0
1985-12-10,0.0,3.4,3.31,3.31,6600.0,0.0,0.0
1985-12-11,0.0,3.26,3.16,3.21,8200.0,0.0,0.0
1985-12-12,0.0,3.21,3.01,3.01,11000.0,0.0,0.0
1985-12-13,0.0,3.16,3.06,3.16,21200.0,0.0,0.0
1985-12-16,0.0,3.26,3.11,3.16,56400.0,0.0,0.0
1985-12-17,0.0,3.06,3.01,3.01,142800.0,0.0,0.0
1985-12-18,0.0,3.06,3.01,3.01,71600.0,0.0,0.0
1985-12-19,0.0,3.11,3.01,3.11,67400.0,0.0,0.0
1985-12-20,0.0,3.11,3.06,3.11,45800.0,0.0,0.0
1985-12-23,0.0,3.16,3.06,3.16,31800.0,0.0,0.0
1985-12-24,0.0,3.16,3.06,3.16,22800.0,0.0,0.0
1985-12-26,0.0,3.16,3.11,3.11,3800.0,0.0,0.0
1985-12-27,0.0,3.16,3.11,3.11,5000.0,0.0,0.0
1985-12-30,0.0,3.11,3.01,3.11,30000.0,0.0,0.0
1985-12-31,0.0,3.11,3.06,3.06,13600.0,0.0,0.0
1986-01-02,0.0,3.16,3.11,3.16,9200.0,0.0,0.0
1986-01-03,0.0,3.16,3.06,3.06,9200.0,0.0,0.0
1986-01-06,0.0,3.11,3.01,3.01,6600.0,0.0,0.0
1986-01-07,0.0,3.06,3.06,3.06,6600.0,0.0,0.0
1986-01-08,0.0,3.11,2.97,2.97,20400.0,0.0,0.0
1986-01-09,0.0,3.06,2.97,3.01,26200.0,0.0,0.0
1986-01-10,0.0,3.06,3.01,3.06,9400.0,0.0,0.0
1986-01-13,0.0,3.01,2.97,2.97,5600.0,0.0,0.0
1986-01-14,0.0,3.01,2.87,2.92,24400.0,0.0,0.0
1986-01-15,0.0,2.92,2.87,2.92,16200.0,0.0,0.0
1986-01-16,0.0,2.92,2.82,2.92,21800.0,0.0,0.0
1986-01-17,0.0,3.01,2.92,3.01,8600.0,0.0,0.0
1986-01-20,0.0,3.06,2.82,2.97,26200.0,0.0,0.0
1986-01-21,0.0,2.97,2.87,2.97,19800.0,0.0,0.0
1986-01-22,0.0,2.97,2.87,2.92,12200.0,0.0,0.0
1986-01-23,0.0,2.87,2.77,2.87,44000.0,0.0,0.0
1986-01-24,0.0,2.92,2.77,2.92,23800.0,0.0,0.0
1986-01-27,0.0,2.92,2.77,2.82,20800.0,0.0,0.0
1986-01-28,0.0,2.92,2.87,2.92,9600.0,0.0,0.0
1986-01-29,0.0,2.92,2.77,2.77,13800.0,0.0,0.0
1986-01-30,0.0,2.87,2.82,2.87,11400.0,0.0,0.0
1986-01-31,0.0,2.92,2.77,2.92,14000.0,0.0,0.0
1986-02-03,0.0,2.97,2.92,2.97,10200.0,0.0,0.0
1986-02-04,0.0,2.87,2.67,2.72,40400.0,0.0,0.0
1986-02-05,0.0,2.87,2.72,2.82,32600.0,0.0,0.0
1986-02-06,0.0,2.92,2.87,2.92,40800.0,0.0,0.0
1986-02-07,0.0,2.97,2.77,2.82,29600.0,0.0,0.0
1986-02-10,0.0,2.77,2.67,2.77,8600.0,0.0,0.0
1986-02-11,0.0,2.87,2.77,2.77,19000.0,0.0,0.0
1986-02-12,0.0,2.82,2.77,2.77,6000.0,0.0,0.0
1986-02-13,0.0,2.87,2.77,2.82,6600.0,0.0,0.0
1986-02-14,0.0,2.92,2.82,2.92,14200.0,0.0,0.0
1986-02-18,0.0,2.87,2.77,2.77,10400.0,0.0,0.0
1986-02-19,0.0,2.82,2.72,2.82,13000.0,0.0,0.0
1986-02-20,0.0,2.82,2.67,2.72,6600.0,0.0,0.0
1986-02-21,0.0,2.72,2.48,2.72,16600.0,0.0,0.0
