Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-12-31,0.59,0.6,0.58,0.6,428600,0.0,0.0
1982-01-04,0.6,0.61,0.6,0.6,123100,0.0,0.0
1982-01-05,0.6,0.61,0.59,0.59,251100,0.0,0.0
1982-01-06,0.6,0.61,0.6,0.6,318800,0.0,0.0
1982-01-07,0.62,0.63,0.61,0.62,371800,0.0,0.0
1982-01-08,0.64,0.66,0.62,0.66,1734200,0.0,0.0
1982-01-11,0.65,0.67,0.64,0.64,496200,0.0,0.0
1982-01-12,0.62,0.63,0.62,0.62,263200,0.0,0.0
1982-01-13,0.63,0.64,0.62,0.62,149700,0.0,0.0
1982-01-14,0.66,0.68,0.64,0.67,253500,0.0,0.0
1982-01-15,0.67,0.68,0.66,0.67,152100,0.0,0.0
1982-01-18,0.66,0.68,0.65,0.68,218400,0.0,0.0
1982-01-19,0.67,0.68,0.66,0.66,270500,0.0,0.0
1982-01-20,0.68,0.69,0.66,0.69,607300,0.0,0.0
1982-01-21,0.7,0.71,0.68,0.69,486600,0.0,0.0
1982-01-22,0.68,0.69,0.67,0.68,1106100,0.0,0.0
1982-01-25,0.65,0.66,0.64,0.65,183400,0.0,0.0
1982-01-26,0.65,0.66,0.65,0.65,152100,0.0,0.0
1982-01-27,0.65,0.66,0.65,0.65,201600,0.0,0.0
1982-01-28,0.68,0.7,0.66,0.7,570000,0.0,0.0
1982-01-29,0.7,0.7,0.69,0.69,673800,0.0,0.0
1982-02-01,0.68,0.69,0.66,0.66,167800,0.0,0.0
1982-02-02,0.66,0.66,0.65,0.65,245000,0.0,0.0
1982-02-03,0.65,0.66,0.65,0.65,219700,0.0,0.0
1982-02-04,0.65,0.65,0.64,0.64,205300,0.0,0.0
1982-02-05,0.65,0.65,0.64,0.65,223300,0.0,0.0
1982-02-08,0.63,0.65,0.61,0.62,142400,0.0,0.0
1982-02-09,0.61,0.62,0.6,0.6,289800,0.0,0.0
1982-02-10,0.61,0.62,0.6,0.61,531200,0.0,0.0
1982-02-11,0.61,0.61,0.6,0.6,95300,0.0,0.0
1982-02-12,0.6,0.61,0.6,0.6,139900,0.0,0.0
1982-02-16,0.6,0.61,0.58,0.61,253500,0.0,0.0
1982-02-17,0.62,0.63,0.6,0.62,214900,0.0,0.0
1982-02-18,0.63,0.64,0.62,0.64,242600,0.0,0.0
1982-02-19,0.65,0.66,0.64,0.64,298200,0.0,0.0
1982-02-22,0.65,0.66,0.65,0.65,113500,0.0,0.0
1982-02-23,0.64,0.64,0.63,0.63,136400,0.0,0.0
1982-02-24,0.63,0.64,0.62,0.64,150800,0.0,0.0
1982-02-25,0.65,0.66,0.62,0.65,361000,0.0,0.0
1982-02-26,0.64,0.65,0.64,0.64,49400,0.0,0.0
1982-03-01,0.64,0.65,0.64,0.65,109800,0.0,0.0
1982-03-02,0.65,0.65,0.65,0.65,92900,0.0,0.0
1982-03-03,0.64,0.64,0.63,0.63,31300,0.0,0.0
1982-03-04,0.62,0.63,0.62,0.63,120600,0.0,0.0
1982-03-05,0.62,0.63,0.61,0.63,179800,0.0,0.0
1982-03-08,0.62,0.63,0.6,0.6,143600,0.0,0.0
1982-03-09,0.6,0.6,0.58,0.59,234200,0.0,0.0
1982-03-10,0.6,0.6,0.59,0.59,210000,0.0,0.0
1982-03-11,0.6,0.6,0.59,0.59,125500,0.0,0.0
1982-03-12,0.57,0.59,0.55,0.56,515500,0.0,0.0
1982-03-15,0.56,0.56,0.55,0.56,104900,0.0,0.0
1982-03-16,0.57,0.57,0.56,0.57,190700,0.0,0.0
1982-03-17,0.57,0.58,0.57,0.57,141200,0.0,0.0
1982-03-18,0.59,0.6,0.58,0.58,317500,0.0,0.0
1982-03-19,0.58,0.59,0.58,0.58,63900,0.0,0.0
1982-03-22,0.59,0.61,0.57,0.61,408100,0.0,0.0
1982-03-23,0.61,0.61,0.6,0.61,196700,0.0,0.0
1982-03-24,0.61,0.61,0.6,0.6,377800,0.0,0.0
1982-03-25,0.61,0.61,0.6,0.61,301800,0.0,0.0
1982-03-26,0.6,0.61,0.6,0.61,276500,0.0,0.0
1982-03-29,0.6,0.6,0.59,0.6,204000,0.0,0.0
1982-03-30,0.6,0.6,0.58,0.6,206400,0.0,0.0
1982-03-31,0.6,0.61,0.58,0.58,61400,0.0,0.0
1982-04-01,0.59,0.6,0.58,0.59,88000,0.0,0.0
1982-04-02,0.6,0.61,0.6,0.6,204000,0.0,0.0
1982-04-05,0.6,0.6,0.59,0.6,176200,0.0,0.0
1982-04-06,0.6,0.6,0.59,0.6,207600,0.0,0.0
1982-04-07,0.6,0.6,0.59,0.59,170200,0.0,0.0
1982-04-08,0.59,0.6,0.58,0.59,112200,0.0,0.0
1982-04-12,0.6,0.6,0.59,0.6,764400,0.0,0.0
1982-04-13,0.6,0.6,0.59,0.6,113500,0.0,0.0
1982-04-14,0.58,0.6,0.57,0.58,103800,0.0,0.0
1982-04-15,0.57,0.58,0.56,0.57,1493800,0.0,0.0
1982-04-16,0.57,0.57,0.56,0.57,166500,0.0,0.0
1982-04-19,0.57,0.57,0.56,0.57,96500,0.0,0.0
1982-04-20,0.56,0.56,0.55,0.55,731800,0.0,0.0
1982-04-21,0.53,0.54,0.51,0.53,3883900,0.0,0.0
1982-04-22,0.52,0.53,0.52,0.52,404400,0.0,0.0
1982-04-23,0.52,0.53,0.51,0.52,629000,0.0,0.0
1982-04-26,0.53,0.55,0.51,0.55,341700,0.0,0.0
1982-04-27,0.55,0.56,0.54,0.55,269200,0.0,0.0
1982-04-28,0.56,0.56,0.55,0.56,71200,0.0,0.0
1982-04-29,0.56,0.56,0.55,0.56,284900,0.0,0.0
1982-04-30,0.56,0.56,0.56,0.56,57900,0.0,0.0
1982-05-03,0.56,0.57,0.56,0.57,72300,0.0,0.0
1982-05-04,0.56,0.57,0.56,0.56,254700,0.0,0.0
1982-05-05,0.55,0.56,0.54,0.55,265600,0.0,0.0
1982-05-06,0.57,0.58,0.55,0.57,446700,0.0,0.0
1982-05-07,0.58,0.59,0.57,0.58,390000,0.0,0.0
1982-05-10,0.59,0.59,0.58,0.58,74700,0.0,0.0
1982-05-11,0.61,0.62,0.59,0.61,524100,0.0,0.0
1982-05-12,0.61,0.62,0.6,0.61,440700,0.0,0.0
1982-05-13,0.6,0.61,0.59,0.59,143600,0.0,0.0
1982-05-14,0.59,0.59,0.58,0.58,127900,0.0,0.0
1982-05-17,0.58,0.59,0.56,0.56,216100,0.0,0.0
1982-05-18,0.57,0.57,0.56,0.57,67600,0.0,0.0
1982-05-19,0.57,0.57,0.56,0.57,661800,0.0,0.0
1982-05-20,0.55,0.56,0.54,0.54,338100,0.0,0.0
1982-05-21,0.55,0.55,0.54,0.54,112200,0.0,0.0
1982-05-24,0.55,0.56,0.54,0.55,235400,0.0,0.0
1982-05-25,0.56,0.56,0.55,0.55,59000,0.0,0.0
1982-05-26,0.55,0.56,0.54,0.55,131500,0.0,0.0
1982-05-27,0.54,0.54,0.54,0.54,86900,0.0,0.0
1982-05-28,0.56,0.56,0.55,0.55,39700,0.0,0.0
1982-06-01,0.55,0.55,0.54,0.55,127900,0.0,0.0
1982-06-02,0.56,0.56,0.55,0.56,456500,0.0,0.0
1982-06-03,0.55,0.56,0.55,0.56,1201500,0.0,0.0
1982-06-04,0.55,0.55,0.54,0.55,852500,0.0,0.0
1982-06-07,0.56,0.56,0.54,0.55,280000,0.0,0.0
1982-06-08,0.54,0.55,0.54,0.54,911700,0.0,0.0
1982-06-09,0.54,0.54,0.54,0.54,138800,0.0,0.0
1982-06-10,0.54,0.54,0.54,0.54,538500,0.0,0.0
1982-06-11,0.57,0.58,0.55,0.57,359800,0.0,0.0
1982-06-14,0.57,0.58,0.57,0.57,94000,0.0,0.0
1982-06-15,0.55,0.56,0.54,0.55,136400,0.0,0.0
1982-06-16,0.55,0.55,0.54,0.54,210000,0.0,0.0
1982-06-17,0.54,0.54,0.54,0.54,63900,0.0,0.0
1982-06-18,0.53,0.53,0.52,0.53,559100,0.0,0.0
1982-06-21,0.53,0.53,0.52,0.52,431000,0.0,0.0
1982-06-22,0.53,0.53,0.52,0.53,181100,0.0,0.0
1982-06-23,0.54,0.56,0.53,0.56,507100,0.0,0.0
1982-06-24,0.55,0.56,0.54,0.54,229300,0.0,0.0
1982-06-25,0.54,0.54,0.53,0.54,144800,0.0,0.0
1982-06-28,0.55,0.56,0.54,0.56,275200,0.0,0.0
1982-06-29,0.57,0.57,0.56,0.56,55400,0.0,0.0
