Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1989-10-04,1.89,1.95,1.86,1.91,20636000,0.0,0.0
1989-10-05,1.92,2.01,1.91,1.97,6453600,0.0,0.0
1989-10-06,1.98,2.01,1.95,1.95,2755200,0.0,0.0
1989-10-09,1.95,1.95,1.91,1.95,1084000,0.0,0.0
1989-10-10,1.96,1.96,1.91,1.93,1493600,0.0,0.0
1989-10-11,1.91,1.92,1.89,1.92,1260000,0.0,0.0
1989-10-12,1.92,1.95,1.92,1.93,602400,0.0,0.0
1989-10-13,1.93,1.93,1.89,1.9,3970400,0.0,0.0
1989-10-16,1.81,1.89,1.81,1.89,3924800,0.0,0.0
1989-10-17,1.86,1.91,1.86,1.91,1843200,0.0,0.0
1989-10-18,1.91,1.96,1.9,1.95,1128000,0.0,0.0
1989-10-19,1.93,1.95,1.93,1.95,1040000,0.0,0.0
1989-10-20,1.93,1.93,1.92,1.93,237600,0.0,0.0
1989-10-23,1.95,1.96,1.95,1.95,87200,0.0,0.0
1989-10-24,1.95,1.96,1.93,1.96,689600,0.0,0.0
1989-10-25,1.95,1.97,1.92,1.95,608000,0.0,0.0
1989-10-26,1.95,1.96,1.95,1.95,228800,0.0,0.0
1989-10-27,1.95,1.95,1.91,1.92,456000,0.0,0.0
1989-10-30,1.92,1.92,1.91,1.91,250400,0.0,0.0
1989-10-31,1.91,1.92,1.91,1.91,424800,0.0,0.0
1989-11-01,1.92,1.96,1.92,1.96,715200,0.0,0.0
1989-11-02,1.98,2.02,1.98,2.02,130400,0.0,0.0
1989-11-03,2.01,2.1,2.01,2.09,1118400,0.0,0.0
1989-11-06,2.08,2.08,1.97,1.97,264800,0.0,0.0
1989-11-07,1.95,2.05,1.91,2.05,727200,0.0,0.0
1989-11-08,2.05,2.08,2.04,2.08,236800,0.0,0.0
1989-11-09,2.08,2.08,2.05,2.05,60800,0.0,0.0
1989-11-10,2.05,2.05,1.95,1.96,210400,0.0,0.0
1989-11-13,1.96,1.96,1.92,1.95,92800,0.0,0.0
1989-11-14,1.97,1.97,1.9,1.93,428000,0.0,0.0
1989-11-15,1.95,1.97,1.93,1.96,176000,0.0,0.0
1989-11-16,1.95,1.98,1.95,1.98,301600,0.0,0.0
1989-11-17,1.98,2.02,1.98,2.02,249600,0.0,0.0
1989-11-20,2.03,2.03,1.99,1.99,43200,0.0,0.0
1989-11-21,1.98,2.04,1.98,2.04,108800,0.0,0.0
1989-11-22,2.05,2.1,2.05,2.1,255200,0.0,0.0
1989-11-24,2.13,2.26,2.13,2.23,572000,0.0,0.0
1989-11-27,2.22,2.24,2.18,2.2,253600,0.0,0.0
