Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-08-12,2.04,2.04,1.92,2.01,13086600,0.0,0.0
1993-08-13,2.0,2.0,1.95,1.95,1277800,0.0,0.0
1993-08-16,1.95,1.97,1.94,1.97,559000,0.0,0.0
1993-08-17,1.97,1.98,1.96,1.98,545600,0.0,0.0
1993-08-18,1.98,1.98,1.98,1.98,469200,0.0,0.0
1993-08-19,1.98,1.98,1.94,1.94,409400,0.0,0.0
1993-08-20,1.95,1.98,1.95,1.96,540800,0.0,0.0
1993-08-23,1.96,1.98,1.95,1.97,335600,0.0,0.0
1993-08-24,1.97,1.99,1.97,1.99,234400,0.0,0.0
1993-08-25,1.98,1.98,1.97,1.97,102600,0.0,0.0
1993-08-26,1.97,2.01,1.97,2.01,180400,0.0,0.0
1993-08-27,2.01,2.01,1.98,1.98,119600,0.0,0.0
1993-08-30,1.98,2.0,1.98,1.98,71400,0.0,0.0
1993-08-31,1.98,2.03,1.98,2.02,147000,0.0,0.0
1993-09-01,2.03,2.04,2.01,2.01,141600,0.0,0.0
1993-09-02,2.04,2.04,2.02,2.04,217600,0.0,0.0
1993-09-03,2.03,2.08,2.03,2.06,178800,0.0,0.0
1993-09-07,2.05,2.08,2.05,2.06,167600,0.0,0.0
1993-09-08,2.08,2.09,2.04,2.04,276200,0.0,0.0
1993-09-09,2.04,2.09,2.04,2.06,74400,0.0,0.0
1993-09-10,2.05,2.14,2.05,2.13,245000,0.0,0.0
1993-09-13,2.1,2.11,2.09,2.11,251200,0.0,0.0
1993-09-14,2.07,2.08,2.05,2.07,127000,0.0,0.0
1993-09-15,2.07,2.07,2.05,2.07,162400,0.0,0.0
1993-09-16,2.09,2.09,2.06,2.09,88800,0.0,0.0
1993-09-17,2.08,2.12,2.07,2.12,113000,0.0,0.0
1993-09-20,2.11,2.13,2.1,2.1,15400,0.105,0.0
1993-09-21,2.12,2.12,2.09,2.11,286000,0.0,0.0
1993-09-22,2.1,2.13,2.09,2.13,54800,0.0,0.0
1993-09-23,2.12,2.12,2.09,2.11,51000,0.0,0.0
1993-09-24,2.1,2.15,2.1,2.15,265000,0.0,0.0
1993-09-27,2.15,2.24,2.15,2.24,675400,0.0,0.0
1993-09-28,2.23,2.25,2.21,2.24,360800,0.0,0.0
1993-09-29,2.24,2.3,2.24,2.24,823200,0.0,0.0
1993-09-30,2.24,2.24,2.21,2.22,138000,0.0,0.0
1993-10-01,2.22,2.24,2.22,2.22,31600,0.0,0.0
1993-10-04,2.21,2.21,2.16,2.17,27600,0.0,0.0
1993-10-05,2.17,2.2,2.16,2.17,87600,0.0,0.0
1993-10-06,2.16,2.22,2.16,2.21,327600,0.0,0.0
1993-10-07,2.19,2.24,2.19,2.22,40400,0.0,0.0
1993-10-08,2.24,2.49,2.24,2.44,1242600,0.0,0.0
1993-10-11,2.42,2.46,2.42,2.42,885200,0.0,0.0
1993-10-12,2.42,2.6,2.42,2.57,708200,0.0,0.0
1993-10-13,2.58,2.58,2.53,2.53,55600,0.0,0.0
1993-10-14,2.53,2.53,2.53,2.53,55000,0.0,0.0
1993-10-15,2.53,2.62,2.53,2.58,200600,0.0,0.0
1993-10-18,2.57,2.61,2.53,2.57,47200,0.0,0.0
1993-10-19,2.56,2.56,2.49,2.49,173400,0.0,0.0
1993-10-20,2.49,2.5,2.43,2.49,141600,0.0,0.0
1993-10-21,2.47,2.47,2.45,2.46,32200,0.0,0.0
1993-10-22,2.45,2.53,2.45,2.49,161000,0.0,0.0
1993-10-25,2.49,2.51,2.44,2.48,48000,0.0,0.0
1993-10-26,2.44,2.44,2.41,2.41,27000,0.0,0.0
1993-10-27,2.39,2.4,2.38,2.39,122400,0.0,0.0
1993-10-28,2.39,2.42,2.35,2.42,75400,0.0,0.0
1993-10-29,2.44,2.47,2.42,2.47,224400,0.0,0.0
1993-11-01,2.46,2.48,2.45,2.48,24400,0.0,0.0
1993-11-02,2.46,2.48,2.45,2.47,68800,0.0,0.0
1993-11-03,2.47,2.49,2.46,2.49,233600,0.0,0.0
1993-11-04,2.49,2.49,2.4,2.4,267400,0.0,0.0
1993-11-05,2.4,2.49,2.4,2.48,333200,0.0,0.0
1993-11-08,2.49,2.56,2.48,2.56,164600,0.0,0.0
1993-11-09,2.58,2.6,2.56,2.56,192800,0.0,0.0
1993-11-10,2.54,2.54,2.51,2.51,6800,0.0,0.0
