Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-06-07,5.76,5.92,5.76,5.84,1595400,0.0,0
1994-06-08,5.84,5.84,5.76,5.8,162400,0.0,0
1994-06-09,5.8,5.8,5.76,5.8,76200,0.0,0
1994-06-10,5.8,5.8,5.73,5.76,110500,0.0,0
1994-06-13,5.76,5.76,5.73,5.76,51200,0.0,0
1994-06-14,5.76,5.8,5.76,5.8,28100,0.0,0
1994-06-15,5.8,5.88,5.76,5.8,96700,0.0,0
1994-06-16,5.8,5.8,5.76,5.76,19800,0.0,0
1994-06-17,5.76,5.8,5.73,5.73,56000,0.0,0
1994-06-20,5.73,5.76,5.73,5.76,43500,0.0,0
1994-06-21,5.76,5.76,5.73,5.73,34700,0.0,0
1994-06-22,5.73,5.76,5.73,5.73,29500,0.0,0
1994-06-23,5.73,5.76,5.65,5.65,67900,0.0,0
1994-06-24,5.64,5.64,5.49,5.56,72500,0.08,0
1994-06-27,5.56,5.56,5.22,5.41,70100,0.0,0
1994-06-28,5.41,5.49,5.3,5.34,64700,0.0,0
1994-06-29,5.37,5.49,5.37,5.41,25100,0.0,0
1994-06-30,5.41,5.45,5.34,5.34,26100,0.0,0
1994-07-01,5.34,5.37,5.26,5.37,25500,0.0,0
1994-07-05,5.37,5.41,5.37,5.41,2900,0.0,0
1994-07-06,5.41,5.41,5.3,5.34,33600,0.0,0
1994-07-07,5.34,5.41,5.34,5.34,30500,0.0,0
1994-07-08,5.34,5.41,5.34,5.34,30200,0.0,0
1994-07-11,5.34,5.41,5.3,5.37,29300,0.0,0
1994-07-12,5.37,5.41,5.34,5.37,11700,0.0,0
1994-07-13,5.37,5.41,5.34,5.37,37800,0.0,0
1994-07-14,5.37,5.41,5.34,5.41,24600,0.0,0
1994-07-15,5.41,5.45,5.41,5.45,15000,0.0,0
1994-07-18,5.45,5.45,5.41,5.45,22900,0.0,0
1994-07-19,5.45,5.6,5.45,5.6,25700,0.0,0
1994-07-20,5.6,5.6,5.49,5.52,15900,0.0,0
1994-07-21,5.52,5.52,5.45,5.52,16000,0.0,0
1994-07-22,5.52,5.6,5.52,5.56,18800,0.0,0
1994-07-25,5.56,5.6,5.52,5.6,20100,0.0,0
1994-07-26,5.6,5.64,5.56,5.6,14200,0.0,0
1994-07-27,5.56,5.56,5.49,5.52,10100,0.0,0
1994-07-28,5.49,5.49,5.41,5.41,9200,0.0,0
1994-07-29,5.41,5.41,5.34,5.37,71400,0.0,0
1994-08-01,5.37,5.37,5.34,5.34,23500,0.0,0
1994-08-02,5.34,5.49,5.34,5.49,36700,0.0,0
1994-08-03,5.49,5.56,5.41,5.56,16300,0.0,0
1994-08-04,5.56,5.56,5.41,5.45,19800,0.0,0
1994-08-05,5.45,5.45,5.41,5.45,9100,0.0,0
1994-08-08,5.45,5.49,5.41,5.45,20100,0.0,0
1994-08-09,5.41,5.41,5.37,5.37,26700,0.0,0
1994-08-10,5.37,5.49,5.37,5.49,52600,0.0,0
1994-08-11,5.49,5.52,5.41,5.41,15800,0.0,0
1994-08-12,5.41,5.49,5.41,5.45,6100,0.0,0
1994-08-15,5.45,5.45,5.41,5.41,14400,0.0,0
1994-08-16,5.41,5.49,5.41,5.49,16800,0.0,0
1994-08-17,5.49,5.49,5.45,5.49,14500,0.0,0
1994-08-18,5.45,5.45,5.41,5.45,11500,0.0,0
1994-08-19,5.45,5.49,5.41,5.45,10300,0.0,0
1994-08-22,5.45,5.49,5.45,5.49,6500,0.0,0
1994-08-23,5.49,5.49,5.45,5.49,9600,0.0,0
1994-08-24,5.49,5.49,5.45,5.49,18300,0.0,0
1994-08-25,5.49,5.49,5.37,5.37,12800,0.0,0
1994-08-26,5.37,5.45,5.37,5.45,13400,0.0,0
1994-08-29,5.45,5.49,5.41,5.49,11900,0.0,0
1994-08-30,5.49,5.52,5.45,5.52,39400,0.0,0
1994-08-31,5.52,5.6,5.52,5.56,23900,0.0,0
1994-09-01,5.56,5.6,5.52,5.6,31400,0.0,0
1994-09-02,5.6,5.75,5.56,5.75,27800,0.0,0
1994-09-06,5.71,5.71,5.64,5.68,8800,0.0,0
1994-09-07,5.68,5.71,5.64,5.68,10800,0.0,0
1994-09-08,5.68,5.71,5.64,5.64,7100,0.0,0
1994-09-09,5.64,5.68,5.52,5.64,17800,0.0,0
1994-09-12,5.64,5.68,5.64,5.68,9300,0.0,0
1994-09-13,5.68,5.68,5.6,5.6,11400,0.0,0
1994-09-14,5.6,5.64,5.56,5.56,7800,0.0,0
1994-09-15,5.56,5.64,5.52,5.64,8700,0.0,0
1994-09-16,5.64,5.64,5.52,5.52,10700,0.0,0
1994-09-19,5.52,5.6,5.49,5.6,7200,0.0,0
1994-09-20,5.6,5.68,5.6,5.64,11700,0.0,0
1994-09-21,5.64,5.64,5.49,5.56,12800,0.0,0
1994-09-22,5.56,5.56,5.41,5.45,20400,0.0,0
1994-09-23,5.45,5.45,5.34,5.41,5500,0.0,0
1994-09-26,5.54,5.58,5.31,5.58,18000,0.4175,0
1994-09-27,5.58,5.62,5.54,5.58,5300,0.0,0
1994-09-28,5.58,5.58,5.39,5.39,9200,0.0,0
1994-09-29,5.42,5.54,5.42,5.54,6300,0.0,0
1994-09-30,5.54,5.58,5.5,5.58,6400,0.0,0
1994-10-03,5.58,5.58,5.5,5.5,5900,0.0,0
1994-10-04,5.5,5.58,5.5,5.5,5500,0.0,0
1994-10-05,5.5,5.5,5.23,5.27,15300,0.0,0
1994-10-06,5.27,5.31,5.19,5.19,35900,0.0,0
1994-10-07,5.23,5.27,5.23,5.27,36500,0.0,0
1994-10-10,5.27,5.39,5.27,5.27,23700,0.0,0
1994-10-11,5.27,5.27,5.11,5.19,32900,0.0,0
1994-10-12,5.19,5.27,5.19,5.27,12700,0.0,0
1994-10-13,5.27,5.27,5.19,5.19,6400,0.0,0
1994-10-14,5.19,5.19,5.11,5.15,10200,0.0,0
1994-10-17,5.19,5.23,5.19,5.23,8100,0.0,0
1994-10-18,5.23,5.35,5.23,5.23,24700,0.0,0
1994-10-19,5.23,5.23,5.15,5.19,9200,0.0,0
1994-10-20,5.19,5.27,5.11,5.23,20700,0.0,0
1994-10-21,5.23,5.31,5.23,5.31,5000,0.0,0
1994-10-24,5.31,5.35,5.31,5.31,4900,0.0,0
1994-10-25,5.31,5.31,5.15,5.23,12000,0.0,0
1994-10-26,5.23,5.23,5.11,5.15,9600,0.0,0
1994-10-27,5.15,5.15,5.11,5.15,43100,0.0,0
1994-10-28,5.19,5.35,5.19,5.35,7600,0.0,0
1994-10-31,5.35,5.46,5.31,5.46,18400,0.0,0
1994-11-01,5.42,5.42,5.27,5.35,11200,0.0,0
1994-11-02,5.35,5.42,5.35,5.42,12900,0.0,0
1994-11-03,5.42,5.42,5.39,5.39,16800,0.0,0
1994-11-04,5.35,5.39,5.35,5.39,56300,0.0,0
1994-11-07,5.35,5.35,5.31,5.35,3300,0.0,0
1994-11-08,5.31,5.39,5.27,5.31,16900,0.0,0
1994-11-09,5.35,5.39,5.27,5.31,12200,0.0,0
1994-11-10,5.35,5.35,5.19,5.23,5600,0.0,0
1994-11-11,5.19,5.19,5.11,5.15,8900,0.0,0
1994-11-14,5.19,5.23,5.15,5.15,10800,0.0,0
1994-11-15,5.23,5.23,5.11,5.11,10800,0.0,0
1994-11-16,5.11,5.11,4.88,4.92,14500,0.0,0
1994-11-17,4.96,5.08,4.96,5.04,17400,0.0,0
1994-11-18,5.08,5.15,5.04,5.15,10900,0.0,0
1994-11-21,5.11,5.15,5.08,5.08,5800,0.0,0
1994-11-22,5.11,5.15,5.08,5.11,2300,0.0,0
1994-11-23,5.08,5.35,5.08,5.27,17100,0.0,0
1994-11-25,5.23,5.27,5.19,5.23,3600,0.0,0
1994-11-28,5.27,5.27,5.19,5.27,8300,0.0,0
1994-11-29,5.35,5.35,5.23,5.23,6900,0.0,0
1994-11-30,5.23,5.27,5.23,5.27,5600,0.0,0
1994-12-01,5.27,5.31,5.15,5.15,13800,0.0,0
1994-12-02,5.11,5.11,5.08,5.11,4200,0.0,0
1994-12-05,5.08,5.08,5.04,5.04,5800,0.0,0
1994-12-06,5.04,5.11,4.96,5.0,8100,0.0,0
1994-12-07,5.04,5.11,5.0,5.0,11900,0.0,0
1994-12-08,4.96,4.96,4.77,4.84,17300,0.0,0
1994-12-09,4.84,4.88,4.8,4.88,8400,0.0,0
1994-12-12,4.84,4.96,4.84,4.88,5800,0.0,0
1994-12-13,4.92,4.92,4.8,4.88,9600,0.0,0
1994-12-14,4.88,4.96,4.88,4.88,20700,0.0,0
1994-12-15,4.92,5.11,4.92,5.11,8900,0.0,0
1994-12-16,5.15,5.27,5.0,5.04,26300,0.0,0
1994-12-19,5.08,5.11,4.84,5.0,23000,0.0,0
1994-12-20,5.04,5.04,4.96,4.96,6200,0.0,0
1994-12-21,4.96,4.96,4.8,4.88,20600,0.0,0
1994-12-22,4.8,4.88,4.8,4.84,37100,0.0,0
1994-12-23,4.94,4.94,4.82,4.9,28000,0.418,0
1994-12-27,4.86,4.9,4.78,4.82,13900,0.0,0
1994-12-28,4.86,4.86,4.66,4.74,23400,0.0,0
1994-12-29,4.78,4.9,4.78,4.82,17100,0.0,0
1994-12-30,4.82,4.86,4.7,4.82,33000,0.0,0
1995-01-03,4.86,5.1,4.86,5.1,10700,0.0,0
1995-01-04,5.14,5.22,5.1,5.18,7000,0.0,0
1995-01-05,5.14,5.25,5.14,5.22,13200,0.0,0
1995-01-06,5.22,5.29,5.22,5.29,7200,0.0,0
1995-01-09,5.33,5.33,5.25,5.25,3300,0.0,0
1995-01-10,5.29,5.29,5.18,5.25,7300,0.0,0
1995-01-11,5.29,5.29,5.22,5.22,8300,0.0,0
1995-01-12,5.25,5.25,5.22,5.22,6100,0.0,0
1995-01-13,5.25,5.29,5.22,5.25,10800,0.0,0
1995-01-16,5.22,5.25,5.22,5.22,2200,0.0,0
1995-01-17,5.33,5.33,5.18,5.25,17000,0.0,0
1995-01-18,5.25,5.25,5.14,5.25,25100,0.0,0
1995-01-19,5.14,5.14,5.02,5.14,39100,0.0,0
1995-01-20,5.18,5.22,5.18,5.18,4000,0.0,0
1995-01-23,5.14,5.14,5.06,5.1,6000,0.0,0
1995-01-24,5.06,5.14,5.02,5.14,6900,0.0,0
1995-01-25,5.18,5.22,5.14,5.22,5200,0.0,0
1995-01-26,5.25,5.25,5.18,5.18,3000,0.0,0
1995-01-27,5.29,5.29,5.25,5.25,2700,0.0,0
1995-01-30,5.25,5.29,5.25,5.29,4500,0.0,0
1995-01-31,5.25,5.25,5.18,5.25,3800,0.0,0
1995-02-01,5.29,5.29,5.22,5.22,12900,0.0,0
1995-02-02,5.25,5.25,5.22,5.25,5100,0.0,0
1995-02-03,5.25,5.25,5.1,5.1,35300,0.0,0
1995-02-06,5.1,5.14,5.1,5.14,13200,0.0,0
1995-02-07,5.1,5.18,5.1,5.1,14700,0.0,0
1995-02-08,5.1,5.1,4.98,5.02,22400,0.0,0
1995-02-09,5.02,5.1,5.02,5.1,19900,0.0,0
1995-02-10,5.1,5.14,4.98,5.1,16600,0.0,0
1995-02-13,5.1,5.1,4.94,4.94,19000,0.0,0
1995-02-14,5.02,5.06,4.98,5.06,9300,0.0,0
1995-02-15,5.1,5.14,5.06,5.14,4000,0.0,0
1995-02-16,5.1,5.1,5.06,5.06,2900,0.0,0
1995-02-17,5.1,5.1,5.02,5.06,3400,0.0,0
1995-02-21,5.06,5.06,4.66,5.02,32100,0.0,0
1995-02-22,5.02,5.02,4.94,5.02,12000,0.0,0
1995-02-23,5.02,5.06,4.94,5.06,13100,0.0,0
1995-02-24,5.02,5.06,4.9,5.06,11100,0.0,0
1995-02-27,5.06,5.1,5.02,5.1,12600,0.0,0
1995-02-28,5.06,5.14,5.02,5.14,13400,0.0,0
1995-03-01,5.14,5.14,5.06,5.1,2800,0.0,0
1995-03-02,5.1,5.1,4.98,4.98,43600,0.0,0
1995-03-03,5.02,5.06,4.9,4.9,10000,0.0,0
1995-03-06,4.94,4.94,4.9,4.9,9900,0.0,0
1995-03-07,4.94,4.98,4.9,4.94,6400,0.0,0
1995-03-08,4.94,4.98,4.9,4.9,3200,0.0,0
1995-03-09,4.94,5.02,4.9,4.94,20500,0.0,0
1995-03-10,4.9,4.94,4.9,4.9,2100,0.0,0
1995-03-13,4.94,4.94,4.86,4.9,6600,0.0,0
1995-03-14,4.9,5.02,4.86,4.94,5600,0.0,0
1995-03-15,4.94,5.06,4.94,5.06,6800,0.0,0
1995-03-16,5.1,5.1,4.98,4.98,9600,0.0,0
1995-03-17,4.98,5.02,4.94,5.02,6400,0.0,0
1995-03-20,5.02,5.1,5.02,5.1,26200,0.0,0
1995-03-21,5.1,5.1,5.06,5.1,7600,0.0,0
1995-03-22,5.06,5.1,5.06,5.06,9200,0.0,0
1995-03-23,5.1,5.18,5.1,5.1,125800,0.0,0
1995-03-24,5.14,5.22,5.1,5.22,101400,0.0,0
1995-03-27,5.15,5.23,5.11,5.23,6700,0.418,0
1995-03-28,5.23,5.23,5.15,5.19,9600,0.0,0
1995-03-29,5.23,5.23,5.15,5.23,90500,0.0,0
1995-03-30,5.23,5.23,5.19,5.23,9600,0.0,0
1995-03-31,5.15,5.23,5.15,5.19,3000,0.0,0
1995-04-03,5.15,5.19,5.15,5.15,2100,0.0,0
1995-04-04,5.19,5.19,5.11,5.15,5000,0.0,0
1995-04-05,5.19,5.27,5.19,5.27,14400,0.0,0
1995-04-06,5.23,5.39,5.23,5.39,32100,0.0,0
1995-04-07,5.35,5.35,5.35,5.35,1500,0.0,0
1995-04-10,5.31,5.39,5.31,5.39,38700,0.0,0
1995-04-11,5.35,5.39,5.35,5.39,5700,0.0,0
1995-04-12,5.39,5.43,5.35,5.35,3000,0.0,0
1995-04-13,5.43,5.43,5.39,5.39,3600,0.0,0
1995-04-17,5.39,5.39,5.31,5.31,1900,0.0,0
1995-04-18,5.39,5.39,5.31,5.31,6800,0.0,0
1995-04-19,5.31,5.39,5.31,5.39,7100,0.0,0
1995-04-20,5.39,5.39,5.27,5.31,6000,0.0,0
1995-04-21,5.31,5.43,5.27,5.43,5100,0.0,0
1995-04-24,5.35,5.35,5.23,5.23,3400,0.0,0
1995-04-25,5.27,5.31,5.23,5.27,15600,0.0,0
1995-04-26,5.23,5.31,5.15,5.19,6100,0.0,0
1995-04-27,5.19,5.27,5.19,5.23,3600,0.0,0
1995-04-28,5.27,5.35,5.27,5.31,7000,0.0,0
1995-05-01,5.35,5.43,5.31,5.39,4500,0.0,0
1995-05-02,5.35,5.39,5.23,5.31,9200,0.0,0
1995-05-03,5.35,5.35,5.31,5.35,11600,0.0,0
1995-05-04,5.39,5.47,5.39,5.47,10100,0.0,0
1995-05-05,5.47,5.6,5.47,5.56,5200,0.0,0
1995-05-08,5.56,5.68,5.52,5.68,9200,0.0,0
1995-05-09,5.68,5.88,5.68,5.88,30500,0.0,0
1995-05-10,5.92,5.92,5.84,5.84,18500,0.0,0
1995-05-11,5.88,5.92,5.84,5.88,9000,0.0,0
1995-05-12,5.88,5.88,5.8,5.84,21800,0.0,0
1995-05-15,5.88,5.88,5.6,5.72,18300,0.0,0
1995-05-16,5.68,5.72,5.68,5.72,5800,0.0,0
1995-05-17,5.72,5.8,5.68,5.68,4700,0.0,0
1995-05-18,5.68,5.72,5.64,5.64,6800,0.0,0
1995-05-19,5.64,5.8,5.64,5.72,4100,0.0,0
1995-05-22,5.68,5.68,5.6,5.64,15800,0.0,0
1995-05-23,5.68,5.76,5.64,5.68,11200,0.0,0
1995-05-24,5.72,5.76,5.68,5.68,6500,0.0,0
1995-05-25,5.72,5.76,5.72,5.76,2900,0.0,0
1995-05-26,5.76,5.8,5.68,5.72,8300,0.0,0
1995-05-30,5.76,5.8,5.72,5.8,2000,0.0,0
1995-05-31,5.76,5.84,5.76,5.84,14400,0.0,0
1995-06-01,5.8,5.84,5.76,5.8,6500,0.0,0
1995-06-02,5.76,5.84,5.68,5.84,20200,0.0,0
1995-06-05,5.84,5.84,5.84,5.84,1500,0.0,0
1995-06-06,5.84,5.84,5.8,5.84,1700,0.0,0
1995-06-07,5.8,5.8,5.68,5.72,7300,0.0,0
1995-06-08,5.68,5.8,5.68,5.76,4500,0.0,0
1995-06-09,5.8,5.8,5.68,5.72,5600,0.0,0
1995-06-12,5.76,5.8,5.68,5.8,5700,0.0,0
1995-06-13,5.76,5.76,5.68,5.72,6300,0.0,0
1995-06-14,5.76,5.8,5.68,5.76,13300,0.0,0
1995-06-15,5.8,5.8,5.72,5.72,21500,0.0,0
1995-06-16,5.76,5.76,5.64,5.68,11700,0.0,0
1995-06-19,5.64,5.76,5.64,5.76,5100,0.0,0
1995-06-20,5.8,5.8,5.68,5.68,23200,0.0,0
1995-06-21,5.72,5.76,5.6,5.72,39800,0.0,0
1995-06-22,5.72,5.8,5.68,5.8,20700,0.0,0
1995-06-23,5.8,5.8,5.72,5.76,34600,0.0,0
1995-06-26,5.64,5.8,5.64,5.8,33900,0.0,0
1995-06-27,5.8,5.92,5.76,5.92,29800,0.0,0
1995-06-28,5.85,5.9,5.77,5.81,4100,0.418,0
1995-06-29,5.85,5.94,5.85,5.85,7100,0.0,0
1995-06-30,5.9,6.06,5.85,6.06,21100,0.0,0
1995-07-03,6.11,6.11,6.11,6.11,2600,0.0,0
1995-07-05,6.02,6.06,5.98,6.02,18300,0.0,0
1995-07-06,6.06,6.11,5.98,6.11,22500,0.0,0
1995-07-07,6.11,6.11,5.98,6.02,3200,0.0,0
1995-07-10,5.98,6.15,5.94,6.11,6300,0.0,0
1995-07-11,6.06,6.11,6.02,6.06,16300,0.0,0
1995-07-12,6.11,6.15,6.02,6.02,10500,0.0,0
1995-07-13,5.94,5.94,5.81,5.85,7700,0.0,0
1995-07-14,5.81,5.9,5.73,5.81,6500,0.0,0
1995-07-17,5.81,5.85,5.81,5.85,2000,0.0,0
1995-07-18,5.98,5.98,5.81,5.81,22800,0.0,0
1995-07-19,5.73,5.85,5.73,5.85,10800,0.0,0
