Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-08-16,6.35,6.36,6.35,6.35,188800,0.0,0
2004-08-17,6.35,6.37,6.35,6.35,153600,0.0,0
2004-08-18,6.35,6.42,6.35,6.35,149800,0.0,0
2004-08-19,6.35,6.37,6.35,6.36,126900,0.0,0
2004-08-20,6.36,6.39,6.35,6.37,144900,0.0,0
2004-08-23,6.37,6.39,6.35,6.37,64400,0.0,0
2004-08-24,6.37,6.6,6.37,6.59,382900,0.0,0
2004-08-25,6.47,6.65,6.47,6.6,500200,0.0,0
2004-08-26,6.63,6.83,6.58,6.79,435200,0.0,0
2004-08-27,6.8,6.92,6.71,6.83,694300,0.0,0
2004-08-30,6.83,6.9,6.78,6.84,119100,0.0,0
2004-08-31,6.88,7.01,6.6,7.01,261900,0.0,0
2004-09-01,7.26,7.3,6.81,6.93,170900,0.0,0
2004-09-02,6.93,7.05,6.65,7.0,149200,0.0,0
2004-09-03,6.88,7.03,6.85,6.93,88600,0.0,0
2004-09-07,6.88,7.03,6.83,7.01,101100,0.0,0
2004-09-08,7.01,7.02,6.91,6.93,93800,0.0,0
2004-09-09,6.93,6.96,6.81,6.85,113900,0.0,0
2004-09-10,6.8,6.97,6.73,6.91,139900,0.0,0
2004-09-13,6.71,7.04,6.62,7.02,223700,0.1113,0
2004-09-14,6.99,6.99,6.81,6.92,130000,0.0,0
2004-09-15,6.81,6.94,6.7,6.83,138800,0.0,0
2004-09-16,6.83,6.9,6.71,6.82,126300,0.0,0
2004-09-17,6.43,6.98,6.43,6.98,400200,0.0,0
2004-09-20,6.93,6.98,6.72,6.83,112300,0.0,0
2004-09-21,6.81,6.96,6.8,6.9,243700,0.0,0
2004-09-22,6.76,6.97,6.68,6.91,455800,0.0,0
2004-09-23,6.86,6.99,6.77,6.8,211000,0.0,0
2004-09-24,6.81,6.94,6.78,6.91,67500,0.0,0
2004-09-27,6.94,6.94,6.62,6.68,182200,0.0,0
2004-09-28,6.69,6.73,6.47,6.61,202900,0.0,0
2004-09-29,6.71,6.72,6.45,6.59,159900,0.0,0
2004-09-30,6.58,6.58,6.3,6.53,1156500,0.0,0
2004-10-01,6.53,6.69,6.45,6.66,217900,0.0,0
2004-10-04,6.66,6.68,6.6,6.62,122500,0.0,0
2004-10-05,6.6,6.67,6.56,6.58,128300,0.0,0
2004-10-06,6.58,6.73,6.58,6.71,447600,0.0,0
2004-10-07,6.66,6.86,6.63,6.67,160200,0.0,0
2004-10-08,6.68,6.77,6.66,6.77,118000,0.0,0
2004-10-11,6.77,6.78,6.66,6.71,90300,0.0,0
2004-10-12,6.71,6.78,6.64,6.71,69000,0.0,0
2004-10-13,6.73,6.81,6.63,6.63,75500,0.0,0
2004-10-14,6.63,6.69,6.62,6.69,44100,0.0,0
2004-10-15,6.68,6.74,6.59,6.65,73600,0.0,0
2004-10-18,6.68,6.86,6.61,6.72,52000,0.0,0
2004-10-19,6.71,6.91,6.68,6.68,56200,0.0,0
2004-10-20,6.63,6.71,6.58,6.71,57400,0.0,0
2004-10-21,6.68,6.86,6.6,6.85,49500,0.0,0
2004-10-22,6.85,6.91,6.8,6.81,75200,0.0,0
2004-10-25,6.79,6.91,6.76,6.81,99500,0.0,0
2004-10-26,6.78,7.01,6.76,6.94,137200,0.0,0
2004-10-27,6.91,7.17,6.86,7.12,173800,0.0,0
2004-10-28,7.17,7.3,7.07,7.13,107400,0.0,0
2004-10-29,7.14,7.15,6.91,7.1,233700,0.0,0
2004-11-01,7.04,7.15,6.96,7.03,60200,0.0,0
2004-11-02,7.09,7.22,7.07,7.1,93500,0.0,0
2004-11-03,7.12,7.19,6.96,7.12,84400,0.0,0
2004-11-04,7.12,7.29,7.07,7.17,47500,0.0,0
2004-11-05,7.17,7.24,7.07,7.19,55700,0.0,0
2004-11-08,7.22,7.26,7.14,7.19,63500,0.0,0
2004-11-09,7.19,7.29,7.07,7.21,129100,0.0,0
2004-11-10,7.2,7.41,7.01,7.23,59300,0.0,0
2004-11-11,7.23,7.27,7.17,7.24,44800,0.0,0
2004-11-12,7.24,7.27,7.19,7.22,39100,0.0,0
2004-11-15,7.22,7.45,7.09,7.35,133400,0.0,0
2004-11-16,7.27,7.27,6.99,7.22,74900,0.0,0
2004-11-17,7.24,7.37,7.22,7.27,120700,0.0,0
2004-11-18,7.22,7.3,7.08,7.19,43800,0.0,0
2004-11-19,7.2,7.24,7.12,7.19,22100,0.0,0
2004-11-22,7.19,7.26,7.07,7.26,71600,0.0,0
2004-11-23,7.37,7.37,7.01,7.24,108600,0.0,0
2004-11-24,7.24,7.27,7.12,7.16,80900,0.0,0
2004-11-26,7.16,7.17,7.1,7.12,25400,0.0,0
2004-11-29,7.14,7.22,7.09,7.17,115500,0.0,0
2004-11-30,7.22,7.22,7.02,7.12,83400,0.0,0
2004-12-01,7.09,7.22,7.02,7.17,145900,0.0,0
2004-12-02,7.19,7.3,7.19,7.27,46500,0.0,0
2004-12-03,7.27,7.37,7.27,7.35,75400,0.0,0
2004-12-06,7.4,7.4,7.17,7.24,94800,0.0,0
2004-12-07,7.24,7.27,7.11,7.17,326800,0.0,0
2004-12-08,7.17,7.24,7.17,7.19,621000,0.0,0
2004-12-09,7.21,7.21,7.1,7.16,84700,0.2275,0
2004-12-10,7.16,7.18,7.07,7.12,83300,0.0,0
2004-12-13,7.16,7.22,6.91,7.12,98600,0.0,0
2004-12-14,7.07,7.13,7.0,7.03,139100,0.0,0
2004-12-15,7.03,7.12,6.95,6.95,75000,0.0,0
2004-12-16,6.95,7.08,6.9,6.97,192700,0.0,0
2004-12-17,7.01,7.01,6.88,6.92,134800,0.0,0
2004-12-20,6.87,6.97,6.86,6.91,63600,0.0,0
2004-12-21,6.92,6.96,6.9,6.95,112300,0.0,0
2004-12-22,6.95,7.08,6.9,7.06,71200,0.0,0
2004-12-23,7.1,7.18,7.03,7.05,44100,0.0,0
2004-12-27,7.05,7.11,6.93,6.99,31500,0.0,0
2004-12-28,6.99,7.11,6.95,7.08,50400,0.0,0
2004-12-29,7.1,7.11,6.87,6.95,58800,0.0,0
2004-12-30,6.97,7.09,6.94,6.97,98600,0.0,0
2004-12-31,7.03,7.03,6.9,6.94,43700,0.0,0
2005-01-03,6.95,7.01,6.67,6.92,157500,0.0,0
2005-01-04,6.97,7.18,6.97,6.98,74700,0.0,0
2005-01-05,7.03,7.03,6.74,6.77,77800,0.0,0
2005-01-06,6.82,7.07,6.77,7.0,60800,0.0,0
2005-01-07,7.03,7.26,6.91,7.16,68600,0.0,0
2005-01-10,7.11,7.14,6.97,6.98,123200,0.0,0
2005-01-11,6.97,7.02,6.82,7.0,41800,0.0,0
2005-01-12,7.05,7.06,6.82,7.03,120200,0.0,0
2005-01-13,6.97,6.99,6.77,6.79,281100,0.0,0
2005-01-14,6.9,7.21,6.86,7.21,525800,0.0,0
2005-01-18,7.0,7.0,6.74,6.9,790700,0.0,0
2005-01-19,6.87,6.99,6.66,6.92,1628200,0.0,0
2005-01-20,6.97,6.97,6.82,6.84,229000,0.0,0
2005-01-21,6.86,6.87,6.8,6.86,64500,0.0,0
2005-01-24,6.85,6.9,6.83,6.88,161900,0.0,0
2005-01-25,6.88,6.92,6.74,6.82,246300,0.0,0
2005-01-26,6.87,6.87,6.66,6.74,94400,0.0,0
2005-01-27,6.74,6.8,6.73,6.77,61500,0.0,0
2005-01-28,6.82,6.82,6.66,6.73,114800,0.0,0
2005-01-31,6.75,6.8,6.63,6.75,208200,0.0,0
2005-02-01,6.75,6.81,6.74,6.79,283000,0.0,0
2005-02-02,6.8,6.86,6.67,6.74,162300,0.0,0
2005-02-03,6.81,6.85,6.7,6.77,76800,0.0,0
2005-02-04,6.71,6.93,6.7,6.87,175800,0.0,0
2005-02-07,6.92,6.96,6.88,6.91,65300,0.0,0
2005-02-08,6.91,6.95,6.9,6.95,65200,0.0,0
2005-02-09,6.96,7.0,6.87,6.92,87300,0.0,0
2005-02-10,6.97,7.07,6.92,7.04,90200,0.0,0
2005-02-11,7.04,7.26,7.04,7.2,84100,0.0,0
2005-02-14,7.25,7.36,7.08,7.18,68000,0.0,0
2005-02-15,7.18,7.34,7.05,7.1,82800,0.0,0
2005-02-16,7.16,7.36,7.13,7.3,135200,0.0,0
2005-02-17,7.35,7.35,7.1,7.3,102200,0.0,0
2005-02-18,7.35,7.35,7.16,7.27,230400,0.0,0
2005-02-22,7.27,7.27,7.1,7.13,75400,0.0,0
2005-02-23,7.19,7.26,7.16,7.18,60400,0.0,0
2005-02-24,7.19,7.24,7.1,7.18,227200,0.0,0
2005-02-25,7.16,7.42,7.16,7.29,112000,0.0,0
2005-02-28,7.29,7.29,7.13,7.23,102500,0.0,0
2005-03-01,7.34,7.39,7.21,7.29,99000,0.0,0
2005-03-02,7.36,7.41,7.23,7.31,60700,0.0,0
2005-03-03,7.34,7.36,7.23,7.23,51700,0.0,0
2005-03-04,7.34,7.36,7.26,7.33,104600,0.0,0
2005-03-07,7.33,7.35,7.24,7.31,134200,0.0,0
2005-03-08,7.36,7.44,7.3,7.34,36300,0.0,0
2005-03-09,7.31,7.38,7.13,7.31,90700,0.0,0
2005-03-10,7.34,7.36,7.16,7.27,41300,0.0,0
2005-03-11,7.3,7.37,7.14,7.27,70500,0.2275,0
2005-03-14,7.31,7.31,7.17,7.25,24600,0.0,0
2005-03-15,7.27,7.36,7.1,7.15,31000,0.0,0
2005-03-16,7.15,7.15,6.99,7.08,49700,0.0,0
2005-03-17,7.11,7.16,7.01,7.14,54400,0.0,0
2005-03-18,7.19,7.27,7.04,7.2,268800,0.0,0
2005-03-21,7.22,7.25,7.08,7.11,137000,0.0,0
2005-03-22,7.09,7.16,7.0,7.03,60600,0.0,0
2005-03-23,7.01,7.01,6.79,6.91,184200,0.0,0
2005-03-24,6.88,6.93,6.82,6.86,54000,0.0,0
2005-03-28,6.88,6.9,6.68,6.76,33100,0.0,0
2005-03-29,6.7,6.77,6.64,6.77,88300,0.0,0
2005-03-30,6.82,7.08,6.82,7.07,74600,0.0,0
2005-03-31,7.04,7.14,6.83,7.14,158700,0.0,0
2005-04-01,7.17,7.22,6.83,6.87,106000,0.0,0
2005-04-04,6.9,6.93,6.8,6.87,60200,0.0,0
2005-04-05,6.87,7.0,6.87,6.96,29800,0.0,0
2005-04-06,6.96,7.13,6.93,6.98,46500,0.0,0
2005-04-07,6.96,7.17,6.94,7.04,302800,0.0,0
2005-04-08,7.04,7.09,6.74,6.91,51400,0.0,0
2005-04-11,6.93,6.98,6.82,6.88,27600,0.0,0
2005-04-12,6.89,6.98,6.78,6.93,48700,0.0,0
2005-04-13,6.96,7.06,6.89,7.04,509700,0.0,0
2005-04-14,7.04,7.07,6.94,7.03,180600,0.0,0
2005-04-15,7.03,7.08,6.92,6.92,35600,0.0,0
2005-04-18,6.9,6.98,6.88,6.95,53000,0.0,0
2005-04-19,6.96,7.21,6.88,6.96,70800,0.0,0
2005-04-20,6.95,7.01,6.9,6.94,176800,0.0,0
2005-04-21,6.98,7.01,6.88,6.93,44800,0.0,0
2005-04-22,6.91,6.91,6.74,6.78,120900,0.0,0
2005-04-25,6.78,6.97,6.77,6.97,118400,0.0,0
2005-04-26,6.98,7.01,6.78,6.85,150900,0.0,0
2005-04-27,6.85,6.97,6.82,6.9,31600,0.0,0
2005-04-28,6.86,6.9,6.8,6.83,29700,0.0,0
2005-04-29,6.88,6.9,6.8,6.88,68800,0.0,0
2005-05-02,6.93,6.93,6.82,6.88,35400,0.0,0
2005-05-03,6.91,6.96,6.86,6.88,80100,0.0,0
2005-05-04,6.88,6.9,6.81,6.82,73200,0.0,0
2005-05-05,6.84,6.9,6.74,6.82,142500,0.0,0
2005-05-06,6.74,6.83,6.68,6.79,441900,0.0,0
2005-05-09,6.79,6.9,6.77,6.85,82800,0.0,0
2005-05-10,6.85,6.85,6.67,6.82,191300,0.0,0
2005-05-11,6.82,6.82,6.66,6.78,381100,0.0,0
2005-05-12,6.78,6.78,6.61,6.68,135800,0.0,0
2005-05-13,6.64,6.8,6.45,6.8,174200,0.0,0
2005-05-16,6.76,6.88,6.76,6.81,98900,0.0,0
2005-05-17,6.82,6.85,6.77,6.83,67000,0.0,0
2005-05-18,6.85,6.96,6.85,6.91,82600,0.0,0
2005-05-19,6.88,7.01,6.88,6.96,34800,0.0,0
2005-05-20,6.93,7.03,6.9,6.99,203400,0.0,0
2005-05-23,7.02,7.29,7.02,7.16,117400,0.0,0
2005-05-24,7.19,7.27,7.16,7.22,136500,0.0,0
2005-05-25,7.24,7.27,7.17,7.2,144800,0.0,0
2005-05-26,7.25,7.34,7.19,7.33,155900,0.0,0
2005-05-27,7.35,7.51,7.28,7.5,121700,0.0,0
2005-05-31,7.45,7.67,7.45,7.62,796800,0.0,0
2005-06-01,7.64,7.64,7.25,7.45,232300,0.0,0
2005-06-02,7.45,7.51,7.19,7.45,98500,0.0,0
2005-06-03,7.5,7.51,7.38,7.49,104700,0.0,0
2005-06-06,7.49,7.64,7.42,7.6,226200,0.0,0
2005-06-07,7.61,7.68,7.6,7.64,312200,0.0,0
2005-06-08,7.65,7.67,7.56,7.62,31200,0.0,0
2005-06-09,7.64,7.64,7.42,7.53,50700,0.0,0
2005-06-10,7.58,7.64,7.49,7.54,76400,0.0,0
2005-06-13,7.53,7.73,7.53,7.72,91700,0.2275,0
2005-06-14,7.7,7.76,7.55,7.75,69400,0.0,0
2005-06-15,7.71,7.74,7.59,7.66,162000,0.0,0
2005-06-16,7.66,7.66,7.55,7.6,128000,0.0,0
2005-06-17,7.6,7.68,7.58,7.58,210800,0.0,0
2005-06-20,7.59,7.68,7.4,7.42,216300,0.0,0
2005-06-21,7.42,7.68,7.42,7.6,321800,0.0,0
2005-06-22,7.65,7.69,7.57,7.65,48300,0.0,0
2005-06-23,7.65,7.79,7.53,7.55,101900,0.0,0
2005-06-24,7.55,7.81,7.5,7.77,748800,0.0,0
2005-06-27,7.58,7.91,7.58,7.79,85900,0.0,0
2005-06-28,7.84,7.9,7.84,7.89,67100,0.0,0
2005-06-29,7.9,7.93,7.79,7.86,51100,0.0,0
2005-06-30,7.91,7.93,7.66,7.7,228900,0.0,0
