Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1978-04-12,0.84,0.87,0.84,0.84,11657600,0.0,0.0
1978-04-13,0.88,0.9,0.88,0.88,7366400,0.0,0.0
1978-04-14,0.93,0.97,0.93,0.93,6771200,0.0,0.0
1978-04-17,0.93,0.93,0.9,0.9,4076800,0.0,0.0
1978-04-18,0.9,0.92,0.9,0.9,2966400,0.0,0.0
1978-04-19,0.91,0.94,0.91,0.91,2272000,0.0,0.0
1978-04-20,0.94,0.97,0.94,0.94,1699200,0.0,0.0
1978-04-21,0.94,0.96,0.93,0.93,1046400,0.0,0.0
1978-04-24,0.93,0.94,0.91,0.91,931200,0.0,0.0
1978-04-25,0.96,0.98,0.96,0.96,2256000,0.0,0.0
1978-04-26,1.0,1.03,1.0,1.0,1264000,0.0,0.0
1978-04-27,1.0,1.03,1.0,1.0,1075200,0.0,0.0
1978-04-28,1.06,1.09,1.06,1.06,1971200,0.0,0.0
1978-05-01,1.05,1.05,1.02,1.02,1500800,0.0,0.0
1978-05-02,1.03,1.06,1.03,1.03,816000,0.0,0.0
1978-05-03,1.03,1.03,1.0,1.0,627200,0.0,0.0
1978-05-04,1.02,1.05,1.02,1.02,1046400,0.0,0.0
1978-05-05,1.03,1.06,1.03,1.03,681600,0.0,0.0
1978-05-08,1.04,1.06,1.04,1.04,918400,0.0,0.0
1978-05-09,1.05,1.07,1.05,1.05,694400,0.0,0.0
1978-05-10,1.06,1.08,1.06,1.06,774400,0.0,0.0
1978-05-11,1.09,1.12,1.09,1.09,1449600,0.0,0.0
1978-05-12,1.11,1.14,1.11,1.11,627200,0.0,0.0
1978-05-15,1.11,1.12,1.1,1.1,307200,0.0,0.0
1978-05-16,1.17,1.2,1.17,1.17,1225600,0.0,0.0
1978-05-17,1.17,1.19,1.16,1.16,534400,0.0,0.0
1978-05-18,1.16,1.18,1.15,1.15,633600,0.0,0.0
1978-05-19,1.12,1.12,1.09,1.09,1040000,0.0,0.0
1978-05-22,1.09,1.11,1.08,1.08,451200,0.0,0.0
1978-05-23,1.06,1.06,1.04,1.04,656000,0.0,0.0
1978-05-24,1.03,1.03,1.0,1.0,912000,0.0,0.0
1978-05-25,1.03,1.06,1.03,1.03,1171200,0.0,0.0
1978-05-26,1.05,1.07,1.05,1.05,499200,0.0,0.0
1978-05-30,1.09,1.12,1.09,1.09,355200,0.0,0.0
1978-05-31,1.09,1.12,1.09,1.09,870400,0.0,0.0
1978-06-01,1.09,1.11,1.08,1.08,230400,0.0,0.0
1978-06-02,1.08,1.1,1.07,1.07,272000,0.0,0.0
1978-06-05,1.09,1.12,1.09,1.09,332800,0.0,0.0
1978-06-06,1.11,1.14,1.11,1.11,1222400,0.0,0.0
1978-06-07,1.11,1.12,1.09,1.09,576000,0.0,0.0
1978-06-08,1.11,1.14,1.11,1.11,569600,0.0,0.0
1978-06-09,1.11,1.12,1.1,1.1,339200,0.0,0.0
1978-06-12,1.12,1.15,1.12,1.12,774400,0.0,0.0
1978-06-13,1.19,1.21,1.19,1.19,1721600,0.0,0.0
1978-06-14,1.2,1.23,1.2,1.2,646400,0.0,0.0
1978-06-15,1.2,1.23,1.2,1.2,691200,0.0,0.0
1978-06-16,1.2,1.2,1.17,1.17,643200,0.0,0.0
1978-06-19,1.16,1.16,1.14,1.14,1452800,0.0,0.0
1978-06-20,1.12,1.12,1.09,1.09,502400,0.0,0.0
1978-06-21,1.09,1.09,1.06,1.06,521600,0.0,0.0
1978-06-22,1.08,1.11,1.08,1.08,742400,0.0,0.0
1978-06-23,1.08,1.09,1.06,1.06,412800,0.0,0.0
1978-06-26,1.06,1.06,1.03,1.03,348800,0.0,0.0
1978-06-27,1.03,1.05,1.02,1.02,822400,0.0,0.0
1978-06-28,1.03,1.06,1.03,1.03,656000,0.0,0.0
1978-06-29,1.06,1.09,1.06,1.06,598400,0.0,0.0
1978-06-30,1.11,1.14,1.11,1.11,550400,0.0,0.0
1978-07-03,1.12,1.14,1.12,1.12,176000,0.0,0.0
1978-07-05,1.12,1.12,1.1,1.1,499200,0.0,0.0
1978-07-06,1.16,1.19,1.16,1.16,1104000,0.0,0.0
1978-07-07,1.18,1.2,1.18,1.18,777600,0.0,0.0
1978-07-10,1.2,1.22,1.2,1.2,339200,0.0,0.0
1978-07-11,1.22,1.25,1.22,1.22,1475200,0.0,0.0
1978-07-12,1.22,1.23,1.2,1.2,700800,0.0,0.0
1978-07-13,1.2,1.22,1.2,1.2,323200,0.0,0.0
1978-07-14,1.21,1.24,1.21,1.21,201600,0.0,0.0
1978-07-17,1.27,1.29,1.27,1.27,1248000,0.0,0.0
1978-07-18,1.27,1.29,1.27,1.27,1075200,0.0,0.0
1978-07-19,1.31,1.35,1.31,1.31,947200,0.0,0.0
1978-07-20,1.31,1.34,1.31,1.31,784000,0.0,0.0
1978-07-21,1.3,1.3,1.28,1.28,441600,0.0,0.0
1978-07-24,1.28,1.3,1.28,1.28,646400,0.0,0.0
1978-07-25,1.28,1.29,1.27,1.27,1161600,0.0,0.0
1978-07-26,1.27,1.29,1.27,1.27,675200,0.0,0.0
1978-07-27,1.28,1.31,1.28,1.28,508800,0.0,0.0
1978-07-28,1.28,1.31,1.28,1.28,304000,0.0,0.0
1978-07-31,1.28,1.3,1.28,1.28,192000,0.0,0.0
1978-08-01,1.3,1.33,1.3,1.3,390400,0.0,0.0
1978-08-02,1.32,1.35,1.32,1.32,416000,0.0,0.0
1978-08-03,1.38,1.41,1.38,1.38,1081600,0.0,0.0
1978-08-04,1.45,1.48,1.45,1.45,972800,0.0,0.0
1978-08-07,1.51,1.53,1.51,1.51,1008000,0.0,0.0
1978-08-08,1.54,1.57,1.54,1.54,1068800,0.0,0.0
1978-08-09,1.54,1.56,1.53,1.53,636800,0.0,0.0
1978-08-10,1.53,1.55,1.52,1.52,595200,0.0,0.0
1978-08-11,1.52,1.55,1.52,1.52,268800,0.0,0.0
1978-08-14,1.53,1.56,1.53,1.53,563200,0.0,0.0
1978-08-15,1.57,1.6,1.57,1.57,710400,0.0,0.0
1978-08-16,1.63,1.66,1.63,1.63,611200,0.0,0.0
1978-08-17,1.69,1.73,1.69,1.69,1126400,0.0,0.0
1978-08-18,1.69,1.69,1.66,1.66,550400,0.0,0.0
1978-08-21,1.58,1.58,1.55,1.55,918400,0.0,0.0
1978-08-22,1.56,1.59,1.56,1.56,1011200,0.0,0.0
1978-08-23,1.64,1.66,1.64,1.64,1174400,0.0,0.0
1978-08-24,1.74,1.77,1.74,1.74,1219200,0.0,0.0
1978-08-25,1.82,1.85,1.82,1.82,1484800,0.0,0.0
1978-08-28,1.79,1.79,1.76,1.76,790400,0.0,0.0
1978-08-29,1.73,1.73,1.7,1.7,816000,0.0,0.0
1978-08-30,1.68,1.68,1.65,1.65,736000,0.0,0.0
1978-08-31,1.63,1.63,1.6,1.6,387200,0.0,0.0
1978-09-01,1.63,1.66,1.63,1.63,182400,0.0,0.0
1978-09-05,1.7,1.73,1.7,1.7,528000,0.0,0.0
1978-09-06,1.73,1.75,1.73,1.73,608000,0.0,0.0
1978-09-07,1.73,1.75,1.73,1.73,518400,0.0,0.0
1978-09-08,1.82,1.85,1.82,1.82,649600,0.0,0.0
1978-09-11,1.85,1.89,1.85,1.85,752000,0.0,0.0
1978-09-12,1.88,1.9,1.88,1.88,416000,0.0,0.0
1978-09-13,1.88,1.89,1.85,1.85,681600,0.0,0.0
1978-09-14,1.85,1.85,1.82,1.82,566400,0.0,0.0
1978-09-15,1.82,1.85,1.82,1.82,867200,0.0,0.0
1978-09-18,1.76,1.76,1.74,1.74,729600,0.0,0.0
1978-09-19,1.71,1.71,1.68,1.68,611200,0.0,0.0
1978-09-20,1.64,1.64,1.61,1.61,748800,0.0,0.0
1978-09-21,1.58,1.58,1.55,1.55,1222400,0.0,0.0
1978-09-22,1.49,1.49,1.46,1.46,1737600,0.0,0.0
1978-09-25,1.47,1.5,1.47,1.47,1126400,0.0,0.0
1978-09-26,1.58,1.62,1.58,1.58,1835200,0.0,2.0
1978-09-27,1.63,1.68,1.63,1.63,1366400,0.0,0.0
1978-09-28,1.73,1.77,1.73,1.73,696000,0.0,0.0
1978-09-29,1.77,1.81,1.77,1.77,1027200,0.0,0.0
1978-10-02,1.83,1.87,1.83,1.83,505600,0.0,0.0
1978-10-03,1.83,1.84,1.8,1.8,652800,0.0,0.0
1978-10-04,1.8,1.81,1.77,1.77,483200,0.0,0.0
1978-10-05,1.79,1.83,1.79,1.79,414400,0.0,0.0
1978-10-06,1.81,1.85,1.81,1.81,110400,0.0,0.0
1978-10-09,1.87,1.91,1.87,1.87,283200,0.0,0.0
1978-10-10,1.87,1.89,1.84,1.84,296000,0.0,0.0
1978-10-11,1.89,1.92,1.89,1.89,174400,0.0,0.0
1978-10-12,1.9,1.94,1.9,1.9,771200,0.0,0.0
1978-10-13,1.9,1.91,1.87,1.87,264000,0.0,0.0
1978-10-16,1.75,1.75,1.72,1.72,332800,0.0,0.0
1978-10-17,1.69,1.69,1.65,1.65,913600,0.0,0.0
1978-10-18,1.65,1.65,1.61,1.61,339200,0.0,0.0
1978-10-19,1.57,1.57,1.52,1.52,388800,0.0,0.0
1978-10-20,1.48,1.48,1.45,1.45,576000,0.0,0.0
1978-10-23,1.43,1.43,1.38,1.38,814400,0.0,0.0
