Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-12-19,34.04,44.56,33.2,44.32,1163000,0,0.0
2006-12-20,46.8,49.84,40.32,40.88,723200,0,0.0
2006-12-21,40.8,44.8,39.0,41.0,248200,0,0.0
2006-12-22,42.0,50.32,40.8,50.04,625200,0,0.0
2006-12-26,57.64,63.16,52.52,54.0,1842600,0,0.0
2006-12-27,54.68,56.36,49.68,52.0,664700,0,0.0
2006-12-28,52.12,70.2,51.0,70.0,1947600,0,0.0
2006-12-29,67.6,73.72,63.0,63.2,1928400,0,0.0
2007-01-03,67.72,68.56,57.8,59.6,854500,0,0.0
2007-01-04,60.2,64.4,59.0,60.2,630100,0,0.0
2007-01-05,60.0,61.2,56.56,57.6,352400,0,0.0
2007-01-08,57.4,58.84,54.64,55.2,268100,0,0.0
2007-01-09,56.56,60.96,56.0,57.2,544400,0,0.0
2007-01-10,56.0,58.16,52.4,52.4,298800,0,0.0
2007-01-11,53.16,55.24,51.0,51.72,222800,0,0.0
2007-01-12,53.0,57.68,51.4,57.0,513100,0,0.0
2007-01-16,57.72,60.28,55.16,55.96,457900,0,0.0
2007-01-17,56.0,57.8,55.2,55.52,156900,0,0.0
2007-01-18,56.36,56.36,52.4,52.84,149600,0,0.0
2007-01-19,52.12,55.2,52.0,54.28,106100,0,0.0
2007-01-22,54.56,54.6,52.24,53.04,66000,0,0.0
2007-01-23,52.8,56.64,52.72,54.24,171900,0,0.0
2007-01-24,54.36,55.76,53.68,54.12,93700,0,0.0
2007-01-25,54.0,54.4,52.16,52.72,90800,0,0.0
2007-01-26,52.88,54.4,52.2,53.92,97200,0,0.0
2007-01-29,54.2,54.2,52.4,52.48,56500,0,0.0
2007-01-30,53.36,53.56,52.24,52.52,44200,0,0.0
2007-01-31,52.2,52.2,46.68,46.76,258700,0,0.0
2007-02-01,46.8,48.4,45.24,45.64,112000,0,0.0
2007-02-02,46.36,47.36,45.8,46.0,60400,0,0.0
2007-02-05,46.0,47.76,43.56,45.0,99400,0,0.0
2007-02-06,45.12,46.4,44.48,44.68,62400,0,0.0
2007-02-07,44.76,49.44,44.24,47.56,246100,0,0.0
2007-02-08,47.4,48.2,45.0,45.88,61900,0,0.0
2007-02-09,46.2,47.12,44.0,44.04,79700,0,0.0
2007-02-12,44.6,44.64,41.24,41.72,138400,0,0.0
2007-02-13,41.52,43.12,40.92,42.08,73500,0,0.0
2007-02-14,41.68,47.2,41.0,45.2,343700,0,0.0
2007-02-15,45.12,47.16,43.96,46.2,124900,0,0.0
2007-02-16,45.6,47.12,45.4,46.32,42900,0,0.0
2007-02-20,47.0,47.0,45.12,45.76,46700,0,0.0
2007-02-21,45.4,46.32,44.4,44.64,41800,0,0.0
2007-02-22,44.4,45.76,44.16,44.84,33800,0,0.0
2007-02-23,44.48,44.48,43.2,43.56,33700,0,0.0
2007-02-26,43.44,43.44,42.0,42.32,37200,0,0.0
2007-02-27,40.8,41.16,36.04,37.44,157100,0,0.0
2007-02-28,37.88,38.56,36.8,37.36,73900,0,0.0
2007-03-01,35.96,37.52,35.4,36.68,73500,0,0.0
2007-03-02,36.44,37.88,35.84,36.2,49700,0,0.0
2007-03-05,35.52,36.76,34.04,34.2,55900,0,0.0
2007-03-06,35.52,36.4,35.2,35.64,55000,0,0.0
2007-03-07,35.44,37.8,35.24,36.72,79400,0,0.0
2007-03-08,37.6,38.16,35.6,36.28,59700,0,0.0
2007-03-09,36.52,36.84,35.24,36.0,41300,0,0.0
2007-03-12,35.96,36.32,35.0,35.76,30900,0,0.0
2007-03-13,35.36,35.8,34.0,34.12,42200,0,0.0
2007-03-14,34.08,34.8,33.2,34.28,48400,0,0.0
2007-03-15,34.28,35.8,33.52,34.28,37900,0,0.0
2007-03-16,34.6,34.6,32.0,32.84,55800,0,0.0
2007-03-19,33.2,33.76,32.64,32.92,30600,0,0.0
2007-03-20,33.24,34.72,32.44,34.0,54600,0,0.0
2007-03-21,34.24,37.8,34.0,37.28,146000,0,0.0
2007-03-22,37.04,41.92,36.48,40.76,258300,0,0.0
2007-03-23,40.92,42.48,40.0,40.16,87800,0,0.0
2007-03-26,40.48,41.52,38.6,39.12,45500,0,0.0
2007-03-27,39.0,39.56,37.8,38.16,21800,0,0.0
2007-03-28,40.44,43.88,40.36,41.84,271900,0,0.0
2007-03-29,42.2,43.88,40.12,42.12,94800,0,0.0
2007-03-30,41.96,42.88,40.44,40.76,43300,0,0.0
2007-04-02,41.12,42.0,39.2,40.28,48300,0,0.0
2007-04-03,41.0,42.4,39.8,40.08,51800,0,0.0
2007-04-04,40.36,40.88,38.88,39.16,43200,0,0.0
2007-04-05,46.0,49.12,45.0,48.0,1252800,0,0.0
2007-04-09,48.88,48.88,45.08,45.4,148000,0,0.0
2007-04-10,45.4,46.6,44.12,44.56,72500,0,0.0
2007-04-11,44.32,46.48,43.2,45.6,102500,0,0.0
2007-04-12,44.6,45.96,44.6,45.0,29600,0,0.0
2007-04-13,45.32,47.8,44.52,46.4,86200,0,0.0
2007-04-16,47.0,47.52,45.12,45.84,63400,0,0.0
2007-04-17,46.0,46.2,44.2,44.96,45400,0,0.0
2007-04-18,44.44,45.16,43.84,44.32,26900,0,0.0
2007-04-19,43.28,43.64,42.0,42.12,50600,0,0.0
2007-04-20,42.6,43.4,41.2,41.72,44400,0,0.0
2007-04-23,41.72,43.0,40.4,40.48,47000,0,0.0
2007-04-24,40.88,42.0,40.08,41.6,55200,0,0.0
2007-04-25,41.84,41.92,40.12,40.64,37800,0,0.0
2007-04-26,40.72,41.0,39.92,40.0,35800,0,0.0
2007-04-27,40.0,42.76,39.84,42.52,92000,0,0.0
2007-04-30,42.48,42.48,39.6,39.88,47900,0,0.0
2007-05-01,39.84,40.36,37.32,38.24,64500,0,0.0
2007-05-02,38.0,39.72,37.6,39.32,29600,0,0.0
2007-05-03,39.4,40.0,38.8,38.88,17600,0,0.0
2007-05-04,39.04,39.24,37.84,38.32,20200,0,0.0
2007-05-07,38.08,38.56,37.12,37.4,35900,0,0.0
2007-05-08,37.4,37.4,36.64,37.4,13500,0,0.0
2007-05-09,36.96,39.44,36.8,38.52,38200,0,0.0
2007-05-10,38.64,38.64,36.32,36.44,50300,0,0.0
2007-05-11,36.84,38.6,28.4,28.4,436800,0,0.0
2007-05-14,28.68,28.92,27.2,27.48,131200,0,0.0
2007-05-15,27.6,27.6,26.48,26.56,73800,0,0.0
2007-05-16,26.68,27.96,25.8,27.68,95000,0,0.0
2007-05-17,27.4,27.68,26.68,26.88,25200,0,0.0
2007-05-18,26.92,27.04,26.2,26.2,32900,0,0.0
2007-05-21,26.2,28.36,26.08,27.16,65500,0,0.0
2007-05-22,27.12,28.08,27.0,27.92,29600,0,0.0
2007-05-23,27.84,28.28,26.96,27.16,26800,0,0.0
2007-05-24,27.12,27.24,26.24,26.56,27600,0,0.0
2007-05-25,26.44,26.8,26.0,26.0,19300,0,0.0
2007-05-29,26.04,26.04,25.4,25.76,17600,0,0.0
2007-05-30,25.24,25.6,24.72,25.2,40100,0,0.0
2007-05-31,25.2,25.28,24.8,24.88,13900,0,0.0
2007-06-01,24.44,25.84,24.44,25.6,30000,0,0.0
2007-06-04,25.56,25.56,24.48,24.8,27900,0,0.0
2007-06-05,25.2,25.56,24.64,25.32,15200,0,0.0
2007-06-06,25.6,25.6,24.6,24.76,17700,0,0.0
2007-06-07,24.84,24.84,24.0,24.16,22800,0,0.0
2007-06-08,24.0,24.64,23.4,24.44,23700,0,0.0
2007-06-11,24.72,24.72,23.8,23.96,12600,0,0.0
2007-06-12,23.92,23.92,23.36,23.56,20900,0,0.0
2007-06-13,23.8,23.8,23.0,23.16,19600,0,0.0
2007-06-14,23.16,23.44,22.32,23.12,25900,0,0.0
2007-06-15,22.92,23.2,22.68,22.88,16500,0,0.0
2007-06-18,22.96,24.72,22.96,24.6,54300,0,0.0
2007-06-19,24.68,29.8,24.68,29.2,296000,0,0.0
