Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-06-20,10.11,10.32,10.07,10.07,11000,0.0,0
2001-06-21,10.32,10.74,10.32,10.74,39300,0.0,0
2001-06-22,10.74,10.81,10.74,10.78,33800,0.0,0
2001-06-25,10.91,11.16,10.91,11.16,9100,0.0,0
2001-06-26,11.16,11.16,11.02,11.14,109800,0.0,0
2001-06-27,11.14,11.21,11.14,11.21,185300,0.0,0
2001-06-28,11.29,11.58,11.29,11.58,66000,0.0,0
2001-06-29,11.61,11.84,11.61,11.8,71300,0.0,0
2001-07-02,11.8,11.96,11.8,11.8,69700,0.0,0
2001-07-03,11.8,11.86,11.8,11.82,56200,0.0,0
2001-07-05,11.82,11.82,11.77,11.77,61900,0.0,0
2001-07-06,11.77,12.64,11.33,12.64,3337400,0.0,0
2001-07-09,12.64,13.19,12.55,12.6,1674700,0.0,0
2001-07-10,12.6,12.64,12.03,12.03,1210400,0.0,0
2001-07-11,11.98,12.22,11.96,12.01,2426400,0.0,0
2001-07-12,12.01,12.72,12.01,12.41,1294600,0.0,0
2001-07-13,12.36,12.65,12.21,12.22,709500,0.0,0
2001-07-16,12.22,12.47,12.01,12.11,593900,0.0,0
2001-07-17,12.11,12.53,12.09,12.47,837100,0.0,0
2001-07-18,12.44,12.64,12.4,12.42,396600,0.0,0
2001-07-19,12.4,12.43,12.14,12.17,303600,0.0,0
2001-07-20,12.13,12.28,12.13,12.2,519000,0.0,0
2001-07-23,12.2,12.22,12.05,12.22,206100,0.0,0
2001-07-24,12.2,12.34,12.11,12.21,268600,0.0,0
2001-07-25,12.2,12.55,12.11,12.45,385200,0.0,0
2001-07-26,12.39,12.62,12.29,12.61,208500,0.0,0
2001-07-27,12.6,12.87,12.6,12.86,274600,0.0,0
2001-07-30,12.87,13.54,12.87,13.32,289200,0.0,0
2001-07-31,13.31,14.11,13.31,13.91,357300,0.0,0
2001-08-01,13.94,14.44,13.94,14.32,759800,0.0,0
2001-08-02,14.3,14.41,14.18,14.2,365500,0.0,0
2001-08-03,14.11,14.13,13.73,13.75,139800,0.0,0
2001-08-06,13.82,13.86,13.51,13.54,161700,0.0,0
2001-08-07,13.54,13.78,13.52,13.67,186400,0.0,0
2001-08-08,13.69,13.73,13.48,13.69,322400,0.0,0
2001-08-09,13.69,13.73,13.63,13.7,169400,0.0,0
2001-08-10,13.7,13.8,13.52,13.54,328500,0.0,0
2001-08-13,13.54,13.54,13.48,13.48,396200,0.0,0
2001-08-14,13.9,13.9,13.68,13.81,269000,0.0,0
2001-08-15,13.82,13.94,13.48,13.48,307000,0.0,0
2001-08-16,13.48,13.54,13.4,13.48,280600,0.0,0
2001-08-17,13.46,13.59,13.39,13.58,211200,0.0,0
2001-08-20,13.6,13.6,13.48,13.49,150900,0.0,0
2001-08-21,13.48,13.67,13.48,13.61,321800,0.0,0
2001-08-22,13.56,13.75,13.54,13.69,234300,0.0,0
2001-08-23,13.59,13.69,13.56,13.65,72300,0.0,0
2001-08-24,13.63,13.65,13.56,13.63,69600,0.0,0
2001-08-27,13.63,13.79,13.63,13.75,80900,0.0,0
