Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.62,0.66,0.62,0.62,94800,0.0,0.0
1980-03-18,0.62,0.66,0.62,0.62,89400,0.0,0.0
1980-03-19,0.62,0.66,0.62,0.62,26100,0.0,0.0
1980-03-20,0.62,0.65,0.61,0.61,42300,0.0,0.0
1980-03-21,0.61,0.62,0.58,0.58,77400,0.0,0.0
1980-03-24,0.58,0.62,0.58,0.58,72900,0.0,0.0
1980-03-25,0.58,0.62,0.58,0.58,63300,0.0,0.0
1980-03-26,0.58,0.62,0.58,0.58,78600,0.0,0.0
1980-03-27,0.58,0.59,0.55,0.55,252900,0.0,0.0
1980-03-28,0.58,0.62,0.58,0.58,39000,0.0,0.0
1980-03-31,0.59,0.63,0.59,0.59,67500,0.0,0.0
1980-04-01,0.59,0.62,0.58,0.58,149700,0.0,0.0
1980-04-02,0.58,0.62,0.58,0.58,30000,0.0,0.0
1980-04-03,0.58,0.62,0.58,0.58,65100,0.0,0.0
1980-04-07,0.58,0.61,0.57,0.57,113400,0.0,0.0
1980-04-08,0.61,0.65,0.61,0.61,238800,0.0,0.0
1980-04-09,0.61,0.64,0.6,0.6,63300,0.0,0.0
1980-04-10,0.6,0.63,0.59,0.59,35100,0.0,0.0
1980-04-11,0.59,0.63,0.59,0.59,52500,0.0,0.0
1980-04-14,0.59,0.62,0.58,0.58,28800,0.0,0.0
1980-04-15,0.58,0.6,0.56,0.56,63300,0.0,0.0
1980-04-16,0.57,0.61,0.57,0.57,82800,0.0,0.0
1980-04-17,0.57,0.6,0.56,0.56,65100,0.0,0.0
1980-04-18,0.56,0.6,0.56,0.56,142200,0.0,0.0
1980-04-21,0.56,0.6,0.56,0.56,79500,0.0,0.0
1980-04-22,0.57,0.61,0.57,0.57,97200,0.0,0.0
1980-04-23,0.58,0.62,0.58,0.58,129900,0.0,0.0
1980-04-24,0.6,0.64,0.6,0.6,93600,0.0,0.0
1980-04-25,0.6,0.64,0.6,0.6,151500,0.0,0.0
1980-04-28,0.6,0.64,0.6,0.6,87600,0.0,0.0
1980-04-29,0.6,0.63,0.59,0.59,115200,0.0,0.0
1980-04-30,0.6,0.64,0.6,0.6,93600,0.0,0.0
1980-05-01,0.6,0.64,0.6,0.6,117300,0.0,0.0
1980-05-02,0.6,0.64,0.6,0.6,12600,0.0,0.0
1980-05-05,0.61,0.65,0.61,0.61,26100,0.0,0.0
1980-05-06,0.62,0.66,0.62,0.62,48900,0.0,0.0
1980-05-07,0.62,0.66,0.62,0.62,32400,0.0,0.0
1980-05-08,0.62,0.66,0.62,0.62,24600,0.0,0.0
1980-05-09,0.62,0.65,0.61,0.61,84900,0.0,0.0
1980-05-12,0.61,0.65,0.61,0.61,32400,0.0,0.0
1980-05-13,0.61,0.65,0.61,0.61,16200,0.0,0.0
1980-05-14,0.61,0.65,0.61,0.61,55200,0.0,0.0
1980-05-15,0.61,0.65,0.61,0.61,18000,0.0,0.0
1980-05-16,0.61,0.65,0.61,0.61,12600,0.0,0.0
1980-05-19,0.61,0.65,0.61,0.61,129600,0.0,0.0
1980-05-20,0.61,0.65,0.61,0.61,22800,0.0,0.0
1980-05-21,0.62,0.66,0.62,0.62,67500,0.0,0.0
1980-05-22,0.64,0.68,0.64,0.64,105600,0.0,0.0
1980-05-23,0.64,0.68,0.64,0.64,35100,0.0,0.0
1980-05-27,0.65,0.69,0.65,0.65,108000,0.0,0.0
1980-05-28,0.65,0.68,0.64,0.64,64800,0.0,0.0
1980-05-29,0.64,0.67,0.63,0.63,115200,0.0,0.0
1980-05-30,0.63,0.67,0.63,0.63,28800,0.0,0.0
1980-06-02,0.64,0.68,0.64,0.64,99000,0.0,0.0
1980-06-03,0.64,0.68,0.64,0.64,54300,0.0,0.0
1980-06-04,0.64,0.68,0.64,0.64,36300,0.0,0.0
1980-06-05,0.64,0.68,0.64,0.64,91800,0.0,0.0
1980-06-06,0.64,0.67,0.63,0.63,83700,0.0,0.0
1980-06-09,0.63,0.67,0.63,0.63,99000,0.0,0.0
1980-06-10,0.63,0.67,0.63,0.63,93600,0.0,0.0
1980-06-11,0.63,0.67,0.63,0.63,18000,0.0,0.0
1980-06-12,0.64,0.68,0.64,0.64,48900,0.0,0.0
1980-06-13,0.65,0.69,0.65,0.65,90900,0.0,0.0
1980-06-16,0.65,0.69,0.65,0.65,32700,0.0,0.0
1980-06-17,0.65,0.68,0.64,0.64,74700,0.0,0.0
1980-06-18,0.64,0.68,0.64,0.64,111000,0.0,0.0
1980-06-19,0.64,0.68,0.64,0.64,66600,0.0,0.0
1980-06-20,0.64,0.67,0.63,0.63,85500,0.0,0.0
1980-06-23,0.63,0.67,0.63,0.63,61200,0.0,0.0
1980-06-24,0.63,0.67,0.63,0.63,70500,0.0,0.0
1980-06-25,0.64,0.68,0.64,0.64,32400,0.0,0.0
1980-06-26,0.64,0.67,0.63,0.63,62400,0.0,0.0
1980-06-27,0.63,0.67,0.63,0.63,46200,0.0,0.0
1980-06-30,0.63,0.66,0.62,0.62,66600,0.0,0.0
1980-07-01,0.62,0.66,0.62,0.62,63300,0.0,0.0
1980-07-02,0.63,0.67,0.63,0.63,91800,0.0,0.0
1980-07-03,0.66,0.7,0.66,0.66,232500,0.0,0.0
1980-07-07,0.68,0.69,0.68,0.68,57000,0.0,0.0
1980-07-08,0.69,0.7,0.69,0.69,269100,0.0,0.0
1980-07-09,0.69,0.69,0.68,0.68,105300,0.0,0.0
1980-07-10,0.71,0.72,0.71,0.71,220500,0.0,0.0
1980-07-11,0.72,0.73,0.72,0.72,167700,0.0,0.0
1980-07-14,0.74,0.75,0.74,0.74,113400,0.0,0.0
1980-07-15,0.74,0.75,0.74,0.74,506700,0.0,0.0
1980-07-16,0.75,0.78,0.75,0.75,103800,0.0,0.0
1980-07-17,0.75,0.78,0.75,0.75,62400,0.0,0.0
