Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.04,0.04,0.04,544200,0.0,0.0
1980-03-18,0.0,0.04,0.04,0.04,272100,0.0,0.0
1980-03-19,0.0,0.04,0.04,0.04,724000,0.0,0.0
1980-03-20,0.0,0.04,0.04,0.04,2421300,0.0,0.0
1980-03-21,0.0,0.04,0.03,0.03,122200,0.0,0.0
1980-03-24,0.0,0.04,0.03,0.03,696400,0.0,0.0
1980-03-25,0.0,0.03,0.03,0.03,1362800,0.0,0.0
1980-03-26,0.0,0.03,0.03,0.03,196000,0.0,0.0
1980-03-27,0.0,0.03,0.03,0.03,604100,0.0,0.0
1980-03-28,0.0,0.03,0.03,0.03,2617300,0.0,0.0
1980-03-31,0.0,0.03,0.03,0.03,408100,0.0,0.0
1980-04-01,0.0,0.03,0.03,0.03,447300,0.0,0.0
1980-04-02,0.0,0.03,0.03,0.03,189000,0.0,0.0
1980-04-03,0.0,0.03,0.03,0.03,1286700,0.0,0.0
1980-04-07,0.0,0.03,0.03,0.03,1076900,0.0,0.0
1980-04-08,0.0,0.03,0.03,0.03,927000,0.0,0.0
1980-04-09,0.0,0.03,0.03,0.03,159100,0.0,0.0
1980-04-10,0.0,0.04,0.03,0.03,265100,0.0,0.0
1980-04-11,0.0,0.04,0.03,0.04,255900,0.0,0.0
1980-04-14,0.0,0.04,0.03,0.03,1111400,0.0,0.0
1980-04-15,0.0,0.03,0.03,0.03,207500,0.0,0.0
1980-04-16,0.0,0.03,0.03,0.03,196000,0.0,0.0
1980-04-17,0.0,0.03,0.03,0.03,1664900,0.0,0.0
1980-04-18,0.0,0.03,0.03,0.03,1173700,0.0,0.0
1980-04-21,0.0,0.03,0.03,0.03,405800,0.0,0.0
1980-04-22,0.0,0.03,0.03,0.03,876200,0.0,0.0
1980-04-23,0.0,0.03,0.03,0.03,525700,0.0,0.0
1980-04-24,0.0,0.03,0.03,0.03,133700,0.0,0.0
1980-04-25,0.0,0.03,0.03,0.03,1189800,0.0,0.0
1980-04-28,0.0,0.03,0.03,0.03,802400,0.0,0.0
1980-04-29,0.0,0.03,0.03,0.03,675600,0.0,0.0
1980-04-30,0.0,0.03,0.03,0.03,1194500,0.0,0.0
1980-05-01,0.0,0.03,0.03,0.03,1215200,0.0,0.0
1980-05-02,0.0,0.03,0.03,0.03,348200,0.0,0.0
1980-05-05,0.0,0.03,0.03,0.03,687100,0.0,0.0
1980-05-06,0.0,0.03,0.03,0.03,239800,0.0,0.0
1980-05-07,0.0,0.03,0.03,0.03,320500,0.0,0.0
1980-05-08,0.0,0.03,0.03,0.03,855500,0.0,0.0
1980-05-09,0.0,0.03,0.03,0.03,375800,0.0,0.0
1980-05-12,0.0,0.03,0.03,0.03,198300,0.0,0.0
1980-05-13,0.0,0.03,0.03,0.03,94500,0.0,0.0
1980-05-14,0.0,0.03,0.03,0.03,154500,0.0,0.0
1980-05-15,0.0,0.03,0.03,0.03,166000,0.0,0.0
1980-05-16,0.0,0.03,0.03,0.03,1236000,0.0,0.0
1980-05-19,0.0,0.03,0.03,0.03,108300,0.0,0.0
1980-05-20,0.0,0.03,0.03,0.03,698700,0.0,0.0
1980-05-21,0.0,0.03,0.03,0.03,495700,0.0,0.0
1980-05-22,0.0,0.03,0.03,0.03,906200,0.0,0.0
1980-05-23,0.0,0.04,0.03,0.03,696400,0.0,0.0
1980-05-27,0.0,0.03,0.03,0.03,112900,0.0,0.0
1980-05-28,0.0,0.03,0.03,0.03,184400,0.0,0.0
1980-05-29,0.0,0.03,0.03,0.03,403500,0.0,0.0
1980-05-30,0.0,0.03,0.03,0.03,205200,0.0,0.0
1980-06-02,0.0,0.03,0.03,0.03,53000,0.0,0.0
1980-06-03,0.0,0.03,0.03,0.03,1238300,0.0,0.0
1980-06-04,0.0,0.03,0.03,0.03,518800,0.0,0.0
1980-06-05,0.0,0.04,0.03,0.04,1231400,0.0,0.0
1980-06-06,0.0,0.04,0.03,0.03,274400,0.0,0.0
1980-06-09,0.0,0.03,0.03,0.03,389700,0.0,0.0
1980-06-10,0.0,0.03,0.03,0.03,1644100,0.0,0.0
